date,open,high,low,close,vol,tradeAmount
20190102,2466.396,2473.457,2453.832,2459.798,591663640,4382327800.000
20190103,2457.265,2486.352,2452.333,2452.845,688308990,5409681600.000
20190104,2429.257,2517.055,2422.433,2517.055,886665180,6579427500.000
20190107,2530.210,2580.722,2527.641,2577.914,1081993050,7605603400.000
20190108,2579.719,2580.678,2565.549,2573.824,909593910,6722890400.000
20190109,2577.363,2603.559,2573.308,2576.975,1082948830,7748160000.000
20190110,2574.815,2593.871,2571.165,2578.644,910820950,6607241300.000
20190111,2576.551,2599.588,2571.347,2599.588,876921980,6586336400.000
20190114,2599.097,2607.130,2584.717,2591.923,922187270,6487104300.000
20190115,2587.240,2631.453,2583.151,2631.441,1111404330,7880575300.000
20190116,2629.627,2632.336,2613.806,2614.864,924420800,7038825600.000
20190117,2610.668,2611.209,2579.797,2582.862,831068480,6044941400.000
20190118,2582.215,2601.276,2572.192,2593.477,808499690,6149890200.000
20190121,2598.458,2617.669,2595.545,2610.014,748798890,5784689500.000
20190122,2608.785,2608.785,2577.959,2589.399,708462910,5730258300.000
20190123,2587.746,2598.798,2581.481,2598.798,732146240,5906691000.000
20190124,2600.045,2616.174,2589.527,2609.061,824910380,6583582100.000
20190125,2607.403,2619.462,2595.333,2596.055,894458720,7214304300.000
20190128,2607.844,2619.179,2574.773,2576.812,1001965200,7659059500.000
20190129,2561.930,2561.930,2482.218,2520.217,953682130,7055244600.000
20190130,2500.525,2516.714,2480.214,2482.295,786524230,5715353100.000
20190131,2467.955,2482.759,2409.171,2421.395,947986740,6592952600.000
20190201,2425.382,2488.224,2425.382,2488.224,793824490,5838914800.000
20190211,2495.387,2555.691,2495.387,2555.691,966009790,6935888600.000
20190212,2556.431,2588.474,2552.611,2581.530,1020443820,7425428600.000
20190213,2584.219,2630.235,2581.914,2627.180,1313123690,9433238000.000
20190214,2624.711,2651.307,2616.170,2642.525,1224665760,9103401600.000
20190215,2645.236,2666.684,2640.314,2650.799,1253740780,8901257800.000
20190218,2671.736,2745.294,2671.736,2745.294,1758009100,12980694300.000
20190219,2761.214,2771.805,2718.495,2754.410,1932865100,14029947000.000
20190220,2750.363,2763.050,2730.279,2763.050,1563658200,11211846800.000
20190221,2767.672,2809.945,2750.675,2760.162,1899419900,13736517000.000
20190222,2753.682,2813.029,2751.089,2813.029,1932621900,13815672000.000
20190225,2833.696,2946.058,2831.843,2945.438,2938629400,22074047000.000
20190226,2946.597,3000.932,2916.486,2947.379,2775960800,21279191000.000
20190227,2950.444,2983.369,2908.489,2940.218,2551657500,18849398000.000
20190228,2939.080,2965.704,2930.252,2951.884,2175429700,14558396000.000
20190301,2959.031,2980.082,2934.570,2980.082,1992422400,13873106000.000
20190304,3001.808,3072.954,2994.878,3030.715,3378476600,24637601000.000
20190305,3027.563,3123.791,3016.515,3123.791,2912025500,22200468000.000
20190306,3143.471,3189.917,3112.574,3189.917,3449713100,25665753000.000
20190307,3194.763,3267.387,3171.015,3246.469,3403636800,26263282000.000
20190308,3183.146,3232.603,3083.737,3083.737,3190989500,24689376000.000
20190311,3104.084,3210.932,3104.084,3210.932,2427374200,18895618000.000
20190312,3233.102,3290.487,3208.176,3263.559,3013004900,24980189000.000
20190313,3267.085,3293.055,3191.486,3214.848,2635727000,22392760000.000
20190314,3189.056,3219.780,3090.036,3124.108,2206229200,18197287000.000
20190315,3142.695,3202.268,3142.620,3187.730,2441114700,19359734000.000
20190318,3203.774,3260.254,3179.208,3260.254,2479430700,20441953000.000
20190319,3272.444,3294.337,3255.416,3279.195,2251959100,19276848000.000
20190320,3276.919,3282.640,3218.607,3277.622,2322491200,20215266000.000
20190321,3280.837,3323.010,3276.171,3302.778,2524750000,21290664000.000
20190322,3301.215,3312.280,3251.168,3308.741,2158827900,18837958000.000
20190325,3257.761,3329.408,3243.865,3292.787,2541202500,20675207000.000
20190326,3302.933,3313.338,3195.274,3201.309,2378974800,19490793000.000
20190327,3215.050,3229.983,3155.051,3214.662,1721169300,15010533000.000
20190328,3205.139,3240.303,3174.712,3177.271,1639744100,14828462000.000
20190329,3176.855,3251.565,3149.557,3251.565,2028345400,17691825000.000
20190401,3267.728,3362.462,3267.728,3362.462,2454563900,22259921000.000
20190402,3383.719,3405.458,3364.602,3378.770,2460207700,22495857000.000
20190403,3367.708,3434.693,3354.517,3434.693,2359475200,20460933000.000
