date,open,high,low,close,vol,tradeAmount
20190102,2008.943,2012.311,1975.713,1978.939,249401930,3248265000.000
20190103,1977.660,1985.531,1958.357,1960.879,239656000,3227770900.000
20190104,1936.961,2000.059,1935.749,2000.059,495014810,4746620100.000
20190107,2007.305,2024.821,2000.420,2024.525,432520130,4378373400.000
20190108,2021.741,2024.811,2011.764,2022.555,318576880,3387081800.000
20190109,2024.366,2057.820,2023.557,2034.657,550440450,5651924400.000
20190110,2034.366,2040.678,2022.199,2028.406,418879860,3882370900.000
20190111,2028.794,2043.500,2022.170,2043.368,394212020,3661826900.000
20190114,2042.785,2044.826,2027.707,2032.410,417808310,3733420500.000
20190115,2029.818,2055.563,2025.249,2055.469,412241670,4341213000.000
20190116,2053.388,2064.569,2052.910,2063.034,384943920,4095140600.000
20190117,2062.502,2062.502,2040.950,2043.484,393314880,4015208800.000
20190118,2043.575,2072.633,2043.575,2072.633,437088800,5156493000.000
20190121,2074.833,2090.040,2074.825,2080.739,405150230,4791488600.000
20190122,2081.010,2081.010,2052.039,2056.868,390756100,3863184600.000
20190123,2050.579,2055.790,2040.864,2048.553,372487900,3673973300.000
20190124,2051.518,2066.929,2048.031,2064.033,390003570,3980781100.000
20190125,2059.031,2060.239,2040.945,2041.666,428704450,4036812600.000
20190128,2051.869,2055.743,2013.617,2014.308,506782450,4730272900.000
20190129,2003.981,2003.981,1956.179,1971.870,455386320,4071716900.000
20190130,1962.853,1978.022,1951.980,1952.243,341041940,3089246400.000
20190131,1947.235,1955.915,1910.945,1922.229,386520480,4027726800.000
20190201,1932.732,1982.652,1932.732,1982.075,444374230,4721289700.000
20190211,1983.962,2031.694,1982.773,2031.694,458521770,5053008500.000
20190212,2034.550,2094.182,2034.550,2082.463,707751330,7662081300.000
20190213,2083.558,2102.050,2069.811,2098.297,720504490,7666306600.000
20190214,2096.904,2113.536,2090.537,2106.665,605594840,6381135200.000
20190215,2105.267,2115.504,2099.522,2102.766,702051800,7507918100.000
20190218,2112.036,2172.175,2112.036,2172.175,843456720,9419387800.000
20190219,2175.828,2190.560,2149.019,2172.515,895527560,10119931600.000
20190220,2170.176,2176.190,2148.852,2176.190,697996650,7959687000.000
20190221,2181.898,2203.449,2166.028,2170.961,877448500,9265326800.000
20190222,2170.910,2204.025,2158.252,2204.025,1131745620,11227111900.000
20190225,2212.946,2298.349,2212.946,2298.349,1590956700,18214334000.000
20190226,2302.574,2373.250,2279.119,2314.044,1516258700,18198439000.000
20190227,2307.431,2322.640,2272.251,2293.204,1079656930,12433625200.000
20190228,2296.639,2353.613,2296.639,2346.831,1186105540,12424426900.000
20190301,2360.712,2368.655,2326.397,2349.894,1080993060,12534267800.000
20190304,2368.104,2416.160,2364.569,2385.100,1439554200,17427043000.000
20190305,2382.182,2443.930,2375.464,2443.930,1253156280,13984837000.000
20190306,2462.023,2506.883,2443.246,2506.883,1634641900,18545478000.000
20190307,2516.699,2555.040,2496.151,2540.269,1628904200,18982992000.000
20190308,2497.356,2549.861,2439.013,2439.013,1681950500,18834338000.000
20190311,2455.723,2530.279,2455.723,2530.279,1270470160,14400735000.000
20190312,2547.660,2590.078,2531.407,2571.944,1510960900,17988052000.000
20190313,2565.454,2588.332,2523.672,2542.752,1343072100,15757646000.000
20190314,2524.208,2547.609,2450.342,2474.673,1110954410,12933799300.000
20190315,2474.483,2515.751,2474.483,2514.172,927017440,11945654600.000
20190318,2517.984,2596.478,2497.334,2596.478,1192443650,17425934000.000
20190319,2596.642,2602.412,2573.771,2602.412,1181569730,15664459000.000
20190320,2599.768,2623.541,2568.358,2620.787,1169042180,14689294000.000
20190321,2630.458,2683.063,2627.611,2658.597,1533843000,18344508000.000
20190322,2653.859,2680.684,2617.742,2680.684,1335043680,15806343000.000
20190325,2642.104,2715.026,2632.553,2677.963,1430054300,17505019000.000
20190326,2694.506,2705.999,2600.502,2609.693,1410015400,16892789000.000
20190327,2618.275,2705.274,2615.032,2705.274,1758595000,20336952000.000
20190328,2686.268,2688.161,2627.148,2630.146,1499048900,17240596000.000
20190329,2616.850,2681.562,2592.102,2676.043,1448935200,17937970000.000
20190401,2690.670,2771.887,2690.670,2771.887,1683606200,21447001000.000
20190402,2783.813,2812.296,2769.501,2791.707,1734268100,22465140000.000
20190403,2768.085,2816.477,2757.209,2814.925,1618724100,21305982000.000
20190404,2829.071,2853.895,2816.791,2835.076,1664393000,21503628000.000
20190408,2844.965,2865.197,2807.238,2859.583,1865920100,24758127000.000
20190409,2856.254,2911.594,2836.599,2905.517,1550092300,22703171000.000
20190410,2888.929,3009.119,2877.225,2981.460,2050897500,29087823000.000
20190411,2982.412,2998.512,2903.774,2908.718,1718768900,23472506000.000
20190412,2898.218,2904.695,2827.652,2847.298,1269597340,16732533000.000
20190415,2866.962,2885.655,2805.224,2805.224,1091582720,15172115000.000
20190416,2796.035,2860.239,2786.865,2860.239,1077801340,14705395000.000
20190417,2862.363,2897.831,2852.116,2897.831,1272722010,16970158000.000
20190418,2893.373,2903.607,2872.271,2876.806,1248662540,16231619000.000
20190419,2867.922,2896.727,2849.967,2895.325,1007801780,12918413500.000
20190422,2892.582,2897.491,2830.867,2839.641,1133403150,14736249000.000
20190423,2845.870,2846.482,2800.677,2807.670,1272475710,15863676000.000
20190424,2810.622,2826.374,2781.299,2826.248,946580430,12049566500.000
20190425,2813.854,2829.307,2723.870,2723.870,1082757960,13419264300.000
20190426,2716.538,2726.382,2679.535,2679.535,890448080,11853036800.000
20190429,2682.104,2690.429,2598.447,2606.082,1068761640,13937773000.000
20190430,2591.190,2650.843,2591.190,2633.614,835771410,11329514100.000
20190506,2556.655,2556.691,2422.363,2435.078,1039758600,13249586900.000
20190507,2443.511,2510.899,2443.511,2493.201,834541930,11067477600.000
20190508,2451.725,2537.137,2437.452,2495.019,1058077490,12672216700.000
20190509,2466.779,2486.384,2443.709,2448.228,795356630,9971092200.000
20190510,2466.824,2522.736,2429.595,2522.736,1326913480,13648978000.000
20190513,2495.986,2509.307,2473.405,2485.982,1006799390,10439180400.000
20190514,2458.434,2492.826,2458.374,2464.426,785029090,8470821600.000
20190515,2483.830,2525.001,2481.386,2522.194,1049165560,11847200900.000
20190516,2525.755,2555.670,2519.180,2547.720,1183798660,12314106500.000
20190517,2549.114,2549.594,2446.821,2455.387,1271821480,12918818100.000
20190520,2449.512,2452.737,2383.517,2425.600,739562050,8276078800.000
20190521,2425.127,2477.918,2419.564,2471.335,692911250,7770734500.000
20190522,2470.615,2471.977,2426.166,2441.067,595442680,6960211000.000
20190523,2438.164,2438.164,2378.837,2386.416,571302130,6450256400.000
20190524,2381.072,2398.480,2368.684,2374.801,461848740,4980412000.000
20190527,2389.690,2441.099,2377.560,2436.440,597860180,6734553100.000
20190528,2439.797,2459.772,2423.792,2434.060,685251230,7576822700.000
20190529,2428.049,2435.604,2412.412,2421.013,480857120,5726570200.000
20190530,2413.471,2413.471,2368.512,2391.270,617273120,6334159800.000
20190531,2390.723,2412.420,2382.563,2385.222,485807370,5417195600.000
20190603,2377.536,2389.190,2337.138,2341.676,599764860,6145491500.000
20190604,2339.929,2347.653,2298.747,2308.207,492785170,5359445600.000
20190605,2321.562,2327.983,2276.234,2279.115,518137320,6145298700.000
20190606,2275.363,2277.128,2209.472,2217.273,518773890,5451663700.000
20190610,2209.041,2229.329,2201.557,2221.268,399158280,4282824200.000
20190611,2218.435,2294.380,2215.113,2294.380,641086730,6948642200.000
20190612,2287.133,2297.301,2273.728,2278.985,849536900,6309307700.000
20190613,2279.114,2305.558,2269.378,2299.747,663240900,5400921600.000
20190614,2304.229,2307.619,2263.266,2268.191,646404860,5573481600.000
20190617,2287.532,2330.278,2287.532,2318.645,614411050,5937277000.000
20190618,2331.020,2331.020,2306.958,2313.606,603797630,5241387700.000
20190619,2354.943,2365.231,2341.830,2348.272,869272890,7591631900.000
20190620,2345.458,2389.154,2336.319,2383.370,1145775990,11045967900.000
20190621,2389.961,2418.390,2389.961,2410.601,1081968340,10949099500.000
20190624,2406.349,2408.799,2387.655,2405.214,777938990,8208661000.000
20190625,2404.881,2404.881,2352.126,2375.365,741216240,7653846000.000
20190626,2373.986,2397.676,2367.092,2393.164,509629700,5530847600.000
20190627,2401.827,2426.113,2400.388,2418.219,550248350,6858216500.000
20190628,2422.024,2422.024,2363.634,2376.142,540336270,5919962200.000
20190701,2410.037,2435.396,2401.234,2435.396,659275010,7950943700.000
20190702,2435.751,2450.427,2427.145,2447.094,591980180,7782045900.000
20190703,2447.816,2447.816,2416.980,2425.082,566230170,7124916500.000
20190704,2425.930,2431.350,2402.032,2410.253,417184410,5461341300.000
20190705,2407.728,2423.427,2403.948,2420.668,557933380,5217062600.000
20190708,2413.937,2413.937,2329.108,2340.518,681337710,6534572700.000
20190709,2335.587,2348.216,2325.017,2347.705,449374510,4308795000.000
20190710,2350.538,2350.538,2326.531,2333.582,345157310,3722567400.000
20190711,2340.433,2359.628,2333.659,2343.828,388315840,4180740300.000
20190712,2350.079,2376.784,2340.788,2372.869,462819010,4912334000.000
20190715,2361.362,2385.680,2327.597,2381.702,600475370,6345973100.000
20190716,2386.635,2404.998,2382.575,2392.396,533783050,6369885500.000
20190717,2383.786,2384.717,2367.184,2369.165,558272560,6362345700.000
20190718,2356.147,2356.147,2323.625,2324.052,491637390,5425638500.000
20190719,2327.894,2352.990,2327.894,2332.296,395742770,4723980600.000
20190722,2329.826,2331.864,2267.185,2268.885,487137630,5649807100.000
20190723,2269.994,2288.556,2269.105,2288.556,342008140,4155760800.000
20190724,2291.706,2320.415,2291.620,2304.883,386211150,4326007200.000
20190725,2317.518,2317.518,2304.506,2310.878,361121040,4181601500.000
20190726,2306.776,2324.140,2302.175,2324.140,513814020,5606984000.000
20190729,2318.454,2318.454,2302.183,2307.616,353927620,4341318700.000
20190730,2303.072,2323.331,2302.726,2312.829,426072430,4546248800.000
20190731,2312.236,2312.236,2290.194,2297.563,370518590,3726283400.000
20190801,2288.490,2291.328,2274.785,2285.083,354970210,4254247400.000
20190802,2248.394,2256.901,2232.254,2246.818,410708470,4321778500.000
20190805,2243.691,2251.831,2211.619,2212.732,368038510,4017320600.000
20190806,2173.972,2173.972,2103.747,2141.837,547096910,5367501500.000
20190807,2149.075,2156.225,2134.717,2136.555,318168790,3241056700.000
20190808,2142.165,2161.039,2142.165,2155.058,319896490,3075229400.000
20190809,2167.779,2178.010,2134.752,2138.272,382574060,4863711300.000
20190812,2144.806,2177.564,2136.476,2177.418,345909700,3870814000.000
20190813,2158.059,2168.018,2155.279,2167.467,324936180,3498351900.000
20190814,2182.902,2200.321,2182.902,2193.202,377768090,4376996200.000
20190815,2149.652,2252.109,2143.757,2252.109,623007920,6915199300.000
20190816,2248.364,2272.933,2242.984,2258.530,613992250,7030862100.000
20190819,2271.675,2310.412,2270.369,2310.412,614979850,7173358100.000
20190820,2313.131,2319.427,2305.666,2313.935,541855330,6529550200.000
20190821,2314.835,2317.322,2299.009,2305.724,678082480,6412298400.000
20190822,2308.117,2323.421,2301.822,2323.421,643431300,7019431100.000
