date,open,high,low,close,vol,tradeAmount
20190102,819.636,825.593,815.536,821.350,92972098,504710970.000
20190103,820.045,833.335,815.859,832.660,127054025,732583550.000
20190104,820.468,852.435,818.760,851.634,175115870,935153020.000
20190107,852.259,861.221,845.847,858.146,177287730,950149220.000
20190108,855.470,855.470,845.618,849.394,122522674,695054160.000
20190109,854.965,866.960,853.229,854.523,216882920,1014511350.000
20190110,849.601,857.996,847.380,848.350,128460027,592958220.000
20190111,851.975,856.906,848.194,855.274,159943710,601055220.000
20190114,857.345,859.735,849.013,851.792,133630379,638638380.000
20190115,849.260,860.943,846.561,859.913,116341784,538582470.000
20190116,862.296,871.641,861.921,864.542,175918010,1017425400.000
20190117,860.428,866.976,856.543,858.801,216285300,936325380.000
20190118,857.497,864.550,856.182,863.660,143924420,674530030.000
20190121,864.752,878.310,863.968,874.973,143737250,737707550.000
20190122,874.146,886.323,871.581,883.180,265482240,1025197190.000
20190123,873.060,886.051,871.034,881.879,213052060,761907480.000
20190124,879.926,882.896,875.242,876.859,137505690,597923890.000
20190125,883.353,885.371,877.874,879.065,117592690,538300080.000
20190128,889.013,889.013,869.315,870.692,131058447,816273020.000
20190129,869.609,872.846,847.843,864.796,178984110,1101199760.000
20190130,858.378,862.802,849.185,849.185,99875313,618219590.000
20190131,843.174,855.574,841.198,845.383,225532950,857665240.000
20190201,839.231,854.912,839.231,852.985,376527830,937915680.000
20190211,853.384,870.551,853.384,870.083,257732920,885817190.000
20190212,867.943,887.194,865.769,886.579,284326920,1071395870.000
20190213,883.851,900.460,878.700,896.045,275267450,1056314310.000
20190214,899.699,913.871,897.950,905.688,286660270,1342411200.000
20190215,903.173,909.812,898.851,905.123,241235910,1060819040.000
20190218,906.129,929.150,906.129,927.994,290130640,1382967400.000
20190219,930.568,946.942,927.345,941.761,317723680,1888112900.000
20190220,944.375,944.375,929.805,938.333,263395840,1384097100.000
20190221,936.093,952.491,928.210,930.720,368741990,1938625100.000
20190222,930.182,951.850,925.056,951.850,286969340,1269658190.000
20190225,957.733,994.876,952.590,993.490,470339530,2286718100.000
20190226,994.184,1007.427,975.939,988.173,628750350,2383482000.000
20190227,992.561,1028.282,991.684,1014.239,784127660,2882247900.000
20190228,1019.216,1021.918,999.980,1005.430,990348200,2964821800.000
20190301,999.395,1012.892,989.252,1011.712,750426900,2262537700.000
20190304,1015.904,1039.981,1011.666,1018.284,859326910,2872733500.000
20190305,1011.843,1039.182,1007.706,1038.623,601405540,2161114300.000
20190306,1044.259,1078.023,1044.259,1077.060,820729620,3154539700.000
20190307,1084.810,1120.056,1071.773,1119.294,894474870,3973588600.000
20190308,1097.541,1116.269,1045.528,1045.528,758775120,3783983100.000
20190311,1051.941,1082.206,1043.960,1081.722,431999250,2178093200.000
20190312,1085.947,1103.294,1072.246,1094.360,646927640,2735368000.000
20190313,1092.830,1100.741,1064.184,1074.496,497260190,2280253700.000
20190314,1068.070,1077.268,1019.759,1034.618,441187400,1731498300.000
20190315,1037.961,1065.954,1037.961,1058.751,357118640,1621366000.000
20190318,1058.980,1075.729,1048.399,1075.363,330109740,1463692200.000
20190319,1077.716,1085.827,1073.445,1083.195,326937820,1518862700.000
20190320,1082.004,1086.538,1063.729,1085.175,302199800,1431281700.000
20190321,1082.425,1111.970,1081.747,1100.049,421249160,1956657300.000
20190322,1098.023,1105.770,1083.223,1103.813,330435770,1800140300.000
20190325,1086.037,1101.040,1080.388,1086.746,299331120,1613877100.000
20190326,1086.823,1097.181,1065.945,1070.996,314627740,1586352000.000
20190327,1077.879,1083.085,1053.238,1077.311,261856690,1417494900.000
20190328,1069.831,1075.476,1055.606,1056.988,227456110,1112652850.000
20190329,1055.259,1086.832,1048.390,1086.832,294876570,1415162400.000
20190401,1094.724,1121.468,1094.724,1117.701,387407080,1922067700.000
20190402,1122.665,1128.109,1111.887,1115.922,340060540,1754485500.000
20190403,1113.375,1156.592,1107.134,1156.592,353066200,2059920800.000
20190404,1162.729,1169.259,1154.106,1162.006,398833030,2941555300.000
20190408,1178.178,1179.552,1135.296,1146.445,475160980,2874161500.000
20190409,1142.402,1160.263,1140.978,1153.604,342665830,2175441000.000
20190410,1143.897,1167.377,1129.418,1157.992,402071240,2054747100.000
20190411,1155.050,1177.945,1155.050,1160.449,375883170,2326401100.000
20190412,1153.198,1169.069,1150.437,1168.857,359832750,2075363400.000
20190415,1176.203,1178.181,1152.641,1155.291,457968240,2544782300.000
20190416,1135.788,1159.412,1121.685,1155.206,331639530,1950795200.000
20190417,1155.440,1195.421,1152.936,1186.518,513853050,2452038800.000
20190418,1196.579,1209.599,1190.687,1194.393,463795050,2495783200.000
20190419,1191.733,1196.022,1161.850,1193.208,494438490,2558574800.000
