date,open,high,low,close,vol,tradeAmount
20190102,1694.957,1700.080,1683.384,1686.822,1188760690,7452264100.000
20190103,1686.646,1697.388,1668.162,1668.861,1321074340,8012408800.000
20190104,1652.426,1718.065,1646.102,1718.065,1689937400,10205462500.000
20190107,1723.591,1750.866,1717.697,1749.141,1745540500,10938978900.000
20190108,1744.109,1753.908,1738.199,1746.800,1633626400,9827474800.000
20190109,1747.373,1775.862,1742.378,1751.203,1969267000,11897959900.000
20190110,1753.343,1770.149,1747.559,1754.314,1891363500,11106199300.000
20190111,1753.558,1766.515,1745.551,1766.515,1628413700,9285793100.000
20190114,1765.912,1765.956,1745.334,1749.457,1734305100,10663846700.000
20190115,1744.564,1764.660,1737.339,1763.714,1463369700,9456467100.000
20190116,1760.693,1773.770,1758.704,1764.684,1709488100,11409922500.000
20190117,1762.511,1775.574,1751.739,1754.726,1819289800,10913534800.000
20190118,1753.852,1757.214,1729.192,1751.024,1700198700,10117945400.000
20190121,1748.776,1762.494,1746.708,1752.505,1334575190,8500377900.000
20190122,1753.893,1753.893,1727.789,1733.320,1399829200,8566932400.000
20190123,1728.687,1733.734,1721.154,1730.989,1163841010,7455199700.000
20190124,1734.428,1755.192,1726.486,1745.170,1340963370,8915950200.000
20190125,1744.718,1748.545,1725.921,1727.559,1453357500,9176172500.000
20190128,1736.452,1740.950,1705.977,1708.475,1422096700,8687519400.000
20190129,1697.626,1698.352,1635.614,1659.826,1629166400,9611262900.000
20190130,1635.673,1645.624,1609.375,1609.375,1276781820,7747799100.000
20190131,1576.164,1591.382,1548.506,1563.466,1863326100,10327402300.000
20190201,1560.188,1609.052,1560.188,1608.827,1459382000,8547978900.000
20190211,1616.073,1651.820,1613.300,1651.791,1617808400,10862216900.000
20190212,1647.946,1681.952,1645.563,1677.720,1826743400,11834177500.000
20190213,1675.277,1704.139,1669.695,1700.482,2006447500,13176113900.000
20190214,1700.720,1723.451,1695.369,1715.258,1861043900,12236182800.000
20190215,1709.077,1720.449,1704.928,1707.535,1793693000,11530426400.000
20190218,1715.338,1762.160,1715.175,1762.160,2124673800,14007262000.000
20190219,1766.955,1789.836,1755.962,1781.861,2702774500,16688821000.000
20190220,1779.563,1782.112,1757.383,1782.112,2018804100,12653643900.000
20190221,1778.671,1813.905,1771.859,1778.892,2673336200,17230111000.000
20190222,1779.592,1838.562,1779.300,1838.562,3056548000,19034230000.000
20190225,1864.782,1941.202,1862.065,1941.166,4630534800,30036867000.000
20190226,1942.591,1981.203,1912.131,1934.789,5030202100,31540599000.000
20190227,1931.811,1968.251,1915.254,1939.805,4280915200,25868024000.000
20190228,1941.126,1959.705,1928.443,1945.681,3454448600,21546099000.000
20190301,1948.067,1954.629,1918.074,1945.350,2874168800,18266540000.000
20190304,1962.337,2010.846,1960.334,1978.600,4286993200,28886617000.000
20190305,1973.146,2053.792,1968.744,2053.792,4373990000,29647329000.000
20190306,2066.641,2112.441,2042.198,2112.427,5426221400,37139052000.000
20190307,2110.832,2191.242,2099.787,2167.965,5208121200,38128404000.000
20190308,2123.693,2182.970,2076.862,2076.862,5958535200,39189397000.000
20190311,2092.627,2182.510,2086.986,2182.510,4983966700,34161455000.000
20190312,2205.261,2292.207,2205.261,2266.850,6829592100,49590953000.000
20190313,2266.519,2288.077,2192.620,2214.359,6179307900,44282033000.000
20190314,2190.230,2202.117,2089.292,2111.768,4212390600,28189011000.000
20190315,2126.733,2159.616,2106.512,2135.113,3336388300,23316052000.000
20190318,2144.932,2175.397,2116.975,2175.397,3320466900,23850509000.000
20190319,2172.751,2206.682,2165.859,2189.242,3121245300,23426539000.000
20190320,2189.350,2191.760,2133.498,2180.379,3276720700,23926876000.000
20190321,2179.263,2254.234,2176.959,2231.123,4532966700,33010639000.000
20190322,2225.082,2232.163,2174.551,2222.988,3518202800,25474137000.000
20190325,2177.378,2214.111,2165.261,2179.436,3317774900,24065053000.000
20190326,2186.983,2197.101,2106.531,2110.806,3360850200,23650672000.000
20190327,2120.137,2129.555,2067.713,2108.514,2741428900,19654922000.000
20190328,2102.331,2126.466,2075.437,2076.224,2552396800,18117338000.000
20190329,2075.980,2132.481,2048.017,2132.481,3254554200,23264488000.000
20190401,2146.819,2212.751,2146.819,2212.751,3873574100,28973595000.000
20190402,2224.883,2247.866,2214.929,2229.676,4412165000,30506536000.000
20190403,2222.829,2264.283,2213.241,2263.700,4254909000,31252520000.000
20190404,2265.713,2269.980,2234.205,2248.827,4108498700,30487768000.000
20190408,2254.226,2259.692,2177.725,2203.518,4032192800,29946502000.000
20190409,2197.666,2237.630,2183.908,2233.793,3245144900,24860814000.000
20190410,2223.727,2241.317,2197.014,2221.193,3048578000,23588113000.000
20190411,2219.806,2225.238,2182.881,2183.822,2784914700,21375969000.000
20190412,2178.134,2195.647,2165.147,2193.165,2323785400,18306673000.000
20190415,2215.616,2220.656,2166.064,2167.034,2793871100,21784122000.000
20190416,2146.718,2201.701,2126.511,2201.701,2776153900,20718721000.000
20190417,2201.122,2234.400,2195.888,2222.162,2979105200,23687130000.000
20190418,2220.195,2234.783,2205.996,2212.182,2893063200,23628159000.000
20190419,2207.069,2231.580,2184.293,2231.580,2667748000,21680393000.000
20190422,2231.712,2236.701,2188.074,2196.276,2876978700,23124388000.000
20190423,2186.686,2196.919,2152.848,2158.999,2909136700,23342536000.000
20190424,2161.417,2166.860,2121.637,2166.860,2358647300,19098758000.000
20190425,2158.475,2158.475,2067.480,2067.480,3242753600,23679518000.000
20190426,2054.691,2074.728,2036.476,2036.476,2747640000,20796764000.000
20190429,2029.943,2036.175,1957.933,1961.493,3044010400,20659746000.000
20190430,1947.360,2001.519,1947.360,1985.794,2143168900,15027405000.000
20190506,1914.919,1919.929,1820.916,1830.619,2556626400,17815538000.000
20190507,1836.185,1862.686,1819.425,1854.623,1942690900,14076944000.000
20190508,1817.018,1881.929,1805.188,1852.242,2112621700,13989812000.000
20190509,1833.603,1858.825,1829.954,1832.817,1646059200,11524017000.000
20190510,1848.598,1890.667,1811.122,1890.547,2465104900,16580067000.000
20190513,1873.372,1891.112,1865.804,1874.799,1826989700,12753726900.000
20190514,1846.458,1880.484,1845.417,1862.387,1811604700,12192225900.000
20190515,1876.200,1902.872,1875.504,1898.276,2028985500,14342388000.000
20190516,1899.406,1912.773,1895.290,1911.395,1829717100,12554131000.000
20190517,1911.133,1911.589,1814.968,1824.649,2257414300,15041690000.000
20190520,1819.047,1820.164,1770.749,1807.438,1718964000,11886553000.000
20190521,1802.630,1845.789,1798.570,1840.952,1697453300,11584641500.000
20190522,1841.832,1850.810,1813.315,1829.217,1601150500,10760148200.000
20190523,1821.793,1821.859,1771.414,1775.769,1702356500,11354558600.000
20190524,1767.524,1786.018,1759.990,1763.711,1277707330,8363684000.000
20190527,1765.952,1812.478,1755.573,1812.200,1544683300,9950061700.000
20190528,1813.924,1835.785,1805.041,1812.405,1624531400,10845691800.000
20190529,1806.677,1825.333,1803.606,1810.805,1366025200,9645101900.000
20190530,1806.079,1806.106,1768.714,1791.478,1538105700,11167077700.000
20190531,1791.107,1807.191,1783.926,1788.898,1313834950,9257569200.000
20190603,1789.906,1792.244,1739.553,1746.721,1589398700,10059203900.000
20190604,1745.115,1747.197,1714.539,1724.606,1374120200,8492231600.000
20190605,1740.603,1745.118,1722.109,1725.909,1283068800,9173683400.000
20190606,1724.964,1724.964,1675.213,1683.332,1575923800,9691189600.000
20190610,1685.829,1705.213,1678.014,1696.336,1251260670,8019069900.000
