date,open,high,low,close,vol,tradeAmount
20190102,1732.353,1734.097,1715.936,1718.976,397277180,7920720900.000
20190103,1718.656,1755.536,1714.803,1718.032,505387630,7790066200.000
20190104,1701.091,1813.951,1696.415,1799.288,956348900,12736502800.000
20190107,1804.131,1807.327,1785.322,1801.383,867903010,11944073500.000
20190108,1792.539,1798.434,1780.450,1793.541,620348740,8316671800.000
20190109,1795.161,1820.778,1787.266,1799.493,728994990,10611964200.000
20190110,1799.113,1803.515,1779.888,1781.310,528489520,8061542300.000
20190111,1785.143,1794.333,1780.397,1788.738,439954640,6159947700.000
20190114,1787.171,1793.062,1774.105,1778.803,520423080,6620478100.000
20190115,1774.941,1808.056,1769.712,1808.056,677226110,8272771600.000
20190116,1808.509,1813.928,1799.193,1805.537,564511250,6981529800.000
20190117,1799.438,1811.126,1783.940,1791.992,621540120,8922299800.000
20190118,1791.863,1801.535,1774.912,1789.106,574937430,8589890500.000
20190121,1785.982,1801.331,1783.635,1795.124,469906730,7536586200.000
20190122,1792.809,1793.248,1765.303,1771.144,459381460,6224393600.000
20190123,1764.307,1770.247,1750.585,1763.264,367719980,5316220200.000
20190124,1765.881,1773.531,1752.547,1764.510,411047790,6136834500.000
20190125,1765.669,1765.914,1741.096,1742.341,605099010,8967301500.000
20190128,1753.855,1754.882,1718.524,1720.686,507382510,7194877500.000
20190129,1716.239,1717.049,1659.907,1683.497,582133580,6687402700.000
20190130,1671.868,1693.266,1665.605,1665.605,396317310,5088219100.000
20190131,1666.404,1685.141,1632.713,1642.657,555728850,9239658400.000
20190201,1648.174,1688.959,1648.174,1688.959,391819510,6119879500.000
20190211,1691.178,1726.167,1690.927,1725.461,426451310,7069581000.000
20190212,1729.856,1756.942,1726.669,1750.524,460857200,6231721500.000
20190213,1752.109,1791.528,1742.703,1786.783,720839760,9626640100.000
20190214,1783.582,1803.147,1778.628,1793.300,545863480,7519812400.000
20190215,1788.466,1798.059,1779.960,1782.642,538881730,8083465800.000
20190218,1794.602,1871.336,1794.602,1871.194,1032722690,12269528300.000
20190219,1891.182,1995.820,1887.675,1965.846,1773650500,19486978000.000
20190220,1971.395,1971.395,1924.172,1940.370,1279994530,12413431200.000
20190221,1934.541,2025.711,1930.427,1980.299,1631126200,15581774000.000
20190222,1972.087,2117.988,1965.428,2110.434,1912542700,20261953000.000
20190225,2214.103,2310.232,2187.592,2310.232,2296266400,36729620000.000
20190226,2356.081,2373.437,2274.334,2274.475,2627646900,36139553000.000
20190227,2301.763,2368.955,2274.425,2328.888,2690063500,33026935000.000
20190228,2264.111,2269.056,2207.421,2228.058,1561014800,18938984000.000
20190301,2210.078,2304.481,2194.068,2290.553,2461509700,27064522000.000
20190304,2309.864,2410.545,2290.155,2332.986,2704218700,34570431000.000
20190305,2307.971,2373.095,2291.344,2369.239,2362541800,26298892000.000
20190306,2365.298,2464.445,2352.497,2464.445,2654193500,30329147000.000
20190307,2452.909,2508.708,2415.851,2465.338,2463858700,29838499000.000
20190308,2355.914,2394.703,2268.557,2268.925,2393646200,29199923000.000
