date,open,high,low,close,vol,tradeAmount
20190102,1909.523,1911.318,1893.986,1903.192,691242350,4376745000.000
20190103,1900.632,1914.581,1882.544,1884.117,695126180,4391324400.000
20190104,1859.407,1931.334,1852.657,1931.334,1028168830,5549262000.000
20190107,1941.012,1970.634,1934.461,1966.231,1010651810,5477419200.000
20190108,1961.789,1984.560,1957.164,1978.442,1446902500,6891603100.000
20190109,1983.351,2010.537,1978.793,1980.746,1370391900,7155720500.000
20190110,1982.285,2001.416,1980.508,1986.590,1081045260,5985603500.000
20190111,1986.410,2011.886,1986.209,2011.886,1165838800,6387129900.000
20190114,2012.936,2017.532,1987.332,1992.692,1257273670,6596420000.000
20190115,1985.642,2022.001,1980.287,2022.001,1032391430,5763755700.000
20190116,2023.202,2028.205,2000.705,2002.731,1137088570,7028244800.000
20190117,1996.658,1997.160,1969.746,1971.496,1280456000,7233520300.000
20190118,1969.753,1980.824,1953.872,1976.270,1309124080,7433824200.000
20190121,1981.400,1996.833,1976.288,1994.364,1231669130,7445799400.000
20190122,1997.539,2002.387,1972.589,1982.081,1151432250,7458093200.000
20190123,1973.677,1980.516,1962.359,1980.063,863011290,5363966700.000
20190124,1977.258,2008.979,1971.193,1997.200,1094163700,6846976100.000
20190125,1993.304,2009.544,1983.718,1985.059,1191681150,7818025000.000
20190128,1995.867,2006.564,1970.841,1973.443,1083257280,6901173500.000
20190129,1962.096,1965.010,1898.506,1931.119,1085564240,6574691600.000
20190130,1917.081,1933.031,1894.408,1894.408,809774250,5290818800.000
20190131,1874.764,1898.335,1841.341,1852.585,1342742900,7353784700.000
20190201,1852.229,1910.743,1852.229,1909.533,1160744970,6750940600.000
20190211,1915.654,1984.193,1915.654,1983.552,1737204000,10012258200.000
20190212,1983.911,2054.166,1980.252,2053.899,3508334200,16838419000.000
20190213,2082.529,2155.578,2081.570,2152.364,3559115800,19666629000.000
20190214,2189.097,2193.313,2159.287,2180.503,6073640700,28336765000.000
20190215,2183.270,2225.474,2181.294,2208.370,4960844100,25935056000.000
20190218,2236.137,2309.333,2231.449,2309.333,5864428300,31582024000.000
20190219,2333.154,2349.175,2296.898,2344.390,5143867500,31556044000.000
20190220,2334.515,2350.293,2303.934,2337.216,5191845200,30336043000.000
20190221,2333.800,2397.773,2314.316,2329.811,4949134600,30951534000.000
20190222,2323.582,2394.221,2322.488,2394.221,4267035200,26280013000.000
20190225,2438.203,2531.039,2430.284,2524.783,5868598500,40240148000.000
20190226,2530.248,2548.964,2456.170,2477.493,7987966400,47353929000.000
20190227,2449.622,2486.822,2408.632,2438.456,5552253300,32960687000.000
20190228,2432.016,2470.700,2431.464,2450.369,3579329700,21334556000.000
20190301,2457.435,2475.464,2427.099,2475.464,3975728300,23697821000.000
20190304,2511.069,2567.595,2496.056,2532.775,5510463500,34769120000.000
20190305,2529.236,2652.802,2520.335,2652.651,5178091100,34884244000.000
20190306,2682.685,2707.709,2622.769,2705.644,6569781200,41137877000.000
20190307,2708.712,2798.209,2698.782,2764.074,5325197300,36201509000.000
20190308,2691.847,2806.616,2640.863,2667.990,6270191700,45438386000.000
20190311,2683.239,2774.055,2653.773,2774.055,4948489400,35222794000.000
20190312,2794.716,2840.397,2760.341,2813.202,4792094200,35962930000.000
20190313,2805.599,2808.226,2688.560,2712.347,4115968400,29187984000.000
20190314,2685.794,2707.819,2585.341,2620.014,3288264200,21185857000.000
20190315,2644.054,2669.265,2602.183,2640.475,2370764500,16211168000.000
20190318,2653.964,2685.395,2614.736,2685.395,2974568400,19631150000.000
20190319,2677.887,2726.626,2670.597,2698.222,2941942600,19009449000.000
20190320,2695.628,2696.077,2623.919,2678.253,2396556700,16626756000.000
20190321,2679.635,2730.261,2673.093,2716.255,2975401600,20576590000.000
20190322,2721.759,2744.483,2676.582,2742.397,3445556500,22501388000.000
20190325,2700.031,2762.230,2690.958,2720.156,3169564100,20938953000.000
20190326,2729.705,2744.924,2638.442,2645.207,3044506100,19689894000.000
20190327,2668.645,2676.388,2582.103,2642.781,2221350000,15517167000.000
20190328,2623.853,2680.143,2606.464,2606.464,2092953800,14711778000.000
20190329,2601.787,2672.470,2568.050,2672.470,2430660200,16697787000.000
20190401,2688.727,2770.866,2688.727,2768.737,3046520000,22146939000.000
20190402,2783.195,2806.311,2760.738,2770.497,2655257400,19364798000.000
20190403,2758.721,2802.104,2748.342,2802.104,2423664300,18231868000.000
20190404,2810.240,2817.604,2773.342,2790.035,2485499100,18421516000.000
20190408,2799.942,2808.248,2699.673,2730.771,2719125600,19637795000.000
20190409,2724.282,2763.976,2709.499,2760.421,1721957800,13498771000.000
20190410,2744.730,2756.683,2706.608,2739.184,2338385100,16455650000.000
20190411,2740.599,2743.905,2689.223,2689.469,2118378500,14921957000.000
20190412,2693.981,2710.587,2678.608,2705.595,1467157600,10813826600.000
20190415,2736.375,2753.527,2680.492,2680.492,1950919400,15013729000.000
20190416,2659.451,2735.082,2630.316,2735.082,2069886100,14682385000.000
20190417,2732.722,2800.413,2732.508,2777.456,3309116400,22164705000.000
20190418,2767.994,2775.892,2749.776,2753.899,2361535200,15787219000.000
20190419,2746.482,2779.128,2732.065,2779.128,2097338200,14628214000.000
20190422,2788.462,2796.311,2744.440,2752.569,2704252100,19159041000.000
20190423,2748.785,2748.785,2676.577,2681.704,2081191400,15003992000.000
20190424,2676.927,2746.470,2652.681,2746.448,3371853400,21273874000.000
20190425,2725.509,2737.806,2622.496,2622.496,3129381500,20547116000.000
20190426,2589.891,2617.574,2564.868,2566.344,1808847200,12615311400.000
20190429,2559.103,2564.448,2439.336,2445.331,2394721800,14260888000.000
20190430,2435.267,2491.125,2433.652,2484.636,1385635100,8917703100.000
20190506,2404.221,2407.057,2274.965,2288.912,2117410000,12146181100.000
20190507,2297.038,2327.646,2261.137,2304.143,1429807400,8463907000.000
20190508,2254.016,2335.291,2234.622,2295.021,1639958200,8576983900.000
20190509,2271.130,2307.138,2267.334,2275.660,1102485470,6312626000.000
20190510,2295.833,2348.170,2243.708,2347.075,1657661400,9831784600.000
20190513,2321.169,2339.652,2298.681,2311.072,1475222700,9696453100.000
20190514,2277.996,2317.090,2275.173,2290.906,1256592960,8358550300.000
20190515,2303.966,2329.758,2297.883,2327.645,1459586400,10130290800.000
20190516,2316.812,2322.529,2304.125,2318.656,1652123800,10295867700.000
20190517,2320.543,2329.998,2219.073,2228.161,1936750300,11857663600.000
20190520,2231.881,2238.581,2192.502,2235.979,1720942000,10546150600.000
20190521,2230.770,2285.312,2218.535,2279.590,1853241500,10931388500.000
20190522,2274.206,2291.872,2248.008,2265.931,1572154600,9799055500.000
20190523,2260.727,2261.021,2200.901,2206.542,1367984600,8434267000.000
20190524,2192.963,2214.637,2180.340,2188.268,948931330,5977842700.000
20190527,2188.710,2264.402,2178.618,2264.355,1629757500,9587553100.000
20190528,2269.892,2289.234,2256.143,2264.793,1534878000,9837085000.000
20190529,2261.991,2299.752,2259.652,2281.560,1393436100,9557270700.000
20190530,2277.379,2277.379,2231.826,2267.263,1512789700,9005444300.000
20190531,2269.234,2294.342,2261.102,2267.732,1166653590,7508210900.000
20190603,2269.930,2277.623,2212.847,2232.397,1146874470,7253402800.000
20190604,2234.497,2238.819,2196.086,2208.700,1230935620,7202854900.000
20190605,2230.696,2239.833,2210.406,2219.773,1044881460,6396602200.000
20190606,2220.350,2220.350,2149.690,2154.972,1125307410,6315786200.000
20190610,2160.359,2191.616,2150.010,2184.288,1178457670,6511848700.000
20190611,2198.667,2272.947,2186.877,2272.094,1990914900,11437942200.000
20190612,2270.368,2289.662,2258.486,2260.400,1465872800,8876703700.000
20190613,2259.175,2288.565,2253.179,2280.191,1212018170,7135836000.000
20190614,2283.621,2289.101,2210.047,2212.218,1274193980,7370031700.000
20190617,2212.594,2223.136,2202.725,2213.446,846539880,4989814900.000
20190618,2214.897,2221.913,2190.959,2204.395,726195540,4307127200.000
20190619,2261.341,2276.136,2251.181,2251.970,1402270000,8932870300.000
20190620,2251.512,2292.441,2237.766,2282.980,1486960600,9165786300.000
20190621,2322.506,2351.676,2321.333,2339.335,1945229200,11301549200.000
20190624,2342.343,2344.572,2316.580,2327.746,1288522360,7752984300.000
20190625,2325.939,2325.939,2274.384,2303.239,1135598090,6590433700.000
20190626,2290.296,2317.838,2280.603,2300.445,1136941550,6569389300.000
20190627,2303.086,2332.292,2303.086,2323.614,1347154400,8502419000.000
20190628,2319.682,2319.682,2269.294,2285.135,1201497190,7089457900.000
20190701,2343.602,2399.284,2336.398,2398.905,3654460000,20063566000.000
20190702,2410.998,2419.412,2381.967,2386.801,3827940500,21470502000.000
20190703,2375.029,2375.029,2342.988,2354.390,2282120400,12899119700.000
20190704,2349.531,2357.589,2317.037,2327.798,1676059200,9611166800.000
20190705,2326.323,2343.558,2324.377,2335.981,1129031400,7016517200.000
20190708,2328.730,2328.730,2245.069,2254.792,1709916200,9875154500.000
20190709,2252.431,2273.638,2240.700,2269.975,1129261780,6806296000.000
20190710,2275.727,2282.379,2260.662,2269.110,1762850200,10020339400.000
20190711,2270.017,2288.552,2242.154,2256.772,1441462800,8418999800.000
20190712,2258.481,2276.038,2244.345,2265.288,1847794500,9921989700.000
20190715,2248.948,2292.675,2221.637,2287.224,1931818800,11162968700.000
20190716,2278.213,2306.782,2274.043,2301.862,2844383200,14085983000.000
20190717,2295.163,2352.472,2289.964,2338.757,3986814800,20417310000.000
20190718,2323.309,2323.362,2283.976,2285.263,3160492400,15898416000.000
20190719,2284.287,2314.382,2284.287,2286.520,1943780400,10151657500.000
20190722,2290.923,2291.997,2216.562,2228.326,2106853400,13481374000.000
20190723,2220.589,2283.227,2220.360,2281.468,1571713300,10926313500.000
20190724,2292.906,2356.950,2292.906,2356.950,2167393400,15781296000.000
20190725,2358.623,2397.438,2357.421,2385.322,3308554600,22450652000.000
20190726,2377.391,2382.384,2354.610,2360.866,2388186700,16419393000.000
