date,open,high,low,close,vol,tradeAmount
20190102,885.867,894.095,883.548,892.107,30331592,511737200.000
20190103,891.076,894.243,880.404,881.405,28896018,487759460.000
20190104,871.435,902.174,867.910,901.259,34717424,390420510.000
20190107,903.246,915.280,902.422,913.552,39342022,417482970.000
20190108,912.838,923.386,907.312,917.226,43139692,468968590.000
20190109,917.618,931.124,917.445,920.209,48493430,531051860.000
20190110,916.049,923.158,910.699,912.241,30358860,343903920.000
20190111,910.820,917.186,910.319,915.895,26527388,290175570.000
20190114,919.184,921.556,909.956,913.797,27443843,256055140.000
20190115,912.310,922.699,910.567,922.678,28942656,261887600.000
20190116,923.510,935.341,920.327,933.976,46063328,805313110.000
20190117,928.581,929.198,913.495,913.708,39376710,596820120.000
20190118,912.475,918.294,906.355,913.727,24898129,349256300.000
20190121,916.178,924.758,916.178,920.321,23984527,287315610.000
20190122,920.653,920.903,901.733,903.685,25894254,244964520.000
20190123,900.917,906.608,899.045,904.153,19198980,194802720.000
20190124,905.618,907.931,899.539,905.711,22953649,250606440.000
20190125,904.177,907.496,894.127,894.708,22326902,228366220.000
20190128,900.942,904.979,888.627,889.810,22229433,204777820.000
20190129,887.551,890.141,850.796,867.237,29898780,248300270.000
20190130,868.493,868.493,852.626,854.229,27404855,241456950.000
20190131,855.657,864.205,833.782,839.390,30011150,290885170.000
20190201,839.745,852.245,835.957,851.840,27378524,222968630.000
20190211,855.262,873.301,855.262,872.726,32293941,274034270.000
20190212,871.675,885.282,870.691,881.494,30891103,286189100.000
20190213,882.439,899.966,880.319,895.097,45915099,405330790.000
20190214,895.837,904.695,892.163,900.157,37735048,330137300.000
20190215,898.303,905.065,895.629,898.293,34149178,370878420.000
20190218,900.073,923.570,900.073,923.570,54756451,483781090.000
20190219,927.152,935.766,919.211,927.116,57641502,594968480.000
20190220,924.240,929.646,913.283,925.225,40077676,415188780.000
20190221,927.643,935.713,916.446,917.631,56955755,527658060.000
20190222,916.690,939.412,915.671,939.369,66449052,604945290.000
20190225,952.881,985.412,950.065,983.763,124960157,1069798360.000
20190226,986.483,990.635,968.641,971.898,117846876,999177310.000
20190227,969.126,983.237,957.236,967.304,81103886,673726020.000
20190228,970.785,986.730,970.543,982.794,69401163,929272820.000
20190301,990.063,995.136,978.773,993.102,78750279,1176634050.000
20190304,1002.486,1026.022,1001.430,1018.367,118153871,1367439700.000
20190305,1017.939,1050.005,1007.939,1049.364,128811439,1647103800.000
20190306,1052.218,1074.978,1045.386,1074.978,129461692,1669298900.000
20190307,1086.426,1127.921,1079.647,1121.874,160742960,1785527600.000
20190308,1096.372,1101.246,1042.000,1042.000,148213180,1490875500.000
20190311,1034.039,1075.786,1034.039,1073.101,106583298,1306511290.000
20190312,1079.039,1099.267,1071.609,1083.946,115803864,1353655200.000
20190313,1085.362,1106.997,1063.568,1072.996,144290310,1533657500.000
20190314,1068.094,1076.208,1040.344,1051.507,107896721,1166781270.000
20190315,1062.354,1129.512,1062.163,1115.594,238068550,1967174800.000
20190318,1117.492,1121.415,1092.840,1119.381,251961370,2099363800.000
20190319,1111.059,1133.049,1105.051,1123.494,186047110,1632425500.000
20190320,1117.931,1131.160,1103.457,1130.300,145263590,1556792900.000
20190321,1134.202,1152.532,1126.248,1126.403,141515960,2106799900.000
20190322,1120.152,1143.403,1118.666,1139.455,153229980,1685803500.000
20190325,1111.462,1132.086,1109.359,1114.725,118774410,1152043760.000
20190326,1117.925,1122.678,1071.047,1074.112,102026071,947555950.000
20190327,1079.299,1084.685,1064.261,1080.703,64311270,668131680.000
20190328,1074.963,1085.394,1057.657,1058.668,57942937,636249730.000
20190329,1059.627,1084.924,1048.030,1084.258,71119270,685314790.000
20190401,1091.823,1119.569,1091.823,1116.962,96840840,942619970.000
20190402,1122.102,1129.847,1112.097,1115.678,92705203,1007597420.000
20190403,1112.762,1157.950,1107.902,1157.950,203373220,1660079500.000
20190404,1167.617,1185.801,1164.406,1177.954,200373130,1847209900.000
20190408,1173.190,1177.086,1137.976,1154.041,173681070,1484494600.000
20190409,1146.345,1164.741,1141.761,1164.498,104829800,1229377990.000
20190410,1163.794,1180.937,1156.214,1162.011,105558152,1613171400.000
20190411,1155.529,1175.438,1155.529,1156.743,97064548,1124290750.000
20190412,1155.600,1178.873,1153.722,1177.291,103727076,959849170.000
20190415,1194.067,1195.774,1153.767,1154.551,126594388,1146778650.000
20190416,1141.771,1156.116,1118.427,1156.116,93778177,834284000.000
20190417,1153.233,1171.092,1148.459,1164.159,87726444,916337600.000
20190418,1161.795,1162.006,1147.726,1148.766,72643057,841209300.000
20190419,1148.443,1158.433,1141.975,1157.879,59321636,907626820.000
20190422,1158.234,1162.971,1143.916,1149.618,80549527,1002708540.000
20190423,1146.998,1153.722,1132.399,1134.797,75125683,841670650.000
20190424,1135.007,1142.126,1119.680,1138.481,59650138,667206430.000
20190425,1138.752,1139.560,1079.814,1081.000,71385735,744542510.000
20190426,1083.041,1089.789,1070.277,1072.057,52216197,522001390.000
20190429,1071.614,1079.519,1048.676,1051.379,63024766,676943400.000
20190430,1048.102,1090.962,1048.102,1081.856,74940830,645647590.000
20190506,1047.840,1050.132,999.596,1008.423,106923676,750529330.000
20190507,1006.542,1023.476,999.574,1022.640,80391458,659472780.000
20190508,1003.240,1033.116,995.216,1017.513,84393260,619451480.000
20190509,1012.918,1030.269,1011.675,1021.182,71483727,520850110.000
20190510,1026.726,1057.351,1011.368,1056.891,113396159,872590950.000
20190513,1045.809,1063.009,1039.000,1056.846,88385212,677877730.000
20190514,1042.378,1053.694,1037.080,1046.854,64646052,509149320.000
20190515,1053.393,1119.135,1053.393,1112.553,119956289,910821100.000
20190516,1123.455,1135.539,1115.717,1122.442,193931990,1637086500.000
20190517,1113.415,1114.967,1064.823,1070.571,142452780,1120511340.000
20190520,1069.350,1073.076,1024.617,1043.868,107264342,781318720.000
20190521,1038.982,1062.640,1036.089,1058.581,76167893,597130680.000
20190522,1058.507,1065.030,1038.885,1046.945,66621846,564181600.000
20190523,1034.743,1048.965,1026.466,1030.155,53210126,449262320.000
20190524,1027.778,1038.117,1017.675,1020.347,50068986,433557690.000
20190527,1026.361,1049.616,1022.569,1046.903,52327777,472105700.000
20190528,1046.789,1059.405,1040.272,1044.046,58384159,527054420.000
