date,open,high,low,close,vol,tradeAmount
20190102,709.061,709.155,704.356,707.989,152817210,787677970.000
20190103,707.260,712.912,703.271,703.426,174563250,863181130.000
20190104,698.823,719.755,698.422,719.702,226659350,1100895910.000
20190107,722.143,729.609,720.649,728.753,240164740,1206368980.000
20190108,728.694,739.595,725.608,733.966,227368850,1062152650.000
20190109,732.057,740.697,732.057,736.735,274732220,1273503470.000
20190110,737.818,739.753,733.009,733.855,258273800,1256025970.000
20190111,731.973,735.041,730.490,734.799,189567720,916873070.000
20190114,734.964,737.571,730.531,731.261,152214270,741056980.000
20190115,731.201,738.127,730.535,737.977,162149700,803929300.000
20190116,737.830,741.202,737.353,738.172,174334080,902234920.000
20190117,738.848,741.175,735.367,736.056,220142750,1116890720.000
20190118,736.270,739.510,734.469,738.982,192100490,977901300.000
20190121,739.130,741.445,737.938,740.205,162668390,864122830.000
20190122,739.452,739.452,732.011,733.296,182336740,901722390.000
20190123,732.764,736.710,732.417,736.110,187067650,950102890.000
20190124,738.356,744.346,737.222,741.789,232850270,1205508770.000
20190125,742.327,743.568,738.755,739.170,188183800,990054060.000
20190128,741.861,743.324,732.405,732.771,178177250,954623310.000
20190129,731.226,731.874,718.007,727.053,193409930,1013286700.000
20190130,725.138,727.194,719.456,719.870,128407709,702905250.000
20190131,721.599,726.212,715.110,716.394,158398830,782283990.000
20190201,719.239,730.115,719.239,730.115,145097970,794037780.000
20190211,730.177,742.457,730.022,742.101,191101280,1087298750.000
20190212,740.981,749.498,740.747,747.621,214156470,1162091560.000
20190213,747.417,755.306,745.971,755.119,249183340,1334501460.000
20190214,755.146,757.205,752.520,754.613,209850440,1135898890.000
20190215,753.946,755.297,747.020,747.824,237411340,1309250810.000
20190218,750.771,763.490,750.771,763.490,306561620,1659009800.000
20190219,767.686,773.696,760.049,767.265,446057000,2480040800.000
20190220,766.386,768.413,761.118,768.413,275321710,1426892600.000
20190221,766.814,773.555,760.586,762.887,318406720,1677137500.000
20190222,761.678,773.228,759.522,773.228,332506420,1743781600.000
20190225,780.295,809.150,777.832,808.958,715782320,3780123200.000
20190226,807.944,827.190,801.725,810.775,752439310,4023110800.000
20190227,813.067,828.842,807.900,817.724,643803850,3366283600.000
20190228,815.980,819.525,809.218,811.627,457343130,2397001500.000
20190301,813.195,815.664,806.326,814.993,393840560,2071274300.000
20190304,818.904,832.573,816.473,821.359,658306340,3707159900.000
20190305,819.706,830.003,816.737,830.003,519847060,2867054900.000
20190306,830.766,841.882,825.692,841.707,662168960,3619437200.000
20190307,841.346,864.700,838.031,860.166,815913920,4577943000.000
20190308,848.760,851.777,812.934,812.934,786026750,4478968200.000
20190311,815.226,837.709,815.226,837.709,554420000,3214133200.000
20190312,841.208,859.908,840.513,853.077,721526920,4000271000.000
20190313,856.008,870.948,846.770,850.025,756588380,4286526500.000
20190314,847.787,849.942,818.635,826.743,594226680,3173921200.000
20190315,828.345,847.383,828.345,847.383,578081400,3252403500.000
20190318,848.673,865.540,842.134,865.252,667556620,3902217100.000
20190319,864.547,867.808,857.130,865.331,565235520,3195453700.000
20190320,862.742,873.543,857.593,872.981,622548320,3488806800.000
20190321,871.092,882.002,871.092,877.228,682504510,3936957700.000
20190322,875.603,884.248,867.106,883.759,612684970,3702002900.000
20190325,873.093,892.574,869.596,880.226,721425160,4523759900.000
20190326,882.831,887.402,853.579,857.019,650586110,3771156300.000
20190327,861.013,864.422,848.824,861.745,459472080,2755883300.000
20190328,858.653,869.654,854.269,855.543,595316710,3474449200.000
20190329,853.180,869.784,845.169,869.121,633988360,3632038400.000
20190401,870.043,887.553,870.043,887.553,739099240,4377700800.000
20190402,891.516,892.113,882.627,886.498,634834420,3828331200.000
20190403,880.403,895.558,878.429,895.029,636759150,3812342500.000
20190404,895.175,909.394,895.175,905.119,780240530,4546873900.000
20190408,904.916,908.677,891.384,903.329,744529570,4335382800.000
20190409,900.064,910.042,894.770,905.601,529663380,3086019700.000
20190410,900.887,911.853,892.359,905.051,568189700,3240359000.000
20190411,903.746,909.513,895.461,895.593,599834970,3423346200.000
20190412,894.591,896.354,885.995,893.000,419112180,2441510400.000
20190415,901.066,906.637,890.141,890.141,469233130,2814632600.000
20190416,886.235,899.975,874.411,899.975,469715980,2756156400.000
20190417,898.859,906.660,896.343,902.972,468030110,2684514300.000
20190418,901.901,903.366,895.557,898.514,399831630,2210729300.000
20190419,897.618,904.889,891.191,904.889,406284630,2326291000.000
20190422,909.003,912.125,901.317,903.685,594020520,3518727700.000
20190423,899.367,900.934,884.573,885.991,501042840,2952841100.000
20190424,887.458,888.669,874.662,888.669,379507260,2215393000.000
20190425,885.109,889.080,857.875,857.875,478360060,2844627300.000
20190426,857.633,859.298,847.589,848.150,414688000,2344532400.000
20190429,856.543,858.639,834.463,842.012,577542800,3082312200.000
20190430,838.053,858.685,838.053,857.279,432868430,2371357100.000
20190506,842.947,842.947,805.238,814.978,789699210,4343384300.000
20190507,814.372,829.220,814.070,827.838,579390130,3179547700.000
20190508,812.569,830.715,807.969,819.238,483663090,2703055800.000
20190509,811.343,816.931,803.924,805.207,389188970,2077831400.000
20190510,810.223,827.931,800.977,827.731,504981110,2712607100.000
20190513,820.268,828.667,818.618,826.813,405929370,2218579700.000
20190514,816.316,825.385,814.151,816.493,364185200,2039147100.000
20190515,821.197,834.739,821.197,833.028,420030650,2342399600.000
20190516,831.666,845.251,830.991,844.036,432890630,2408128700.000
20190517,845.019,845.019,816.581,819.740,538085380,3074419100.000
20190520,818.259,818.699,801.023,816.045,379179410,2152786200.000
20190521,815.499,831.135,814.670,830.154,366766460,2143469800.000
20190522,829.365,833.791,821.709,825.473,366847820,2047644900.000
20190523,827.953,833.027,819.646,822.710,430514660,2289740700.000
20190524,816.324,825.730,815.718,819.863,378871890,1940142500.000
20190527,818.239,834.806,815.297,833.949,436666720,2282752400.000
20190528,833.443,839.158,827.842,830.457,451719970,2600389500.000
20190529,827.286,836.881,826.547,831.438,294566980,1628471000.000
20190530,830.321,831.718,824.084,831.297,353470030,1988420300.000
20190531,832.584,837.537,829.640,830.695,289990360,1674824400.000
20190603,830.531,835.327,823.761,826.304,303298110,1778608600.000
20190604,829.338,829.348,817.809,820.661,328845470,1789491600.000
20190605,826.096,827.426,817.935,819.981,322677250,1708398700.000
20190606,817.692,817.692,799.841,802.378,306148420,1648744900.000
20190610,803.752,810.476,801.542,807.098,234374400,1275298620.000
20190611,808.531,829.156,808.531,829.155,363848750,1938254600.000
20190612,827.221,829.710,821.415,823.351,274710450,1487973500.000
20190613,822.635,831.243,819.107,828.699,267412840,1420702900.000
20190614,828.632,829.135,811.691,813.074,296595000,1638913100.000
20190617,813.287,816.425,809.621,816.381,181780450,1038781130.000
20190618,822.246,823.755,816.762,822.406,226935620,1143747690.000
20190619,832.102,835.669,828.653,828.787,371629290,2006755000.000
20190620,828.099,843.157,826.061,840.300,366815110,2025796600.000
20190621,843.447,848.017,841.953,847.018,368538580,2018135100.000
20190624,845.256,849.082,841.671,848.584,290464990,1632076900.000
20190625,848.416,848.416,833.996,842.015,276401060,1600362700.000
20190626,839.580,842.539,836.498,837.084,204929570,1318219800.000
20190627,838.226,843.764,837.463,839.399,253573820,1587101000.000
20190628,840.585,840.768,825.414,830.334,254019940,1521640900.000
