date,open,high,low,close,vol,tradeAmount
20190102,2959.176,2965.035,2936.664,2946.802,209575000,2658840000.000
20190103,2944.067,2962.330,2902.866,2903.897,236153190,2769018300.000
20190104,2867.051,2994.114,2857.792,2991.856,310190120,3272853200.000
20190107,3016.860,3064.708,3008.578,3061.305,327398550,3476816500.000
20190108,3062.373,3080.609,3051.237,3071.453,343001720,3551850600.000
20190109,3071.962,3109.687,3043.605,3070.253,386660000,4088362000.000
20190110,3066.573,3095.038,3046.476,3054.821,304611180,2861319500.000
20190111,3057.902,3087.405,3044.488,3086.120,299072350,2994837500.000
20190114,3077.161,3081.845,3030.142,3042.189,247507680,2719066500.000
20190115,3039.664,3099.016,3036.543,3098.957,296290200,3285020800.000
20190116,3095.664,3100.218,3069.309,3072.135,279003890,2899565600.000
20190117,3073.615,3073.615,3036.087,3041.264,267037160,2646890100.000
20190118,3042.408,3059.777,3011.046,3044.674,238643170,2761143800.000
20190121,3049.290,3082.843,3045.476,3072.702,212143470,2583450300.000
20190122,3064.327,3071.493,3038.836,3052.414,282300230,2981183800.000
20190123,3043.890,3074.586,3036.920,3074.386,298329320,2768555200.000
20190124,3073.743,3100.449,3055.762,3085.953,317233880,3133923600.000
20190125,3074.887,3105.408,3060.849,3061.065,293974050,3517786000.000
20190128,3067.579,3079.426,3004.145,3004.228,279340870,3148469600.000
20190129,3001.113,3001.113,2869.018,2911.991,291044520,2755153000.000
20190130,2895.504,2935.938,2889.100,2889.504,179773470,2049572300.000
20190131,2868.835,2903.677,2800.189,2819.067,241734620,2426113300.000
20190201,2825.893,2907.920,2825.893,2905.731,234823950,2983358700.000
20190211,2919.406,2997.512,2919.406,2997.512,258610110,3461924300.000
20190212,2995.537,3048.199,2992.052,3038.475,258033770,3168757100.000
20190213,3056.404,3142.717,3048.814,3135.604,413425120,5518574300.000
20190214,3133.731,3176.283,3117.915,3154.859,439138510,4903930700.000
20190215,3153.320,3168.047,3135.417,3141.574,350104230,4111053000.000
20190218,3159.791,3257.895,3159.791,3257.695,441481790,5159443900.000
20190219,3280.704,3294.142,3226.688,3264.870,578489950,5668785500.000
20190220,3252.285,3273.723,3221.859,3264.837,422594890,4269749000.000
20190221,3259.922,3324.030,3232.320,3244.920,519822920,5497715400.000
20190222,3238.952,3334.764,3238.952,3334.764,513141870,5393102200.000
20190225,3387.083,3513.408,3373.497,3505.983,768032350,9057151700.000
20190226,3522.382,3579.543,3463.486,3505.715,807837030,9125736200.000
20190227,3498.353,3542.037,3435.824,3472.333,643707660,6689990400.000
20190228,3466.948,3513.919,3456.158,3484.249,432171790,4974026900.000
20190301,3501.933,3515.005,3451.299,3507.735,401799610,4982171400.000
20190304,3556.914,3627.874,3542.793,3566.272,691920680,8453857600.000
20190305,3559.865,3706.936,3551.172,3706.936,710860960,7752804700.000
20190306,3759.664,3799.272,3705.040,3797.083,924812040,11061645400.000
20190307,3794.246,3920.361,3775.654,3893.250,931852510,11875769800.000
20190308,3805.732,3987.933,3739.242,3790.794,1039446280,13343344500.000
20190311,3828.274,4007.470,3821.250,4007.470,875474820,11466168400.000
20190312,4050.217,4084.743,3973.418,4066.171,988184450,13093232000.000
20190313,4055.008,4113.738,3944.467,3976.354,819956320,10614734500.000
20190314,3941.396,3984.309,3804.771,3862.974,681204650,8137428400.000
20190315,3883.372,3930.826,3848.363,3885.685,555377340,6882084100.000
20190318,3916.313,3963.156,3879.294,3963.156,534096310,6668856500.000
20190319,3960.078,3986.556,3929.625,3976.911,519516740,6181755600.000
20190320,3974.184,3984.202,3873.792,3937.533,546640610,6712215500.000
20190321,3944.757,4016.916,3936.012,3984.280,590850530,7071088400.000
20190322,3984.039,4003.286,3905.718,3993.042,467395930,5669694300.000
20190325,3926.408,4053.981,3914.508,4005.398,571032270,7065079400.000
20190326,4015.292,4022.689,3870.545,3876.705,601627480,6936882400.000
20190327,3907.032,3919.736,3800.155,3866.871,430925660,5076383000.000
20190328,3866.924,3924.633,3834.986,3839.112,420824140,5125612000.000
20190329,3852.884,3940.274,3799.928,3938.975,447869740,6274760900.000
20190401,3958.954,4081.229,3958.805,4081.229,606001130,8904707500.000
20190402,4106.783,4150.683,4088.621,4116.328,623955530,9429001200.000
20190403,4095.266,4141.240,4074.405,4141.240,484385220,6454246000.000
20190404,4160.398,4167.129,4100.413,4129.931,520611290,6636206900.000
20190408,4141.239,4156.606,3994.302,4030.170,553900480,7485554200.000
20190409,4014.114,4075.744,3993.472,4054.415,384374860,5201176300.000
20190410,4040.068,4062.111,3996.689,4032.409,448732300,6345766000.000
20190411,4037.353,4054.351,3972.909,3972.909,407089210,5127599800.000
20190412,3970.288,3996.260,3950.832,3987.701,338653790,4203710300.000
20190415,4027.216,4057.494,3964.989,3969.332,403233950,5516937400.000
20190416,3953.810,4062.307,3910.943,4062.307,463337260,5710765700.000
20190417,4064.149,4129.050,4051.392,4106.755,524111710,6773086800.000
20190418,4107.633,4120.413,4081.412,4088.075,536955440,5735841700.000
20190419,4070.000,4115.017,4028.137,4114.326,556715300,5723714400.000
20190422,4115.396,4123.574,4050.868,4063.801,569707890,6044854000.000
20190423,4045.771,4051.576,3973.207,3983.744,526632390,5605765300.000
20190424,3987.445,4037.075,3935.665,4037.075,448027060,4660097000.000
20190425,4020.416,4028.000,3855.348,3856.650,565948570,5354147500.000
20190426,3872.413,3917.386,3857.318,3864.500,449963800,4656367700.000
20190429,3872.818,3885.030,3664.873,3668.963,684788590,6155034200.000
20190430,3652.628,3726.804,3647.379,3687.634,372232300,3639884600.000
20190506,3558.303,3565.890,3367.274,3398.677,448698430,4830189100.000
20190507,3413.024,3476.875,3380.838,3443.084,344688220,3615021000.000
