date,open,high,low,close,vol,tradeAmount
20190102,1909.446,1927.686,1905.544,1913.720,281300720,2595524700.000
20190103,1919.142,1933.505,1906.009,1907.599,280143750,2758876000.000
20190104,1893.345,1967.158,1889.418,1966.720,386362050,3893903200.000
20190107,1976.860,2017.875,1975.907,2017.489,420810530,4556200700.000
20190108,2018.898,2026.415,2005.685,2016.299,302715700,3156382000.000
20190109,2014.295,2038.670,2006.516,2007.806,330236360,3409539800.000
20190110,2010.640,2011.727,1990.141,1994.753,256687170,2593500200.000
20190111,1999.196,2038.681,1996.725,2037.207,394534640,2759668200.000
20190114,2038.179,2073.900,2038.179,2045.885,478448420,3447156700.000
20190115,2041.759,2049.526,2019.027,2047.228,417094950,3427567000.000
20190116,2046.065,2068.765,2041.126,2043.324,327572370,2476531600.000
20190117,2044.165,2049.666,2026.129,2028.312,321405190,2204631100.000
20190118,2028.877,2058.210,2025.089,2058.210,314316220,2884804400.000
20190121,2059.777,2065.295,2052.015,2058.964,348678400,3573075300.000
20190122,2058.670,2074.573,2050.042,2063.491,337201440,3454305800.000
20190123,2062.730,2107.812,2060.252,2107.620,348140460,3181135600.000
20190124,2102.304,2171.843,2098.487,2139.290,425032330,3987799100.000
20190125,2131.003,2136.977,2095.281,2097.076,308605250,2882812800.000
20190128,2102.364,2110.695,2078.676,2086.156,364578410,3697881300.000
20190129,2076.199,2082.289,2015.397,2058.458,349682850,3463355700.000
20190130,2051.242,2057.705,2022.140,2022.140,264923280,2864148600.000
20190131,1993.383,2041.496,1982.126,1992.785,346367700,3143710600.000
20190201,1997.132,2033.617,1996.578,2030.857,249624040,2448300100.000
20190211,2039.717,2142.426,2039.717,2140.798,363360150,4337867100.000
20190212,2157.025,2180.555,2150.218,2170.501,440897810,3869876100.000
20190213,2168.484,2191.662,2154.028,2187.402,393024270,3638606800.000
20190214,2182.705,2230.373,2172.035,2219.073,454679340,3682942400.000
20190215,2212.635,2357.713,2202.964,2322.167,805687190,6849116800.000
20190218,2341.192,2424.938,2339.469,2424.938,823252910,6897182500.000
20190219,2440.724,2467.817,2404.179,2433.051,830501100,7115027700.000
20190220,2493.861,2557.303,2476.127,2515.888,845028750,7655137900.000
20190221,2519.094,2615.928,2480.812,2549.574,1033809850,9829052600.000
20190222,2531.041,2601.924,2511.282,2583.186,967843490,8230212000.000
20190225,2564.338,2658.559,2537.393,2647.768,1099191750,10736526800.000
20190226,2638.341,2808.384,2626.831,2775.853,1208530180,13486833000.000
20190227,2773.507,2774.371,2663.588,2685.651,1150703100,11965174600.000
20190228,2672.372,2722.591,2651.712,2678.243,763337200,8573693500.000
20190301,2699.612,2753.962,2684.638,2741.535,682250500,8633863100.000
20190304,2792.838,2880.732,2792.838,2861.067,957924420,12314063300.000
20190305,2854.096,2954.598,2837.844,2931.993,903189370,12519164000.000
20190306,2891.372,2976.822,2873.720,2976.822,935141040,11176667900.000
20190307,2975.295,3069.720,2965.619,3045.542,1057932560,11469445900.000
20190308,2968.220,3117.492,2935.190,3018.156,1197666520,13465758000.000
20190311,3093.012,3167.521,3015.410,3165.661,959523970,12447899800.000
20190312,3153.880,3404.849,3153.599,3392.409,1393927000,16493361000.000
20190313,3450.591,3495.435,3208.932,3245.168,1427585300,18728936000.000
20190314,3169.177,3170.295,2998.863,3041.884,974074070,13146000500.000
20190315,3080.105,3120.373,3040.264,3076.382,682783840,10000925600.000
20190318,3118.664,3119.026,3002.379,3112.925,732214450,11836180300.000
20190319,3088.464,3135.171,3060.054,3135.171,858290420,10303255600.000
20190320,3113.270,3115.735,3027.402,3102.755,938593560,12083373600.000
20190321,3086.626,3151.587,3062.101,3124.724,738103170,9846217600.000
20190322,3113.033,3113.033,3006.013,3063.810,623411570,9115130200.000
20190325,2989.739,3064.024,2981.199,3030.895,506537720,6414822000.000
20190326,3056.112,3096.916,3007.457,3016.552,614445430,8008566500.000
20190327,3020.081,3021.181,2892.404,2917.184,659631460,9573489600.000
20190328,2895.617,2932.536,2877.876,2880.806,513136190,7740562400.000
20190329,2881.943,2991.148,2881.943,2989.696,598018630,8830075400.000
20190401,3010.018,3127.752,3010.018,3126.544,655335530,9476859300.000
20190402,3158.611,3162.650,3092.871,3111.350,672544910,10158400300.000
20190403,3090.721,3143.911,3080.209,3143.911,528553080,7357169200.000
20190404,3147.150,3182.507,3117.826,3173.197,616130510,9144162600.000
20190408,3197.611,3236.395,3168.838,3203.522,966918130,11582779900.000
20190409,3182.050,3193.917,3145.321,3175.740,841594090,9007337100.000
20190410,3148.770,3181.315,3121.280,3154.945,582648540,7714173400.000
20190411,3149.059,3238.384,3132.888,3174.647,706361150,9314485800.000
20190412,3168.482,3334.276,3158.761,3310.316,1057188230,12262151000.000
20190415,3334.940,3363.337,3217.879,3221.401,914297040,12544090200.000
20190416,3180.661,3243.555,3115.531,3243.555,681089440,9911116500.000
20190417,3226.535,3348.664,3215.794,3311.946,792830370,11295858900.000
20190418,3302.043,3369.550,3272.934,3280.263,714610650,8694474500.000
20190419,3253.355,3294.322,3227.953,3258.778,579717750,6217966700.000
20190422,3255.615,3324.034,3255.615,3299.227,750651040,9692036800.000
20190423,3298.727,3417.740,3241.323,3361.740,1135587070,13379128700.000
20190424,3355.436,3405.521,3284.810,3381.371,1142625120,13263349700.000
20190425,3349.009,3534.908,3335.400,3358.426,964918800,17348444000.000
20190426,3274.520,3277.870,3136.898,3137.230,719796980,11653050200.000
20190429,3112.449,3112.449,2958.756,2965.492,538895520,8654132600.000
20190430,2928.318,3063.822,2925.174,3047.008,463318580,8536346300.000
20190506,2944.968,3034.523,2844.344,2890.078,713476630,9932787600.000
20190507,2896.880,2941.967,2826.159,2892.437,684042180,9113291600.000
20190508,2795.025,2831.448,2753.761,2767.670,727039090,9040727100.000
20190509,2720.413,2813.786,2719.823,2782.549,558663720,7250804600.000
20190510,2794.704,2875.043,2748.228,2859.837,610630850,8380028200.000
20190513,2826.712,2847.954,2793.507,2804.716,432312100,5311259900.000
20190514,2764.471,2833.781,2756.774,2776.067,406532530,5784385500.000
20190515,2795.274,2839.314,2780.393,2831.784,386866200,5473610200.000
20190516,2834.111,2892.235,2832.256,2882.907,706066240,6494291700.000
20190517,2900.531,2960.923,2833.455,2848.618,940782830,9428953900.000
20190520,2821.538,2827.080,2667.505,2722.776,526999530,6845029200.000
20190521,2717.143,2828.697,2717.143,2820.240,615567740,6796558200.000
20190522,2808.976,2830.916,2786.402,2826.287,510334150,6200365900.000
