date,open,high,low,close,vol,tradeAmount
20190102,5572.739,5576.458,5489.194,5501.831,27227043,319750210.000
20190103,5501.113,5524.809,5382.137,5393.138,29156574,313839210.000
20190104,5331.691,5514.262,5331.691,5501.166,26053676,268959120.000
20190107,5546.640,5620.440,5514.106,5610.216,41398106,436523060.000
20190108,5590.915,5652.117,5577.550,5638.092,32191650,328471700.000
20190109,5695.312,5786.582,5683.876,5712.712,31830138,315031780.000
20190110,5772.046,5772.046,5684.155,5686.856,36045706,419743380.000
20190111,5682.225,5744.165,5681.257,5726.510,25089447,265246770.000
20190114,5714.208,5764.789,5689.044,5710.363,26995343,303774550.000
20190115,5705.418,5716.733,5647.599,5716.733,32179976,387066430.000
20190116,5731.176,5733.237,5692.386,5705.591,30338688,307770740.000
20190117,5724.571,5724.571,5608.930,5621.353,27389507,273770980.000
20190118,5627.991,5655.571,5573.129,5640.637,29200472,331824780.000
20190121,5678.668,5750.202,5651.048,5731.838,42496257,385998800.000
20190122,5736.551,5738.098,5669.107,5689.455,41853992,318816140.000
20190123,5655.959,5696.493,5650.674,5687.689,27645346,247989060.000
20190124,5692.357,5699.499,5647.534,5670.573,32495676,347473040.000
20190125,5693.477,5693.599,5630.154,5633.184,36123671,344812260.000
20190128,5726.805,5726.805,5633.946,5642.585,35612633,395608940.000
20190129,5619.009,5624.372,5469.488,5490.093,53471657,479247360.000
20190130,5486.454,5533.526,5460.453,5461.481,28348418,251880560.000
20190131,5471.731,5495.267,5380.435,5404.853,25627440,254025880.000
20190201,5434.613,5563.952,5428.921,5550.356,26261461,278996590.000
20190211,5541.816,5711.652,5538.834,5700.731,47245990,578980250.000
20190212,5700.641,5903.418,5693.961,5896.677,63577562,637236060.000
20190213,5897.616,5939.579,5829.712,5936.476,63776310,617317480.000
20190214,5944.290,5973.855,5916.202,5943.683,53682104,457074340.000
20190215,5930.861,6040.116,5922.098,5973.535,52127733,500162810.000
20190218,5988.962,6219.572,5988.962,6214.400,75588402,778250870.000
20190219,6207.604,6241.268,6104.227,6166.571,53962378,540728830.000
20190220,6225.882,6246.347,6098.814,6161.300,65833693,667620270.000
20190221,6155.027,6211.892,6072.931,6098.493,77665149,862589640.000
20190222,6091.608,6176.691,6077.507,6174.000,57904809,688104730.000
20190225,6204.576,6427.981,6193.302,6413.541,92701422,1027645460.000
20190226,6419.789,6538.971,6354.408,6462.457,96045129,1180812810.000
20190227,6502.179,6502.179,6331.037,6381.325,103597705,1276992120.000
20190228,6363.362,6532.493,6357.308,6532.493,86840975,1067586190.000
20190301,6550.510,6572.451,6446.717,6570.016,74547574,927538820.000
20190304,6606.151,6868.080,6578.513,6868.080,130994387,1620500100.000
20190305,6848.143,7042.323,6807.045,6986.348,107379236,1396814700.000
20190306,6972.206,7086.866,6903.244,7083.579,101590836,1259023700.000
20190307,7114.715,7195.168,7044.024,7136.971,130872902,1772735600.000
20190308,7052.506,7145.057,6901.183,6901.183,108108902,1397140000.000
20190311,6897.233,7213.663,6897.233,7213.663,103232799,1294237300.000
20190312,7259.080,7339.789,7165.180,7300.189,111163364,1448222300.000
20190313,7266.792,7304.660,7075.718,7095.362,78071604,1035083180.000
20190314,7059.387,7095.075,6824.777,6891.681,67200277,851976130.000
20190315,6915.252,7060.795,6915.252,6971.698,57382531,740199060.000
20190318,7019.011,7235.843,7019.011,7227.524,70957911,895111490.000
20190319,7233.900,7246.636,7169.673,7209.722,62644667,848514810.000
20190320,7212.239,7230.737,7068.822,7179.578,67357334,975602530.000
20190321,7180.343,7284.092,7176.597,7255.366,84420718,1210262600.000
20190322,7248.455,7338.579,7170.702,7338.378,77397211,1198605110.000
20190325,7363.104,7580.953,7296.217,7448.859,109796310,1785575200.000
20190326,7468.196,7533.422,7204.929,7230.575,95223372,1638735900.000
20190327,7252.431,7285.733,7132.555,7200.199,64316362,1069514130.000
20190328,7184.799,7218.772,7057.878,7068.672,58440903,960857580.000
20190329,7058.053,7246.331,7041.940,7246.331,71177285,1055744520.000
20190401,7294.715,7471.473,7282.168,7468.204,107157820,1606577300.000
20190402,7493.983,7559.188,7421.810,7519.046,88876705,1279723520.000
20190403,7518.566,7612.427,7469.021,7610.351,86779033,1193999830.000
20190404,7639.161,7641.383,7509.290,7545.982,88955955,1285254760.000
20190408,7584.204,7677.724,7542.071,7645.252,113482231,1722609500.000
20190409,7600.030,7632.095,7521.788,7576.528,67129708,1038631890.000
20190410,7539.873,7738.556,7529.642,7700.411,91167603,1246170950.000
20190411,7721.950,7786.918,7588.466,7627.361,91802046,1363684300.000
20190412,7625.173,7703.736,7570.095,7681.134,77218933,1099110500.000
20190415,7766.592,7805.941,7634.246,7635.494,89760277,1224149820.000
20190416,7591.973,7738.365,7493.129,7732.077,91367640,1260198830.000
20190417,7695.903,7930.220,7695.903,7928.712,76269814,1162371800.000
20190418,7899.763,7924.931,7829.152,7909.043,84014214,1246056870.000
20190419,7884.864,7928.715,7812.451,7862.924,71783637,1028881730.000
20190422,7897.562,7932.056,7857.328,7892.886,71367213,1018243480.000
20190423,7906.852,7988.490,7816.112,7887.522,90744197,1459774300.000
20190424,7916.244,8040.825,7847.441,8039.458,109936799,1480320700.000
20190425,8000.410,8219.515,7939.487,8058.455,151078220,1974989000.000
20190426,7970.455,8071.661,7771.474,7806.823,145281660,1793574200.000
20190429,7641.709,7698.387,7456.683,7526.822,132138315,1726566300.000
20190430,7456.760,7706.035,7456.760,7662.127,102368100,1355892900.000
20190506,7384.891,7444.477,7036.081,7100.742,112760510,1497893500.000
20190507,7145.480,7383.112,7119.320,7370.364,106164412,1537894200.000
20190508,7272.587,7755.408,7213.656,7638.211,127310754,1888770500.000
20190509,7558.290,7611.480,7448.596,7465.464,91330693,1345439500.000
20190510,7597.638,7626.077,7296.001,7572.854,106581395,1623179700.000
20190513,7537.122,7762.538,7488.242,7752.286,105033522,1863836000.000
20190514,7604.300,7685.586,7523.066,7549.408,79137291,1335068210.000
20190515,7551.725,7764.043,7475.668,7763.218,116228742,1989998900.000
20190516,7625.034,7731.445,7597.479,7659.044,89649765,1522177600.000
20190517,7597.940,7623.800,7207.892,7251.597,106088563,1388652400.000
20190520,7145.850,7153.355,6822.919,6888.144,69511792,809330880.000
20190521,6868.078,7058.572,6868.078,7033.213,115856683,1727048100.000
20190522,7046.066,7065.079,6883.769,6905.798,117070128,1660000700.000
20190523,6873.372,6873.372,6578.572,6602.845,95129038,1234521790.000
20190524,6562.027,7024.284,6536.934,6871.125,146335950,1789366100.000
20190527,6888.067,6991.776,6771.615,6956.659,117450524,1572995500.000
20190528,6905.845,7095.283,6880.617,6976.698,97348828,1335430630.000
20190529,6992.214,7074.098,6964.403,7022.451,72764847,1154699850.000
20190530,7054.288,7222.657,6978.591,7219.817,109776073,1362971700.000
20190531,7259.313,7319.969,7217.818,7271.909,104006743,1296350480.000
20190603,7390.179,7432.922,7079.406,7079.406,93240956,1619247900.000
20190604,7009.554,7026.669,6812.020,6835.501,96506385,1416444500.000
20190605,6868.155,7008.108,6840.248,6884.996,99324903,1474439900.000
20190606,6871.804,6884.068,6612.480,6665.604,86011425,1161026590.000
20190610,6690.760,6754.822,6630.741,6749.593,74826572,965426830.000
20190611,6746.965,6969.576,6720.562,6966.815,97151453,1290566170.000
20190612,6931.039,7060.357,6889.673,6895.000,87698638,1307252720.000
20190613,6897.348,6946.751,6825.416,6906.429,69756374,934404620.000
20190614,6931.019,6946.879,6754.184,6761.446,68767945,925746030.000
20190617,6775.181,6880.908,6775.181,6875.337,70786467,909233630.000
20190618,6879.721,6968.829,6860.819,6887.496,57569071,802168280.000
20190619,6991.638,7051.414,6954.869,7043.484,73417713,1079577150.000
20190620,6974.037,7039.480,6892.676,7039.480,98536569,1291651400.000
20190621,7033.250,7202.205,7032.459,7183.283,108331341,1368525100.000
20190624,7189.633,7189.633,7088.585,7170.026,89636574,1287281340.000
20190625,7149.706,7163.152,7022.260,7089.880,69863819,944206770.000
20190626,7061.275,7149.156,7019.348,7104.676,62664681,854471860.000
20190627,7108.786,7205.816,7094.625,7188.508,72081809,1015773980.000
20190628,7160.262,7160.262,7026.734,7061.726,64018963,882685890.000
20190701,7164.148,7223.463,7103.432,7207.622,75528988,959853830.000
20190702,7201.971,7372.564,7182.026,7351.747,105663700,1532090400.000
20190703,7359.653,7472.618,7345.646,7470.463,97037552,1406954900.000
20190704,7499.806,7522.578,7294.030,7312.855,76661277,1134350510.000
20190705,7362.599,7486.291,7305.780,7452.562,77981977,1242297860.000
20190708,7497.839,7499.310,7286.774,7305.542,100371897,1637275400.000
20190709,7269.185,7292.611,7167.972,7228.640,62604553,977625530.000
20190710,7232.583,7232.583,7082.932,7114.392,51978152,776723570.000
20190711,7138.591,7281.682,7127.122,7226.693,70917460,1043074610.000
20190712,7211.698,7249.471,7151.674,7204.813,60687271,888173960.000
20190715,7154.538,7154.538,6965.119,7127.818,65227855,867837540.000
20190716,7144.515,7167.805,7080.611,7163.499,60828492,766362300.000
20190717,7127.112,7182.919,7089.066,7102.741,61197167,803632080.000
20190718,7077.320,7079.016,6956.142,6961.011,56594065,686414110.000
20190719,6975.616,7080.188,6975.616,7011.016,52511982,625744010.000
20190722,7039.371,7040.787,6855.903,6871.461,55840327,716666310.000
20190723,6898.860,6948.852,6875.958,6939.613,50118229,634276040.000
20190724,6956.942,7019.435,6938.567,6969.793,58501621,670857580.000
20190725,6950.989,6984.844,6916.152,6935.703,49495430,553390930.000
20190726,6951.851,7027.377,6905.204,7019.879,47176300,630725860.000
20190729,7003.673,7070.053,6933.341,7068.798,50458242,710463350.000
20190730,7057.790,7114.840,7027.003,7074.820,51110339,704716930.000
20190731,7075.624,7126.612,7037.514,7086.419,61363399,812752010.000
20190801,7065.840,7361.332,7037.421,7361.332,109371695,1489174700.000
20190802,7292.084,7623.563,7212.527,7551.428,133643065,1934026700.000
20190805,7533.087,7533.087,7392.455,7394.837,124554672,1785268400.000
20190806,7197.116,7267.516,7041.507,7238.125,115516445,1559544300.000
20190807,7336.129,7379.399,7215.644,7219.010,89729450,1270827140.000
20190808,7221.062,7278.759,7200.331,7268.190,69639594,1055082050.000
20190809,7278.292,7356.906,7142.650,7153.386,72306804,1051590820.000
20190812,7145.538,7557.787,7145.538,7551.196,139854920,2104123400.000
20190813,7459.949,7540.147,7409.889,7464.408,113926434,1714234200.000
20190814,7529.857,7531.602,7332.108,7385.234,96471435,1407865500.000
20190815,7199.255,7398.467,7185.421,7384.451,77149028,1066904850.000
20190816,7395.112,7685.975,7357.725,7677.002,146457290,2140312300.000
20190819,7652.885,8063.179,7652.885,7946.121,210920170,3249252700.000
20190820,7912.486,7958.740,7847.881,7957.638,161694880,2104525800.000
20190821,7870.739,7870.739,7735.947,7816.105,112881803,1551393900.000
20190822,7875.614,8161.975,7875.614,8082.772,146554370,2238507500.000
20190823,8016.733,8038.321,7945.299,7977.182,125084481,1869992600.000
20190826,7763.435,7933.511,7763.435,7888.521,101560501,1455700900.000
20190827,7898.237,8035.129,7898.237,8009.561,108404571,1501498800.000
20190828,7974.105,8329.709,7916.868,8309.472,129756012,1941100900.000
20190829,8312.154,8312.154,8052.487,8072.620,112181356,1726244800.000
20190830,8126.837,8236.684,7879.036,7896.552,97360813,1446066200.000
20190902,7891.541,8075.240,7852.229,8039.363,87023935,1214946010.000
20190903,8040.721,8091.291,7970.631,8012.952,72805215,1068873240.000
20190904,8016.283,8171.841,7945.563,8158.485,94773401,1481561100.000
20190905,8193.755,8262.576,8119.706,8136.325,102413354,1494567700.000
20190906,8134.699,8541.157,8120.464,8504.815,183302200,2673115500.000
20190909,8517.417,8741.514,8516.794,8686.175,180909740,2429655500.000
20190910,8658.749,8977.366,8647.759,8866.017,189759000,2491521700.000
20190911,9180.632,9211.461,8650.031,8656.514,223223740,3539675300.000
20190912,8641.760,8662.087,8379.255,8500.487,150369940,2117289200.000
20190916,8465.490,8465.490,8347.639,8412.343,124682775,1672374800.000
20190917,8390.668,8397.026,8180.150,8233.588,127968469,1510975000.000
20190918,8242.306,8390.783,8178.404,8341.997,108011658,1429475100.000
20190919,8313.939,8461.471,8289.019,8434.128,104734910,1405978200.000
20190920,8417.586,8512.406,8338.744,8371.155,85869372,1152092470.000
20190923,8318.844,8318.844,8174.162,8242.075,88064142,1238674480.000
20190924,8233.871,8320.190,8171.524,8256.566,87516308,1215173690.000
20190925,8217.512,8217.512,8074.536,8074.536,78404399,1048360010.000
20190926,8098.664,8159.798,7779.374,7792.851,93688867,1290615400.000
20190927,7831.158,7903.132,7804.262,7834.929,57408612,830545340.000
20190930,7881.115,7952.285,7864.304,7870.077,69208791,960034590.000
20191008,7908.256,7989.180,7889.882,7925.946,70916084,943133180.000
20191009,7867.713,7943.612,7834.616,7943.612,47672084,629755190.000
20191010,7967.714,8083.231,7945.449,8083.074,75254003,1070809090.000
20191011,8061.599,8072.777,7998.285,8017.491,67703599,909144330.000
20191014,8070.858,8151.253,8037.461,8104.483,70565121,969109510.000
20191015,8141.326,8413.611,8123.120,8392.336,90357012,1351013700.000
