date,open,high,low,close,vol,tradeAmount
20190102,1945.868,1948.512,1929.740,1931.729,141033620,935616610.000
20190103,1935.733,1947.020,1920.315,1924.489,156719350,980483890.000
20190104,1907.076,1966.720,1900.560,1965.847,238271180,1458531200.000
20190107,1971.086,2004.663,1966.535,2003.360,275043540,1836758100.000
20190108,1996.676,2001.296,1989.786,1998.860,214731720,1397032200.000
20190109,2001.867,2026.571,1997.027,1999.382,249533840,1716206100.000
20190110,1996.379,2001.905,1989.028,1997.154,197094950,1378332900.000
20190111,1993.737,2010.012,1991.312,2010.012,189087110,1252363560.000
20190114,2015.529,2020.873,1995.899,1997.785,224767450,1560294500.000
20190115,1993.917,2008.978,1981.677,2008.978,192538180,1300870490.000
20190116,2008.868,2027.153,2008.599,2014.779,204863320,1345283900.000
20190117,2016.428,2019.370,1992.783,1996.709,190747070,1272000500.000
20190118,1993.873,2017.221,1993.249,2017.221,203349720,1399460200.000
20190121,2022.453,2047.380,2022.453,2046.421,256965840,1943694000.000
20190122,2037.155,2038.384,2019.270,2025.461,203207940,1523424700.000
20190123,2022.007,2043.765,2016.636,2042.284,223188660,1570174400.000
20190124,2042.521,2071.014,2037.007,2061.894,291822050,1881883600.000
20190125,2060.959,2064.743,2046.057,2047.253,221443670,1511896400.000
20190128,2052.769,2060.233,2029.599,2033.942,192347880,1413711700.000
20190129,2014.072,2016.753,1964.118,1990.746,228036900,1513115300.000
20190130,1968.972,1991.673,1961.504,1961.504,177397720,1210793940.000
20190131,1950.744,1963.354,1909.462,1918.933,201535210,1407813200.000
20190201,1918.390,1960.670,1918.390,1959.228,199865750,1430162400.000
20190211,1965.625,2035.240,1964.976,2035.037,320758640,2324910200.000
20190212,2044.352,2072.507,2040.405,2066.751,336560560,2274273500.000
20190213,2069.026,2086.991,2062.887,2086.410,356595270,2550774800.000
20190214,2084.368,2103.929,2076.920,2096.490,316876990,2274640200.000
20190215,2094.021,2158.200,2087.427,2142.744,540114430,3771674400.000
20190218,2152.717,2215.034,2152.717,2214.188,566686990,4474308200.000
20190219,2211.542,2227.961,2186.923,2212.932,486061710,3905907600.000
20190220,2238.151,2271.260,2206.511,2234.651,565108440,4398502500.000
20190221,2226.870,2286.389,2217.073,2244.885,650189190,5367994700.000
20190222,2243.609,2293.160,2240.944,2293.160,598398080,5250651400.000
20190225,2309.153,2377.861,2283.270,2376.970,862741500,7512869000.000
20190226,2371.158,2446.787,2356.485,2403.965,862595250,7347847500.000
20190227,2400.148,2421.727,2354.928,2382.445,665645860,5879161200.000
20190228,2376.295,2396.912,2356.181,2377.003,542834040,4686501600.000
20190301,2395.509,2417.380,2378.780,2416.970,531638140,4953497000.000
20190304,2446.793,2518.958,2441.650,2492.141,783047110,7325350600.000
20190305,2508.700,2570.719,2497.085,2569.676,960233390,9116232700.000
20190306,2574.096,2623.946,2544.789,2623.946,893846670,7940423200.000
20190307,2647.043,2688.804,2631.574,2672.887,850415950,8131515900.000
20190308,2635.042,2724.163,2610.142,2649.439,1078469930,10614689600.000
20190311,2699.439,2756.304,2660.105,2756.304,1031749020,10849346400.000
20190312,2754.263,2886.670,2753.711,2859.700,1122393480,12304682200.000
20190313,2872.744,2880.032,2725.615,2750.490,1068071240,11980352600.000
20190314,2712.150,2728.390,2608.018,2635.944,840868590,8760446700.000
20190315,2657.970,2701.072,2643.026,2671.097,719211080,7648669600.000
20190318,2700.500,2737.768,2663.823,2737.768,704636250,7630989300.000
20190319,2739.879,2768.595,2720.938,2762.849,593108770,6671973000.000
20190320,2758.405,2768.951,2696.766,2744.760,736930740,7860183700.000
20190321,2744.169,2787.928,2717.581,2768.793,758860330,8299767000.000
20190322,2766.103,2766.275,2699.837,2748.597,696623340,7562068700.000
20190325,2702.311,2767.374,2695.790,2729.653,740410780,7713679500.000
20190326,2739.756,2778.297,2680.918,2690.935,813077700,8714017800.000
20190327,2688.061,2698.978,2650.991,2693.740,654339620,6855465100.000
20190328,2676.857,2699.943,2654.077,2656.653,668508470,6878752600.000
20190329,2658.153,2750.561,2652.427,2750.561,804965060,9106717900.000
20190401,2766.907,2868.261,2766.907,2868.261,881953270,10463976700.000
20190402,2897.151,2899.929,2842.700,2856.366,889650610,11028229100.000
20190403,2840.425,2880.124,2825.386,2876.434,598411310,6764780800.000
20190404,2888.631,2925.799,2860.402,2912.907,863167160,10046559100.000
20190408,2926.439,2964.534,2888.002,2932.230,990938500,11401683200.000
20190409,2916.241,2925.106,2890.059,2923.073,731984790,8304509800.000
20190410,2911.356,2948.908,2878.911,2918.260,733529840,8379449100.000
20190411,2935.342,2956.422,2901.611,2902.648,806419820,9145775200.000
20190412,2898.581,2965.717,2890.808,2947.588,793230520,9290863000.000
20190415,2983.771,3003.230,2914.427,2916.900,778891310,9270489400.000
20190416,2897.326,2925.338,2841.989,2925.338,700124300,8195696600.000
20190417,2916.854,2999.211,2909.124,2975.962,850195350,10126607400.000
20190418,2975.150,3054.797,2968.924,2996.776,988243400,10803288500.000
20190419,2993.762,3029.825,2974.782,3016.902,738140330,8187918300.000
20190422,3041.391,3099.249,3030.983,3076.696,928476260,11550292400.000
20190423,3084.569,3115.624,3033.734,3047.677,1174323060,14312140000.000
20190424,3042.757,3102.355,3029.923,3101.976,977277450,12156988600.000
20190425,3073.908,3154.028,3001.374,3013.472,1141235090,14932132000.000
20190426,2966.469,2988.306,2903.150,2925.986,937138760,11428739000.000
20190429,2894.443,2895.935,2771.611,2774.016,774610170,9077634300.000
20190430,2760.665,2890.687,2760.665,2879.599,802718040,10163750600.000
20190506,2828.555,2882.939,2721.995,2750.456,1009556320,12113121500.000
20190507,2806.155,2856.132,2755.771,2820.234,989735040,11915680200.000
20190508,2790.563,2848.500,2769.162,2779.681,1025274750,11084897500.000
20190509,2756.002,2782.223,2725.644,2762.285,1047992150,10810315600.000
20190510,2779.428,2881.269,2764.222,2873.519,1252276170,13741153000.000
20190513,2831.598,2867.625,2819.937,2858.547,968987940,10314721900.000
20190514,2821.914,2900.387,2814.121,2849.889,936952470,10817310800.000
20190515,2871.394,2947.790,2859.525,2947.790,917118810,9799794100.000
20190516,2963.377,2988.945,2940.191,2953.908,1033272950,11451055300.000
20190517,2936.812,2998.377,2900.243,2914.500,1020362180,10872434500.000
20190520,2881.257,2883.486,2723.020,2766.483,874514140,9306060800.000
20190521,2751.468,2834.348,2745.896,2824.780,694635420,7580535500.000
20190522,2807.759,2821.664,2765.644,2793.253,758502630,8007426400.000
20190523,2755.409,2755.409,2660.771,2674.854,739006440,7312627100.000
20190524,2663.139,2711.369,2606.860,2635.284,735903290,7913463000.000
20190527,2656.734,2737.172,2638.205,2730.220,705199540,8026003300.000
20190528,2741.257,2825.131,2741.257,2782.533,951345760,11693895000.000
20190529,2772.890,2829.517,2763.144,2827.654,739828850,8774927600.000
20190530,2842.393,2880.110,2797.827,2875.728,1045089040,12690585300.000
20190531,2865.624,2894.351,2821.686,2868.539,1037585160,12745564400.000
20190603,2879.303,2908.060,2787.263,2808.068,927901390,11800692400.000
20190604,2782.671,2790.971,2688.929,2713.650,889178580,10889541300.000
20190605,2714.849,2748.167,2678.743,2721.691,811666560,9617792500.000
20190606,2718.964,2718.964,2601.816,2621.770,777380020,8548750500.000
20190610,2648.060,2653.703,2587.603,2642.703,693735280,7479645000.000
20190611,2660.929,2788.801,2656.344,2788.801,842331280,10354085500.000
20190612,2752.610,2814.271,2748.500,2788.529,952100270,10172057400.000
20190613,2799.871,2806.486,2761.753,2791.528,744913750,7948939800.000
20190614,2781.058,2787.870,2690.154,2694.668,684630680,7556518400.000
20190617,2712.262,2724.117,2675.972,2703.862,576329910,6584012200.000
20190618,2703.544,2743.257,2690.795,2720.136,768906650,9631383000.000
20190619,2775.513,2781.096,2715.345,2720.925,782632680,9998244900.000
20190620,2712.950,2730.442,2666.737,2721.122,753814660,9155900200.000
20190621,2742.571,2742.571,2710.488,2726.247,763926310,9006666300.000
20190624,2719.455,2752.771,2691.012,2752.473,732334830,8725251700.000
20190625,2738.370,2738.370,2689.598,2705.564,637852500,7362960400.000
20190626,2690.198,2711.189,2682.270,2688.257,450516050,5104505000.000
20190627,2686.309,2699.886,2679.279,2691.048,532049540,6403282000.000
20190628,2696.827,2697.192,2648.431,2662.125,481189600,5463999100.000
20190701,2684.080,2719.794,2666.124,2719.470,608151200,7334915000.000
20190702,2718.707,2772.863,2711.006,2757.463,762086940,9802554800.000
20190703,2740.517,2797.482,2734.545,2778.656,692203850,8266581300.000
20190704,2782.979,2790.605,2724.296,2740.895,522322550,6555373100.000
20190705,2736.543,2799.289,2732.367,2793.616,736270600,9531172100.000
20190708,2794.091,2812.653,2742.337,2772.883,934627010,11833387400.000
20190709,2751.882,2773.915,2715.159,2763.695,784881090,9797941000.000
20190710,2753.926,2779.405,2701.948,2714.533,586933260,7378445700.000
20190711,2732.155,2743.170,2675.226,2699.423,582916840,6856349400.000
20190712,2697.541,2706.981,2662.817,2682.865,582866020,7461446900.000
20190715,2675.338,2731.485,2637.008,2726.815,739226180,9762907500.000
20190716,2723.136,2743.292,2717.521,2721.760,565138250,7325746200.000
20190717,2721.783,2789.660,2710.779,2753.211,812703430,10617709200.000
20190718,2736.577,2758.970,2719.503,2720.207,611674960,7586881800.000
20190719,2724.443,2763.414,2724.054,2732.014,517100720,6486938000.000
20190722,2722.000,2722.000,2633.112,2633.112,577744140,6956388700.000
20190723,2637.235,2663.207,2636.222,2662.805,403347430,4728474400.000
20190724,2673.999,2711.050,2673.548,2703.078,513573620,6217568500.000
20190725,2704.364,2738.126,2688.226,2738.126,519927030,5956928600.000
20190726,2730.149,2750.291,2721.385,2742.213,546678110,6358892100.000
20190729,2734.517,2753.935,2710.510,2746.861,554188980,6846351000.000
20190730,2738.574,2764.886,2734.375,2738.582,453388990,5669671300.000
20190731,2731.099,2740.787,2713.377,2714.923,387919240,4825367100.000
20190801,2700.235,2744.994,2696.541,2725.023,494999320,6553642900.000
20190802,2684.260,2716.265,2680.235,2707.615,535032260,6435971400.000
20190805,2713.408,2733.881,2694.896,2700.040,569690380,7695266900.000
20190806,2653.211,2673.476,2595.928,2623.924,605337080,7047710500.000
20190807,2641.360,2656.725,2592.467,2592.571,582247490,7542541600.000
20190808,2597.693,2603.761,2578.052,2581.299,415526790,5211266700.000
