date,open,high,low,close,vol,tradeAmount
20190102,2001.677,2014.991,1999.583,2003.214,209797090,1744517600.000
20190103,2006.523,2021.834,1989.661,1992.391,243039530,2140109800.000
20190104,1969.404,2028.182,1964.062,2027.334,242333110,1895679600.000
20190107,2036.412,2059.375,2033.756,2056.596,285905100,2150250300.000
20190108,2054.116,2062.653,2047.956,2059.054,246527690,2024226300.000
20190109,2065.074,2087.406,2060.242,2064.045,272013480,2085512700.000
20190110,2070.017,2076.730,2052.060,2053.923,271485490,2691576200.000
20190111,2053.706,2067.091,2047.234,2067.091,225191740,2220666600.000
20190114,2069.463,2073.123,2052.086,2061.492,239004320,2546452500.000
20190115,2056.333,2082.310,2048.066,2081.910,226451630,2108189900.000
20190116,2083.684,2090.292,2070.210,2077.374,230251980,2101124500.000
20190117,2085.957,2085.957,2055.509,2059.235,233145980,2001817600.000
20190118,2067.106,2072.537,2046.146,2063.369,214829790,1804183400.000
20190121,2068.488,2087.623,2065.703,2082.754,215449770,1707865900.000
20190122,2086.766,2091.289,2067.384,2075.207,201019610,1658385800.000
20190123,2079.371,2089.627,2073.305,2084.033,178162030,1426463100.000
20190124,2093.782,2108.760,2083.296,2102.604,224791120,1824308800.000
20190125,2109.119,2126.421,2103.988,2114.437,332633740,2784412800.000
20190128,2125.942,2133.130,2103.058,2109.518,319791960,2659144300.000
20190129,2103.666,2116.485,2049.256,2067.688,354103920,2854674400.000
20190130,2042.332,2061.067,2023.427,2028.068,208903580,1673343100.000
20190131,2016.158,2023.118,1950.004,1961.500,297719390,2065717400.000
20190201,1975.566,2002.744,1975.513,2000.774,232760390,1685969100.000
20190211,2015.122,2060.591,2011.824,2060.591,283470170,2152286800.000
20190212,2062.282,2105.494,2059.717,2105.494,355782160,2791045500.000
20190213,2108.070,2144.579,2106.211,2141.377,434870470,3391331300.000
20190214,2143.031,2162.501,2137.667,2151.037,429054760,3332312100.000
20190215,2141.799,2161.915,2138.169,2150.329,372730940,2838294100.000
20190218,2161.157,2226.836,2161.157,2226.836,494210360,3691248900.000
20190219,2237.759,2253.886,2216.205,2247.994,528978590,4061802600.000
20190220,2253.769,2290.099,2245.064,2289.045,404219200,3645857500.000
20190221,2302.826,2333.377,2282.533,2303.183,635944290,5853072500.000
20190222,2289.675,2349.313,2285.280,2349.164,622429220,5651487700.000
20190225,2371.032,2451.936,2366.440,2450.285,851881350,7112527700.000
20190226,2443.016,2463.703,2397.366,2403.762,803799000,7346938800.000
20190227,2393.688,2422.336,2353.110,2380.075,669902900,5560864200.000
20190228,2372.122,2416.015,2372.122,2395.939,618298720,4838991800.000
20190301,2396.689,2407.276,2372.243,2398.369,509330310,4222187800.000
20190304,2423.026,2467.097,2416.488,2439.483,813710190,6700301100.000
20190305,2430.064,2517.051,2422.398,2513.611,824048340,6848310200.000
20190306,2525.445,2570.997,2498.613,2568.413,902566290,7963557300.000
20190307,2570.275,2659.246,2551.656,2638.691,918197100,8707653000.000
20190308,2589.821,2627.578,2511.567,2511.567,813916770,7381371400.000
20190311,2523.265,2609.247,2523.265,2608.302,574994010,5237423100.000
20190312,2633.784,2691.790,2615.443,2667.647,888030920,7591620600.000
20190313,2673.758,2718.571,2638.510,2660.311,866732390,7829384400.000
20190314,2631.065,2646.498,2534.346,2563.035,598452270,5586892100.000
20190315,2571.642,2619.714,2569.439,2603.418,613807290,5230498700.000
20190318,2605.854,2637.940,2562.440,2637.940,616976270,5265205100.000
20190319,2642.230,2665.390,2632.563,2661.390,545493080,4862733500.000
20190320,2672.283,2682.724,2632.585,2682.724,550500020,5079029500.000
20190321,2700.035,2771.199,2694.361,2742.728,848013000,7685066800.000
20190322,2733.853,2785.551,2705.077,2785.551,886087920,8748660800.000
20190325,2746.695,2816.391,2731.733,2785.453,760360250,8209998100.000
20190326,2800.454,2812.828,2704.610,2716.047,825537580,9618934200.000
20190327,2731.884,2774.619,2681.888,2774.619,754642200,8696049900.000
20190328,2771.632,2796.937,2751.150,2755.974,883273950,11109576200.000
20190329,2739.781,2818.074,2710.000,2813.513,789544790,10102645400.000
20190401,2825.724,2923.685,2825.584,2923.685,908745280,11772350300.000
20190402,2931.769,2970.060,2915.900,2925.297,939291620,12568221000.000
20190403,2904.298,2953.436,2894.661,2951.812,777749000,10098608100.000
20190404,2963.542,2976.623,2919.633,2966.043,767901600,10364114500.000
20190408,2971.831,2983.508,2906.850,2959.446,835932960,10885475400.000
20190409,2938.276,2956.441,2913.788,2955.084,744169610,10172839400.000
20190410,2928.623,2963.075,2906.596,2935.258,613830040,8117963400.000
20190411,2932.906,2935.584,2862.922,2862.922,572313950,7147820300.000
20190412,2856.484,2878.964,2831.992,2863.631,482952810,5953987600.000
20190415,2890.181,2905.010,2843.496,2846.755,504073390,5999561900.000
20190416,2835.511,2907.625,2821.221,2907.625,474763910,6114767600.000
20190417,2903.745,2921.057,2888.769,2912.605,531951080,7327725800.000
20190418,2907.797,2945.107,2906.737,2908.504,671607930,9335399600.000
20190419,2900.314,2922.741,2872.764,2914.918,556548020,7415276400.000
20190422,2907.326,2920.087,2870.647,2879.668,560536570,7188211500.000
20190423,2872.660,2881.046,2827.942,2835.609,558028060,6769249900.000
20190424,2832.556,2845.409,2795.132,2842.957,433928620,5101472800.000
20190425,2833.142,2845.930,2724.368,2724.368,500387950,5503733100.000
20190426,2705.570,2737.224,2697.606,2701.002,407695720,4428673400.000
20190429,2703.422,2714.427,2582.131,2591.095,440166740,4544680900.000
20190430,2574.669,2645.289,2574.669,2626.845,385808910,4289985500.000
20190506,2546.397,2546.397,2405.002,2434.519,513341740,4443900700.000
20190507,2436.258,2478.911,2405.950,2453.531,440559360,4013775000.000
20190508,2401.923,2471.790,2375.197,2442.062,381009610,3731228700.000
20190509,2420.177,2450.093,2408.682,2411.429,291772500,2940293100.000
20190510,2446.084,2508.448,2399.493,2508.448,402515810,4042722600.000
20190513,2492.125,2512.729,2481.307,2504.175,332633990,3320849500.000
20190514,2473.019,2513.715,2465.506,2490.437,338712240,3470124000.000
20190515,2510.242,2547.817,2509.766,2547.733,393328680,4367803000.000
20190516,2545.701,2554.684,2534.196,2546.088,342626070,3821793600.000
20190517,2556.581,2559.296,2423.681,2433.807,420063420,4087796700.000
20190520,2435.036,2437.533,2359.941,2416.245,291705830,2742312800.000
20190521,2419.575,2480.843,2412.040,2480.843,322869960,3363316200.000
20190522,2479.051,2484.109,2446.214,2468.181,314555780,3111882800.000
20190523,2458.080,2463.023,2412.525,2422.165,283315520,2793152000.000
20190524,2421.827,2436.309,2403.436,2416.136,246470760,2657101800.000
20190527,2418.005,2472.034,2406.193,2472.034,338970200,3191311500.000
20190528,2472.445,2506.858,2468.032,2478.443,422911040,4377790300.000
20190529,2468.056,2488.226,2460.530,2477.707,299799780,3019238100.000
20190530,2462.720,2462.720,2421.823,2452.781,284631340,2814667100.000
20190531,2454.231,2473.992,2446.901,2458.101,262135080,2657248800.000
20190603,2459.390,2464.859,2404.500,2434.677,346587930,3212730000.000
20190604,2429.244,2429.244,2363.132,2377.105,274850940,2404237400.000
20190605,2397.922,2405.051,2370.964,2375.666,269986000,2563589800.000
20190606,2374.610,2374.610,2298.346,2310.366,291441250,2468294600.000
20190610,2312.105,2332.194,2288.515,2319.987,222456070,1849555500.000
20190611,2335.562,2422.155,2333.392,2421.175,439581940,3519258400.000
20190612,2422.829,2425.548,2405.416,2405.416,372003070,3007709700.000
20190613,2396.624,2461.772,2392.402,2453.134,490454000,3811833600.000
20190614,2454.839,2473.347,2395.576,2399.198,446452010,3478328500.000
20190617,2391.853,2401.212,2371.165,2377.179,290440960,2212002700.000
