date,open,high,low,close,vol,tradeAmount
20190102,2517.467,2522.105,2497.365,2501.269,653953100,6551278800.000
20190103,2499.600,2517.336,2471.288,2471.596,719836900,7207560700.000
20190104,2445.458,2524.099,2437.740,2524.099,921824840,8504251200.000
20190107,2539.056,2571.880,2534.329,2571.082,972138990,9123921300.000
20190108,2566.262,2574.396,2560.296,2568.614,793443710,7593310200.000
20190109,2573.889,2604.802,2569.041,2574.749,1113545980,10996140100.000
20190110,2574.723,2584.288,2558.202,2562.308,943183340,8379980900.000
20190111,2559.778,2581.241,2553.056,2581.241,898943390,8227012600.000
20190114,2585.331,2588.177,2570.231,2574.309,884784160,8402597800.000
20190115,2572.108,2602.840,2565.380,2602.840,902048480,8759453800.000
20190116,2604.668,2608.823,2584.646,2587.698,805813920,7919141300.000
20190117,2588.736,2589.393,2557.769,2560.616,826023030,8243204100.000
20190118,2570.041,2595.090,2564.336,2595.090,1109815700,10166503100.000
20190121,2602.420,2627.069,2601.965,2623.899,1259305920,11613148100.000
20190122,2624.257,2639.170,2608.851,2619.105,1337778460,11796179300.000
20190123,2607.565,2647.515,2607.565,2647.515,1439392200,13119558400.000
20190124,2643.804,2659.533,2631.585,2648.261,1378084200,13019811100.000
20190125,2643.894,2645.047,2618.285,2619.994,1399510500,12687820500.000
20190128,2630.212,2634.470,2590.030,2594.316,1031688620,10015668800.000
20190129,2584.806,2584.806,2507.477,2545.268,1215131320,10765771600.000
20190130,2531.621,2545.420,2501.710,2502.310,931344000,8547112600.000
20190131,2494.321,2515.441,2443.874,2458.294,1042422520,9055540800.000
20190201,2466.810,2523.779,2466.810,2523.779,868239520,8389019600.000
20190211,2530.166,2590.542,2530.151,2590.542,1063490980,10421261700.000
20190212,2594.359,2631.263,2589.599,2628.718,1224558620,12212702900.000
20190213,2633.204,2687.330,2629.733,2684.134,1702827500,16815379000.000
20190214,2687.463,2707.321,2675.804,2698.382,1584035000,15857610000.000
20190215,2692.463,2710.666,2687.380,2692.784,1559160600,15150191000.000
20190218,2705.306,2780.328,2705.306,2780.328,2061320600,19656303000.000
20190219,2787.798,2791.953,2739.771,2778.593,2047499100,19759937000.000
20190220,2778.862,2788.284,2752.556,2787.252,1811352300,17167590000.000
20190221,2782.438,2816.917,2754.893,2763.458,2029139000,19788441000.000
20190222,2756.345,2804.023,2751.456,2804.023,1730948800,16881502000.000
20190225,2825.807,2931.196,2819.031,2930.697,3141381400,32301826000.000
20190226,2931.833,2984.740,2900.573,2926.697,2992471100,31120540000.000
20190227,2924.075,2957.966,2887.068,2914.128,2318768000,23567072000.000
20190228,2916.216,2955.835,2916.216,2941.712,1706910100,17592730000.000
20190301,2950.883,2957.933,2917.595,2952.592,1544685700,16788691000.000
20190304,2967.336,3027.311,2964.604,2983.210,2548186100,28133614000.000
20190305,2974.584,3042.446,2965.849,3042.446,2301664800,25104221000.000
20190306,3054.862,3101.873,3026.244,3101.873,2886472500,30187455000.000
20190307,3099.382,3167.068,3083.453,3147.191,3004470600,32067615000.000
20190308,3090.325,3151.700,3013.677,3013.677,3032133000,30835953000.000
20190311,3023.442,3148.593,3023.442,3148.593,2438751100,25827984000.000
20190312,3176.117,3215.699,3136.287,3188.478,2979332100,31470073000.000
20190313,3189.351,3215.064,3119.611,3139.041,2644703600,28277098000.000
20190314,3124.712,3158.414,3045.817,3079.775,2318401400,25436606000.000
20190315,3089.357,3146.200,3088.225,3128.006,2233035900,25693492000.000
20190318,3145.998,3206.371,3129.601,3206.371,2209447300,25582366000.000
20190319,3213.314,3215.184,3180.861,3204.409,2148060400,25358985000.000
20190320,3208.757,3224.321,3163.216,3217.985,2155624600,24619553000.000
20190321,3221.975,3252.957,3215.423,3237.733,2181172000,23452289000.000
20190322,3248.883,3266.948,3205.007,3263.706,2578376100,29796245000.000
20190325,3216.376,3289.953,3204.103,3251.638,2446061200,28771139000.000
20190326,3267.375,3278.405,3162.443,3167.445,2812478000,34694994000.000
20190327,3187.030,3211.718,3138.388,3211.718,2412717700,28235937000.000
20190328,3202.176,3233.822,3176.404,3179.200,2664602300,34288716000.000
20190329,3173.821,3248.420,3142.225,3248.420,2651731100,33730492000.000
20190401,3268.083,3372.706,3268.083,3372.706,3416538300,43695089000.000
20190402,3392.646,3438.606,3373.634,3427.317,3452743400,43652430000.000
20190403,3407.767,3442.516,3394.067,3441.168,3247877600,41810719000.000
20190404,3465.069,3517.926,3458.905,3507.888,3971219300,52109849000.000
20190408,3640.097,3671.173,3576.861,3626.527,4648311200,61427984000.000
20190409,3609.544,3609.544,3518.684,3551.129,4023684100,60072744000.000
20190410,3521.505,3592.157,3495.752,3546.608,3623994800,54087594000.000
20190411,3533.576,3537.941,3458.835,3458.835,3540183700,46626141000.000
20190412,3454.978,3475.348,3423.192,3449.786,2561082600,33508074000.000
20190415,3481.891,3493.442,3403.707,3403.980,2530966000,32785752000.000
20190416,3387.033,3466.857,3372.026,3466.857,2394180100,31365511000.000
20190417,3466.820,3528.587,3462.181,3511.630,3034799800,43452441000.000
20190418,3513.511,3520.797,3484.294,3492.044,2748695400,39431195000.000
20190419,3485.674,3506.666,3449.016,3506.666,2619022900,36821554000.000
20190422,3519.612,3521.054,3457.423,3464.560,2391402600,31486926000.000
20190423,3459.432,3467.906,3406.443,3415.452,2426122900,31168276000.000
20190424,3422.491,3457.057,3392.465,3457.057,2437533000,31784525000.000
20190425,3448.859,3452.917,3318.793,3320.846,3214632400,36080123000.000
20190426,3299.988,3321.436,3270.941,3271.815,2651989600,29101843000.000
20190429,3264.796,3268.415,3132.922,3137.685,2322616200,27145831000.000
20190430,3118.502,3179.327,3118.502,3163.516,1827006800,20696589000.000
20190506,3056.121,3063.094,2901.104,2925.271,2259887300,25029759000.000
20190507,2937.666,2989.017,2914.954,2972.541,2132756300,22241400000.000
20190508,2909.256,2998.334,2888.292,2954.938,1856996500,20129141000.000
20190509,2927.529,2971.012,2926.768,2932.993,1507089500,17096438000.000
20190510,2963.089,3038.598,2915.681,3038.598,2150214100,24497425000.000
20190513,3009.772,3032.734,2997.758,3018.977,1570372400,17949506000.000
20190514,2986.606,3041.956,2986.606,3019.004,1599814800,18029516000.000
20190515,3051.852,3099.289,3047.903,3093.523,2171509600,25546494000.000
20190516,3085.998,3134.839,3080.702,3124.861,2245987200,24735656000.000
20190517,3128.469,3129.607,2988.600,3003.575,2426797700,25580358000.000
20190520,2994.290,2996.661,2905.476,2974.973,1719282600,18325145000.000
20190521,2969.251,3028.553,2960.294,3022.930,1637529000,17181503000.000
20190522,3027.876,3027.876,2978.703,2996.338,1496792000,15626413000.000
20190523,2989.279,2989.336,2913.424,2922.823,1544407600,16230363000.000
20190524,2910.107,2941.233,2902.230,2913.211,1267746130,13949984000.000
20190527,2922.104,2997.493,2906.320,2995.292,1552479300,16870532000.000
20190528,2994.620,3033.852,2985.264,2995.793,1776465800,19205643000.000
20190529,2988.657,3036.636,2983.836,3016.330,1576711200,17028636000.000
20190530,3010.840,3010.840,2967.743,3007.720,1683553200,18235898000.000
20190531,3000.010,3027.830,2991.603,2994.561,1643886100,19783915000.000
20190603,2994.391,3001.917,2925.442,2929.104,1570321800,17537199000.000
20190604,2925.217,2925.916,2864.604,2881.439,1382468600,14759161000.000
20190605,2910.222,2919.379,2881.117,2885.212,1204213500,13273510700.000
20190606,2889.376,2889.735,2805.854,2817.323,1288486710,13329949800.000
20190610,2821.986,2857.026,2807.798,2852.202,1097059690,11392314500.000
20190611,2848.001,2949.054,2846.831,2947.443,1683384800,17747978000.000
20190612,2936.513,2954.213,2917.367,2924.427,1634279900,18494918000.000
20190613,2921.907,2956.203,2907.296,2949.219,1560359900,16162281000.000
20190614,2955.848,2957.732,2878.944,2879.820,1642093600,16498924000.000
20190617,2878.472,2899.709,2867.016,2891.739,1279066110,12079106100.000
20190618,2895.482,2909.461,2877.809,2893.053,1179303290,11041454100.000
20190619,2947.746,2960.436,2922.866,2925.283,1585004600,16254472000.000
20190620,2922.618,2965.610,2904.363,2957.132,1706411100,17407688000.000
20190621,2990.457,3022.456,2990.457,3012.113,1763541700,18556350000.000
20190624,3017.159,3022.744,2995.904,3016.884,1554976900,15266577000.000
20190625,3017.132,3017.132,2945.619,2974.162,1674330300,15952462000.000
20190626,2954.358,2991.327,2946.620,2974.082,1162066730,11285672100.000
20190627,2977.713,2999.978,2977.616,2988.407,1442897500,14893374000.000
20190628,2987.403,2987.403,2927.719,2942.743,1397100100,13544109000.000
20190701,2991.925,3038.374,2979.019,3038.374,1946462700,21043811000.000
20190702,3042.026,3057.306,3033.472,3044.821,1842914700,20789065000.000
20190703,3034.294,3034.294,3007.262,3017.490,1504632700,16192139000.000
20190704,3020.218,3035.361,2992.611,3007.113,1335493860,14558677000.000
20190705,3005.762,3025.815,2997.648,3020.229,1172075880,13234573500.000
20190708,3014.288,3014.288,2910.822,2926.210,1709991700,18022051000.000
20190709,2921.670,2969.178,2913.265,2969.178,1444092700,15154349000.000
20190710,2975.221,2988.785,2944.546,2956.944,1512067800,16718270000.000
20190711,2968.226,3001.416,2957.840,2976.384,1653628900,17595521000.000
20190712,2988.384,3036.649,2988.384,3033.231,2106847100,22998573000.000
20190715,3015.454,3054.027,2978.456,3052.835,2310525700,24193337000.000
20190716,3036.706,3073.863,3028.952,3073.863,2021281200,21588268000.000
20190717,3068.813,3099.564,3060.770,3092.225,2323819500,25515754000.000
20190718,3070.160,3070.160,3017.637,3017.637,2207148500,22500928000.000
20190719,3018.364,3051.758,3015.147,3015.318,1771975800,18886429000.000
20190722,3018.345,3019.547,2915.933,2918.110,1813716400,18470956000.000
20190723,2915.818,2972.310,2915.818,2972.310,1472587700,14519745000.000
20190724,2973.902,3018.401,2973.902,3007.083,1712504600,16838911000.000
20190725,3002.649,3011.111,2990.576,3000.087,1504287900,15456304000.000
20190726,2990.310,2996.747,2977.201,2992.148,1281442140,13213292500.000
20190729,2992.516,2996.325,2978.758,2988.517,1164105320,12464354000.000
20190730,2990.329,3019.148,2990.057,3005.166,1409135500,14957250000.000
20190731,2996.210,2996.387,2975.830,2979.281,1243583400,13274351700.000
20190801,2966.205,2999.886,2958.865,2993.420,1307214700,15102477000.000
20190802,2933.121,2960.540,2917.049,2951.610,1601793900,18321426000.000
20190805,2940.633,2961.686,2914.144,2914.633,1267469870,14742503000.000
20190806,2855.456,2855.456,2756.423,2817.839,1762524700,18051600000.000
20190807,2834.588,2843.491,2801.467,2801.467,1117280690,12901149900.000
20190808,2805.095,2823.503,2805.002,2815.256,1016618910,11681394600.000
20190809,2826.644,2833.518,2769.072,2773.138,1057434970,11222038400.000
20190812,2776.819,2813.766,2766.011,2813.766,887371320,9500830900.000
20190813,2793.131,2801.657,2783.902,2799.473,991967190,11677254300.000
20190814,2829.844,2841.948,2819.073,2823.207,1206980420,14216356000.000
20190815,2752.290,2825.750,2742.239,2825.750,1175840130,13259219000.000
20190816,2823.591,2853.585,2821.996,2838.942,1175186100,13903521000.000
20190819,2858.271,2917.236,2856.562,2917.236,1529583800,17287950000.000
20190820,2916.585,2932.515,2907.295,2913.901,1315608720,14968282000.000
20190821,2911.229,2932.880,2909.505,2925.449,1359023100,15085410000.000
20190822,2927.721,2929.291,2907.252,2929.291,1417174500,14833903000.000
20190823,2925.645,2933.742,2909.315,2920.399,1368489200,14788975000.000
20190826,2857.695,2904.216,2850.423,2898.272,1214936480,12771875100.000
20190827,2911.036,2955.169,2911.036,2949.486,1515780600,15936734000.000
20190828,2948.052,2955.209,2937.260,2949.999,1332994890,13971922000.000
20190829,2955.278,2965.728,2947.421,2948.711,1413843300,15085528000.000
20190830,2966.899,2979.362,2898.470,2912.149,1679104900,17302064000.000
20190902,2909.831,2976.730,2909.831,2976.730,1682569100,17621820000.000
20190903,2983.905,2990.211,2970.689,2990.211,1587217000,16997612000.000
20190904,2989.143,3019.716,2986.572,3019.716,1769998800,19367714000.000
20190905,3033.179,3073.178,3030.395,3042.068,2303690000,25405006000.000
20190906,3051.077,3064.580,3043.206,3064.580,1755022100,19714021000.000
20190909,3085.965,3125.865,3071.993,3125.865,2114409600,23872748000.000
20190910,3126.619,3138.732,3112.859,3135.300,2045071400,22383324000.000
20190911,3144.884,3162.576,3136.034,3138.307,2099742600,23854564000.000
20190912,3147.075,3162.512,3134.436,3159.899,1658554400,18343054000.000
20190916,3173.205,3181.212,3151.395,3165.463,1745164700,19230689000.000
20190917,3165.492,3165.492,3097.650,3108.369,2233449600,23914502000.000
20190918,3113.257,3121.849,3100.639,3110.608,1555536500,17453689000.000
20190919,3118.110,3153.561,3104.416,3153.561,1570550100,19011841000.000
20190920,3153.480,3160.380,3136.558,3143.178,1501102600,18309342000.000
20190923,3131.080,3131.709,3088.692,3110.550,1399522200,16811031000.000
20190924,3112.339,3140.751,3104.058,3118.883,1369939700,16892099000.000
20190925,3105.674,3105.954,3072.468,3072.564,1469121400,16828277000.000
20190926,3073.801,3080.616,2996.302,2996.302,1515251000,16648339000.000
20190927,2991.231,3041.371,2991.231,3033.223,1135587120,13512765000.000
20190930,3032.448,3041.401,3006.065,3006.065,941082440,11125146700.000
20191008,3010.657,3041.132,3010.657,3021.613,935358060,11493589000.000
20191009,3009.764,3056.996,2990.230,3056.996,1084176410,12876569600.000
20191010,3058.607,3098.867,3054.921,3098.867,1217410340,14998377000.000
20191011,3101.067,3105.187,3073.430,3090.939,1227345600,14110568000.000
20191014,3110.776,3132.503,3101.037,3128.309,1381824100,16040005000.000
20191015,3119.459,3119.459,3081.238,3088.133,1320210760,14769688000.000
20191016,3090.217,3099.445,3069.726,3071.668,1173168180,12597426700.000
20191017,3068.230,3078.853,3055.117,3063.775,991317460,11056450400.000
20191018,3064.616,3074.130,3016.342,3026.441,1127024140,12202035200.000
20191021,3027.437,3027.437,2988.225,3017.761,1117731670,11844366700.000
20191022,3015.043,3047.579,3011.580,3047.579,1080028960,11654215600.000
20191023,3046.075,3048.052,3016.648,3022.132,1031600830,11175023000.000
20191024,3018.533,3034.525,3006.849,3024.406,966104600,10526783400.000
20191025,3022.916,3044.866,3004.286,3040.146,1145260200,11927530700.000
20191028,3032.202,3081.648,3032.202,3081.648,1350437500,14058878000.000
20191029,3077.085,3077.171,3040.063,3040.063,1318608480,13414699500.000
