date,open,high,low,close,vol,tradeAmount
20190102,2688.953,2695.362,2640.134,2644.524,503375810,6239746500.000
20190103,2641.142,2657.114,2603.044,2605.771,494768130,6153449100.000
20190104,2581.451,2670.020,2575.441,2669.460,556856470,6990747000.000
20190107,2684.072,2703.176,2672.968,2700.009,553695090,6108042800.000
20190108,2700.792,2703.730,2687.720,2695.570,429888690,4442772700.000
20190109,2697.491,2736.267,2690.457,2702.956,570543520,6353484900.000
20190110,2703.320,2708.476,2682.892,2690.343,461378980,5349018100.000
20190111,2691.030,2703.526,2677.657,2703.526,401014330,4478682100.000
20190114,2706.570,2706.570,2678.152,2685.759,404112220,4270694100.000
20190115,2684.330,2721.342,2675.973,2721.342,470884330,5560708900.000
20190116,2722.611,2741.204,2718.323,2737.367,492204170,5851220800.000
20190117,2736.787,2742.100,2713.938,2717.105,513191720,5539121600.000
20190118,2717.928,2770.171,2717.928,2770.171,652504000,7726165100.000
20190121,2770.050,2791.678,2768.047,2777.505,617629510,7320790900.000
20190122,2771.081,2771.081,2736.992,2747.268,578890030,6510115100.000
20190123,2733.228,2738.581,2717.728,2728.987,478863370,4999828600.000
20190124,2725.202,2737.271,2710.551,2731.322,565732260,5645608300.000
20190125,2728.792,2732.380,2703.912,2704.787,602960880,6126641400.000
20190128,2713.492,2720.908,2676.485,2677.602,630755150,7347989200.000
20190129,2673.791,2673.791,2601.273,2639.448,572996510,6182824000.000
20190130,2627.616,2642.666,2608.414,2608.414,423389530,4654309900.000
20190131,2605.682,2617.780,2559.029,2576.455,498432910,5418472500.000
20190201,2584.781,2654.167,2584.781,2654.167,467327080,5712320800.000
20190211,2655.389,2722.869,2655.266,2722.409,539700020,6706005800.000
20190212,2727.191,2812.790,2727.160,2796.468,806945720,9930416600.000
20190213,2795.606,2829.628,2783.356,2825.171,850465210,9542899700.000
20190214,2819.523,2844.840,2808.903,2835.327,705666930,7687487400.000
20190215,2833.603,2846.044,2821.301,2825.654,705645390,7490523800.000
20190218,2841.972,2919.571,2841.951,2919.571,905716630,10482690700.000
20190219,2927.468,2935.024,2878.145,2903.748,1007165020,11267414000.000
20190220,2900.296,2900.404,2865.557,2895.117,749112650,8778686700.000
20190221,2897.358,2927.086,2874.574,2880.935,982982030,10491979700.000
20190222,2873.595,2925.116,2866.104,2925.116,948079550,9950076000.000
20190225,2943.957,3053.308,2943.957,3053.308,1621182600,18624306000.000
20190226,3057.670,3148.060,3027.768,3082.018,1838774800,21486186000.000
20190227,3073.176,3116.611,3047.430,3078.433,1348186800,14934893000.000
20190228,3080.155,3141.441,3080.155,3127.091,1319278560,15337023000.000
20190301,3137.655,3147.817,3090.568,3126.305,1028961120,11906618700.000
20190304,3144.420,3226.198,3144.420,3186.640,1649271500,19958179000.000
20190305,3181.319,3250.705,3170.078,3250.705,1436450000,16708491000.000
20190306,3262.084,3307.486,3233.590,3307.486,1787230300,19838877000.000
20190307,3304.977,3377.408,3281.839,3354.309,1897333800,21278787000.000
20190308,3298.904,3370.364,3228.272,3228.840,2012350900,20973326000.000
20190311,3253.509,3390.339,3253.509,3390.339,1649548400,18644836000.000
20190312,3421.774,3468.122,3393.209,3444.020,2036814000,23051017000.000
20190313,3445.955,3486.772,3392.796,3417.060,1793722000,20128686000.000
20190314,3401.071,3433.155,3314.904,3348.568,1740776700,19040059000.000
20190315,3356.219,3419.979,3355.667,3401.334,1517648000,18395532000.000
20190318,3414.221,3521.857,3396.661,3521.857,1832439500,23338159000.000
20190319,3521.205,3537.856,3493.377,3530.021,1634183300,20696424000.000
