date,open,high,low,close,vol,tradeAmount
20190102,2790.060,2799.332,2756.927,2765.251,107456465,1386661200.000
20190103,2767.520,2791.281,2745.461,2750.110,87653716,1170555820.000
20190104,2715.170,2802.490,2703.819,2799.363,104111116,1430897600.000
20190107,2819.899,2848.461,2807.726,2843.467,95271794,1280470450.000
20190108,2838.457,2847.022,2824.420,2840.428,83815083,1011788720.000
20190109,2842.880,2897.494,2839.117,2860.351,131525429,2468373500.000
20190110,2876.248,2878.865,2851.606,2857.708,88148346,1372195600.000
20190111,2851.260,2887.611,2846.876,2882.341,84715170,1482499400.000
20190114,2886.286,2897.105,2855.141,2857.905,67935740,1155683900.000
20190115,2855.080,2894.926,2847.479,2894.451,88347725,1649767400.000
20190116,2899.003,2912.914,2887.596,2899.149,85018281,1475545600.000
20190117,2899.746,2900.346,2842.212,2852.541,71697765,1170572910.000
20190118,2854.093,2888.295,2842.318,2886.584,93294980,1657082700.000
20190121,2892.249,2920.027,2889.416,2909.683,109259896,2041724000.000
20190122,2908.763,2915.781,2881.597,2893.776,77904536,1438512400.000
20190123,2887.615,2917.358,2883.481,2913.550,67129077,1133639070.000
20190124,2913.595,2914.414,2887.237,2901.787,95741761,1808932700.000
20190125,2896.030,2935.385,2886.987,2906.497,101279378,1734455800.000
20190128,2915.595,2940.321,2884.264,2895.717,94658619,1582760000.000
20190129,2881.903,2888.448,2808.361,2847.702,79204672,1319268040.000
20190130,2842.404,2859.926,2832.524,2837.042,66698546,1198870300.000
20190131,2836.188,2862.479,2792.244,2797.388,85963531,1340586500.000
20190201,2807.523,2879.862,2807.523,2872.395,105343707,2045615500.000
20190211,2884.455,2953.381,2884.455,2948.864,122273205,2110775200.000
20190212,2939.890,2994.761,2939.890,2981.846,132345773,2461227400.000
20190213,2986.391,3063.715,2974.206,3049.804,184623070,3151221200.000
20190214,3045.842,3102.925,3037.074,3099.084,158887630,2544843800.000
20190215,3080.800,3097.810,3060.382,3061.391,154719850,2792246200.000
20190218,3080.984,3188.438,3080.818,3185.967,186955850,3000032000.000
20190219,3204.912,3238.883,3180.047,3222.031,177721740,2772193500.000
20190220,3220.838,3241.924,3195.707,3232.404,130249263,2137186100.000
20190221,3285.577,3303.422,3233.758,3240.481,160882900,2501000300.000
20190222,3234.838,3251.414,3187.661,3249.315,180112260,2768494900.000
20190225,3267.658,3395.497,3263.545,3395.428,308626090,5546715900.000
20190226,3386.778,3454.910,3358.038,3379.706,263796820,4888914500.000
20190227,3380.872,3406.353,3311.569,3339.466,198457710,3346110300.000
20190228,3359.641,3403.450,3354.836,3383.504,167084730,3232842300.000
20190301,3398.644,3429.114,3384.949,3428.579,200509010,3607518600.000
20190304,3448.639,3513.338,3435.861,3466.377,295718130,5252555600.000
20190305,3452.023,3499.746,3433.654,3499.746,222711990,3797651300.000
20190306,3515.390,3558.238,3486.411,3556.065,273769330,4190736400.000
20190307,3553.226,3583.068,3516.708,3561.802,304125880,5231511000.000
20190308,3496.358,3540.315,3381.868,3381.868,274312090,4611839700.000
20190311,3387.620,3532.520,3387.620,3532.520,219829940,3712911000.000
20190312,3563.398,3617.733,3528.314,3587.230,252893120,4034311100.000
20190313,3582.055,3590.689,3509.162,3528.859,202189250,3153246800.000
20190314,3506.869,3537.518,3433.145,3466.931,173180460,2764940600.000
20190315,3484.496,3573.053,3483.572,3547.246,233915720,5020448300.000
20190318,3562.345,3646.564,3552.248,3645.744,280788010,5420629800.000
20190319,3642.707,3659.112,3611.747,3659.112,219573380,3720438700.000
