date,open,high,low,close,vol,tradeAmount
20190102,5205.407,5214.546,5113.246,5124.707,281158160,5353790700.000
20190103,5109.718,5162.252,5066.439,5069.071,264995160,4453163300.000
20190104,5021.755,5209.766,5017.038,5209.766,326254880,5509435800.000
20190107,5238.240,5279.078,5219.169,5270.274,317433350,5308272700.000
20190108,5255.684,5314.506,5238.330,5291.482,326548980,4858673700.000
20190109,5293.307,5358.642,5280.796,5294.229,371184780,5827747600.000
20190110,5280.021,5291.931,5237.053,5251.947,317172290,5035960600.000
20190111,5247.013,5280.711,5224.240,5280.711,241362510,4049594500.000
20190114,5281.117,5282.462,5217.702,5232.916,246901580,4033743400.000
20190115,5215.251,5292.982,5207.717,5288.601,257753170,4313069000.000
20190116,5292.904,5340.380,5290.749,5328.197,289297800,4872343100.000
20190117,5327.157,5333.792,5275.535,5279.891,302483450,4869609800.000
20190118,5287.096,5356.155,5287.096,5354.741,305742570,5362321200.000
20190121,5373.139,5434.833,5373.139,5404.550,311464960,5927218800.000
20190122,5405.702,5405.702,5319.553,5343.319,252383440,4521337200.000
20190123,5322.705,5343.741,5295.399,5324.532,218957110,3532329200.000
20190124,5324.670,5356.388,5295.597,5342.656,249391790,4067812700.000
20190125,5344.621,5380.416,5327.814,5333.230,298319460,4634737600.000
20190128,5367.451,5381.720,5275.450,5289.438,311115910,4768399500.000
20190129,5264.074,5266.800,5116.825,5175.691,297026180,4690397100.000
20190130,5155.037,5186.633,5108.139,5108.887,220355550,3834277500.000
20190131,5067.320,5118.291,4994.186,5022.731,292752650,4498486700.000
20190201,5043.416,5188.411,5043.416,5188.411,259195670,4793546100.000
20190211,5191.452,5327.475,5190.345,5327.475,264604270,5080255500.000
20190212,5329.118,5439.353,5321.133,5410.872,441448820,7127340900.000
20190213,5402.889,5484.555,5378.479,5476.385,458009130,7803265800.000
20190214,5479.099,5525.752,5454.143,5506.265,327918030,6174227600.000
20190215,5514.222,5523.818,5482.247,5493.853,317876800,5376852300.000
20190218,5522.440,5692.229,5522.440,5692.229,436942630,7731813100.000
20190219,5721.097,5760.171,5644.552,5715.921,523022040,8878578900.000
20190220,5723.325,5723.325,5645.579,5710.054,397991540,6818951800.000
20190221,5708.002,5782.864,5664.240,5684.668,489280210,8888840700.000
20190222,5683.547,5795.879,5671.707,5795.879,486891380,8066715500.000
