date,open,high,low,close,vol,tradeAmount
20190102,3401.390,3404.200,3312.619,3320.081,73597759,1010574620.000
20190103,3316.453,3346.561,3301.534,3305.512,67033319,868124160.000
20190104,3279.405,3368.772,3276.586,3368.772,93755740,1104257950.000
20190107,3391.658,3421.292,3373.760,3415.581,113450150,1272127500.000
20190108,3411.951,3412.613,3386.892,3394.566,82862098,930017720.000
20190109,3403.493,3448.381,3389.824,3407.727,104152085,1232339770.000
20190110,3404.257,3406.590,3382.339,3391.770,88518118,1012584740.000
20190111,3388.656,3412.031,3367.743,3407.063,102910548,1121125770.000
20190114,3405.422,3405.512,3377.300,3384.594,110130539,1028381360.000
20190115,3386.994,3436.647,3378.650,3435.759,102212446,1015734850.000
20190116,3442.029,3489.120,3437.578,3482.664,104011628,1307582850.000
20190117,3478.609,3478.609,3434.184,3443.334,85298989,992747090.000
20190118,3433.818,3474.922,3433.818,3474.922,108012267,1209022590.000
20190121,3473.207,3507.256,3472.915,3484.796,101864785,1238214080.000
20190122,3482.922,3482.922,3431.033,3442.456,82783876,976778840.000
20190123,3443.704,3453.798,3412.262,3423.701,95000208,891672130.000
20190124,3422.699,3441.855,3401.871,3438.736,95597241,853946680.000
20190125,3443.751,3454.978,3422.284,3423.802,90249861,860450170.000
20190128,3434.877,3446.136,3387.848,3390.768,80629953,863577210.000
20190129,3384.006,3386.502,3309.175,3339.937,89932115,972579150.000
20190130,3325.305,3344.495,3299.705,3302.652,76869556,872961240.000
20190131,3302.390,3326.829,3276.692,3288.613,98010704,971534260.000
20190201,3303.046,3378.229,3303.046,3377.311,92638193,1120092800.000
20190211,3367.735,3441.120,3365.667,3438.422,140522170,1686910800.000
20190212,3432.812,3510.402,3432.045,3508.126,211207270,2233591600.000
20190213,3512.863,3568.751,3503.379,3561.140,247298240,2530213200.000
20190214,3554.316,3592.170,3542.769,3577.246,151109070,1667614300.000
20190215,3574.187,3583.964,3550.528,3556.149,149003910,1530337700.000
20190218,3573.369,3678.597,3573.369,3677.845,193693950,2037021700.000
20190219,3680.009,3700.187,3620.744,3653.834,209817350,2193040800.000
20190220,3660.382,3660.555,3615.645,3651.376,149131450,1653791200.000
20190221,3646.207,3678.452,3622.435,3633.393,190463680,1881680100.000
20190222,3630.157,3682.593,3611.398,3680.861,180042990,1789237700.000
20190225,3693.303,3852.200,3692.771,3852.200,333916190,3602312500.000
20190226,3853.580,3974.542,3830.443,3887.957,365967980,3928419300.000
20190227,3872.541,3902.226,3827.615,3865.904,244806560,2671055200.000
20190228,3861.250,3926.407,3855.287,3899.041,336609890,2916810500.000
20190301,3902.644,3920.748,3861.410,3911.821,321777530,2951965400.000
20190304,3929.648,4019.890,3929.648,3960.787,382789540,3829888700.000
20190305,3962.050,4036.565,3942.890,4036.565,345661230,3358601300.000
20190306,4052.795,4126.421,4038.711,4126.421,468683780,4487115000.000
20190307,4127.227,4143.013,4063.655,4120.048,392170250,3988022600.000
