date,open,high,low,close,vol,tradeAmount
20190102,2621.987,2630.583,2608.790,2619.299,465340340,4990808600.000
20190103,2615.658,2647.222,2591.628,2591.628,579306150,6055060300.000
20190104,2559.712,2656.905,2551.132,2655.026,712010720,7217372200.000
20190107,2675.521,2740.198,2670.363,2734.542,889239200,9479658400.000
20190108,2731.018,2748.133,2714.454,2724.238,698702980,7944552000.000
20190109,2729.660,2804.117,2714.397,2753.963,1088107770,11283858000.000
20190110,2742.350,2768.317,2735.040,2745.065,898422790,8847052700.000
20190111,2747.290,2773.862,2738.813,2765.370,807377730,8058874000.000
20190114,2758.092,2758.493,2707.615,2722.298,650130180,6845018400.000
20190115,2713.230,2764.240,2706.580,2764.125,720347290,7116042800.000
20190116,2765.703,2783.673,2752.343,2755.008,738684830,7817725500.000
20190117,2752.057,2752.340,2701.070,2704.519,642741220,6467384100.000
20190118,2707.564,2734.680,2682.072,2731.750,744141300,7518931400.000
20190121,2734.076,2777.116,2726.141,2771.135,743424590,8923279800.000
20190122,2767.900,2770.167,2736.868,2751.314,664353650,7725719800.000
20190123,2745.462,2759.389,2733.130,2759.389,572447810,6498972800.000
20190124,2753.705,2859.226,2746.845,2825.584,1246148900,14044752000.000
20190125,2820.965,2864.273,2806.747,2819.645,1356723300,13845101000.000
20190128,2834.236,2841.372,2794.673,2797.536,870300350,9720950200.000
20190129,2778.911,2779.307,2671.813,2707.989,834911060,8935357200.000
20190130,2686.965,2721.307,2658.219,2658.219,643056110,6872965000.000
20190131,2655.134,2696.433,2601.527,2626.758,796542300,7642008000.000
20190201,2638.044,2725.244,2638.044,2724.798,703981320,7757244500.000
20190211,2735.849,2815.966,2735.849,2815.966,845012290,9754539300.000
20190212,2814.981,2870.850,2811.526,2863.679,984749690,11472312200.000
20190213,2872.011,2984.863,2872.011,2977.782,1508915100,18269878000.000
20190214,2977.989,2989.627,2945.109,2971.889,1220439420,14098511000.000
20190215,2967.268,3000.327,2965.597,2973.265,1294869790,14128515000.000
20190218,3001.424,3133.682,3000.601,3131.556,1737854800,20095254000.000
20190219,3161.265,3163.437,3081.336,3131.757,1953651400,21995634000.000
20190220,3115.816,3116.358,3062.856,3106.832,1387331600,16241066000.000
20190221,3106.044,3211.070,3100.259,3118.426,1891025500,22473350000.000
