date,open,high,low,close,vol,tradeAmount
20190102,1499.874,1532.601,1493.898,1522.910,256528510,2665177100.000
20190103,1526.201,1538.062,1484.720,1486.365,347390060,3486279900.000
20190104,1451.648,1510.836,1449.439,1508.622,243030800,2459680900.000
20190107,1515.398,1537.705,1507.642,1525.036,223970810,2322008200.000
20190108,1521.377,1528.636,1505.949,1512.082,220098270,2199139300.000
20190109,1516.507,1536.699,1503.746,1524.107,278776070,2645386300.000
20190110,1517.728,1528.949,1502.933,1506.675,228041700,2225942400.000
20190111,1505.232,1510.913,1495.522,1507.252,155485860,1537284800.000
20190114,1509.253,1514.421,1488.545,1494.107,171688510,1676199700.000
20190115,1488.348,1507.400,1467.835,1507.400,171409760,1602812100.000
20190116,1507.581,1528.138,1500.710,1513.305,201052240,1955979000.000
20190117,1509.267,1560.250,1508.935,1553.175,351546920,3545398900.000
20190118,1544.771,1545.103,1514.969,1534.227,266071350,2682096100.000
20190121,1533.222,1540.313,1523.025,1538.455,205811130,1993733900.000
20190122,1534.749,1563.373,1531.645,1534.768,272003580,2693094200.000
20190123,1531.974,1549.101,1520.071,1545.618,255261930,2483890900.000
20190124,1552.651,1552.880,1522.043,1527.314,222381320,2215614900.000
20190125,1525.282,1526.370,1496.132,1501.505,209491340,2054640800.000
20190128,1503.580,1511.264,1494.087,1500.733,162569860,1508986400.000
20190129,1498.142,1500.061,1436.523,1455.996,175265000,1623676200.000
20190130,1450.517,1461.421,1435.808,1438.318,119118394,1026486560.000
20190131,1447.785,1452.142,1398.314,1402.058,177560080,1516770400.000
20190201,1408.872,1445.516,1408.872,1445.516,115423882,978867380.000
20190211,1449.421,1478.198,1445.385,1477.723,124268524,1110747330.000
20190212,1476.448,1492.030,1474.729,1488.319,140092650,1279696970.000
20190213,1498.389,1514.941,1485.272,1511.775,182891280,1757973700.000
20190214,1514.880,1565.047,1511.654,1540.337,271860780,2749854900.000
20190215,1530.733,1544.489,1522.642,1528.471,202386440,2018083400.000
20190218,1541.448,1572.250,1533.302,1572.250,232657300,2355869400.000
20190219,1575.389,1614.365,1567.678,1598.324,308764200,3291399200.000
20190220,1590.772,1591.439,1565.291,1579.874,193296520,2012312400.000
20190221,1579.584,1631.949,1573.748,1589.421,369476220,3957209000.000
20190222,1585.714,1664.670,1579.166,1664.455,360142040,4286946700.000
20190225,1713.225,1792.462,1707.849,1790.282,223325130,3078511500.000
20190226,1822.013,1824.910,1756.827,1761.797,375308210,5646556400.000
20190227,1770.279,1815.920,1768.107,1811.652,416943120,5997098700.000
20190228,1805.743,1824.506,1751.321,1756.208,537821820,7502232200.000
20190301,1738.541,1776.534,1725.395,1767.463,379590950,4826959000.000
20190304,1794.695,1834.283,1790.398,1806.224,453236170,6160588600.000
20190305,1805.734,1926.889,1797.514,1925.293,385553380,5966209900.000
20190306,1961.011,1961.669,1889.446,1949.652,515125670,8352289200.000
20190307,1935.292,2008.573,1932.876,1991.339,472308900,7673995400.000
20190308,1926.307,1978.947,1881.456,1882.050,422938170,6559455900.000
20190311,1895.062,2014.337,1890.396,2012.072,464544800,7509102400.000
20190312,2036.112,2110.089,2019.384,2082.640,480523210,8163885400.000
20190313,2148.895,2268.868,2122.556,2225.871,554578000,11148020400.000
20190314,2203.292,2246.363,2088.096,2115.417,570312180,10461092200.000
20190315,2096.926,2253.563,2096.926,2181.517,676399360,12881843800.000
20190318,2176.862,2176.862,2060.615,2149.117,554578590,9632521400.000
20190319,2117.098,2153.790,2101.756,2143.821,387017210,6507267600.000
20190320,2128.871,2170.993,2094.755,2149.948,383331360,6673747000.000
20190321,2145.463,2251.063,2136.795,2200.115,527684870,9379325100.000
20190322,2264.175,2330.913,2260.368,2329.050,545063650,9984580700.000
20190325,2294.485,2372.942,2282.906,2296.669,530796850,9741941300.000
20190326,2278.190,2285.839,2139.654,2150.759,402921160,6746369000.000
20190327,2151.345,2154.361,2065.336,2117.218,273318640,4320183600.000
20190328,2104.063,2115.909,2043.912,2043.912,243468160,3959917000.000
20190329,2051.413,2108.224,2013.008,2104.195,272039910,4351166500.000
20190401,2149.406,2204.271,2149.406,2193.003,296459740,4886829100.000
20190402,2227.154,2290.522,2208.480,2246.966,384552670,6600303100.000
20190403,2239.949,2327.973,2222.582,2320.837,392920240,7653895900.000
20190404,2364.340,2387.788,2316.304,2326.509,309807260,6128336800.000
20190408,2320.535,2320.923,2223.649,2253.643,362658980,7084719200.000
20190409,2237.519,2262.296,2217.074,2246.922,271176330,5041637200.000
20190410,2224.693,2266.867,2192.893,2252.141,246012050,4459215800.000
20190411,2261.010,2285.527,2221.011,2229.070,224781960,3820882600.000
20190412,2254.715,2274.198,2231.740,2252.598,207438110,3813705400.000
20190415,2271.726,2316.624,2229.063,2238.416,212464190,4093688900.000
20190416,2220.020,2261.672,2174.035,2261.190,201931090,3526183600.000
20190417,2260.331,2283.267,2247.004,2269.402,209855730,3597769100.000
20190418,2257.537,2258.491,2222.314,2233.249,169082240,2832049200.000
20190419,2233.569,2241.171,2201.033,2232.200,148327250,2450839900.000
20190422,2245.934,2294.576,2239.251,2262.771,331669330,5670779800.000
20190423,2276.725,2337.803,2256.862,2314.871,403832870,7660961700.000
20190424,2314.066,2314.066,2224.352,2249.835,330435330,5956122500.000
20190425,2240.927,2269.311,2136.117,2136.117,253436900,4367318300.000
20190426,2129.373,2140.246,2083.348,2087.188,196828550,3166882100.000
20190429,2103.859,2121.065,2045.220,2049.878,184840610,3100690100.000
20190430,2045.515,2119.633,2045.515,2112.683,177940540,2844458600.000
20190506,2011.543,2031.341,1913.098,1922.223,187945820,2837202200.000
20190507,1929.026,1955.212,1873.205,1931.620,163915370,2487299000.000
20190508,1881.125,1954.311,1865.528,1922.748,142346350,2087143300.000
20190509,1902.873,1940.257,1901.003,1906.568,105049911,1591789800.000
20190510,1933.458,1982.751,1884.857,1981.712,192904100,3038368600.000
20190513,1957.779,2030.741,1953.389,2012.229,185617380,2976188000.000
20190514,1980.173,2052.034,1974.076,2003.009,204362760,3404780900.000
20190515,2022.269,2037.725,2010.754,2027.001,153018700,2467047700.000
20190516,2031.132,2034.459,2000.672,2020.063,144279730,2237587400.000
20190517,2018.127,2019.323,1920.152,1929.038,148071450,2221671000.000
20190520,1947.053,1947.053,1883.874,1928.371,107288942,1574868300.000
20190521,1923.088,1993.076,1920.605,1980.747,168938280,2628124300.000
20190522,1978.699,1985.999,1941.089,1953.490,124607755,1924297200.000
20190523,1951.320,2003.320,1913.536,1967.254,184670190,2948483800.000
20190524,1963.530,1976.430,1936.298,1938.778,189250340,2929286600.000
20190527,1941.029,1986.603,1931.434,1982.071,148711570,2300241600.000
20190528,2014.508,2094.082,2014.508,2053.628,302364790,4970541400.000
20190529,2121.187,2143.007,2101.104,2110.787,226461130,3398331100.000
20190530,2070.689,2131.856,2057.117,2110.014,215197240,3103924400.000
20190531,2099.061,2135.401,2077.852,2127.211,178272770,2603564600.000
20190603,2125.967,2160.610,2096.113,2098.454,179380740,2673042600.000
20190604,2110.754,2111.980,2052.939,2071.256,167799330,2405047100.000
20190605,2071.869,2082.073,2007.205,2016.077,159511590,2468739200.000
20190606,2011.680,2011.680,1926.683,1955.784,149210160,2123032000.000
20190610,1951.195,1976.409,1932.252,1957.491,103269871,1469213900.000
20190611,1960.569,2059.676,1955.152,2059.520,223594700,3284944900.000
20190612,2049.749,2053.194,2031.928,2040.896,190948560,2833592000.000
20190613,2047.783,2066.555,2031.916,2049.848,175536190,2639840100.000
20190614,2047.185,2053.157,1981.175,1987.770,154959030,2228933900.000
20190617,1995.956,2011.733,1978.420,1988.969,77720122,1095508180.000
20190618,2019.919,2019.919,1977.636,1983.434,78048396,981150910.000
20190619,2033.350,2045.903,2007.270,2013.817,136030060,2044779300.000
20190620,2005.617,2057.273,1999.400,2044.692,142077190,2054726300.000
20190621,2055.694,2082.376,2049.851,2065.772,174350310,2674454700.000
20190624,2065.721,2065.721,2035.838,2043.635,105556042,1603726100.000
20190625,2041.755,2109.986,1989.382,2096.745,175930120,2944665100.000
20190626,2065.438,2077.921,2049.593,2049.920,118372709,1991642000.000
20190627,2049.729,2073.680,2044.363,2048.505,98569137,1544939700.000
20190628,2048.029,2064.651,2007.290,2048.970,126247363,2143697300.000
20190701,2083.478,2107.351,2077.704,2107.305,157036370,2653181800.000
20190702,2103.376,2103.376,2080.595,2086.351,111485153,1809587000.000
20190703,2084.364,2101.227,2070.154,2089.555,109169202,1624505400.000
20190704,2096.711,2119.456,2080.691,2087.789,101950838,1439834400.000
20190705,2082.273,2095.515,2066.551,2086.824,81351040,1162292950.000
20190708,2081.172,2081.172,2026.225,2036.194,142961730,2195841200.000
20190709,2025.821,2032.818,1985.927,2009.218,123116405,1818626900.000
20190710,2003.047,2009.351,1961.426,1970.390,122647318,1569022600.000
20190711,1974.347,1991.447,1944.350,1960.356,95273289,1272359670.000
20190712,1958.884,1973.256,1942.186,1964.129,78235883,1070807950.000
20190715,1959.772,1981.491,1925.598,1973.811,78782631,1040929880.000
20190716,1973.874,1979.759,1967.947,1972.390,56683698,776335760.000
20190717,1977.276,2001.217,1970.006,1996.896,98503505,1487264100.000
20190718,1986.125,1986.125,1961.875,1963.009,71212787,1118881660.000
20190719,1965.672,1995.751,1965.672,1990.693,85212756,1490646700.000
20190722,2004.706,2004.706,1901.889,1906.424,146805990,2014455600.000
20190723,1908.432,1923.278,1898.307,1923.278,89581515,1261541810.000
20190724,1930.319,1948.085,1923.903,1929.267,83856493,1237921260.000
20190725,1933.641,1956.183,1927.279,1949.917,85482186,1460185700.000
20190726,1954.179,1973.574,1945.743,1966.592,104008893,1722326200.000
20190729,1969.166,1969.166,1942.020,1946.250,68024058,1036343390.000
20190730,1947.973,1967.281,1947.474,1951.399,74777683,1101261080.000
20190731,1937.466,1937.610,1905.415,1907.691,129229931,1602620700.000
20190801,1899.072,1908.341,1886.480,1890.915,85086195,1139429250.000
20190802,1844.384,1849.896,1831.172,1845.614,120615443,1641372900.000
20190805,1836.832,1860.659,1831.871,1839.488,93937797,1423244900.000
20190806,1811.907,1815.257,1721.701,1772.020,153571760,2315864000.000
20190807,1791.892,1794.351,1750.455,1751.012,123195999,1903634500.000
20190808,1745.251,1751.817,1726.078,1732.607,87368508,1155118880.000
20190809,1735.964,1750.629,1703.104,1707.723,106988523,1638984800.000
20190812,1711.433,1729.305,1707.028,1729.305,73207081,1001193530.000
20190813,1720.213,1725.714,1707.030,1713.557,66518411,859792550.000
20190814,1732.785,1738.089,1717.231,1719.480,75466383,920322960.000
20190815,1678.004,1713.331,1670.794,1711.136,95826342,1237138530.000
20190816,1710.970,1725.371,1705.999,1709.734,81527409,1017890340.000
20190819,1720.106,1759.848,1718.112,1759.848,115314187,1444787700.000
20190820,1767.051,1791.857,1761.663,1770.224,132101348,1865691500.000
20190821,1778.791,1857.003,1775.359,1831.267,190155570,2724292600.000
20190822,1835.694,1838.384,1799.262,1811.669,202140370,2496776300.000
20190823,1810.829,1821.964,1796.609,1804.071,143584640,1774432300.000
20190826,1751.989,1769.505,1743.543,1763.824,111194122,1323849490.000
20190827,1778.651,1803.861,1776.134,1791.003,113038381,1403442600.000
20190828,1790.026,1791.008,1779.815,1786.806,81771495,970922060.000
20190829,1792.277,1792.277,1769.185,1781.189,95792116,1309518350.000
20190830,1795.445,1799.568,1740.826,1742.489,104354896,1392553500.000
20190902,1745.843,1779.728,1741.769,1774.816,81253331,987960490.000
20190903,1777.774,1780.435,1766.849,1775.285,79609351,970896260.000
20190904,1770.198,1793.013,1767.333,1793.013,109912015,1244862290.000
20190905,1801.801,1840.570,1801.801,1814.496,174749080,2138739500.000
20190906,1823.547,1826.819,1801.429,1813.505,96268854,1159099310.000
20190909,1835.038,1850.978,1820.955,1850.818,156999080,1858995500.000
20190910,1849.033,1849.033,1830.378,1841.502,107153851,1285738170.000
20190911,1850.167,1859.120,1843.539,1843.794,136526200,1644835000.000
20190912,1850.713,1870.045,1850.713,1859.223,133892740,1747478100.000
20190916,1860.399,1869.747,1848.452,1859.217,109508271,1362209000.000
20190917,1856.845,1856.845,1805.109,1811.756,113130532,1404795400.000
20190918,1814.209,1847.178,1814.209,1835.891,124191200,1532645400.000
20190919,1838.446,1852.267,1821.530,1851.599,107239699,1280455200.000
20190920,1851.838,1875.792,1845.197,1862.395,109236146,1402965700.000
20190923,1856.593,1856.593,1819.088,1830.144,92376694,1090480330.000
20190924,1828.231,1845.601,1825.152,1833.868,81562970,943190530.000
20190925,1829.113,1829.113,1790.888,1792.409,86908433,996011100.000
20190926,1791.756,1791.756,1743.051,1743.239,102731282,1159536500.000
20190927,1746.885,1762.719,1746.885,1756.150,51503050,561616010.000
20190930,1754.542,1760.125,1739.457,1739.457,45429198,493496330.000
20191008,1746.248,1761.350,1740.463,1748.073,47796679,537413830.000
20191009,1742.379,1757.356,1728.804,1757.356,49676472,557576150.000
20191010,1757.882,1764.903,1750.525,1764.903,60224491,664887700.000
20191011,1766.396,1774.998,1757.455,1769.072,57851187,646171130.000
20191014,1783.388,1800.007,1780.319,1786.635,73318379,858886910.000
20191015,1784.674,1785.257,1768.049,1772.180,59936746,655666900.000
20191016,1774.363,1788.383,1767.907,1769.550,52995958,625224620.000
20191017,1766.665,1770.911,1748.811,1754.930,46423618,501153730.000
20191018,1757.940,1761.779,1726.221,1734.343,54416465,630823580.000
20191021,1733.607,1753.281,1708.569,1747.386,65283175,829640580.000
