date,open,high,low,close,vol,tradeAmount
20190102,869.508,882.556,865.358,878.808,418367420,4580263000.000
20190103,879.400,931.809,879.400,911.569,918673790,9576176300.000
20190104,903.505,935.513,902.905,933.527,1012858770,9456138000.000
20190107,941.410,983.190,939.794,979.528,1244144310,12363803100.000
20190108,978.159,978.159,955.566,959.075,1093647180,11090069200.000
20190109,956.278,965.099,947.589,947.589,890834950,9308466000.000
20190110,946.058,952.762,941.818,945.928,640711550,6775519900.000
20190111,946.881,966.474,946.805,963.847,691198490,7879079300.000
20190114,963.614,964.751,945.174,948.765,552939440,6492750900.000
20190115,948.069,958.989,945.935,958.989,541929190,6137151800.000
20190116,958.302,959.178,947.629,947.766,507512350,5502682300.000
20190117,947.309,947.797,932.032,932.515,423806880,4569081500.000
20190118,934.173,940.397,927.629,937.819,424446220,4530832200.000
20190121,938.724,945.450,934.828,942.477,372102290,4252497200.000
20190122,940.641,941.229,926.894,931.416,416434760,4851371100.000
20190123,928.059,932.736,925.161,932.736,290027630,3460011300.000
20190124,932.012,947.538,928.209,943.556,488116450,5686663900.000
20190125,940.920,941.339,928.298,928.372,406180990,4493157900.000
20190128,933.500,935.257,918.833,920.327,379741720,4104472500.000
20190129,918.530,918.530,885.339,897.051,439042150,4585293200.000
20190130,894.952,910.519,892.902,894.754,363375590,3721664800.000
20190131,890.986,892.626,868.335,874.560,440954060,4427815100.000
20190201,877.075,897.022,877.075,897.022,343841460,3447045600.000
20190211,900.919,921.332,900.905,921.332,426847180,4564746300.000
20190212,920.425,931.816,919.617,928.877,471895550,5038361400.000
20190213,929.326,953.696,927.698,951.769,757024870,8088477600.000
20190214,950.120,956.510,946.789,952.214,565537420,6023088500.000
20190215,950.632,958.855,948.382,950.326,526640470,5884438700.000
20190218,956.997,985.566,956.997,985.248,799534360,8831023600.000
20190219,987.806,1003.354,972.394,1003.354,976857370,10927956400.000
20190220,998.532,1022.414,985.743,1011.525,1159818360,11437597700.000
20190221,1013.543,1029.468,1000.462,1005.575,1286969110,13952735000.000
20190222,1000.532,1026.879,999.429,1026.879,972699130,10812146400.000
20190225,1037.083,1088.268,1036.343,1083.727,1686499800,18953892000.000
20190226,1083.486,1098.903,1069.275,1076.448,1505220100,17019447000.000
20190227,1075.186,1133.599,1074.298,1100.938,1708619700,18859383000.000
20190228,1115.770,1126.920,1092.724,1105.746,1217388550,13387392800.000
20190301,1109.934,1111.552,1085.064,1109.371,1178204850,12448430600.000
20190304,1114.712,1143.912,1114.309,1135.168,1689333400,18278651000.000
20190305,1132.791,1179.550,1126.671,1179.550,1682138100,18942765000.000
20190306,1185.135,1193.825,1166.884,1193.392,1598519200,18783250000.000
20190307,1191.209,1209.773,1178.031,1198.882,1567780800,18438025000.000
20190308,1168.046,1207.766,1145.429,1145.967,1698530400,20152132000.000
20190311,1153.647,1192.158,1153.647,1192.158,1353555300,15938501000.000
20190312,1205.220,1247.739,1200.418,1239.042,1983753200,24611440000.000
20190313,1246.332,1275.903,1204.202,1214.575,1994868900,26257907000.000
20190314,1203.198,1213.809,1150.665,1179.324,1517732900,18655668000.000
20190315,1188.278,1195.322,1168.632,1179.153,1093553950,13743712000.000
20190318,1178.841,1203.578,1168.504,1203.578,1098244140,12567791400.000
20190319,1207.291,1229.970,1202.861,1219.189,1234214970,15482151000.000
20190320,1220.908,1220.908,1186.260,1215.345,1091356270,13188838100.000
20190321,1216.919,1232.809,1213.337,1223.270,1094719490,12969781500.000
20190322,1222.406,1233.992,1211.497,1231.843,1173048500,14988621000.000
20190325,1224.301,1317.110,1220.842,1289.844,2737657500,32861025000.000
