date,open,high,low,close,vol,tradeAmount
20190102,1559.630,1563.664,1548.574,1550.955,446867620,2241685300.000
20190103,1552.478,1564.224,1544.881,1548.287,374245360,1918076300.000
20190104,1537.324,1578.591,1529.062,1578.591,510771340,2489221300.000
20190107,1587.118,1601.095,1579.973,1597.997,549651580,2752298500.000
20190108,1596.589,1605.346,1589.965,1602.873,430606650,2272608300.000
20190109,1604.383,1623.619,1603.219,1603.797,602349560,3087306500.000
20190110,1604.833,1611.688,1596.375,1599.372,441014210,2300323300.000
20190111,1599.790,1619.343,1594.093,1619.157,447777290,2269455600.000
20190114,1617.914,1621.407,1608.945,1611.002,445715370,2360758500.000
20190115,1608.657,1623.655,1604.653,1623.508,432266140,2296243800.000
20190116,1622.894,1627.135,1615.311,1619.260,422642470,2204930000.000
20190117,1617.647,1631.058,1608.381,1612.940,525923010,2480036500.000
20190118,1614.466,1625.694,1612.037,1624.057,743738920,3348101100.000
20190121,1623.822,1634.478,1622.632,1632.999,642560920,3046939800.000
20190122,1630.480,1630.480,1607.638,1613.604,514467200,2519325400.000
20190123,1611.067,1630.623,1609.547,1629.643,513036470,2471187200.000
20190124,1632.715,1634.417,1619.120,1629.169,642564860,3075794100.000
20190125,1630.175,1641.160,1624.927,1627.375,561902860,2841249200.000
20190128,1635.917,1639.754,1612.980,1613.391,652214500,3267069200.000
20190129,1606.415,1607.315,1562.232,1588.631,678380630,3189751800.000
20190130,1579.770,1587.097,1563.804,1564.811,494426500,2319674200.000
20190131,1561.623,1574.384,1533.230,1544.156,549995720,2624322600.000
20190201,1552.117,1585.107,1552.117,1584.912,477650210,2338051000.000
20190211,1588.322,1625.462,1588.322,1625.462,640323540,3157330900.000
20190212,1624.830,1645.640,1622.635,1643.115,709839100,3563612900.000
20190213,1643.066,1672.178,1639.830,1669.475,880368510,4516504100.000
20190214,1667.554,1676.925,1663.196,1668.964,680454290,3433727400.000
20190215,1667.733,1675.934,1661.142,1663.564,623307510,3177129900.000
20190218,1673.979,1712.531,1673.979,1712.531,910782160,4682190700.000
20190219,1717.773,1725.563,1695.984,1716.911,948270690,4856569200.000
20190220,1716.830,1725.738,1704.368,1723.193,692857450,3694922300.000
20190221,1722.662,1742.611,1708.069,1713.294,1009113020,4864587700.000
20190222,1710.502,1741.563,1707.066,1741.563,965047690,4763142800.000
20190225,1754.518,1815.720,1754.409,1815.455,1997195400,10335715700.000
20190226,1814.459,1851.981,1798.340,1820.590,1958002500,9971374700.000
20190227,1817.331,1841.021,1805.082,1820.303,1492983600,7561287400.000
20190228,1824.487,1842.701,1818.460,1833.454,1239562420,6289104400.000
