date,open,high,low,close,vol,tradeAmount
20190102,2479.631,2483.272,2455.431,2465.063,289550680,2712037200.000
20190103,2463.800,2477.816,2443.888,2446.004,311298330,2853156000.000
20190104,2426.382,2493.518,2417.763,2493.303,342121370,2987324100.000
20190107,2504.422,2541.325,2499.523,2534.192,320510200,2887777700.000
20190108,2533.652,2538.683,2520.251,2538.637,329594950,2811123300.000
20190109,2538.590,2579.618,2536.424,2558.316,430463440,3885816200.000
20190110,2551.518,2573.223,2546.774,2553.549,346314990,3015621100.000
20190111,2550.360,2574.889,2540.338,2574.889,296744680,2777570900.000
20190114,2574.318,2577.392,2545.974,2550.511,340337940,3203160300.000
20190115,2538.118,2567.276,2529.496,2566.895,345869360,3080662700.000
20190116,2566.640,2577.460,2563.280,2573.036,290357060,2790696900.000
20190117,2574.201,2578.719,2557.257,2561.477,332783700,2964623500.000
20190118,2562.590,2593.617,2555.007,2593.617,357403640,3750903800.000
20190121,2591.669,2607.038,2587.648,2600.199,310273970,3429304600.000
20190122,2599.581,2599.581,2565.011,2572.942,300925160,3063504100.000
20190123,2571.920,2583.445,2561.963,2583.445,270488350,2708627400.000
20190124,2587.503,2589.721,2569.492,2577.945,296308290,2468723900.000
20190125,2573.708,2586.675,2560.588,2565.906,416917260,3364017400.000
20190128,2571.373,2586.320,2546.772,2551.946,338094630,2974518000.000
20190129,2538.360,2539.109,2468.771,2507.996,344541480,2961373600.000
20190130,2491.662,2499.285,2462.828,2463.638,297807420,2783254100.000
20190131,2447.419,2463.873,2391.962,2403.529,366376830,3220474600.000
20190201,2409.201,2469.554,2409.201,2469.554,250485610,2279033300.000
20190211,2482.309,2532.211,2479.293,2532.211,266938380,2467894800.000
20190212,2535.865,2571.005,2532.454,2570.891,360805220,3132926200.000
20190213,2568.807,2604.476,2561.248,2602.278,536056650,4042835300.000
20190214,2603.081,2620.299,2591.431,2612.051,479641760,4194099600.000
20190215,2610.221,2614.229,2593.621,2598.730,425470820,3733120500.000
20190218,2610.437,2678.404,2610.437,2678.404,532080080,4812783500.000
20190219,2693.002,2703.277,2660.094,2693.020,722919080,6164943000.000
20190220,2696.907,2714.008,2679.962,2714.008,646168060,5352351400.000
20190221,2711.649,2746.968,2699.555,2714.380,796834200,6367850100.000
20190222,2704.974,2754.424,2700.451,2754.424,644244540,5681258800.000
20190225,2778.327,2878.932,2772.124,2878.932,1087278610,9834612000.000
20190226,2876.496,2917.072,2849.315,2859.395,970496830,9004451200.000
20190227,2847.586,2886.365,2822.771,2857.789,868005140,7888831900.000
20190228,2854.122,2882.630,2846.781,2870.626,698423440,6268349400.000
20190301,2881.424,2891.101,2856.569,2888.828,626290800,5619637100.000
20190304,2900.490,2960.885,2896.628,2923.937,863804780,8301856700.000
20190305,2919.806,2988.261,2908.011,2988.261,797668330,7651727700.000
20190306,3000.130,3057.632,2972.260,3057.003,1052848240,9448686000.000
20190307,3056.439,3142.401,3042.882,3120.212,996211990,9825155300.000
20190308,3066.201,3092.495,2965.893,2965.893,897438890,8840306200.000
20190311,2972.678,3070.226,2972.678,3069.866,669088240,6730488500.000
20190312,3090.187,3143.012,3068.221,3118.376,846487780,8472389600.000
20190313,3125.881,3145.889,3060.597,3079.970,813565860,7942072900.000
20190314,3066.456,3081.230,2973.973,3003.204,655222780,6226891700.000
20190315,3012.629,3068.350,3012.629,3055.922,671690540,7481416800.000
20190318,3060.546,3133.485,3046.833,3133.485,706010030,7600107900.000
20190319,3137.015,3156.422,3124.418,3151.590,699710060,7772224100.000
20190320,3149.306,3154.487,3096.877,3149.463,674614200,6901750800.000
20190321,3155.472,3199.499,3146.877,3174.072,745871690,7856379500.000
20190322,3173.589,3204.826,3139.980,3204.763,658338270,7449641400.000
20190325,3146.546,3239.680,3138.680,3199.288,635062760,7554801100.000
20190326,3212.096,3243.924,3157.804,3167.642,720850560,8018830800.000
20190327,3182.893,3200.276,3107.024,3200.276,606473900,6923859800.000
20190328,3186.642,3230.111,3159.500,3162.388,587371000,6940912400.000
20190329,3158.227,3231.969,3131.693,3231.929,710986910,7529331800.000
20190401,3250.500,3355.226,3250.500,3354.472,852938890,9679700400.000
20190402,3369.053,3380.435,3341.891,3373.840,796710180,8589465600.000
20190403,3352.912,3395.280,3338.902,3395.280,710648290,7395112100.000
20190404,3400.256,3405.847,3359.296,3388.504,708614740,7163665700.000
20190408,3397.634,3405.876,3313.377,3365.065,906637470,9673806700.000
20190409,3355.933,3395.329,3348.910,3387.627,672681740,7434510900.000
20190410,3363.778,3413.176,3339.344,3389.804,749563630,7739622200.000
20190411,3376.761,3381.353,3315.729,3329.089,651343460,6631859700.000
20190412,3313.991,3324.257,3280.095,3303.047,590869460,6151978000.000
20190415,3321.306,3352.199,3284.145,3286.956,622666480,6758533900.000
20190416,3272.326,3322.711,3222.884,3322.711,626285080,6498226900.000
20190417,3312.241,3352.230,3312.176,3335.300,776490410,7167616500.000
20190418,3335.391,3337.623,3300.088,3308.079,640990770,6020779300.000
