date,open,high,low,close,vol,tradeAmount
20190102,2467.871,2472.826,2435.770,2436.334,469221710,3941306700.000
20190103,2434.999,2453.635,2407.521,2407.521,452925960,3809868500.000
20190104,2380.859,2463.572,2367.205,2463.328,546374660,4658567800.000
20190107,2478.798,2512.166,2475.777,2510.859,561911610,4704996300.000
20190108,2505.346,2528.610,2495.160,2512.510,553437150,4461018700.000
20190109,2511.434,2550.058,2511.434,2515.649,588784250,4996629500.000
20190110,2512.741,2533.585,2505.245,2511.527,472003400,3871225100.000
20190111,2512.643,2547.523,2504.634,2547.523,556920370,4788299600.000
20190114,2549.287,2556.164,2540.239,2544.614,534801710,4480552600.000
20190115,2538.103,2574.962,2537.644,2574.751,555354260,4971897000.000
20190116,2574.958,2582.488,2561.684,2562.690,613290110,5518404800.000
20190117,2561.554,2562.828,2530.955,2535.205,513895600,4495552100.000
20190118,2539.988,2564.826,2539.988,2563.907,582070750,4998123000.000
20190121,2573.162,2582.979,2567.390,2579.446,563855230,4911784600.000
20190122,2578.888,2579.191,2536.402,2545.153,503887940,4412351000.000
20190123,2541.319,2559.554,2540.150,2559.554,411319100,3832577100.000
20190124,2563.524,2568.393,2545.089,2560.385,427471810,3831481600.000
20190125,2562.278,2571.573,2546.207,2546.643,545035550,5303553600.000
20190128,2554.058,2563.064,2521.774,2524.134,534529600,4952743300.000
20190129,2518.314,2518.314,2441.197,2484.734,617321540,5364262600.000
20190130,2473.108,2497.461,2461.832,2461.888,443964320,3710177300.000
20190131,2464.399,2472.396,2400.564,2409.662,515871350,4350067000.000
20190201,2425.401,2484.050,2425.401,2483.657,465680330,4263378700.000
20190211,2494.418,2540.423,2494.418,2540.423,565771420,5244717800.000
20190212,2539.693,2579.144,2537.426,2571.371,657532910,5714646100.000
20190213,2571.527,2608.740,2565.557,2603.585,827218690,7090818800.000
20190214,2602.653,2621.515,2596.339,2610.291,690219550,6015918300.000
20190215,2606.704,2612.603,2590.850,2597.356,624235570,5895032500.000
20190218,2610.688,2679.909,2610.688,2679.909,924022470,8482141300.000
20190219,2692.614,2705.343,2652.286,2687.493,958874320,8313751500.000
20190220,2692.838,2714.292,2672.361,2714.292,752475030,6533774800.000
20190221,2716.005,2738.928,2678.243,2684.913,947239170,8112266000.000
20190222,2675.984,2721.702,2670.184,2721.702,882782520,7905335700.000
20190225,2738.166,2853.427,2735.339,2849.784,1678027400,15044181000.000
20190226,2850.656,2906.851,2816.747,2847.083,1782227400,15634682000.000
20190227,2840.782,2878.329,2807.732,2838.365,1231515490,10972972100.000
20190228,2846.409,2892.449,2846.409,2888.388,1175792070,10546006800.000
20190301,2900.034,2940.341,2899.859,2932.945,1484682500,14651536000.000
20190304,2953.140,3014.044,2946.937,2979.442,1883287400,18266001000.000
20190305,2974.425,3029.919,2962.967,3029.919,1639716800,13881895000.000
20190306,3037.972,3084.467,3010.560,3084.467,1720929200,14727213000.000
20190307,3087.415,3158.989,3064.758,3137.235,1901399000,16843336000.000
20190308,3079.238,3118.587,2974.466,2974.466,1744527900,15348720000.000
20190311,2983.646,3082.641,2983.646,3082.641,1304148420,11766449700.000
20190312,3108.178,3153.573,3079.783,3128.426,1525948000,13924088000.000
20190313,3132.532,3151.903,3070.002,3086.565,1502874800,13962337000.000
20190314,3079.044,3126.261,3018.702,3053.182,1720398700,17485973000.000
