date,open,high,low,close,vol,tradeAmount
20190102,2511.480,2517.403,2490.908,2495.137,899340780,6909768200.000
20190103,2496.177,2512.493,2473.221,2475.342,877267090,6687314500.000
20190104,2453.509,2538.713,2445.103,2538.713,1247175480,8878334900.000
20190107,2556.602,2587.091,2555.024,2585.754,1400018300,10076304300.000
20190108,2586.059,2595.288,2574.425,2591.326,1224997620,8666769200.000
20190109,2595.901,2620.149,2590.809,2594.495,1405368300,10388771900.000
20190110,2593.561,2606.163,2582.206,2589.158,1124910460,8687194400.000
20190111,2592.776,2621.582,2590.007,2621.582,1153405060,8177296500.000
20190114,2624.762,2626.214,2599.223,2600.897,1199643660,9522597900.000
20190115,2591.811,2617.595,2585.600,2617.595,1323161150,9343761700.000
20190116,2617.307,2621.949,2603.827,2611.768,1136220430,8287404200.000
20190117,2609.352,2610.710,2584.167,2586.536,1162097740,8227711100.000
20190118,2593.785,2607.348,2582.989,2603.625,1412392900,9663843100.000
20190121,2606.894,2620.132,2604.403,2615.599,1286116070,8623525000.000
20190122,2613.257,2613.257,2588.505,2594.891,1223037920,9015992200.000
20190123,2590.056,2600.118,2586.621,2599.896,1144924830,8977547200.000
20190124,2599.413,2602.455,2580.635,2596.781,1288554330,9961004300.000
20190125,2600.669,2603.199,2574.500,2574.500,1231675770,9347347900.000
20190128,2582.649,2587.584,2540.932,2544.015,1052005480,7370016700.000
20190129,2536.319,2536.319,2457.972,2489.360,1120980380,7539733400.000
20190130,2469.595,2487.248,2454.503,2455.172,818433140,5474310100.000
20190131,2448.979,2464.017,2404.589,2418.779,959256450,6349331000.000
20190201,2427.028,2478.996,2427.028,2478.996,906033380,5899528700.000
20190211,2487.063,2535.646,2486.853,2535.531,1103720360,7516976100.000
20190212,2539.538,2570.012,2533.850,2567.255,1329864990,9080912800.000
20190213,2565.938,2606.001,2556.860,2603.411,1774997300,12317920400.000
20190214,2598.936,2621.061,2590.489,2614.015,1424032500,9999923500.000
20190215,2610.960,2634.331,2605.540,2617.698,1643513000,11760539200.000
20190218,2628.901,2690.502,2628.901,2690.502,1990057300,14513410000.000
20190219,2706.514,2721.402,2669.280,2699.327,2136516900,15347029000.000
20190220,2703.787,2704.954,2673.696,2703.090,1542315500,11019850400.000
20190221,2698.429,2735.496,2683.399,2691.115,2026757500,15056786000.000
20190222,2690.071,2731.819,2686.521,2731.819,1851840300,13891370000.000
20190225,2754.069,2859.723,2747.931,2859.203,3970292200,28300399000.000
20190226,2865.392,2944.830,2834.533,2887.356,4972412700,35683901000.000
20190227,2880.802,2926.262,2848.578,2882.345,3822823900,25625314000.000
20190228,2881.439,2908.123,2870.310,2890.401,2526868500,17238551000.000
20190301,2896.518,2908.948,2869.729,2908.948,2492541500,16806434000.000
20190304,2925.677,2990.396,2920.502,2950.956,4309201400,30534469000.000
20190305,2944.897,3017.626,2933.982,3017.626,4096573100,27950667000.000
20190306,3033.122,3075.593,3003.157,3075.593,4325447300,30795179000.000
20190307,3075.010,3152.362,3064.741,3131.113,4487719200,32478581000.000
20190308,3070.640,3106.385,2962.222,2962.222,4158103700,29244364000.000
20190311,2965.033,3074.014,2965.033,3074.014,2992600400,21886425000.000
20190312,3092.730,3150.568,3071.367,3120.484,3760454600,27626880000.000
20190313,3125.054,3165.168,3069.602,3086.802,3549879600,25471844000.000
20190314,3067.067,3081.186,2966.081,2994.680,2609356600,18863296000.000
20190315,3012.099,3073.836,3012.099,3060.108,2720521400,20069985000.000
20190318,3074.658,3155.138,3058.234,3155.138,3779162700,29583014000.000
20190319,3173.619,3177.000,3137.441,3161.868,3143766300,25290698000.000
20190320,3164.770,3185.143,3123.752,3178.708,2828691700,23444972000.000
20190321,3187.346,3226.470,3182.935,3209.998,3165987100,25533784000.000
20190322,3216.320,3249.413,3182.228,3246.680,3056227300,24705768000.000
20190325,3201.443,3263.095,3189.681,3216.955,3054213100,24659474000.000
20190326,3231.023,3245.057,3127.006,3135.490,2954156600,23447851000.000
20190327,3146.444,3159.347,3075.629,3130.615,2197814300,17359310000.000
20190328,3107.638,3141.714,3080.733,3082.132,2093837800,16476265000.000
20190329,3080.409,3163.907,3051.086,3163.907,2630798900,20038916000.000
20190401,3176.929,3263.349,3176.929,3262.402,3621148500,28561237000.000
20190402,3277.005,3302.694,3261.028,3276.575,3401418300,27094507000.000
20190403,3261.557,3313.921,3245.251,3313.921,4294715300,33038690000.000
20190404,3327.863,3331.855,3282.017,3324.665,3942390900,31839602000.000
20190408,3338.631,3362.522,3270.945,3321.184,3862157700,31268817000.000
20190409,3319.128,3344.285,3296.980,3338.264,3157352100,25478831000.000
20190410,3323.288,3352.999,3298.738,3327.397,3030199700,24024749000.000
20190411,3325.449,3327.750,3259.674,3260.400,2895514200,21842568000.000
20190412,3255.074,3277.917,3236.867,3273.720,2310574300,17700715000.000
20190415,3306.832,3320.130,3249.601,3249.601,2919915100,22124784000.000
