date,open,high,low,close,vol,tradeAmount
20190102,1450.603,1452.907,1435.023,1440.186,958979880,5806670500.000
20190103,1438.202,1451.455,1431.397,1435.753,944760090,5775361300.000
20190104,1423.060,1470.981,1419.963,1470.935,1773049300,9556463400.000
20190107,1481.568,1492.622,1480.060,1490.825,1600445500,9420741100.000
20190108,1487.412,1488.055,1479.947,1485.879,1116904960,6264527800.000
20190109,1488.745,1506.233,1488.219,1489.609,1467852000,8534240500.000
20190110,1488.920,1494.709,1480.619,1483.114,1032235550,5950354900.000
20190111,1487.610,1495.730,1482.686,1495.730,1064968100,6050411400.000
20190114,1495.001,1497.778,1485.560,1488.631,1024250990,5747180500.000
20190115,1486.191,1499.427,1478.053,1499.427,1165130530,7409381300.000
20190116,1500.096,1506.230,1497.568,1503.266,1343996000,7601152600.000
20190117,1501.505,1501.505,1486.369,1488.330,1281224660,7387146200.000
20190118,1487.592,1495.402,1481.940,1493.477,1245282010,7402194700.000
20190121,1495.865,1501.227,1490.743,1493.706,1064665650,6629328500.000
20190122,1494.452,1504.273,1480.759,1484.027,1171217180,7498829200.000
20190123,1481.608,1486.643,1477.135,1482.866,997866320,5450267400.000
20190124,1482.598,1487.271,1473.777,1483.250,1149414410,6385711300.000
20190125,1488.632,1493.347,1477.413,1477.413,1328337820,8640019300.000
20190128,1484.300,1490.859,1468.651,1470.092,1166276000,7022904000.000
20190129,1465.184,1465.184,1428.509,1452.347,1520837400,9269621000.000
20190130,1444.573,1473.106,1442.217,1452.107,1406248600,10299346400.000
20190131,1447.617,1454.207,1420.071,1426.228,1430133000,8664546700.000
20190201,1432.602,1458.301,1432.602,1458.191,1162525660,8032788200.000
20190211,1459.625,1488.310,1459.578,1488.195,1285232020,8970073300.000
20190212,1488.020,1511.116,1486.874,1507.724,1608027600,10323605600.000
20190213,1507.806,1530.281,1503.832,1529.039,1916298800,13094608700.000
20190214,1530.303,1540.684,1527.151,1535.374,1615302300,10906771400.000
20190215,1533.392,1536.853,1525.200,1527.473,1686643500,11538389300.000
20190218,1536.677,1570.097,1536.677,1570.097,2117767600,13978039000.000
20190219,1585.110,1595.436,1567.031,1580.276,2869489200,18673544000.000
20190220,1581.419,1591.176,1573.048,1590.410,2624944300,17860273000.000
20190221,1588.633,1602.447,1572.104,1576.885,2428932000,15504484000.000
20190222,1575.193,1605.824,1571.600,1605.824,2292525500,14442973000.000
20190225,1620.257,1688.469,1620.257,1687.362,4252923400,29787525000.000
20190226,1694.556,1719.050,1677.371,1690.563,4339341900,28880741000.000
20190227,1688.908,1730.339,1688.186,1710.972,3957180900,26044887000.000
20190228,1712.448,1737.788,1707.855,1716.070,3122389600,19780861000.000
20190301,1716.755,1722.622,1699.556,1722.622,2735322000,18513633000.000
20190304,1731.413,1781.800,1730.759,1757.312,4650377300,35554367000.000
20190305,1755.286,1797.386,1748.628,1797.386,3818623900,27759946000.000
20190306,1803.450,1829.447,1785.010,1829.447,4437650100,29131328000.000
20190307,1827.440,1856.324,1812.825,1845.669,4533975300,30903209000.000
20190308,1812.653,1824.527,1737.838,1737.838,4248677400,28396683000.000
20190311,1732.914,1789.721,1732.914,1789.626,3116562400,22671552000.000
20190312,1803.980,1831.586,1787.508,1810.417,3485488700,24811899000.000
20190313,1817.207,1852.946,1800.946,1823.045,4082488200,29533072000.000
20190314,1817.715,1840.520,1758.578,1775.330,3271913100,22599733000.000
20190315,1777.809,1840.943,1777.809,1829.319,3478633700,27110678000.000
20190318,1838.692,1877.225,1820.236,1877.225,3845388600,30940841000.000
20190319,1879.130,1904.653,1868.910,1881.206,3326361200,26940537000.000
20190320,1878.247,1899.500,1850.019,1897.210,3391213400,25699994000.000
20190321,1896.209,1919.463,1892.732,1909.715,3672375000,27243453000.000
20190322,1906.968,1928.849,1889.165,1928.849,2976420000,21531924000.000
20190325,1899.513,1937.988,1892.550,1911.696,3230270600,23816234000.000
20190326,1918.698,1925.538,1860.352,1864.467,3033492600,21730534000.000
20190327,1872.091,1878.664,1835.968,1873.682,2448245200,18204113000.000
20190328,1868.321,1878.395,1835.825,1835.825,2467292800,18162033000.000
20190329,1838.339,1906.797,1829.741,1906.797,3479642600,27569356000.000
20190401,1923.128,1973.664,1922.721,1968.124,4521874400,36121053000.000
20190402,1984.046,1991.378,1970.716,1981.892,3961087400,29185193000.000
20190403,1972.195,2015.831,1966.052,2014.463,3610468200,27501505000.000
20190404,2024.867,2030.001,2003.354,2025.702,3537272600,27780161000.000
20190408,2032.361,2043.237,1980.908,2010.533,3601068900,28548504000.000
20190409,2013.171,2049.076,2013.171,2048.649,3526527700,30273432000.000
20190410,2037.009,2063.967,2025.893,2049.751,3579340300,26968719000.000
20190411,2056.921,2063.316,2021.741,2030.737,3640556900,26880700000.000
20190412,2024.448,2034.152,2004.999,2020.052,2781266800,21238500000.000
20190415,2043.361,2055.336,2014.428,2014.523,3311912100,25591823000.000
20190416,2004.619,2037.809,1963.955,2037.809,3574798800,26727610000.000
20190417,2037.127,2052.220,2031.814,2043.212,3569574400,25466279000.000
20190418,2045.013,2045.013,2016.165,2019.829,2639588800,18987681000.000
20190419,2020.733,2031.515,1998.158,2027.307,2622088000,18708413000.000
20190422,2024.255,2024.255,1973.293,1978.399,3489759400,29403924000.000
20190423,1974.699,1985.630,1956.140,1963.154,2899812400,21434205000.000
20190424,1966.805,1970.255,1935.712,1963.865,2342307500,17199208000.000
20190425,1959.418,1960.121,1884.257,1885.520,2642530500,17955273000.000
20190426,1876.654,1890.563,1864.772,1865.610,2272131500,15585604000.000
20190429,1864.730,1869.817,1811.187,1812.929,2520056400,17663127000.000
20190430,1806.995,1846.292,1806.995,1836.174,2040695400,14652556000.000
20190506,1789.568,1789.568,1696.471,1708.680,2842271100,20229606000.000
20190507,1721.115,1746.697,1711.019,1743.887,2232599900,15248226000.000
20190508,1714.330,1760.642,1704.737,1738.029,1899664200,12849480000.000
20190509,1724.459,1740.917,1710.936,1715.186,1727412200,12328045700.000
20190510,1727.709,1767.541,1703.258,1767.538,2227477300,15401549000.000
20190513,1745.983,1761.427,1741.970,1756.603,1595479300,11023448200.000
20190514,1735.657,1755.131,1732.541,1736.235,1518644300,11208271300.000
20190515,1748.267,1775.940,1748.267,1772.731,1662460400,11722192600.000
20190516,1771.510,1787.637,1768.891,1787.637,1814330200,12197608900.000
20190517,1788.850,1789.389,1719.427,1724.566,2055800300,12930266300.000
20190520,1721.220,1722.342,1676.263,1707.335,1508404200,9997039900.000
20190521,1704.380,1738.061,1702.692,1732.731,1444975700,9896195700.000
20190522,1731.838,1731.867,1705.510,1718.353,1291235490,8951356600.000
20190523,1713.108,1716.013,1683.662,1685.778,1380387100,9320321200.000
20190524,1682.294,1694.683,1677.545,1683.317,1117090770,7702409300.000
20190527,1684.667,1717.531,1677.937,1716.633,1374090500,8933759900.000
20190528,1718.911,1736.430,1714.276,1720.417,1598498800,11131791800.000
20190529,1716.595,1727.174,1713.383,1714.282,1379967200,8838034600.000
20190530,1708.892,1708.892,1687.584,1702.205,1459705100,8763658600.000
20190531,1701.943,1716.267,1697.326,1703.358,1375382400,8706773700.000
