date,open,high,low,close,vol,tradeAmount
20190102,2676.516,2688.752,2668.582,2668.814,203312470,1662365100.000
20190103,2674.571,2702.304,2660.932,2663.470,191338860,1695869300.000
20190104,2639.539,2745.529,2626.445,2744.935,254552620,2280658000.000
20190107,2770.135,2858.034,2761.748,2849.542,321754400,2926755000.000
20190108,2860.774,2894.013,2846.581,2846.581,416381650,3318007000.000
20190109,2847.931,2888.050,2839.940,2852.522,637542580,4836496500.000
20190110,2832.609,2873.251,2832.222,2852.783,379195040,3069471400.000
20190111,2846.072,2898.836,2845.073,2893.891,483431190,3794332400.000
20190114,2892.068,2896.563,2850.202,2859.467,436409080,3629117200.000
20190115,2845.252,2890.185,2843.035,2885.226,399030630,3205786500.000
20190116,2889.478,2901.549,2864.547,2872.253,436497920,3590237900.000
20190117,2864.320,2879.990,2836.652,2854.395,464205530,3531282200.000
20190118,2847.309,2880.266,2839.571,2878.905,555271150,5492049600.000
20190121,2878.155,2906.966,2875.142,2896.780,467016890,5147456200.000
20190122,2886.477,2898.178,2852.977,2863.435,376301360,3973337300.000
20190123,2855.197,2893.782,2852.890,2888.990,405188370,4021109900.000
20190124,2889.203,2913.531,2879.574,2897.658,385826650,3833444000.000
20190125,2888.314,2895.751,2857.866,2857.866,394984010,3711684800.000
20190128,2876.127,2881.695,2835.783,2838.578,319266270,2882818800.000
20190129,2818.777,2818.777,2715.952,2753.849,341362310,3201571300.000
20190130,2736.558,2764.368,2717.650,2719.594,264359460,2534102000.000
20190131,2700.975,2723.835,2628.683,2654.140,344421510,3052878200.000
20190201,2666.918,2746.875,2666.918,2745.461,290688300,2448208300.000
20190211,2762.270,2837.669,2762.270,2836.991,355435060,3219199800.000
20190212,2836.482,2882.757,2830.546,2876.200,454741150,3963007200.000
20190213,2883.002,2958.069,2879.120,2946.676,644603120,5929206500.000
20190214,2947.956,2978.158,2941.345,2961.982,518485530,4763320200.000
20190215,2955.576,2978.627,2945.390,2958.490,474224870,4477276000.000
20190218,2970.274,3063.285,2970.274,3063.285,620102430,5863802800.000
20190219,3074.065,3084.727,3016.093,3060.576,680303800,5992265000.000
20190220,3061.995,3121.347,3046.660,3121.347,720321170,5955308200.000
20190221,3135.198,3159.280,3071.221,3083.520,859846980,7988943200.000
20190222,3075.169,3160.390,3074.205,3158.235,819454860,7343766700.000
20190225,3189.367,3335.738,3189.367,3326.648,1143831690,11054798500.000
20190226,3316.265,3402.775,3278.098,3305.791,1160122350,11562623000.000
20190227,3283.939,3336.595,3233.971,3270.537,796392710,7992191500.000
20190228,3279.492,3325.863,3278.636,3302.471,548463930,5724623000.000
20190301,3315.102,3321.308,3247.182,3294.640,500823640,5041983600.000
20190304,3309.239,3401.488,3304.325,3352.116,878967050,8741852500.000
20190305,3340.778,3451.584,3324.839,3451.584,889635050,8425387600.000
20190306,3467.205,3520.397,3423.416,3510.592,1096588300,10496818100.000
20190307,3491.876,3621.850,3471.174,3595.002,1135271810,10939831500.000
20190308,3510.124,3613.927,3421.982,3421.982,1107284870,11901587500.000
20190311,3446.449,3571.729,3438.620,3571.678,777090100,8177197400.000
20190312,3594.671,3652.604,3559.483,3635.605,914546790,9636037600.000
20190313,3632.995,3659.638,3555.399,3573.696,903612430,9963215100.000
20190314,3545.365,3587.530,3431.623,3478.753,782640470,7970942700.000
20190315,3488.927,3560.796,3488.927,3550.954,671067670,6781092300.000
20190318,3596.655,3660.662,3594.024,3660.662,874605000,9338718900.000
20190319,3674.708,3696.700,3653.525,3692.080,702220130,7562878200.000
20190320,3677.490,3687.720,3581.673,3661.016,802977400,7822377000.000
20190321,3648.620,3722.242,3636.126,3699.676,869319430,8097329500.000
20190322,3687.049,3689.700,3609.374,3687.950,669991680,6415243000.000
20190325,3624.906,3710.286,3603.117,3659.063,855208590,8194577500.000
20190326,3673.787,3679.043,3530.250,3538.701,723972910,7007389900.000
20190327,3560.339,3572.026,3479.546,3544.488,479107520,4757077400.000
20190328,3532.177,3562.234,3472.743,3474.046,440643810,4496612300.000
20190329,3471.237,3564.043,3427.970,3564.043,500405250,5316721600.000
20190401,3582.218,3710.966,3582.218,3709.943,765948330,8155449000.000
20190402,3737.847,3827.342,3710.734,3813.042,1200768960,12926584700.000
