date,open,high,low,close,vol,tradeAmount
20190102,1785.020,1790.071,1756.286,1758.354,86791595,1184647050.000
20190103,1756.309,1764.383,1737.011,1738.101,89639638,1370035400.000
20190104,1727.322,1771.137,1719.799,1770.908,99632896,1360789100.000
20190107,1779.803,1803.675,1774.785,1801.334,106914092,1333430840.000
20190108,1800.510,1810.073,1798.600,1804.835,84849906,1052070870.000
20190109,1805.726,1834.394,1805.726,1816.159,118225736,1755198200.000
20190110,1811.184,1820.588,1806.600,1811.823,81074252,1058825480.000
20190111,1811.030,1820.857,1804.279,1820.857,69738189,922671820.000
20190114,1819.692,1822.090,1798.627,1800.522,81380258,994608330.000
20190115,1801.733,1825.487,1795.761,1824.482,95107880,1290588000.000
20190116,1824.677,1836.332,1823.918,1828.710,99304223,1183493140.000
20190117,1829.100,1843.245,1822.383,1824.893,117632211,1237102230.000
20190118,1818.793,1827.964,1811.556,1823.238,126710099,2257558400.000
20190121,1826.545,1837.618,1825.777,1833.570,108516703,1572548900.000
20190122,1832.707,1839.737,1824.292,1830.898,134099445,1389658300.000
20190123,1823.729,1825.485,1810.743,1817.952,104457033,1115821130.000
20190124,1810.618,1817.331,1796.067,1811.396,130908543,2490499900.000
20190125,1809.934,1812.877,1796.243,1797.388,99682887,1385600800.000
20190128,1806.032,1810.586,1792.561,1795.040,113657361,1644519600.000
20190129,1800.293,1800.293,1743.532,1763.509,107182903,1270502820.000
20190130,1752.179,1752.455,1724.462,1725.090,110901376,1691542100.000
20190131,1722.139,1731.646,1690.207,1700.000,111002411,1390120100.000
20190201,1703.134,1738.804,1703.134,1737.806,83447486,1378668000.000
20190211,1745.329,1777.102,1745.329,1777.008,101999696,1745570600.000
20190212,1776.519,1805.985,1772.926,1796.867,105540207,1439943700.000
20190213,1799.895,1824.265,1798.458,1821.655,121232442,1800921200.000
20190214,1819.786,1841.901,1816.530,1833.650,118882671,1763434500.000
20190215,1829.649,1839.019,1822.028,1823.193,93806129,1464299900.000
20190218,1832.086,1873.985,1832.086,1873.535,126702226,1761119500.000
20190219,1885.064,1897.404,1868.609,1881.651,167692750,1944382100.000
20190220,1879.739,1894.224,1871.531,1891.476,132871060,1617890300.000
20190221,1888.030,1908.288,1875.730,1880.480,143663230,1696393700.000
20190222,1879.278,1918.821,1876.560,1918.821,145094880,1684331200.000
20190225,1940.774,2015.109,1940.514,2014.976,294209980,3647857200.000
20190226,2015.189,2043.544,1994.493,2005.973,288096120,3478825400.000
20190227,2003.588,2032.816,1992.141,2013.030,234458820,2884722200.000
20190228,2008.815,2027.988,2006.289,2013.148,170680100,2026145400.000
20190301,2020.748,2024.539,1998.649,2021.670,170145570,2179515400.000
