date,open,high,low,close,vol,tradeAmount
20190102,1830.513,1832.270,1806.186,1810.430,232698850,1968051800.000
20190103,1808.001,1818.498,1789.178,1794.374,267346820,2041045200.000
20190104,1782.217,1829.206,1771.037,1829.107,337135040,2518601100.000
20190107,1836.972,1853.544,1829.179,1853.367,311398510,2370237300.000
20190108,1851.732,1861.458,1847.011,1861.405,289941640,2287442500.000
20190109,1862.663,1883.636,1858.844,1866.290,394351720,2969917800.000
20190110,1863.167,1870.591,1849.763,1852.507,270755430,2047453500.000
20190111,1853.293,1856.751,1839.202,1856.751,260705020,1914987800.000
20190114,1857.322,1858.775,1844.609,1847.151,265288290,1897150000.000
20190115,1843.103,1864.390,1840.005,1863.405,256404080,1908223500.000
20190116,1863.902,1873.080,1861.482,1868.738,239154540,1892648400.000
20190117,1868.035,1869.423,1846.534,1849.747,266708740,2039044800.000
20190118,1852.176,1861.540,1842.577,1859.464,279090430,2083978100.000
20190121,1861.244,1873.301,1859.356,1864.952,244916440,1900675100.000
20190122,1862.010,1863.239,1841.371,1848.072,220493470,1695717000.000
20190123,1844.765,1846.210,1834.622,1842.893,204243010,1503650400.000
20190124,1842.812,1855.009,1832.117,1851.838,213257540,1631288600.000
20190125,1849.928,1853.195,1834.004,1834.095,244649970,1864484900.000
20190128,1837.402,1847.825,1819.468,1821.369,246009710,1875573300.000
20190129,1813.651,1814.207,1754.860,1779.215,319306460,2135836500.000
20190130,1770.261,1779.885,1756.776,1757.069,202027560,1452050200.000
20190131,1746.541,1759.860,1710.127,1723.351,276874430,1963944200.000
20190201,1728.486,1757.146,1728.486,1756.455,224225650,1592319300.000
20190211,1758.289,1797.221,1758.289,1797.221,222079770,1640352500.000
20190212,1796.672,1823.171,1794.840,1823.171,271075510,2115733300.000
20190213,1822.320,1844.244,1817.952,1841.302,306505140,2377899200.000
20190214,1839.284,1854.074,1835.099,1847.744,271346050,2079667900.000
20190215,1846.822,1855.081,1838.589,1849.501,278467780,2184332400.000
20190218,1852.698,1899.778,1852.698,1899.529,393256070,3054108800.000
20190219,1903.940,1911.699,1878.587,1901.367,412405600,3114730700.000
20190220,1899.863,1904.573,1882.884,1902.954,338036880,2582104000.000
20190221,1901.965,1922.320,1889.371,1894.773,397075940,2983312200.000
20190222,1890.399,1937.204,1889.477,1937.204,492895860,3644053100.000
20190225,1954.704,2027.336,1954.704,2026.272,769154030,5927329800.000
20190226,2031.470,2053.520,2002.915,2020.787,815160750,6157598800.000
20190227,2012.223,2047.087,2002.356,2025.511,756619610,5359936300.000
20190228,2033.994,2047.448,2021.110,2037.594,547882510,4230532900.000
20190301,2043.041,2053.874,2026.126,2053.874,518017860,4073381600.000
20190304,2062.720,2105.932,2061.610,2080.660,777023590,6156025100.000
20190305,2078.128,2119.498,2067.787,2119.498,682464170,5233252700.000
20190306,2125.005,2166.648,2108.055,2166.648,814474940,6461064600.000
20190307,2163.264,2217.602,2145.965,2204.165,860980320,6778673700.000
20190308,2163.765,2184.267,2079.207,2079.207,886842460,6623328000.000
20190311,2076.474,2155.196,2076.474,2155.196,654863440,4845740300.000
20190312,2168.920,2207.674,2152.430,2188.840,806655140,6247550500.000
20190313,2192.110,2203.028,2149.165,2165.318,753136090,5628483100.000
20190314,2155.522,2166.213,2085.329,2109.013,583801100,4361832100.000
20190315,2117.748,2159.830,2117.748,2157.620,527379920,4380450300.000
20190318,2163.779,2198.426,2150.530,2198.426,518256040,4345061200.000
20190319,2201.156,2211.154,2181.198,2194.952,517695670,4175106400.000
20190320,2194.571,2198.211,2156.557,2192.118,512580210,4080910000.000
20190321,2194.469,2225.653,2191.407,2212.779,644135500,5111784900.000
20190322,2213.724,2248.701,2202.835,2248.701,754372360,5789937100.000
20190325,2214.651,2263.998,2205.657,2234.548,830901990,6276472800.000
20190326,2240.116,2250.341,2188.966,2194.844,710047590,5515763800.000
20190327,2201.736,2232.881,2176.809,2232.881,698906300,5658221400.000
20190328,2222.883,2251.618,2209.519,2214.700,688135640,5835566100.000
20190329,2213.338,2260.839,2188.833,2260.839,770593490,6330382000.000
20190401,2279.010,2328.942,2279.010,2328.059,757553960,6008161800.000
20190402,2337.237,2347.245,2324.147,2331.617,693933310,5784302300.000
20190403,2326.159,2370.246,2315.127,2366.648,715722050,6940264400.000
20190404,2368.114,2373.824,2341.597,2356.831,700847280,6599612300.000
20190408,2360.896,2372.685,2316.085,2349.542,644421760,5903619100.000
20190409,2346.274,2371.808,2334.928,2371.728,565438340,4864390600.000
20190410,2362.651,2382.882,2341.410,2363.262,597179440,4837827500.000
20190411,2358.636,2362.048,2322.608,2333.489,604699030,5259759600.000
20190412,2329.308,2345.685,2320.441,2339.133,465074420,4229874800.000
20190415,2363.181,2376.596,2314.441,2316.392,500406840,4653336700.000
20190416,2309.305,2356.035,2295.552,2356.035,458784330,4026514800.000
20190417,2360.550,2382.223,2355.427,2373.645,485972510,4528747700.000
20190418,2372.450,2378.681,2352.858,2359.429,455977210,4706410900.000
20190419,2357.074,2359.822,2325.343,2353.256,401998350,3893897100.000
20190422,2358.938,2361.359,2312.880,2317.794,434569450,4122875200.000
20190423,2313.505,2314.037,2276.913,2285.609,381778260,3447052400.000
