date,open,high,low,close,vol,tradeAmount
20190102,1591.582,1592.686,1565.555,1570.128,127586380,1050636390.000
20190103,1571.630,1596.389,1565.728,1574.717,138476430,1156500960.000
20190104,1556.824,1593.445,1548.516,1590.461,184433120,1325005740.000
20190107,1597.844,1617.018,1587.989,1615.532,248119560,1724657900.000
20190108,1611.111,1611.111,1585.180,1590.259,173749200,1286542870.000
20190109,1587.161,1614.956,1586.309,1597.114,223919820,1657289100.000
20190110,1599.535,1610.777,1589.361,1603.701,211307010,1623942500.000
20190111,1603.398,1635.686,1599.047,1634.164,355835700,2609217900.000
20190114,1633.493,1633.493,1606.455,1609.418,218104240,1752826000.000
20190115,1609.835,1623.802,1602.392,1620.280,201413660,1821174400.000
20190116,1612.546,1622.301,1609.083,1616.538,152936890,1313662470.000
20190117,1617.735,1619.704,1607.685,1611.477,192589600,1436652100.000
20190118,1609.640,1645.289,1607.871,1641.605,275229060,2450035100.000
20190121,1640.307,1664.540,1639.350,1647.041,237022710,2290430100.000
20190122,1645.642,1645.642,1623.021,1627.476,221312170,1633811700.000
20190123,1625.652,1630.938,1616.957,1624.297,163287160,1264320580.000
20190124,1625.304,1635.845,1616.879,1630.532,171394530,1817884600.000
20190125,1629.122,1642.906,1626.719,1639.376,178973300,1625870200.000
20190128,1650.062,1670.811,1649.096,1657.151,271174950,2309263800.000
20190129,1651.245,1660.572,1630.169,1656.221,210079870,1705788500.000
20190130,1647.517,1674.941,1640.760,1655.010,234938440,1989507300.000
20190131,1646.735,1657.297,1635.322,1640.101,245578380,1842588700.000
20190201,1644.971,1655.372,1639.801,1654.478,209124770,1765934500.000
20190211,1649.734,1685.418,1647.899,1685.418,227199310,1959479300.000
20190212,1679.555,1705.598,1675.790,1705.598,356814860,2782756800.000
20190213,1702.209,1733.382,1696.124,1725.515,364855000,2984177800.000
20190214,1721.496,1726.263,1712.722,1720.065,241430590,2063930300.000
20190215,1715.371,1719.101,1697.543,1699.306,308853300,2224787400.000
20190218,1704.098,1744.587,1704.098,1744.587,335540490,2680445900.000
20190219,1756.505,1763.095,1735.799,1747.808,398673930,3272212500.000
20190220,1753.406,1781.753,1744.020,1776.308,516509730,3884771400.000
20190221,1781.574,1809.201,1761.039,1778.285,594503070,4519949900.000
20190222,1768.578,1817.252,1759.708,1814.045,468857080,3692578500.000
20190225,1850.094,1920.684,1850.094,1917.802,941256010,7486291800.000
20190226,1926.417,1926.970,1880.074,1895.780,781835580,5583647500.000
20190227,1890.223,1914.389,1877.009,1894.068,641410690,4679206100.000
20190228,1891.360,1898.567,1868.898,1880.418,403785770,3041698200.000
20190301,1886.896,1903.141,1859.422,1903.141,397983790,3289178600.000
20190304,1909.170,1960.246,1901.103,1929.775,620114040,5153119800.000
20190305,1924.557,1933.643,1905.128,1933.643,506492170,3909079500.000
20190306,1930.628,1957.112,1911.264,1957.112,778186060,5309032600.000
20190307,1947.241,1953.071,1919.305,1937.083,890586390,5448781600.000
20190308,1897.549,1907.993,1841.370,1843.445,749278780,4983695700.000
20190311,1845.381,1885.599,1845.381,1885.227,470248380,3600666300.000
20190312,1896.298,1906.126,1877.840,1896.848,583965690,4324429000.000
20190313,1893.176,1914.502,1872.391,1884.187,539078050,4046958300.000
20190314,1884.842,1937.576,1883.376,1915.664,763362020,6210401800.000
20190315,1917.643,1939.477,1904.313,1919.960,469173700,3914512600.000
20190318,1923.190,1976.735,1908.343,1976.735,537789600,4500993600.000
20190319,1989.290,2008.905,1963.005,1972.646,523375380,4371801800.000
20190320,1965.558,1969.635,1928.573,1958.189,374995160,2976958100.000
20190321,1971.159,1993.791,1965.970,1974.143,489886950,3856944700.000
20190322,1968.022,2000.633,1958.790,1997.605,347444000,3301970800.000
20190325,1965.820,1991.201,1959.333,1961.487,348092710,3144365400.000
20190326,1966.398,1968.289,1914.823,1919.517,355016930,2714237300.000
20190327,1925.536,1976.026,1921.836,1972.042,473281930,3657246900.000
20190328,1966.761,1985.361,1956.484,1958.356,343229460,2977929500.000
20190329,1964.384,2051.725,1964.384,2050.942,729454300,6360706000.000
20190401,2054.475,2119.271,2054.475,2099.687,755532570,6831281000.000
20190402,2101.006,2116.590,2076.106,2083.965,447318340,3997671300.000
20190403,2079.590,2122.915,2075.363,2120.534,517857500,4224854800.000
20190404,2295.777,2320.846,2211.914,2223.782,1798109300,14103028000.000
