date,open,high,low,close,vol,tradeAmount
20190102,952.429,954.498,939.240,939.251,157202210,1658243100.000
20190103,939.630,948.721,935.988,936.492,153294230,1625304300.000
20190104,928.011,957.797,925.290,957.619,233715850,2396761000.000
20190107,962.975,984.503,962.975,984.503,315974960,3018983200.000
20190108,982.442,997.968,979.157,992.592,306092730,2879248300.000
20190109,1025.806,1038.097,1019.798,1020.440,636161350,6490594400.000
20190110,1020.074,1020.074,1003.149,1010.130,500450260,3899842800.000
20190111,1003.574,1021.646,997.841,1016.330,426753400,2956197300.000
20190114,1014.979,1020.272,1007.146,1011.851,374432280,2878403900.000
20190115,1008.302,1020.773,1002.734,1017.727,359040570,2885527600.000
20190116,1016.834,1029.122,1014.009,1024.990,365607560,2903376300.000
20190117,1020.776,1024.164,1009.768,1011.952,342881150,2886001200.000
20190118,1011.787,1012.544,998.949,1009.438,321635520,3170248300.000
20190121,1011.222,1018.517,1010.700,1013.613,271956880,3085888800.000
20190122,1012.598,1012.598,996.962,1000.144,240995740,2123477600.000
20190123,996.764,1016.017,996.063,1011.565,282269890,2554224500.000
20190124,1009.867,1013.179,999.154,1009.671,256480130,2323744300.000
20190125,1009.746,1018.572,1004.137,1008.475,295525920,3127438300.000
20190128,1009.933,1014.805,995.034,996.616,274866480,2720316900.000
20190129,996.624,996.890,968.196,981.496,278896670,2367883300.000
20190130,973.634,978.544,964.958,965.213,221037160,2008050500.000
20190131,953.357,965.805,944.623,949.516,250794750,2251258700.000
20190201,951.065,971.456,951.065,971.456,210825410,1965469000.000
20190211,974.348,999.161,974.348,998.361,231701010,2510328600.000
20190212,1003.795,1020.054,1002.675,1017.763,315949870,3127668400.000
20190213,1016.328,1050.093,1014.142,1041.617,472275240,4442505400.000
20190214,1035.188,1044.439,1029.881,1038.527,336436850,3478584300.000
20190215,1034.323,1036.609,1024.167,1025.542,321832490,3898057800.000
20190218,1026.685,1052.436,1026.685,1052.358,455166210,4372057200.000
20190219,1052.824,1058.380,1041.177,1052.380,424669270,3865110800.000
20190220,1050.627,1063.076,1046.826,1061.444,410244690,3830330200.000
20190221,1060.385,1100.513,1057.577,1080.486,697089220,5338342500.000
20190222,1074.234,1096.146,1067.852,1095.764,498390430,4036689900.000
20190225,1099.203,1148.981,1099.203,1146.754,825679840,7314004000.000
20190226,1150.857,1180.895,1136.903,1160.355,866113260,7315001800.000
20190227,1159.026,1172.257,1137.566,1151.850,688671080,5913276800.000
20190228,1152.919,1166.668,1145.911,1162.624,627438480,4400349700.000
20190301,1163.538,1182.633,1157.095,1182.633,566213220,4828975000.000
20190304,1188.799,1214.745,1184.040,1191.796,775524220,7510471800.000
20190305,1191.867,1205.150,1186.383,1205.150,609158900,6029696800.000
20190306,1211.724,1253.003,1202.262,1250.865,968022580,8322153400.000
20190307,1252.743,1261.228,1235.955,1254.624,968899590,7493663200.000
20190308,1233.843,1235.983,1186.027,1186.382,1062069560,8060633100.000
20190311,1185.848,1220.801,1185.848,1219.336,634355080,5505450600.000
20190312,1221.879,1241.869,1216.691,1231.246,814000730,6880161700.000
20190313,1229.851,1230.473,1193.997,1199.954,765065020,6818300100.000
20190314,1194.089,1207.839,1171.280,1180.905,602328370,6317883400.000
20190315,1188.519,1216.027,1185.463,1213.616,702275640,6199937500.000
20190318,1216.099,1237.430,1204.431,1237.430,834238150,6313121100.000
20190319,1235.798,1238.235,1222.593,1233.478,710011760,5460182100.000
20190320,1236.860,1250.196,1224.384,1241.626,726043160,5182776400.000
20190321,1244.744,1260.663,1239.986,1253.531,762473680,5525674200.000
20190322,1247.912,1292.163,1237.254,1288.199,939461410,7526158500.000
20190325,1261.671,1285.767,1258.549,1269.471,884046590,7514285700.000
20190326,1271.113,1277.491,1229.476,1233.891,695725650,5644199100.000
20190327,1242.333,1245.810,1189.909,1208.559,676000130,5921559200.000
