date,open,high,low,close,vol,tradeAmount
20190102,1925.228,1929.269,1914.331,1919.135,473562780,4250927000.000
20190103,1917.336,1939.698,1906.429,1907.165,669443560,6045382900.000
20190104,1886.286,1946.251,1877.169,1946.251,746853920,6381394700.000
20190107,1955.355,1982.525,1950.646,1981.859,824008380,6968437300.000
20190108,1979.759,1979.759,1964.676,1972.939,775295100,5924738200.000
20190109,1991.692,2032.369,1991.649,2002.646,1158157340,10004111800.000
20190110,1997.047,2002.891,1981.692,1987.893,869749920,6998201800.000
20190111,1986.501,2010.595,1984.181,2010.595,740847330,6232041700.000
20190114,2014.753,2016.330,1998.358,2003.324,864754590,7334505900.000
20190115,1996.529,2019.021,1992.288,2019.021,775324750,6920794900.000
20190116,2015.433,2020.379,2004.143,2012.509,706356490,6303232800.000
20190117,2007.783,2009.755,1984.293,1986.044,706226390,6409151500.000
20190118,1988.546,1999.271,1975.263,1994.070,660084180,5808829600.000
20190121,1997.490,2012.851,1996.706,2006.296,616611460,6033757200.000
20190122,2009.209,2011.842,1989.845,1998.595,634431640,6260666900.000
20190123,1992.607,2012.088,1990.466,2012.088,779035380,7553950700.000
20190124,2016.745,2023.632,2006.563,2015.718,824430370,8067004000.000
20190125,2011.746,2024.546,2001.481,2001.996,923427570,7728401000.000
20190128,2009.541,2015.799,1975.981,1976.749,823147750,7445230300.000
20190129,1965.283,1965.996,1893.664,1925.069,778641120,6840803600.000
20190130,1907.486,1922.154,1886.242,1886.372,612534260,5397329200.000
20190131,1879.756,1887.512,1825.266,1833.358,688440580,5883812400.000
20190201,1838.556,1887.214,1838.556,1887.214,616229690,5017667300.000
20190211,1894.156,1940.076,1894.156,1940.076,654937500,5796462200.000
20190212,1944.168,1974.032,1942.203,1969.425,835568040,7311733300.000
20190213,1970.155,2002.708,1964.587,1999.756,926288840,8119545300.000
20190214,1994.577,2011.091,1988.225,2001.889,789355460,6915969200.000
20190215,1999.507,2008.195,1991.097,1994.375,864568180,7620900500.000
20190218,2004.577,2058.614,2004.577,2058.614,1157438110,10147470200.000
20190219,2065.250,2075.559,2036.200,2063.486,1268169490,10550753900.000
20190220,2062.380,2072.460,2047.104,2070.156,1083081360,9275466300.000
20190221,2068.019,2100.797,2057.828,2064.933,1283766400,11034122600.000
20190222,2060.282,2098.999,2055.928,2098.999,1219231910,10146015700.000
20190225,2114.889,2192.351,2113.080,2192.351,1905617000,16808657000.000
20190226,2195.495,2231.769,2170.038,2189.866,1993250000,17663801000.000
20190227,2184.774,2215.466,2161.308,2184.562,1628893400,13980169000.000
20190228,2182.977,2210.169,2181.311,2209.234,1455127900,12482440100.000
20190301,2213.413,2217.664,2185.037,2211.922,1304649700,11220781300.000
20190304,2224.827,2271.301,2224.240,2241.389,1890832800,17258991000.000
20190305,2239.433,2302.498,2235.406,2302.498,1785038900,15767394000.000
20190306,2316.255,2362.800,2295.096,2362.800,2307350600,20932610000.000
20190307,2364.363,2428.568,2352.276,2412.527,2356723700,22118322000.000
20190308,2365.625,2402.687,2290.426,2290.426,2179358100,20768149000.000
20190311,2299.849,2386.381,2299.849,2386.381,1752890300,17242230000.000
20190312,2402.704,2445.229,2388.704,2430.562,2147345900,21484843000.000
20190313,2434.384,2455.643,2379.153,2396.109,2072659700,20314289000.000
20190314,2382.632,2398.552,2307.110,2333.876,1761720500,16355943000.000
20190315,2344.421,2372.988,2331.718,2362.545,1649867600,15121951000.000
20190318,2375.419,2402.713,2350.624,2402.713,1658260200,16660941000.000
20190319,2401.986,2413.032,2390.854,2411.282,1496091600,15299561000.000
20190320,2407.182,2409.716,2362.553,2402.120,1487202700,14988650000.000
20190321,2398.289,2434.847,2397.833,2420.838,1559103000,15766381000.000
20190322,2420.081,2434.297,2379.867,2431.555,1444676900,14695163000.000
20190325,2393.951,2435.767,2383.085,2411.094,1492178500,14801536000.000
20190326,2420.417,2428.092,2341.235,2346.244,1575658400,14318556000.000
20190327,2358.727,2368.922,2308.825,2348.197,1260269750,12191470400.000
20190328,2346.133,2360.952,2314.900,2317.776,1136554010,11480685100.000
20190329,2316.289,2368.702,2289.835,2368.472,1241760760,13040463200.000
20190401,2380.498,2453.282,2380.368,2453.282,1640063800,17266883000.000
20190402,2466.868,2494.479,2448.574,2475.139,1765779500,18901420000.000
20190403,2467.305,2507.185,2461.552,2505.832,1731335200,17487606000.000
20190404,2514.128,2539.630,2503.472,2531.227,1924916600,19297822000.000
20190408,2543.812,2552.690,2478.402,2511.938,1917341300,19527974000.000
20190409,2506.858,2534.114,2490.809,2534.114,1688748200,17087402000.000
20190410,2516.680,2572.722,2499.874,2552.383,2048966900,21448005000.000
20190411,2548.993,2592.936,2538.648,2548.530,2123462200,21959141000.000
20190412,2552.624,2564.115,2523.012,2543.419,1893043300,18397239000.000
20190415,2563.649,2572.543,2517.941,2520.110,1889005400,19106065000.000
20190416,2506.564,2549.533,2466.261,2549.533,1649449500,17155816000.000
20190417,2547.326,2628.706,2544.807,2617.458,2215427500,23038248000.000
20190418,2623.219,2641.543,2586.967,2590.770,2295827400,22195702000.000
20190419,2580.582,2603.672,2552.912,2603.550,1892563300,17748887000.000
20190422,2604.295,2604.324,2544.698,2552.482,1705646000,17049755000.000
20190423,2542.684,2542.684,2478.878,2484.035,1515513400,14825539000.000
20190424,2486.390,2513.895,2469.615,2513.895,1236873210,12288186200.000
20190425,2506.532,2506.532,2394.803,2394.803,1673980400,15921648000.000
20190426,2376.648,2388.103,2348.357,2349.603,1242425930,11902827300.000
20190429,2346.587,2351.490,2243.782,2248.634,1160536320,11221847600.000
20190430,2246.613,2295.068,2246.613,2281.300,821516930,7933439800.000
20190506,2210.088,2210.088,2083.398,2098.240,1210827370,11428870500.000
20190507,2110.113,2141.026,2096.605,2134.198,948232570,9009880400.000
20190508,2093.284,2163.551,2076.503,2133.863,871230020,8449260600.000
20190509,2118.210,2149.211,2117.926,2125.865,724479270,7247638300.000
20190510,2146.546,2197.141,2109.096,2197.107,1277231850,11044987000.000
20190513,2179.912,2188.555,2163.440,2174.649,1005040120,8533554800.000
20190514,2148.813,2178.975,2143.746,2161.054,835085820,7762650400.000
20190515,2179.062,2207.339,2178.279,2207.339,1108291860,9643771300.000
20190516,2211.917,2232.886,2208.528,2227.556,1216148300,10820698600.000
20190517,2223.837,2225.127,2113.478,2123.724,1282621860,10781838700.000
20190520,2117.027,2118.669,2061.077,2114.434,870790440,7657679800.000
20190521,2111.836,2153.235,2104.710,2148.058,914596340,7598386800.000
20190522,2152.852,2152.852,2112.668,2125.598,881677030,7301050900.000
20190523,2118.002,2118.052,2066.866,2073.314,837655010,6726490400.000
20190524,2063.782,2088.418,2061.588,2077.030,783982020,6822120500.000
20190527,2078.683,2129.630,2067.393,2127.116,990928850,8965874000.000
20190528,2126.808,2159.908,2123.418,2136.962,998522120,9210263200.000
20190529,2137.710,2159.291,2131.233,2147.203,913681080,8127076500.000
20190530,2142.368,2142.368,2109.398,2136.384,882726420,8490099500.000
20190531,2138.042,2158.991,2132.899,2139.994,742869750,7214838000.000
20190603,2145.713,2153.694,2104.295,2108.326,818221330,8502762300.000
20190604,2105.124,2107.104,2077.705,2089.932,741247700,7708230900.000
20190605,2109.296,2117.159,2087.892,2092.334,729908880,7836643300.000
20190606,2085.213,2086.281,2030.746,2042.197,733168910,7053163500.000
20190610,2053.956,2086.512,2049.604,2082.399,733490900,7648677400.000
20190611,2086.890,2149.291,2076.661,2149.291,1131954770,11279531100.000
20190612,2142.947,2151.911,2123.819,2125.279,916742250,9432937600.000
20190613,2122.658,2147.384,2109.836,2141.278,919404060,8759435200.000
20190614,2141.077,2141.077,2078.612,2081.819,855212760,7986900100.000
20190617,2080.715,2091.939,2070.783,2080.123,602559130,5377833100.000
20190618,2084.930,2093.881,2070.469,2079.512,563917160,5367110800.000
20190619,2117.248,2127.477,2109.468,2111.061,814273930,8233085800.000
