date,open,high,low,close,vol,tradeAmount
20190102,599.018,601.417,595.036,596.686,134018645,576010740.000
20190103,596.115,601.670,595.171,597.647,156315080,669785400.000
20190104,593.246,610.777,592.590,610.535,209423840,899444050.000
20190107,612.970,619.819,611.083,619.684,241547710,1024967220.000
20190108,609.533,633.182,609.533,623.601,612902450,2195320900.000
20190109,619.764,630.515,619.764,622.552,388074890,1488052500.000
20190110,623.171,630.091,622.565,623.346,332330960,1223357510.000
20190111,621.778,622.648,616.966,621.201,263304840,981959890.000
20190114,619.404,620.806,614.515,615.360,442977170,1420283700.000
20190115,615.681,618.726,613.367,618.726,376747800,1289128260.000
20190116,618.076,622.095,616.574,620.652,308434100,1166185100.000
20190117,619.947,620.036,612.503,613.013,288559020,1072831510.000
20190118,614.234,618.423,611.672,616.658,671731220,2923161400.000
20190121,619.584,624.014,619.408,621.496,676348060,2929565800.000
20190122,620.047,620.047,610.522,611.657,486768960,2146521600.000
20190123,610.360,612.867,609.048,611.691,420408550,1936233200.000
20190124,611.488,616.547,609.543,614.629,668547280,3976326500.000
20190125,613.325,614.162,609.693,609.693,553909590,2908178300.000
20190128,610.699,612.759,603.921,604.879,504142840,2445280500.000
20190129,602.713,602.713,587.968,594.728,447151880,1913507500.000
20190130,592.897,596.498,589.507,589.916,347093840,1566373700.000
20190131,590.001,593.299,581.450,583.042,408976360,1734226300.000
20190201,584.874,594.882,584.874,594.881,335965240,1352930500.000
20190211,594.436,605.323,594.192,605.178,402905140,1678971900.000
20190212,603.892,614.531,603.802,611.683,458106900,2020058000.000
20190213,611.616,618.810,609.662,617.715,544693340,2363043900.000
20190214,616.430,629.604,615.579,626.302,629878880,2841372800.000
20190215,624.567,630.781,623.105,626.433,566910260,2575518300.000
20190218,630.318,639.698,629.336,639.698,683962890,3273042800.000
20190219,647.869,658.466,647.570,654.391,950738610,4765375100.000
20190220,657.854,657.854,643.850,647.875,719521580,3858354000.000
20190221,645.925,652.169,641.032,645.839,709027210,3516513100.000
20190222,645.032,654.909,641.596,654.909,704204640,3221352600.000
20190225,659.363,685.160,657.696,685.006,1338071460,6320863700.000
20190226,686.649,710.893,677.823,695.902,1822307600,8348746600.000
20190227,692.964,705.940,687.386,693.780,1306384140,6053726300.000
20190228,693.745,701.419,691.126,692.851,890731470,4295913300.000
20190301,694.139,697.416,684.898,695.692,782739640,3639371400.000
20190304,699.854,715.051,698.092,702.792,1254963270,6406299700.000
20190305,700.075,710.002,696.843,710.002,893961920,4604821900.000
20190306,710.687,729.280,709.991,729.209,1407471800,7273745200.000
20190307,732.058,754.943,727.158,750.211,1248457070,6362387100.000
20190308,743.557,744.652,709.189,709.189,1599895300,9618021100.000
20190311,709.288,743.310,709.288,743.310,1543626500,7993375000.000
20190312,750.066,751.405,737.487,748.631,1495534800,8085553700.000
20190313,746.098,748.107,729.485,732.882,1166466560,6297380500.000
20190314,727.326,734.255,706.785,714.048,880286190,4409360600.000
20190315,716.579,735.723,716.579,730.594,854327450,4642702600.000
20190318,731.528,748.067,725.716,748.067,864800780,4792131000.000
20190319,749.166,754.396,743.367,751.282,794017830,4291226500.000
20190320,753.556,769.520,750.089,769.520,1120673110,6134716400.000
20190321,779.300,779.509,769.304,773.272,1143901740,6420152200.000
20190322,771.322,800.006,764.424,797.252,1691046100,8678309400.000
20190325,784.997,790.944,774.536,774.536,1358511000,7068223500.000
20190326,774.286,796.716,751.616,777.198,1597050000,7874827100.000
20190327,776.149,801.169,771.143,797.612,1511233600,7646320800.000
20190328,793.070,835.561,787.655,805.889,2001629000,10212167800.000
20190329,790.494,810.490,784.712,805.259,1959557000,9546262200.000
20190401,802.678,839.770,802.678,834.812,1931967000,10350555200.000
20190402,840.339,844.385,827.375,831.310,1677035900,9870632800.000
20190403,826.477,867.118,823.505,863.630,1849043400,10665964200.000
20190404,878.803,884.293,858.195,868.425,1692193900,9586410200.000
20190408,866.344,866.344,844.268,858.688,2136644800,12266483000.000
20190409,853.001,871.210,849.561,857.558,1357592200,8129403700.000
20190410,850.869,869.975,844.904,869.975,1687009100,9868204800.000
20190411,869.792,880.635,862.369,862.461,1530782600,9805593700.000
20190412,855.391,862.091,846.389,856.041,1250003880,7440044900.000
20190415,862.825,877.956,857.575,857.918,1448881400,9102592100.000
20190416,851.658,865.595,845.891,865.595,1124746390,6941200900.000
20190417,864.673,872.234,860.006,869.415,1079655050,6699596200.000
20190418,868.752,874.505,860.530,864.587,1077029290,7037660000.000
20190419,859.946,866.953,854.070,863.460,775538430,4899811200.000
20190422,866.117,866.391,847.939,849.019,850100030,5128904300.000
20190423,848.172,852.607,835.800,838.391,952538530,5819385300.000
20190424,837.774,840.427,824.881,837.957,839821100,4666285700.000
20190425,837.729,837.776,800.640,801.873,918525400,5093214000.000
20190426,798.521,806.797,789.304,789.304,830270920,4452667000.000
20190429,792.716,796.686,760.557,762.083,860275270,4517212600.000
20190430,763.336,786.193,763.336,779.896,651853610,3526107900.000
20190506,746.181,747.886,707.473,713.006,952862740,4670308500.000
20190507,717.095,721.683,705.889,719.522,740531010,3474091100.000
20190508,704.453,723.850,699.685,713.693,624778040,2842409800.000
20190509,708.628,714.511,702.451,702.861,479109800,2208776300.000
20190510,709.779,728.279,697.245,728.060,781548220,3837871900.000
20190513,721.607,736.324,717.469,734.714,700662640,3574629900.000
20190514,724.187,733.344,721.586,721.930,628406910,3300050800.000
20190515,728.271,749.455,727.433,743.731,673679770,3376365900.000
20190516,743.262,748.982,738.357,743.274,574446230,3069432700.000
20190517,743.969,754.883,726.816,730.007,832397500,3817459300.000
20190520,726.123,726.123,697.143,710.887,598226560,2666189300.000
20190521,710.978,728.402,710.882,726.187,531315850,2522104800.000
20190522,726.590,726.590,712.437,716.848,431221780,2156164400.000
20190523,713.275,715.390,701.547,702.699,391066680,1879201900.000
20190524,701.135,707.923,699.688,701.227,376917570,1847024000.000
20190527,702.370,715.735,698.292,714.394,423895080,1991396400.000
20190528,714.270,723.771,712.628,715.637,539314590,2737210400.000
20190529,714.011,721.605,711.885,716.488,521141640,2367851000.000
20190530,712.348,713.569,706.353,712.047,476394140,2165921100.000
20190531,715.778,720.556,713.090,716.126,391045570,2036277900.000
20190603,718.198,723.596,709.942,713.006,738916330,3294360400.000
20190604,712.115,718.096,699.966,708.801,763089710,3410882500.000
20190605,714.257,717.539,700.329,701.117,718223430,3272303500.000
20190606,699.678,699.834,680.187,683.191,520491390,2203754400.000
20190610,684.049,688.001,678.670,685.825,374987150,1530777100.000
20190611,685.964,708.600,685.455,708.416,546261710,2426907200.000
20190612,706.718,709.814,701.983,703.173,407965410,1828621900.000
20190613,703.683,707.009,697.254,705.526,420588910,1818606200.000
20190614,705.464,707.989,692.184,692.439,366646710,1608364700.000
20190617,692.955,695.891,689.935,692.912,236465020,1037747380.000
20190618,694.522,699.423,691.989,696.080,279242240,1217387260.000
20190619,710.741,719.468,705.884,714.002,747690780,3315670100.000
20190620,709.804,724.850,707.012,722.224,670116680,2933647300.000
20190621,723.645,732.034,723.645,728.862,631694140,2914804200.000
20190624,728.264,729.243,724.316,726.796,414729590,1958783400.000
20190625,727.188,727.193,711.426,720.566,465396760,2202777600.000
20190626,717.455,722.691,715.184,718.750,318682670,1512245900.000
20190627,719.956,726.650,719.948,721.975,394521030,1891166100.000
20190628,722.681,724.412,708.491,721.844,497434070,2446018900.000
20190701,733.836,738.634,730.448,738.518,610374460,3082388100.000
20190702,736.947,740.629,734.864,736.638,497430860,2397760600.000
20190703,735.693,735.693,728.716,730.528,409108950,1962856200.000
20190704,732.431,742.216,730.546,733.075,455035390,2237128700.000
20190705,738.910,743.915,735.022,738.284,505899130,2371928200.000
20190708,732.645,732.645,707.613,710.701,540026290,2452818700.000
20190709,709.885,711.577,702.276,708.712,344326550,1570466100.000
20190710,709.443,711.517,699.764,701.341,282393950,1368586000.000
20190711,703.808,711.971,701.565,704.291,272824490,1334358030.000
20190712,705.008,709.296,702.192,708.727,251148600,1195152000.000
20190715,707.944,718.133,699.748,717.931,368120550,1687513900.000
20190716,716.702,722.823,715.786,722.505,361104740,1707474500.000
20190717,722.772,725.806,721.198,724.301,381650840,1935067900.000
20190718,720.876,720.876,710.012,710.012,326721880,1580767600.000
20190719,712.266,727.069,712.266,719.283,450857610,2050841000.000
