date,open,high,low,close,vol,tradeAmount
20190102,919.334,921.757,908.569,909.606,363838230,1601145500.000
20190103,909.424,918.418,904.917,905.880,332328400,1398600400.000
20190104,898.833,925.458,896.184,925.458,427168280,1921972000.000
20190107,929.554,940.905,926.500,939.034,619435390,2373824900.000
20190108,938.535,940.407,933.730,938.061,641782330,2038200000.000
20190109,938.919,951.987,938.716,938.716,574026430,2404861000.000
20190110,939.059,945.539,936.213,937.315,571135200,1881461300.000
20190111,939.975,950.126,939.640,950.087,563151890,2105104400.000
20190114,952.707,980.559,952.707,968.132,612915320,3255987600.000
20190115,963.589,964.101,947.606,961.326,1093007250,3695990300.000
20190116,958.577,980.944,957.663,977.265,1236567470,4324878300.000
20190117,972.015,1011.098,970.352,994.960,1514141200,6192222300.000
20190118,990.079,1013.993,989.710,1002.290,1959701400,7352410100.000
20190121,999.739,1001.183,991.504,997.448,1279220600,5086668900.000
20190122,994.451,996.823,978.532,981.527,1146875460,4165895300.000
20190123,974.194,986.726,974.194,980.699,991796560,3490903500.000
20190124,979.007,981.717,970.211,975.785,899218810,3083021000.000
20190125,975.938,979.732,971.636,972.138,754499930,2768570500.000
20190128,974.538,976.992,960.748,960.748,765391340,3345862400.000
20190129,962.202,965.125,942.288,955.671,676744250,3031893000.000
20190130,953.561,958.844,949.000,949.928,542902440,2232786200.000
20190131,949.515,957.550,940.659,945.093,609512720,2762909900.000
20190201,949.486,963.658,949.486,963.169,593618480,2980158600.000
20190211,963.846,979.825,963.846,979.825,666103490,3160709000.000
20190212,977.671,996.301,975.149,995.794,928355700,3980989900.000
20190213,992.250,1004.657,988.378,1003.223,1004145620,4600294300.000
20190214,1001.006,1006.604,995.132,1001.867,845850240,3666574700.000
20190215,1000.201,1002.964,991.176,991.671,749659230,3480905900.000
20190218,996.209,1017.381,996.209,1017.216,1035888550,4679318400.000
20190219,1017.012,1022.624,1004.635,1013.504,947701680,4491760200.000
20190220,1014.183,1028.335,1010.661,1026.958,1094668590,5017045000.000
20190221,1026.295,1035.692,1014.492,1018.802,1502566400,6231476900.000
20190222,1015.708,1029.408,1011.004,1029.408,1133905860,5188052600.000
