date,open,high,low,close,vol,tradeAmount
20190102,3111.375,3118.639,3087.791,3104.202,204179180,1312341170.000
20190103,3096.770,3124.860,3069.295,3070.721,252538670,1600486600.000
20190104,3035.478,3133.907,3017.944,3133.907,290238430,1830353000.000
20190107,3152.087,3184.206,3138.592,3179.006,299322200,1963985000.000
20190108,3173.062,3184.797,3156.882,3179.203,318715780,1818388500.000
20190109,3180.533,3227.377,3176.531,3183.085,362433610,2420379600.000
20190110,3178.460,3192.792,3151.842,3160.220,244851930,1668624600.000
20190111,3160.956,3215.244,3160.956,3215.244,255561250,1883116500.000
20190114,3220.624,3226.435,3186.996,3194.223,228667400,1763563500.000
20190115,3185.881,3223.436,3179.925,3223.436,213599310,1650530800.000
20190116,3219.527,3233.326,3212.129,3223.761,198936000,1613548200.000
20190117,3221.232,3221.311,3161.048,3164.608,242198830,1886471600.000
20190118,3163.917,3188.565,3152.500,3183.871,230263620,1763403300.000
20190121,3186.319,3216.820,3186.302,3207.840,218409740,1809233400.000
20190122,3203.160,3214.784,3171.763,3189.957,259605410,2350702000.000
20190123,3176.937,3186.878,3163.765,3182.435,225212490,1883329500.000
20190124,3176.325,3195.557,3158.054,3188.998,226111440,1847986400.000
20190125,3182.902,3193.730,3155.941,3155.941,325254350,2175925200.000
20190128,3172.307,3177.051,3119.721,3125.662,322122150,2286172600.000
20190129,3110.176,3110.176,2995.058,3041.111,283850550,1851039800.000
20190130,3015.055,3047.856,3004.508,3004.586,213404980,1395615300.000
20190131,2986.421,3003.251,2914.215,2934.713,312432070,1813157000.000
20190201,2947.184,3028.762,2947.184,3026.616,265684330,1583239800.000
20190211,3032.519,3105.094,3032.519,3104.532,284568900,1922933200.000
20190212,3106.138,3171.589,3102.372,3163.268,347876470,2491383900.000
20190213,3160.802,3204.554,3148.803,3199.945,376349490,2734961900.000
20190214,3198.407,3252.323,3196.214,3234.538,388113470,3011252500.000
20190215,3232.353,3245.722,3212.175,3237.113,342841870,2744206200.000
20190218,3260.558,3329.422,3260.558,3329.422,451676360,3322853500.000
20190219,3375.446,3396.396,3309.085,3341.342,595151240,4397884200.000
20190220,3342.459,3367.695,3317.785,3357.505,500614050,3847921200.000
20190221,3352.234,3394.889,3319.242,3329.812,502409100,3541949900.000
20190222,3323.707,3388.093,3321.523,3388.093,510469930,3425559400.000
20190225,3427.751,3561.031,3427.751,3556.786,857009850,6247210000.000
20190226,3562.307,3605.539,3501.726,3540.958,921825820,6286718700.000
20190227,3527.195,3587.039,3509.170,3545.203,784895890,5391190400.000
20190228,3548.547,3583.134,3535.823,3558.138,612086950,4250992300.000
20190301,3563.320,3571.320,3507.722,3560.834,484202380,3347355800.000
20190304,3586.872,3674.154,3580.636,3634.059,793735910,6087946600.000
20190305,3627.958,3709.707,3608.819,3709.707,722086990,5398240300.000
20190306,3723.830,3797.231,3694.454,3796.798,937061560,6476885500.000
20190307,3797.493,3888.570,3776.895,3860.934,934268510,7383300700.000
20190308,3791.992,3839.387,3656.604,3657.577,995420250,7521670200.000
20190311,3697.000,3834.473,3697.000,3834.473,756404000,5940956700.000
20190312,3875.700,3956.249,3852.521,3911.812,939519670,7803127700.000
20190313,3917.623,3945.457,3847.144,3878.843,862186010,8158323000.000
20190314,3847.879,3862.054,3688.941,3727.601,647173320,5297672300.000
20190315,3751.881,3835.946,3745.896,3795.618,574527490,4784522400.000
20190318,3801.479,3857.068,3765.891,3856.448,569319640,4752353000.000
20190319,3865.008,3875.337,3821.551,3849.755,561965820,4968984500.000
20190320,3841.746,3851.309,3780.523,3842.422,503876590,4232615200.000
20190321,3846.496,3912.979,3839.870,3894.657,841387180,6764676300.000
20190322,3887.405,3942.324,3851.142,3939.254,765187780,6174562700.000
20190325,3866.063,3910.843,3839.813,3868.277,675906100,5335180500.000
20190326,3865.926,3884.965,3742.459,3757.121,657313080,5193299000.000
20190327,3766.957,3792.962,3717.870,3786.079,501269140,4250299100.000
20190328,3763.406,3803.842,3727.637,3736.964,548226010,4491688700.000
20190329,3727.163,3826.423,3694.441,3826.190,715356480,5853346100.000
20190401,3861.588,3986.460,3861.588,3986.460,862519300,7335045200.000
20190402,4023.451,4071.566,3999.674,4038.510,943971860,7253499800.000
20190403,4042.387,4277.452,4029.140,4268.091,1620898700,13711301000.000
20190404,4326.282,4354.297,4269.873,4298.392,1390879600,13080127500.000
20190408,4301.217,4308.041,4175.241,4272.924,1490140600,13275021500.000
20190409,4233.883,4253.251,4178.953,4245.130,1079095760,9123252700.000
20190410,4212.948,4307.796,4169.237,4290.683,1089902920,8964772700.000
20190411,4320.638,4340.476,4230.214,4230.214,974533020,8309517700.000
20190412,4213.458,4276.976,4211.271,4257.276,1136234790,8500291700.000
20190415,4295.179,4388.243,4270.848,4271.753,1295188060,10133825200.000
20190416,4235.974,4329.479,4192.905,4329.479,1145341770,8894114800.000
20190417,4324.959,4403.111,4316.243,4371.012,1281069140,10379070500.000
20190418,4340.964,4364.610,4279.668,4302.152,1210038420,9761996500.000
20190419,4272.821,4334.129,4259.581,4333.480,881194430,7204836400.000
20190422,4337.569,4340.702,4238.460,4255.839,966735040,7973477000.000
20190423,4261.340,4308.382,4225.615,4237.247,954796620,8280367400.000
20190424,4230.902,4240.490,4152.557,4217.191,744428730,6476191700.000
20190425,4197.169,4208.966,4056.420,4058.643,876797440,7252142800.000
20190426,4032.968,4084.063,4015.159,4016.712,698252020,5657971600.000
20190429,4019.986,4020.035,3874.597,3880.583,715958870,5707224500.000
20190430,3824.311,3916.759,3824.311,3892.257,593746340,4904038300.000
20190506,3752.780,3752.780,3551.310,3569.539,571822040,4447490300.000
20190507,3571.223,3584.824,3491.759,3549.824,518926220,3845518700.000
20190508,3464.061,3585.289,3439.586,3536.476,560389850,4726226000.000
20190509,3490.965,3529.847,3468.504,3473.691,421646140,3463750200.000
20190510,3499.629,3578.376,3422.863,3575.709,667009960,4970313600.000
20190513,3531.019,3626.218,3521.126,3610.635,640994740,4725714800.000
20190514,3577.917,3607.991,3557.395,3562.341,788415840,5821038000.000
20190515,3588.690,3669.046,3580.508,3653.726,796250090,5874252500.000
20190516,3636.499,3644.313,3612.136,3628.592,848460240,5624443100.000
20190517,3622.780,3625.604,3464.107,3477.164,771843460,5115961500.000
20190520,3462.617,3471.612,3370.130,3443.243,471479980,3326242800.000
20190521,3439.648,3504.932,3435.769,3495.523,510941570,3701807600.000
20190522,3483.351,3493.943,3437.045,3453.911,486639050,3561949700.000
20190523,3436.502,3436.502,3352.964,3360.038,476733960,3412564500.000
20190524,3340.080,3372.068,3323.522,3335.443,402421510,2895153600.000
20190527,3336.806,3407.507,3314.112,3406.859,378576860,2989678800.000
20190528,3401.514,3466.103,3397.783,3430.109,683026380,4497915400.000
20190529,3420.566,3455.477,3408.851,3435.126,484083680,3813372200.000
20190530,3404.907,3404.907,3364.470,3398.774,431254940,3542987800.000
20190531,3394.065,3421.240,3384.072,3401.102,680362400,4250216200.000
20190603,3488.567,3530.487,3413.381,3414.172,775541420,6363987600.000
20190604,3351.480,3354.342,3255.865,3277.726,602293090,4724823300.000
20190605,3296.181,3308.840,3238.956,3243.194,438642370,3470885300.000
20190606,3228.818,3230.370,3133.609,3148.908,372306750,2778684900.000
20190610,3149.724,3169.105,3114.696,3162.250,363444510,2355151200.000
20190611,3156.757,3255.660,3149.076,3255.092,633647410,3480526300.000
20190612,3245.752,3272.704,3232.561,3239.157,468650670,2786348900.000
20190613,3237.596,3273.682,3229.197,3264.195,370077760,2393398600.000
20190614,3270.238,3277.954,3192.212,3194.885,496180180,2858830400.000
20190617,3196.598,3211.263,3180.957,3206.156,349630180,2109257800.000
20190618,3199.778,3210.329,3171.870,3193.126,288179560,1820384500.000
20190619,3257.620,3276.941,3236.091,3238.609,445789190,3339967900.000
20190620,3226.499,3274.412,3204.102,3264.475,483198050,3434512700.000
20190621,3293.971,3331.784,3293.971,3322.664,474245660,3615010200.000
20190624,3322.738,3336.820,3308.147,3324.513,454393810,3614029600.000
20190625,3319.801,3319.801,3254.894,3308.579,432379500,3199987800.000
20190626,3292.575,3328.604,3272.629,3316.145,368323970,2737680100.000
20190627,3320.779,3349.038,3318.590,3336.994,428026520,3114474000.000
20190628,3332.238,3332.238,3258.755,3319.405,553416800,3536700400.000
20190701,3363.406,3410.346,3363.183,3410.346,589106120,4447986600.000
20190702,3399.166,3418.775,3382.207,3408.473,502045380,3742496500.000
20190703,3409.780,3409.780,3350.781,3362.125,482482710,3032312200.000
20190704,3370.634,3398.115,3344.208,3361.074,345640570,2764918700.000
20190705,3361.545,3400.117,3347.268,3385.024,335141250,2820660400.000
20190708,3364.343,3364.343,3255.013,3263.570,387450630,3149492800.000
20190709,3248.713,3279.011,3245.372,3277.011,327978300,2248536100.000
20190710,3278.265,3280.990,3235.579,3250.399,279967630,2211648800.000
20190711,3257.098,3284.752,3231.731,3244.742,285462260,2222226200.000
20190712,3241.925,3265.294,3221.608,3255.869,253187300,1962071500.000
20190715,3245.907,3273.020,3189.490,3261.524,288611880,2186871000.000
20190716,3260.343,3278.499,3253.480,3273.770,231837420,1798679700.000
20190717,3260.767,3282.315,3254.674,3270.895,272010180,2214782000.000
20190718,3244.552,3244.618,3206.508,3206.508,290856680,2308790000.000
20190719,3215.052,3255.775,3215.052,3234.541,268138280,2535982500.000
20190722,3239.137,3239.220,3141.077,3147.821,344473010,2893768800.000
20190723,3152.339,3176.220,3146.660,3176.220,283165660,2170929300.000
20190724,3188.176,3236.687,3188.176,3226.530,316706640,2754678600.000
20190725,3234.369,3283.896,3231.906,3279.202,403862150,3447663000.000
20190726,3272.617,3312.272,3264.146,3304.898,446299950,3916219100.000
20190729,3291.026,3294.887,3263.437,3280.266,307050660,2924098400.000
20190730,3287.570,3312.074,3287.570,3297.209,375267780,3018026400.000
20190731,3289.207,3300.764,3279.313,3282.594,390152490,3159835700.000
20190801,3263.751,3264.047,3232.684,3250.978,336962070,3147542700.000
20190802,3179.132,3187.635,3154.036,3184.134,407515230,3628351800.000
20190805,3169.155,3186.662,3138.389,3141.030,369282010,3526006300.000
20190806,3080.584,3085.560,2978.196,3047.043,513525920,4193269200.000
20190807,3067.109,3068.831,3006.800,3009.346,339527810,2920032800.000
20190808,3008.362,3018.096,2989.600,2999.362,262887170,2246586700.000
20190809,3001.935,3020.704,2966.651,2971.689,374252450,2615512100.000
20190812,2970.515,3007.398,2958.187,3007.398,267091200,2222352600.000
20190813,2981.152,2991.951,2968.153,2986.304,231796000,1936651700.000
20190814,3016.883,3032.172,2996.641,3001.130,257669980,2105971400.000
20190815,2926.023,2994.142,2912.251,2992.841,300803590,2195850700.000
20190816,2992.779,3020.811,2986.343,2998.433,289080590,2256495900.000
20190819,3048.055,3111.546,3043.233,3111.217,439220790,3601684400.000
20190820,3124.419,3155.995,3120.374,3125.652,458103420,3913054200.000
20190821,3127.916,3145.628,3121.020,3127.724,375177620,3352159500.000
20190822,3134.250,3160.017,3129.307,3158.400,364300060,2916143800.000
20190823,3169.595,3176.685,3150.059,3171.243,488516060,3733899200.000
20190826,3092.550,3130.649,3084.910,3124.215,445009920,3238012500.000
20190827,3137.491,3183.051,3137.191,3168.210,475103670,4018756200.000
20190828,3169.760,3194.618,3160.069,3175.247,406641260,3646082500.000
20190829,3182.943,3186.473,3169.697,3173.322,424493990,3401425200.000
20190830,3192.163,3199.202,3114.382,3125.854,492419720,3759503100.000
20190902,3128.612,3187.011,3118.560,3185.006,478218340,3532536100.000
20190903,3190.860,3205.733,3182.818,3194.919,428729580,3156713100.000
20190904,3194.437,3224.291,3178.913,3224.291,483860630,3645605300.000
20190905,3236.772,3281.872,3236.336,3256.236,627061170,4877050600.000
20190906,3270.933,3274.100,3252.345,3273.002,462829350,3726951600.000
20190909,3294.699,3323.441,3285.049,3323.441,491338980,4113066300.000
