date,open,high,low,close,vol,tradeAmount
20190102,2455.258,2461.975,2435.960,2442.909,341521390,2181519400.000
20190103,2450.431,2472.098,2431.315,2435.719,425427580,2603450200.000
20190104,2408.028,2478.016,2395.440,2477.405,473742320,2976925000.000
20190107,2489.602,2520.459,2482.353,2519.056,487656630,3048623500.000
20190108,2515.513,2515.893,2496.730,2508.113,423022350,2583179100.000
20190109,2508.718,2539.502,2502.814,2504.159,488939720,3035834300.000
20190110,2500.649,2531.622,2499.982,2507.762,400817550,2477184800.000
20190111,2499.153,2527.332,2490.253,2527.332,433215860,2644850400.000
20190114,2526.666,2528.552,2507.303,2510.681,450669640,2824988300.000
20190115,2492.357,2521.972,2479.235,2521.972,605061180,3465490200.000
20190116,2516.710,2534.586,2510.039,2519.282,521655080,3200273000.000
20190117,2518.147,2518.487,2483.493,2486.575,512576850,3080759900.000
20190118,2486.034,2503.325,2470.869,2493.210,542379250,3113579800.000
20190121,2495.093,2512.568,2489.635,2508.359,499796460,2952500600.000
20190122,2514.764,2514.764,2467.744,2478.384,453786350,2706013200.000
20190123,2474.893,2480.996,2460.412,2466.437,412110060,2796493600.000
20190124,2463.272,2476.420,2449.385,2467.539,493632950,3215142400.000
20190125,2467.131,2480.878,2441.739,2441.739,583486730,3792341500.000
20190128,2464.126,2471.108,2398.747,2401.148,620892850,3677317400.000
20190129,2393.673,2395.585,2303.117,2341.205,563230320,3159741500.000
20190130,2325.732,2348.240,2300.999,2300.999,401384930,2181097100.000
20190131,2285.978,2302.786,2225.766,2239.366,507860190,2849155100.000
20190201,2252.955,2343.101,2252.955,2343.101,455354190,2706294600.000
20190211,2351.323,2403.919,2351.238,2403.412,449095240,2808598800.000
20190212,2405.285,2453.072,2400.916,2440.765,547102490,3331479900.000
20190213,2446.858,2489.470,2441.024,2486.386,597383520,3714932700.000
20190214,2491.460,2511.389,2479.344,2498.969,609238630,3620755300.000
20190215,2498.622,2539.567,2498.358,2515.304,791167980,4766892000.000
20190218,2526.885,2607.789,2526.885,2607.789,845259760,5229654400.000
20190219,2616.053,2634.798,2593.380,2624.906,1033256510,5895662900.000
20190220,2620.550,2620.550,2582.158,2619.339,780332760,4440176700.000
20190221,2615.481,2648.866,2589.394,2598.736,843564230,5226873600.000
20190222,2588.910,2645.349,2588.492,2645.349,772661450,4677837800.000
20190225,2671.340,2795.006,2668.409,2794.049,1279303220,8453831500.000
20190226,2810.232,2867.219,2771.379,2806.469,1520560500,10235696800.000
20190227,2789.869,2862.103,2780.444,2823.419,1331964570,8752061000.000
20190228,2829.381,2885.734,2829.381,2853.428,1050122900,6725504300.000
20190301,2865.754,2873.658,2811.684,2856.020,993731860,6421605400.000
20190304,2866.660,3006.160,2866.660,2963.183,1685853500,12518799000.000
20190305,2955.579,3018.270,2940.585,3018.270,1412782500,10463519200.000
20190306,3036.901,3077.934,2990.815,3076.966,1632306400,11570874500.000
20190307,3077.343,3154.394,3047.132,3127.542,1642246900,11635876200.000
20190308,3058.059,3097.691,2938.624,2938.834,1558230300,11281159300.000
20190311,2937.097,3075.523,2937.097,3075.523,1181715020,8561866300.000
20190312,3105.009,3159.520,3078.503,3136.271,1585159100,11853824800.000
20190313,3138.532,3178.839,3066.885,3091.549,1476248300,11420024200.000
20190314,3081.219,3094.848,2954.281,2986.673,1091929400,8149172100.000
20190315,2991.047,3049.075,2978.257,3011.432,846413160,6294390500.000
20190318,3032.253,3081.193,2999.409,3080.961,834465670,6526500300.000
20190319,3088.261,3116.284,3073.989,3098.306,948179810,7210098400.000
20190320,3096.865,3160.075,3049.032,3160.075,1152869120,8596522500.000
20190321,3175.460,3241.768,3170.931,3215.308,1470368100,10954107800.000
20190322,3212.677,3228.279,3163.389,3217.571,1233743160,10083477500.000
20190325,3155.786,3204.530,3144.260,3158.556,1080848710,9264093400.000
20190326,3158.518,3176.572,3036.885,3047.756,961037830,7713567200.000
20190327,3063.644,3075.760,2992.051,3045.374,716709560,5730976800.000
20190328,3034.744,3065.899,2999.492,3000.796,676673270,5242760300.000
20190329,3000.093,3083.862,2970.576,3083.862,900062470,6732123200.000
20190401,3108.204,3185.416,3108.204,3185.416,1059938200,8564443900.000
20190402,3202.883,3223.208,3183.225,3195.377,1111266400,8628068600.000
20190403,3181.434,3217.859,3172.752,3215.675,965648150,7382398200.000
20190404,3227.385,3238.166,3199.855,3226.292,1024741730,7952559400.000
20190408,3250.606,3267.876,3160.455,3234.125,1204386640,9591888300.000
20190409,3233.444,3301.565,3224.982,3301.565,1179433210,8856597900.000
20190410,3286.956,3356.226,3262.098,3335.861,1376868700,10561746700.000
20190411,3330.023,3331.975,3234.816,3237.497,1277142780,8754136300.000
20190412,3221.347,3239.531,3195.339,3219.056,877000930,6271039400.000
20190415,3241.632,3252.386,3159.038,3159.580,831279440,6177215700.000
20190416,3138.005,3208.514,3115.431,3208.514,789216650,6019976700.000
20190417,3211.489,3253.581,3205.663,3235.306,897084330,7104323700.000
20190418,3239.940,3247.649,3207.567,3223.061,1021991900,7517067700.000
20190419,3215.728,3240.344,3185.322,3240.344,986173750,7140760300.000
20190422,3248.119,3268.152,3212.586,3224.748,969610290,7139040900.000
20190423,3221.681,3226.617,3163.099,3181.938,1073166910,7867725900.000
20190424,3181.829,3245.487,3181.829,3241.247,1218608870,8588583400.000
20190425,3227.710,3227.710,3076.635,3076.923,1239281080,8566240600.000
20190426,3058.678,3068.326,3008.632,3010.181,917896460,6273605200.000
20190429,2996.596,3007.849,2862.121,2873.280,843976140,6159174300.000
20190430,2855.189,2920.661,2855.153,2895.756,637207070,4403394200.000
20190506,2817.394,2817.394,2654.764,2668.677,941949950,6231333300.000
20190507,2688.305,2728.502,2657.506,2702.619,682832780,4312076200.000
20190508,2656.810,2736.917,2630.885,2689.027,695581140,4219764200.000
20190509,2671.157,2715.853,2664.435,2682.331,590291700,3590602800.000
20190510,2704.783,2758.117,2643.920,2757.668,823594690,5188066600.000
20190513,2730.533,2754.587,2721.462,2740.279,645085620,4045593700.000
20190514,2699.996,2737.859,2696.476,2699.138,547821700,3526892300.000
20190515,2717.438,2756.684,2717.438,2749.463,565961280,3651761400.000
20190516,2753.110,2774.506,2747.755,2771.743,552941240,3638733700.000
20190517,2778.809,2780.454,2635.232,2649.196,746379870,4921530100.000
20190520,2642.974,2643.192,2576.983,2632.373,515108080,3319942700.000
20190521,2635.225,2680.858,2626.193,2671.111,462660410,3000284700.000
20190522,2676.147,2686.520,2633.736,2651.158,508533300,3114106200.000
20190523,2643.632,2643.632,2584.996,2591.489,562057910,3427332000.000
20190524,2589.135,2620.530,2585.404,2588.932,457013390,2866393700.000
20190527,2600.430,2656.601,2584.228,2653.357,604236580,3833308600.000
20190528,2649.941,2680.434,2640.632,2647.220,547769240,3520720700.000
20190529,2644.773,2673.354,2642.939,2655.527,452912720,2903130000.000
20190530,2648.197,2648.294,2598.778,2627.648,535170860,3302120000.000
20190531,2615.729,2656.119,2612.210,2630.759,540387880,3425115800.000
20190603,2622.556,2658.562,2582.475,2626.039,655190070,4389905300.000
20190604,2611.375,2611.375,2541.544,2554.435,489763380,3958180600.000
20190605,2562.623,2588.847,2557.204,2568.158,706208150,4601853700.000
20190606,2553.164,2553.164,2470.340,2482.566,578816370,3774263000.000
20190610,2488.855,2518.382,2483.198,2501.751,491405460,3162942100.000
20190611,2517.385,2606.984,2513.275,2606.697,669219340,4760613600.000
20190612,2616.342,2636.521,2598.021,2599.879,663550520,5121743500.000
20190613,2611.282,2631.835,2590.422,2622.269,669338350,4739157200.000
20190614,2633.896,2641.016,2562.769,2566.433,714064950,4819773800.000
20190617,2570.632,2577.786,2551.099,2560.356,626162620,3338412700.000
20190618,2557.325,2584.542,2553.780,2568.391,593165810,3548224900.000
20190619,2613.527,2680.058,2600.909,2655.009,946883850,6479843300.000
20190620,2692.953,2816.825,2692.953,2816.825,1503920800,11728610600.000
20190621,2888.035,2960.162,2888.035,2952.479,1647404300,13485008000.000
20190624,2998.300,2998.392,2925.754,2935.308,1667211600,14184317000.000
20190625,2915.201,2932.419,2871.494,2908.977,1773765800,13103621600.000
20190626,2882.628,2912.937,2864.970,2870.336,1289579900,10849868600.000
20190627,2862.234,2923.668,2860.896,2883.085,1456695800,10540193800.000
20190628,2877.487,2902.439,2840.507,2891.027,1381438200,10326703900.000
20190701,2960.096,3002.456,2942.920,2971.278,1597384300,12149797300.000
20190702,2948.596,2959.239,2897.515,2926.213,1407910000,11241406600.000
20190703,2906.048,2995.245,2892.653,2966.727,1389454800,11076270500.000
20190704,2971.730,3041.583,2964.279,3001.295,1495013800,12091473600.000
20190705,2980.898,2980.898,2933.262,2948.914,1126517360,8572033200.000
20190708,2929.333,2929.333,2828.346,2833.525,1095558660,8092951300.000
20190709,2826.784,2844.988,2788.915,2823.468,797601580,5942201200.000
20190710,2820.485,2822.392,2770.824,2783.711,718824540,5284152200.000
20190711,2797.290,2818.341,2743.559,2774.986,729124400,5276079500.000
20190712,2774.211,2775.208,2742.933,2750.317,580769970,4157311100.000
20190715,2727.429,2774.831,2688.093,2765.557,757902210,5306925100.000
20190716,2766.598,2785.791,2761.609,2777.923,647629290,4515367300.000
20190717,2773.401,2779.939,2751.604,2756.211,708007930,4636950600.000
20190718,2731.455,2731.455,2677.278,2677.278,665188630,4450519500.000
20190719,2686.726,2731.354,2686.726,2698.573,610119610,3847034300.000
20190722,2703.295,2704.191,2608.547,2610.203,670342230,4026118800.000
20190723,2613.219,2631.786,2610.254,2631.786,417713340,2634446000.000
20190724,2638.268,2677.873,2638.268,2664.538,502646030,3382858900.000
20190725,2663.818,2667.528,2650.548,2659.897,442179170,2897866800.000
20190726,2660.433,2660.433,2643.889,2655.624,371212840,2413338900.000
20190729,2659.240,2661.422,2632.104,2638.444,423091040,2733326000.000
20190730,2640.126,2674.635,2640.126,2661.248,442761630,3116623200.000
20190731,2652.160,2652.202,2625.195,2634.544,393987690,2747077400.000
20190801,2623.163,2641.258,2613.914,2622.874,354236700,2393715600.000
20190802,2573.085,2583.505,2556.801,2576.553,486548860,3458456300.000
20190805,2568.942,2596.930,2550.401,2551.181,449709230,3187200600.000
20190806,2502.481,2502.481,2408.020,2463.421,755445600,5010019400.000
20190807,2477.737,2484.806,2448.741,2448.854,456245340,3054544900.000
20190808,2451.572,2469.871,2451.572,2460.192,393104080,2664587800.000
20190809,2470.062,2489.992,2426.314,2433.063,478736580,3041821100.000
20190812,2428.072,2463.131,2428.072,2463.131,396760940,2524308700.000
20190813,2446.684,2446.689,2431.612,2442.221,352753940,2316789600.000
20190814,2467.731,2479.913,2454.056,2458.401,442191010,2973470500.000
