date,open,high,low,close,vol,tradeAmount
20190102,4200.226,4210.848,4096.201,4106.193,325745940,5339286200.000
20190103,4105.324,4127.292,4038.886,4039.921,309281240,4353952200.000
20190104,4003.758,4140.964,3998.552,4138.558,360529840,4811314400.000
20190107,4152.329,4189.647,4132.868,4187.790,305940120,4279915100.000
20190108,4178.283,4198.019,4165.237,4170.414,286664230,3767456900.000
20190109,4164.466,4236.459,4164.466,4183.749,310209290,4436260100.000
20190110,4177.876,4188.701,4148.426,4157.836,257026960,3754303400.000
20190111,4150.490,4166.692,4124.258,4159.810,197591960,2683092200.000
20190114,4156.941,4159.595,4078.188,4091.971,257508080,4340998600.000
20190115,4091.809,4151.964,4075.453,4151.843,263847690,4253829900.000
20190116,4145.753,4179.809,4135.109,4164.944,240350420,4100174800.000
20190117,4155.880,4163.873,4120.259,4121.021,191888700,3088680800.000
20190118,4117.556,4179.665,4116.150,4179.665,231232160,3915245100.000
20190121,4179.810,4224.962,4174.995,4200.362,227552800,4001409900.000
20190122,4193.865,4193.865,4126.017,4139.704,209859220,3350670500.000
20190123,4120.239,4128.459,4104.000,4115.305,167112010,2321080300.000
20190124,4117.043,4143.350,4092.839,4137.578,165655420,2630171800.000
20190125,4123.941,4149.398,4103.049,4103.049,232994280,3219219700.000
20190128,4112.497,4134.439,4066.806,4069.100,203321720,3223205100.000
20190129,4060.440,4065.455,3976.849,4012.140,204461910,3807786200.000
20190130,3983.471,4005.875,3935.417,3937.194,207273590,3573954800.000
20190131,3918.427,3937.054,3834.973,3850.514,256861280,3703807500.000
20190201,3855.930,3980.381,3855.930,3976.681,244912420,4276683400.000
20190211,3973.054,4086.376,3973.054,4086.376,237044060,4555748100.000
20190212,4111.851,4216.776,4108.139,4187.080,351682490,6823920300.000
20190213,4191.189,4264.546,4182.038,4255.354,537918750,6600389000.000
20190214,4235.835,4291.126,4222.795,4281.145,383411250,5199316200.000
20190215,4267.780,4322.266,4255.113,4289.484,459829940,5954945100.000
20190218,4301.001,4420.379,4301.001,4420.135,664083610,7330337000.000
20190219,4425.337,4456.760,4358.854,4402.577,675961600,8258780900.000
20190220,4399.819,4401.696,4326.802,4383.373,510112590,6632788600.000
20190221,4371.168,4425.956,4346.661,4367.475,551615420,6797358900.000
20190222,4346.917,4406.418,4329.910,4406.418,506700270,7003782000.000
20190225,4422.374,4596.968,4422.374,4595.708,764843930,10595109300.000
20190226,4607.149,4819.414,4577.057,4713.170,889982730,14111574000.000
20190227,4700.007,4749.287,4631.484,4678.501,630057950,9495499500.000
20190228,4672.111,4795.622,4672.111,4758.474,623825560,9322700300.000
20190301,4771.435,4797.960,4707.491,4755.228,508747740,7497920600.000
20190304,4779.362,4907.638,4779.362,4857.986,584228290,10058947500.000
20190305,4833.905,4927.035,4807.462,4927.035,470522160,7236831400.000
20190306,4944.487,4999.122,4903.704,4999.122,504625860,8840331900.000
20190307,5009.044,5082.929,4970.840,5056.053,529691020,9245374000.000
20190308,4999.158,5077.497,4865.596,4865.596,656439410,10306983200.000
20190311,4919.112,5067.031,4919.112,5064.756,761751040,14637612000.000
20190312,5094.869,5170.982,5036.725,5118.023,742515360,12724817400.000
20190313,5117.659,5190.953,5053.442,5088.378,688620380,12803855900.000
20190314,5057.850,5103.018,4887.166,4937.100,551043880,9560824700.000
20190315,4948.960,5071.788,4948.960,5049.523,468032650,8471881200.000
20190318,5073.970,5240.416,5066.523,5237.114,643991560,11771915800.000
20190319,5243.145,5267.532,5199.558,5252.972,547444730,9494839600.000
20190320,5237.300,5258.980,5137.403,5225.910,574871550,9524053800.000
20190321,5228.199,5303.702,5215.429,5266.454,643831960,10598893900.000
20190322,5245.508,5298.165,5186.449,5296.486,605582840,9801232400.000
20190325,5214.273,5333.284,5201.839,5234.291,601537040,10469304100.000
20190326,5256.416,5277.297,5090.870,5103.248,528778540,9248714300.000
20190327,5159.682,5281.523,5151.757,5281.523,585248920,11035985800.000
20190328,5283.464,5311.110,5196.106,5208.165,690171970,12375797400.000
20190329,5206.467,5339.145,5150.842,5326.969,658174710,12282370500.000
20190401,5358.418,5455.274,5358.216,5444.441,710165730,13528771000.000
20190402,5441.829,5460.407,5410.771,5445.826,688915460,13145759600.000
20190403,5425.494,5516.125,5407.870,5514.975,695200070,12429772000.000
20190404,5538.381,5539.744,5464.207,5504.483,628494440,12003039800.000
20190408,5536.941,5547.492,5396.818,5458.655,586714050,10945201100.000
20190409,5459.968,5585.047,5436.191,5577.028,540242610,9954191100.000
20190410,5566.494,5717.893,5553.170,5681.650,794045930,13702309000.000
20190411,5748.297,5757.392,5539.569,5540.579,646316920,11558766900.000
20190412,5492.499,5492.499,5381.018,5415.166,473100060,7312495500.000
20190415,5433.259,5470.074,5324.629,5326.869,404728900,7097779900.000
20190416,5304.426,5408.312,5278.714,5408.312,365196120,6623515200.000
20190417,5421.943,5468.958,5406.546,5454.203,410278440,6863385900.000
20190418,5472.631,5472.631,5423.557,5429.434,367094210,5844062200.000
20190419,5446.273,5487.368,5415.983,5466.841,302523180,5353086900.000
20190422,5467.907,5474.503,5379.618,5390.390,418222520,7030630200.000
20190423,5384.314,5392.459,5314.003,5322.368,367831860,5705705500.000
20190424,5316.917,5347.901,5250.067,5347.901,331235450,5478646700.000
20190425,5333.029,5368.838,5195.103,5195.178,384331430,6556171800.000
20190426,5172.042,5216.360,5146.622,5149.214,302848400,5448887400.000
20190429,5145.691,5167.836,5012.773,5042.477,365545570,6739823300.000
20190430,5018.310,5107.966,5018.310,5084.657,307277550,5716624600.000
20190506,4933.790,4970.374,4714.059,4747.767,436767870,7372788400.000
20190507,4794.954,4934.038,4794.954,4899.986,366302630,5847445400.000
20190508,4831.227,5003.047,4804.553,4941.072,405447150,5639842800.000
20190509,4867.533,4910.421,4794.838,4806.289,354241590,5243959900.000
20190510,4835.903,4962.377,4761.174,4961.892,418752700,6518736400.000
20190513,4911.145,4988.751,4903.063,4948.078,284611230,4360183300.000
20190514,4902.754,4966.144,4889.501,4898.262,273319820,4219511600.000
20190515,4946.436,5007.914,4934.087,4999.820,325582910,5207533800.000
20190516,5005.248,5108.543,4994.889,5105.076,431997080,6884034500.000
20190517,5102.282,5114.372,4945.764,4964.431,457931790,6489454100.000
20190520,4949.575,4962.228,4805.486,4879.557,403443170,5434451600.000
20190521,4863.119,5023.908,4858.591,5008.089,348705400,5367218500.000
20190522,5013.263,5019.907,4946.517,4970.076,346555310,4659471500.000
20190523,4952.862,4957.649,4855.989,4867.018,307552500,4214237700.000
20190524,4860.084,4897.472,4815.676,4823.902,264757400,3805855700.000
20190527,4829.668,4949.384,4807.575,4947.701,290741510,4514576700.000
20190528,4950.786,5002.046,4934.454,4961.030,337369710,5091501900.000
20190529,4938.133,4968.754,4916.858,4936.873,253078310,3711334500.000
20190530,4923.209,4923.209,4855.210,4911.300,262124570,3965376200.000
20190531,4914.615,4955.135,4899.355,4912.208,241536970,4071055700.000
20190603,4916.452,4940.808,4804.083,4825.320,304607260,5164043000.000
20190604,4820.568,4825.227,4715.044,4736.893,220070990,4111409500.000
20190605,4764.893,4785.688,4636.314,4639.215,308776070,6134174700.000
20190606,4623.571,4624.253,4493.560,4507.014,279459680,4949027500.000
20190610,4513.578,4566.887,4491.967,4544.415,229830870,3959324800.000
20190611,4566.981,4738.926,4562.798,4735.987,294365240,5025088200.000
20190612,4728.273,4747.997,4709.267,4720.544,250058090,3606291800.000
20190613,4725.506,4775.378,4696.635,4760.824,239149930,3759710100.000
20190614,4771.904,4797.407,4708.030,4719.124,304697230,4887788900.000
20190617,4731.206,4792.231,4727.991,4737.620,265187230,4375171300.000
20190618,4748.186,4780.992,4727.336,4758.904,258770340,3663224600.000
20190619,4843.848,4874.214,4815.137,4818.555,318177210,4690222100.000
20190620,4819.990,4900.621,4799.724,4885.383,305411770,5152148800.000
20190621,4915.527,4950.851,4909.826,4938.627,309072800,5081420100.000
20190624,4960.752,4967.844,4916.320,4941.539,276519490,4303006100.000
20190625,4934.392,4935.259,4845.671,4910.573,272426500,4432751500.000
20190626,4902.685,4959.381,4883.157,4948.363,238161050,4549548200.000
20190627,4963.251,4985.882,4953.572,4973.568,216237200,4133991200.000
20190628,4984.908,4984.908,4889.214,4919.593,223020640,4151888100.000
20190701,4998.234,5059.887,4980.610,5059.850,314724790,6570617500.000
20190702,5056.153,5126.538,5035.605,5111.546,359532390,6802475900.000
20190703,5102.465,5102.465,5047.888,5062.219,292779940,6181504500.000
20190704,5071.162,5086.569,4997.092,5016.988,230910060,4794005300.000
20190705,5013.398,5078.501,5008.923,5064.736,195761660,4805080800.000
20190708,5050.658,5050.658,4879.993,4908.299,265632870,5643996100.000
20190709,4903.698,4927.600,4875.044,4909.447,163434260,3201197000.000
20190710,4916.379,4943.052,4898.670,4909.759,205761660,4396491100.000
20190711,4922.697,4969.580,4906.572,4921.765,168819390,3643181100.000
20190712,4933.261,5002.083,4924.270,4979.414,176274740,3683333100.000
20190715,4967.543,5014.099,4899.193,4993.516,251368040,4995909500.000
20190716,4998.404,5045.101,4994.968,5007.138,216828350,4221537800.000
20190717,4999.443,5018.381,4986.683,4990.741,197054440,3820527300.000
20190718,4980.929,4990.317,4909.354,4909.354,198532740,3551454500.000
20190719,4928.071,4979.676,4926.816,4932.150,165270240,3344879000.000
20190722,4948.162,4948.760,4817.223,4819.859,188904140,3426501500.000
20190723,4823.483,4869.992,4823.483,4866.979,149642870,3424999200.000
20190724,4886.202,4949.717,4884.466,4921.936,160357780,3517271400.000
20190725,4923.934,4939.567,4912.879,4938.143,138738220,2878830700.000
20190726,4925.980,4954.137,4913.752,4946.767,160626830,3205568400.000
20190729,4949.436,4949.436,4904.618,4916.199,145329500,2924192200.000
20190730,4920.900,4973.819,4920.900,4956.871,150385720,3141349100.000
20190731,4959.135,4959.397,4927.085,4933.704,151028320,3056112900.000
20190801,4917.473,4922.748,4874.033,4891.260,151282280,3533365100.000
20190802,4805.692,4840.486,4788.613,4832.374,175028500,3484582500.000
20190805,4820.594,4841.877,4757.290,4757.290,148341460,3097094700.000
20190806,4689.578,4689.578,4585.495,4659.934,218652330,3984449800.000
20190807,4689.281,4727.139,4669.596,4704.349,154956180,3461606400.000
20190808,4709.876,4769.900,4709.876,4761.250,167171460,3913963700.000
20190809,4792.287,4813.899,4731.527,4738.582,195664430,3767757500.000
20190812,4746.908,4826.263,4736.650,4826.263,242367800,3972460400.000
20190813,4796.989,4856.813,4796.989,4849.759,352812150,5811406000.000
20190814,4900.056,4943.068,4880.522,4926.044,371722840,6426769600.000
20190815,4828.725,4971.112,4813.881,4970.222,358159850,5567141300.000
20190816,4955.940,5028.444,4954.173,4997.078,323977600,5991484900.000
20190819,5046.874,5119.561,5040.934,5119.561,387732750,7177922200.000
20190820,5115.426,5133.957,5075.734,5088.096,322420620,6372798000.000
20190821,5073.476,5111.172,5067.599,5103.906,290136680,5112895000.000
20190822,5110.186,5110.186,5063.593,5103.545,273301000,4591575700.000
20190823,5103.311,5209.061,5079.435,5197.185,388095600,7865318900.000
20190826,5103.094,5247.590,5103.094,5190.753,381877850,7300851400.000
20190827,5209.065,5316.700,5209.065,5297.271,453483050,7492898700.000
20190828,5299.176,5299.176,5202.463,5221.933,370688070,6945184600.000
20190829,5212.829,5222.690,5171.793,5185.318,264094740,4796772700.000
20190830,5204.195,5225.440,5097.639,5121.469,314080140,5689488500.000
20190902,5119.922,5219.844,5119.922,5209.284,287167140,5946145800.000
20190903,5206.662,5218.620,5176.303,5205.023,284185720,5128854900.000
20190904,5196.502,5239.582,5171.350,5214.282,284932180,5249560600.000
20190905,5237.281,5280.473,5230.655,5238.356,363009020,6986841300.000
20190906,5250.727,5299.293,5226.104,5299.293,342411000,6092635200.000
20190909,5321.823,5357.064,5281.772,5357.064,375248030,7180808000.000
20190910,5351.964,5440.025,5324.265,5439.602,423488720,6849947500.000
20190911,5449.889,5452.785,5355.538,5356.308,397517370,7447284100.000
20190912,5362.892,5389.404,5313.430,5380.683,304577570,5601430000.000
20190916,5387.323,5408.213,5371.746,5387.763,294142580,4909364300.000
20190917,5382.588,5390.491,5264.898,5276.038,294240460,4893300800.000
20190918,5279.652,5310.303,5278.781,5300.537,203274940,4278497100.000
20190919,5310.351,5323.703,5264.909,5323.703,211113640,4266028400.000
20190920,5330.620,5360.572,5315.907,5327.606,219220610,4624411000.000
20190923,5315.589,5315.589,5209.564,5239.555,222606360,4232280100.000
20190924,5251.956,5309.207,5240.880,5261.589,254920400,6320265300.000
20190925,5253.458,5253.458,5205.639,5206.362,264721250,5368701400.000
20190926,5215.332,5225.889,5083.482,5084.918,280077530,5531580000.000
20190927,5082.402,5142.367,5064.698,5132.968,179829720,3705902000.000
20190930,5137.159,5157.660,5090.296,5114.598,173169470,3636057000.000
20191008,5131.725,5217.182,5131.725,5178.509,275359700,5267082000.000
20191009,5158.769,5209.727,5124.001,5209.727,205452610,4135088200.000
20191010,5243.128,5327.272,5227.058,5325.377,279085210,6889858300.000
20191011,5333.120,5368.727,5317.515,5343.081,276764700,6054248700.000
20191014,5370.294,5389.644,5346.624,5358.188,285038530,5995049000.000
20191015,5350.187,5361.043,5330.668,5344.431,299296930,5257926800.000
20191016,5346.060,5408.345,5346.060,5360.785,260951870,5938189200.000
20191017,5362.403,5387.785,5329.705,5359.932,243836730,4599961600.000
20191018,5373.128,5420.935,5322.091,5322.091,282842380,6151207800.000
20191021,5314.852,5335.706,5232.959,5286.627,256683930,5959111800.000
20191022,5311.894,5398.431,5311.758,5398.431,252162070,4973683600.000
20191023,5440.394,5443.390,5305.298,5321.438,413463280,6435908500.000
20191024,5333.084,5348.536,5289.908,5303.915,332250380,5956387800.000
20191025,5286.748,5324.973,5255.927,5315.276,314361640,4786061500.000
20191028,5289.291,5336.186,5289.066,5334.723,301903920,5888563000.000
20191029,5326.738,5352.024,5304.729,5306.846,270185130,5030762900.000
20191030,5286.324,5286.324,5206.712,5219.134,278493620,5582401800.000
20191031,5219.967,5250.249,5185.030,5188.489,232263020,4885335300.000
20191101,5184.048,5229.771,5165.746,5229.771,224861110,5028931100.000
20191104,5247.084,5290.868,5247.084,5259.764,272078970,5743695600.000
20191105,5258.796,5263.752,5215.728,5247.957,199821390,4520174900.000
20191106,5250.428,5265.654,5197.001,5208.473,262483290,7934952900.000
20191107,5214.226,5278.462,5213.245,5278.462,311556980,6844676000.000
20191108,5312.015,5323.996,5273.510,5289.207,302044880,6739809800.000
20191111,5265.491,5265.491,5141.285,5146.316,271855890,6261641100.000
20191112,5143.171,5159.057,5081.806,5148.860,242434660,5752933500.000
20191113,5159.445,5196.214,5145.885,5181.007,225106550,6261490900.000
20191114,5171.572,5228.648,5163.701,5210.949,279006640,5586390700.000
20191115,5211.359,5212.274,5158.212,5159.784,265948710,5779912200.000
20191118,5160.898,5196.210,5152.980,5188.795,204640870,5895704300.000
20191119,5191.945,5298.490,5184.254,5298.490,230146460,6365539800.000
20191120,5288.236,5333.305,5263.904,5276.850,218048560,5513890900.000
20191121,5264.500,5295.495,5237.406,5255.129,191491850,5097150400.000
20191122,5262.993,5285.097,5088.645,5112.518,291838300,9174270000.000
20191125,5103.058,5109.625,5001.851,5042.300,241657170,7455360500.000
20191126,5048.998,5071.352,5027.118,5057.051,186224040,5681330000.000
20191127,5045.626,5046.573,5003.895,5021.054,167386840,4845834400.000
20191128,5023.307,5043.761,5008.145,5028.071,153607610,3590005400.000
20191129,5020.508,5020.508,4931.349,4978.133,231769470,6474226800.000
20191202,4972.101,4981.343,4929.031,4948.132,240839390,6152275800.000
20191203,4939.463,4963.562,4899.914,4962.833,227237580,5960649000.000
20191204,4949.608,4989.069,4940.569,4977.257,169148090,4672397000.000
20191205,4989.409,5042.658,4989.327,5032.890,213632830,5342917400.000
20191206,5041.197,5054.096,5020.662,5049.055,169114100,3819550900.000
20191209,5061.622,5061.622,5004.401,5023.951,183495940,4973192200.000
20191210,5017.620,5053.711,5001.802,5053.711,200372860,5106090800.000
20191211,5054.083,5054.083,5020.055,5038.383,182064040,4158609900.000
20191212,5048.689,5048.689,5012.373,5014.019,221218160,4989073400.000
20191213,5034.102,5072.050,5034.102,5072.050,217724010,5176300300.000
20191216,5084.725,5140.675,5064.726,5140.675,282406840,6248732700.000
20191217,5138.928,5197.187,5127.440,5191.129,310772970,6740589900.000
20191218,5186.890,5198.914,5152.113,5162.151,263488070,5995110000.000
20191219,5160.902,5196.260,5156.782,5190.839,227818960,4626873200.000
20191220,5206.812,5217.172,5139.674,5139.740,244066540,4788817600.000
20191223,5129.785,5159.751,5066.956,5069.703,218864760,4538512700.000
20191224,5079.287,5130.530,5075.497,5130.530,175943550,3844144200.000
20191225,5123.254,5124.494,5097.260,5115.940,206410510,4314049100.000
20191226,5118.404,5159.174,5118.404,5157.328,278164100,5688672200.000
20191227,5164.963,5181.114,5112.082,5113.343,269608330,6278745800.000
20191230,5101.490,5124.314,5047.049,5121.667,242881520,4981911000.000
20191231,5131.175,5286.348,5129.401,5257.286,482567700,8728025700.000
20200102,5278.391,5312.709,5231.315,5297.778,593140410,10763631800.000
20200103,5297.496,5325.048,5279.180,5308.826,453280210,10081783100.000
20200106,5282.378,5332.811,5266.554,5292.397,507871690,11097106900.000
20200107,5280.996,5358.326,5280.996,5358.326,407819080,8333504200.000
20200108,5329.696,5329.782,5256.387,5262.988,368616160,6792371900.000
20200109,5297.172,5358.543,5295.481,5358.543,372969400,7761994400.000
20200110,5370.968,5382.274,5352.483,5371.004,336000700,7743692200.000
20200113,5378.986,5419.732,5349.864,5419.732,307037510,6841053900.000
20200114,5437.243,5443.218,5407.107,5429.616,359689360,7722785800.000
20200115,5422.214,5452.651,5400.432,5414.607,276594780,5815531500.000
20200116,5429.440,5429.554,5384.754,5392.813,248270020,5564581000.000
20200117,5412.024,5454.685,5412.024,5428.580,350338790,8179575100.000
20200120,5501.383,5604.422,5491.775,5602.601,508106610,11756114100.000
20200121,5674.297,5800.274,5674.297,5798.403,699585240,14881268000.000
20200122,5839.133,5839.133,5641.157,5654.348,716298040,12023301600.000
20200123,5652.846,5735.377,5538.684,5606.124,818873490,13625921000.000
20200203,5405.576,5510.695,5377.994,5386.968,872562400,17807373000.000
20200204,5352.073,5631.735,5352.073,5609.198,968296390,17104828000.000
20200205,5664.312,5918.378,5614.223,5912.655,1191798680,21280402000.000
