date,open,high,low,close,vol,tradeAmount
20190102,777.986,779.096,770.928,772.618,556445890,2873915600.000
20190103,772.570,778.606,768.909,770.222,496401550,2528328400.000
20190104,764.562,786.382,762.505,786.382,658121350,3330337800.000
20190107,789.857,800.467,789.857,800.467,706661320,3489176900.000
20190108,801.754,805.755,799.964,804.692,698100570,3366958300.000
20190109,805.259,811.833,801.751,802.235,745461540,3570007100.000
20190110,803.460,812.054,803.460,805.398,737542840,3667952600.000
20190111,804.390,809.796,801.450,809.796,684001050,3369767200.000
20190114,808.794,811.325,806.336,808.283,644443190,3451387900.000
20190115,806.931,811.222,803.077,811.222,601829390,3007394700.000
20190116,812.162,815.250,810.211,810.799,630496460,3037929100.000
20190117,809.858,813.684,806.116,807.390,631520070,2947582100.000
20190118,807.245,812.278,805.358,810.665,617536090,3115171800.000
20190121,811.609,816.335,811.064,812.647,563083810,2915260900.000
20190122,812.933,812.933,801.943,803.896,483634910,2479858700.000
20190123,802.564,804.899,800.395,804.659,443687210,2290007700.000
20190124,805.761,807.901,801.784,805.988,527849760,2676609700.000
20190125,807.669,807.841,799.333,799.333,617492540,3083693900.000
20190128,803.134,806.316,795.890,797.457,645280110,3289959100.000
20190129,796.340,797.555,781.570,790.091,658228990,3300063700.000
20190130,786.878,793.455,784.267,784.734,691823150,3170814400.000
20190131,784.074,789.827,772.831,775.209,759292150,3443954600.000
20190201,776.926,793.934,776.926,793.934,757663460,3391483500.000
20190211,795.993,815.274,795.692,815.178,995319370,4531726200.000
20190212,817.989,824.122,817.319,823.070,1017382570,4823257400.000
20190213,822.526,832.553,819.659,831.747,1118366250,5468197400.000
20190214,832.128,836.103,830.145,833.321,922643460,4420365400.000
20190215,834.374,849.503,834.351,840.867,1088439870,5192515200.000
20190218,846.585,869.368,846.585,869.266,1589088600,8195310500.000
20190219,877.028,878.061,861.690,868.392,1624404100,8303535100.000
20190220,869.116,871.396,862.635,871.396,1159900820,6393614900.000
20190221,872.067,881.272,866.771,869.323,1389789800,7686831100.000
20190222,869.606,882.841,868.515,882.788,1217905790,6783848600.000
20190225,894.617,923.780,891.825,922.803,2533642400,13847405000.000
20190226,925.720,944.940,915.620,927.875,2670818300,14407239000.000
20190227,925.844,941.986,923.001,930.817,1947369400,10780001200.000
20190228,931.428,938.497,927.484,933.842,1460885600,8429757100.000
20190301,935.011,940.838,926.772,940.838,1468627900,8136623200.000
20190304,942.453,967.192,942.401,956.465,2281398700,13111071000.000
20190305,957.268,976.394,954.852,976.371,2070257600,12681243300.000
20190306,982.082,998.923,977.086,998.923,2750402000,15954309000.000
20190307,1002.842,1025.170,998.182,1018.847,2791662600,16109178000.000
20190308,1002.313,1009.273,967.490,967.728,3051120000,17575853000.000
20190311,971.122,1007.353,970.120,1007.353,2132840800,12573004800.000
20190312,1018.736,1043.919,1015.369,1031.924,3013968400,17632857000.000
20190313,1032.119,1032.119,1000.509,1005.266,2330217900,15092885000.000
20190314,997.909,1004.932,967.842,976.714,1681881800,10355824900.000
20190315,981.369,998.294,981.172,992.479,1453345900,8733597800.000
20190318,998.016,1014.871,991.586,1014.871,1512701800,9241430700.000
20190319,1020.657,1032.096,1018.986,1026.957,1773288300,11003380400.000
20190320,1028.624,1036.180,1019.427,1034.863,1679581200,10555100200.000
20190321,1038.365,1057.116,1037.905,1053.417,1897483400,12215364700.000
20190322,1054.754,1062.294,1039.738,1061.762,1911983300,12629053200.000
20190325,1047.542,1063.224,1041.656,1047.527,1684887500,10593793500.000
20190326,1048.005,1051.318,1011.617,1014.192,1572729700,9658538400.000
20190327,1017.463,1019.508,998.357,1015.329,1229864270,7843392200.000
20190328,1012.332,1018.100,999.619,1000.655,1093455990,7085594200.000
20190329,1000.748,1023.041,991.621,1023.020,1367720300,8645319100.000
20190401,1027.626,1054.554,1027.626,1052.829,1998182700,12800469500.000
20190402,1057.577,1063.924,1050.893,1055.046,1809974700,12309147500.000
20190403,1051.365,1065.546,1047.907,1065.546,1614270500,10317723800.000
20190404,1068.891,1073.500,1062.586,1071.354,1883039900,11173374400.000
20190408,1075.046,1078.712,1047.953,1061.719,1766612600,10757643600.000
20190409,1062.093,1070.951,1057.469,1067.462,1296237120,8042082500.000
20190410,1062.976,1073.837,1054.893,1066.255,1363215200,8736078800.000
20190411,1069.241,1078.441,1060.754,1069.433,1787304600,10260086400.000
20190412,1071.404,1094.602,1071.404,1094.602,2233543400,12994655000.000
20190415,1107.513,1110.306,1085.901,1086.276,2278254100,14106353000.000
20190416,1080.951,1096.643,1064.921,1096.643,2026990200,13134018800.000
20190417,1096.151,1105.901,1092.782,1099.566,2017915400,12859046900.000
20190418,1096.731,1100.574,1085.824,1099.012,1939661900,12441715300.000
20190419,1096.891,1098.646,1083.345,1096.671,1677191600,10477490300.000
20190422,1098.392,1098.499,1080.684,1082.779,1812048000,11024304000.000
20190423,1081.911,1085.549,1070.890,1072.309,1634125500,10027879800.000
20190424,1072.588,1078.245,1060.766,1078.245,1490241200,9034267700.000
20190425,1075.948,1075.948,1034.506,1034.506,1789921700,10820395800.000
20190426,1027.113,1029.501,1011.362,1011.362,1571851100,8823390600.000
20190429,1011.746,1016.200,980.826,981.361,1180288470,6897837000.000
20190430,976.710,1001.061,976.710,996.411,1108516220,6430171100.000
20190506,973.892,973.892,926.993,935.469,1607178000,8938995400.000
20190507,939.072,955.034,937.761,951.623,1283155440,7024452500.000
20190508,937.851,961.746,931.432,947.365,1277191540,7031687400.000
20190509,939.696,948.394,936.145,937.670,1038541570,5725305100.000
20190510,944.951,964.028,929.248,963.988,1296905120,6973517900.000
20190513,955.410,959.563,948.329,952.626,840869890,4780303500.000
20190514,940.954,951.216,940.073,942.545,859403830,4998301000.000
20190515,949.129,970.775,949.129,968.330,1095296460,6083627700.000
20190516,972.065,982.239,970.902,978.558,1207227190,6950474700.000
20190517,979.863,980.558,938.395,942.891,1287029460,7103740600.000
20190520,938.879,940.871,917.424,930.390,988008830,5398962800.000
20190521,928.593,949.221,928.593,948.971,872447070,4964640300.000
20190522,948.530,949.704,936.547,940.760,894532540,5117832400.000
20190523,936.971,936.971,917.471,920.562,794327680,4325347800.000
20190524,917.079,926.611,917.079,922.035,657141000,3647938600.000
20190527,923.110,943.750,919.189,941.925,853236730,4727051700.000
20190528,943.197,953.009,939.614,943.725,973715760,5784674600.000
20190529,941.553,950.487,939.875,946.681,746627430,4411921800.000
20190530,942.153,945.146,934.332,945.146,846698670,5005066400.000
20190531,947.833,960.591,947.438,953.232,979105960,5581691200.000
20190603,953.919,956.688,941.945,945.053,1032173540,6197169900.000
20190604,943.045,943.294,927.566,931.701,747400810,4320312700.000
20190605,938.919,941.119,931.887,932.780,635125270,3586326700.000
20190606,934.967,934.967,914.610,917.270,684982080,3937340900.000
20190610,917.326,926.604,914.038,925.024,676062960,3863159400.000
20190611,924.308,952.144,924.308,952.144,972837990,5541154400.000
20190612,950.734,961.833,948.417,953.239,896909770,5120027500.000
20190613,951.535,963.930,947.733,959.916,945272890,5097354600.000
20190614,960.624,962.636,940.975,943.684,927066770,5038095100.000
20190617,942.650,947.830,938.656,944.106,587133270,3208932000.000
20190618,944.803,948.493,939.055,943.556,591404850,3108246100.000
20190619,961.460,964.658,956.085,956.985,851751380,4778330000.000
20190620,958.035,975.341,955.222,972.068,1105536520,6071413700.000
20190621,979.021,987.741,979.021,985.165,1131438200,6362495400.000
20190624,986.681,987.559,979.722,982.977,810050680,4645117600.000
20190625,983.299,983.299,963.337,972.357,954580250,5540130300.000
20190626,966.770,973.260,964.736,968.269,666184980,3839519300.000
