date,open,high,low,close,vol,tradeAmount
20190102,3050.327,3074.956,3040.946,3058.960,544397200,6501325000.000
20190103,3049.212,3062.181,2980.735,2982.845,640054600,7528069500.000
20190104,2939.548,3048.583,2919.937,3043.436,721615130,7864922400.000
20190107,3068.546,3136.733,3061.409,3131.299,863796850,9626922900.000
20190108,3128.528,3167.469,3119.880,3156.886,924018990,8614345900.000
20190109,3163.926,3234.292,3150.848,3182.374,1077319560,10799111400.000
20190110,3185.468,3222.460,3178.061,3196.633,1026801430,10653514600.000
20190111,3207.096,3246.450,3203.012,3243.130,1019066220,10168069700.000
20190114,3237.870,3242.055,3182.059,3200.989,847727070,8361798900.000
20190115,3180.013,3230.986,3174.706,3230.986,850624950,9003984500.000
20190116,3229.737,3242.164,3199.432,3202.518,731717530,8046061000.000
20190117,3203.465,3203.465,3151.384,3156.191,693303130,7343293800.000
20190118,3156.948,3181.320,3127.871,3163.434,677759400,7637718700.000
20190121,3166.977,3208.873,3166.977,3197.030,658546080,7983980300.000
20190122,3199.095,3199.095,3158.381,3173.772,594947190,6667355800.000
20190123,3165.406,3177.617,3148.678,3177.617,501511540,6230019800.000
20190124,3183.922,3236.024,3169.466,3223.881,709106510,9047436500.000
20190125,3222.850,3254.334,3199.934,3200.283,917666380,11086687100.000
20190128,3214.614,3235.084,3173.455,3181.590,814585950,10576070600.000
20190129,3169.557,3169.557,3035.339,3088.610,778090380,8991974500.000
20190130,3069.651,3103.632,3032.455,3032.455,625397750,7353223300.000
20190131,3016.272,3068.472,2974.546,2991.433,826939050,8912062400.000
20190201,3011.433,3108.177,3011.433,3108.177,782171560,9633761300.000
20190211,3124.996,3237.676,3124.857,3235.524,993264120,12291328100.000
20190212,3251.068,3304.955,3240.988,3300.054,1205909040,13036049700.000
20190213,3313.045,3419.639,3310.410,3414.448,1350450900,16715900000.000
20190214,3432.633,3464.454,3408.180,3442.056,1320057020,15249266000.000
20190215,3447.441,3478.049,3437.519,3451.131,1431880800,14999939000.000
20190218,3499.313,3627.024,3499.313,3627.024,1965448500,21095466000.000
20190219,3653.217,3670.248,3568.636,3624.852,2169790800,22830291000.000
20190220,3607.800,3625.582,3561.012,3620.890,1511777700,16227663000.000
20190221,3609.078,3714.763,3589.159,3634.328,1914152000,22300494000.000
20190222,3618.356,3741.903,3618.270,3741.903,1727006900,21881790000.000
20190225,3814.113,3965.413,3808.504,3943.389,2257875300,30558494000.000
20190226,3944.194,3991.380,3861.359,3886.467,2308544900,29169014000.000
20190227,3871.638,3899.151,3769.787,3813.636,1654555100,21786457000.000
20190228,3810.895,3865.799,3810.549,3838.972,1162271690,14450770000.000
20190301,3866.842,3876.156,3817.971,3871.001,1334673710,15515783000.000
20190304,3923.094,4026.717,3919.748,3958.876,1891850900,26615309000.000
20190305,3956.591,4111.105,3944.000,4111.105,1769450700,23616107000.000
20190306,4153.158,4196.320,4080.255,4196.320,1980562000,28190145000.000
20190307,4192.875,4305.480,4157.490,4263.384,1866492500,26957095000.000
20190308,4153.554,4326.787,4085.871,4104.355,2530348200,32488848000.000
20190311,4117.323,4290.239,4117.323,4290.239,2014181400,26081766000.000
20190312,4325.658,4388.290,4272.891,4366.741,2154254900,29508928000.000
20190313,4369.767,4369.767,4189.573,4230.133,1820374700,23816420000.000
20190314,4194.524,4228.519,4044.713,4103.550,1456077900,18268314000.000
20190315,4126.554,4174.405,4086.532,4153.990,1203724880,16719204000.000
20190318,4153.971,4237.289,4108.485,4237.289,1251882350,16850355000.000
20190319,4240.450,4298.210,4220.519,4253.640,1368902800,17187554000.000
20190320,4252.529,4253.228,4127.570,4207.190,1289996190,16210015000.000
20190321,4209.841,4291.341,4198.388,4266.029,1500793500,18981242000.000
20190322,4271.020,4312.610,4196.868,4308.411,1352036800,17708300000.000
20190325,4232.023,4337.767,4212.103,4285.312,1216946400,16192864000.000
20190326,4304.871,4325.170,4139.548,4152.239,1313995950,17691812000.000
20190327,4186.175,4194.211,4065.861,4151.135,1094318530,14028719000.000
20190328,4129.507,4211.164,4105.571,4112.507,1091451080,13837730000.000
20190329,4112.825,4229.759,4060.949,4229.759,1293503210,17461871000.000
20190401,4255.592,4404.696,4255.224,4404.696,1531608700,23032779000.000
20190402,4421.496,4450.343,4378.366,4399.434,1483467000,20556165000.000
20190403,4378.374,4459.740,4371.919,4459.740,1126696480,16409963000.000
20190404,4479.285,4488.742,4426.269,4455.066,1411214100,18731481000.000
20190408,4464.671,4476.776,4291.477,4341.662,1251336930,17898736000.000
20190409,4342.055,4427.166,4314.274,4412.096,1180936740,15953067000.000
20190410,4375.642,4410.735,4338.154,4375.730,1322747340,15758932000.000
20190411,4383.206,4389.618,4292.611,4292.984,1318880900,15628723000.000
20190412,4293.848,4324.866,4255.975,4289.261,909562190,11204019400.000
20190415,4341.444,4394.544,4295.902,4298.195,1100325880,15139593000.000
20190416,4284.313,4443.607,4244.161,4443.607,1397135000,21407190000.000
20190417,4465.284,4535.056,4459.561,4501.635,1744919100,26177294000.000
20190418,4504.767,4533.147,4472.485,4477.303,1712336100,24435653000.000
20190419,4455.964,4496.221,4408.896,4496.221,1460525500,20559493000.000
20190422,4505.083,4527.097,4445.628,4462.932,1378486800,19904445000.000
