date,open,high,low,close,vol,tradeAmount
20190102,2145.053,2151.799,2137.692,2143.472,1447816800,12028862500.000
20190103,2141.377,2169.103,2139.324,2152.186,1710874000,13001214300.000
20190104,2131.856,2228.561,2125.873,2227.677,2618094000,19789853000.000
20190107,2248.107,2306.651,2246.239,2299.902,3055896200,23101180000.000
20190108,2300.440,2302.497,2274.510,2296.751,3035842900,21668043000.000
20190109,2294.947,2333.370,2286.291,2300.464,3132942200,23165094000.000
20190110,2300.819,2349.008,2300.819,2332.974,3407343700,24970101000.000
20190111,2330.090,2349.962,2320.099,2349.962,2943117200,21453940000.000
20190114,2350.200,2355.139,2318.679,2325.250,2846040400,19018646000.000
20190115,2318.076,2359.580,2313.602,2359.140,2889646600,20963749000.000
20190116,2357.714,2362.846,2340.575,2343.884,2752399800,19811907000.000
20190117,2339.667,2342.317,2315.024,2318.065,2613031000,19382702000.000
20190118,2319.650,2330.396,2298.845,2320.750,2680178500,19158331000.000
20190121,2332.908,2347.400,2327.478,2334.549,2470572500,18005170000.000
20190122,2331.102,2331.102,2299.742,2309.112,2081965400,15685488000.000
20190123,2302.401,2318.963,2298.200,2318.963,1963107900,14913232000.000
20190124,2316.230,2331.382,2306.771,2321.780,2329674000,18482224000.000
20190125,2319.522,2321.363,2291.916,2292.114,2220751300,18445796000.000
20190128,2303.954,2322.373,2282.383,2288.683,2310889700,18250001000.000
20190129,2273.885,2273.885,2184.188,2220.544,2317218800,18013387000.000
20190130,2202.620,2231.203,2193.502,2193.590,2097492300,18203093000.000
20190131,2174.326,2200.000,2130.401,2143.995,2248529900,16597439000.000
20190201,2153.632,2220.037,2153.632,2219.819,2247666400,16940282000.000
20190211,2232.522,2289.437,2232.522,2289.437,2374578700,18400965000.000
20190212,2295.827,2326.793,2293.557,2324.050,2968192500,20881514000.000
20190213,2320.607,2358.517,2314.508,2355.741,3138186700,22960780000.000
20190214,2350.794,2397.110,2344.950,2385.883,3165767000,25941351000.000
20190215,2380.137,2399.882,2373.900,2378.494,3008299000,23985942000.000
20190218,2385.152,2463.591,2385.152,2463.591,3577681700,28756517000.000
20190219,2475.727,2488.073,2432.354,2471.111,3904060800,32014194000.000
