date,open,high,low,close,vol,tradeAmount
20190102,2184.528,2187.041,2162.674,2167.859,280754450,4173425700.000
20190103,2162.819,2177.109,2131.634,2133.560,277793470,3483563100.000
20190104,2109.095,2187.537,2100.431,2187.123,409504550,5353257700.000
20190107,2196.809,2226.274,2186.703,2224.273,413289320,5187524200.000
20190108,2217.837,2230.886,2212.975,2227.610,365020010,3634544400.000
20190109,2270.322,2324.416,2270.322,2294.412,913289720,13263529700.000
20190110,2295.349,2296.167,2267.886,2271.501,657989760,7207037300.000
20190111,2263.570,2274.655,2250.046,2272.330,458495690,5327723500.000
20190114,2272.181,2282.966,2257.872,2264.179,416543580,4139408100.000
20190115,2261.286,2298.042,2258.393,2295.785,611023100,7701907500.000
20190116,2293.110,2299.627,2274.298,2281.518,440705320,5885201100.000
20190117,2279.256,2282.422,2259.987,2262.573,512827520,7539804600.000
20190118,2260.803,2279.688,2251.186,2275.104,443509670,6746854500.000
20190121,2280.328,2313.123,2280.238,2297.537,419968370,6841346200.000
20190122,2299.816,2299.816,2263.285,2267.817,393434290,4962992800.000
20190123,2264.818,2280.825,2262.703,2278.562,326364480,4456430000.000
20190124,2289.828,2308.832,2282.008,2304.555,511446400,5544630800.000
20190125,2314.871,2323.712,2299.034,2301.839,513230100,6605796700.000
20190128,2305.935,2320.707,2272.835,2274.815,436463610,6605155000.000
20190129,2265.126,2265.126,2196.550,2237.682,415056230,6506868300.000
20190130,2216.640,2227.500,2195.326,2196.124,298340010,4682179900.000
20190131,2181.595,2202.423,2152.134,2169.552,522762980,6908308800.000
20190201,2184.196,2227.922,2183.923,2225.650,450685120,6009137300.000
20190211,2230.079,2282.946,2230.079,2282.344,478555340,6607728800.000
20190212,2282.610,2312.868,2278.154,2312.632,472395990,6458599800.000
20190213,2314.762,2342.024,2306.341,2336.660,541104870,7396696800.000
20190214,2334.322,2367.961,2325.987,2357.459,551789020,7041751100.000
20190215,2353.006,2356.175,2329.469,2332.835,557508080,8833033900.000
20190218,2343.516,2408.891,2343.275,2408.705,635491130,8290414000.000
20190219,2414.153,2431.834,2382.453,2409.479,597960720,8085461000.000
20190220,2412.774,2417.367,2390.831,2416.294,543960670,5322179200.000
20190221,2419.592,2446.868,2393.089,2400.709,651022120,8524570300.000
20190222,2397.602,2435.519,2391.470,2435.519,658281090,8268572600.000
20190225,2456.980,2556.554,2452.550,2556.554,976468010,15127195000.000
20190226,2562.471,2592.506,2534.811,2544.768,922699630,12684783600.000
20190227,2543.326,2575.757,2513.744,2541.418,919834460,10288851500.000
20190228,2533.395,2560.533,2528.148,2545.216,678306820,7752917300.000
20190301,2555.737,2570.516,2537.830,2570.516,676218470,9816534900.000
20190304,2587.882,2667.600,2587.866,2630.775,1141373620,16133774000.000
20190305,2631.540,2692.976,2619.505,2692.976,986354060,11713515200.000
