date,open,high,low,close,vol,tradeAmount
20190102,1006.993,1009.451,994.595,995.868,102210612,536174300.000
20190103,996.675,1002.714,989.474,990.854,84009179,409655500.000
20190104,980.194,1009.019,974.362,1008.762,134828350,603751190.000
20190107,1014.302,1036.331,1011.409,1032.934,205509040,802184630.000
20190108,1032.281,1033.446,1024.640,1030.690,147191960,569968310.000
20190109,1034.191,1047.006,1030.484,1031.093,170893600,740932820.000
20190110,1034.110,1040.200,1026.782,1028.720,135507330,605199150.000
20190111,1028.093,1037.340,1022.207,1037.340,115706203,507257440.000
20190114,1034.907,1048.495,1034.907,1042.094,144447140,600889560.000
20190115,1040.958,1046.437,1030.746,1045.153,119307427,561985110.000
20190116,1046.317,1050.959,1040.391,1046.791,114472025,592658390.000
20190117,1045.275,1074.661,1040.562,1056.590,295787710,1043914580.000
20190118,1052.835,1075.337,1052.053,1070.027,253125080,1077158740.000
20190121,1079.045,1097.201,1076.816,1097.201,245504370,1087542310.000
20190122,1110.754,1118.082,1074.280,1075.260,327196590,1437476600.000
20190123,1065.702,1080.859,1060.061,1075.548,216590850,923456770.000
20190124,1070.203,1075.533,1062.568,1069.513,171571190,748329490.000
20190125,1072.450,1073.691,1054.163,1054.163,167503450,755850940.000
20190128,1067.880,1072.353,1050.205,1051.764,139405850,678095340.000
20190129,1043.549,1045.093,1013.677,1041.511,199256220,792175860.000
20190130,1051.782,1071.653,1048.145,1062.715,173897550,822112080.000
20190131,1065.869,1065.869,1037.920,1042.348,202039830,936273780.000
20190201,1049.576,1066.852,1044.846,1063.950,157709860,816551950.000
20190211,1099.317,1111.393,1097.193,1109.243,233530870,1207086240.000
20190212,1102.329,1125.254,1095.013,1124.519,295087660,1382605200.000
20190213,1112.851,1131.799,1112.082,1129.392,315719580,1653633600.000
20190214,1123.361,1137.114,1123.361,1129.941,209699120,1047746130.000
20190215,1129.075,1132.992,1117.916,1120.197,178870540,892726730.000
20190218,1128.260,1149.802,1128.260,1149.612,298181860,1478222300.000
20190219,1148.260,1162.017,1132.479,1150.824,315531810,1586268300.000
20190220,1154.260,1170.075,1147.423,1159.473,258498110,1308481890.000
20190221,1157.186,1173.894,1151.650,1155.164,306417570,1600693100.000
20190222,1148.576,1167.724,1142.902,1167.724,276441540,1445851800.000
20190225,1172.133,1224.863,1172.133,1219.918,577770800,3243282600.000
20190226,1214.353,1263.900,1199.682,1227.227,630740460,3197361300.000
20190227,1226.898,1259.330,1226.898,1248.236,476331450,2620580900.000
20190228,1247.887,1270.266,1242.550,1254.948,424946190,2053871800.000
20190301,1255.598,1272.264,1246.380,1272.264,347463810,1990612500.000
20190304,1275.483,1299.718,1267.843,1277.023,511781950,2985995400.000
20190305,1272.245,1291.531,1265.666,1291.531,392569620,2262691500.000
20190306,1292.821,1320.360,1283.109,1320.337,593059410,3166319900.000
20190307,1329.331,1361.667,1319.589,1350.464,607626680,3238417900.000
20190308,1321.483,1334.093,1263.798,1263.878,579839580,2976614900.000
20190311,1265.219,1295.274,1263.678,1295.185,369511910,1927482800.000
20190312,1301.017,1327.091,1289.816,1309.925,504831700,2664579900.000
20190313,1308.433,1320.114,1285.333,1291.953,422025880,2120473800.000
20190314,1285.588,1311.996,1254.267,1264.653,360821730,1810710100.000
20190315,1268.601,1297.419,1268.601,1297.419,302415040,1652315700.000
20190318,1309.836,1342.414,1307.264,1342.414,389683660,2275175700.000
20190319,1346.281,1350.366,1328.424,1346.056,422045400,2203423800.000
20190320,1337.439,1344.662,1312.128,1342.395,340461280,1893162200.000
20190321,1340.764,1359.718,1333.483,1351.696,361436910,2209509200.000
20190322,1348.132,1361.703,1328.602,1359.584,310709760,1928203200.000
20190325,1334.133,1366.431,1328.013,1349.828,353995100,2244320900.000
20190326,1358.230,1360.512,1293.657,1300.413,277050220,1638778100.000
20190327,1306.826,1311.072,1278.898,1299.777,218687930,1191898180.000
20190328,1290.805,1304.096,1281.577,1283.511,214674080,1180914780.000
20190329,1283.048,1325.245,1280.025,1323.236,272316720,1584304200.000
20190401,1339.914,1371.680,1338.013,1371.680,496309330,3226336800.000
20190402,1379.958,1399.408,1370.037,1392.616,411552820,2454172900.000
20190403,1403.205,1447.454,1401.228,1447.454,464834640,3052546400.000
20190404,1450.867,1459.348,1427.492,1459.348,513860510,3438124600.000
20190408,1473.463,1497.140,1452.133,1494.304,551595490,3650814100.000
20190409,1495.515,1503.527,1461.940,1475.260,431947630,2749966000.000
20190410,1460.973,1468.726,1435.782,1449.599,368094200,2286390800.000
20190411,1452.093,1464.763,1428.627,1431.031,292660200,1838233700.000
20190412,1427.671,1440.993,1414.653,1425.972,221093090,1366991700.000
20190415,1443.913,1452.187,1421.551,1421.551,343922730,2081936600.000
20190416,1411.257,1456.222,1408.407,1456.222,385058240,2320012300.000
20190417,1457.697,1471.091,1453.454,1466.846,471929390,2599311800.000
20190418,1466.055,1480.201,1459.736,1474.090,737092910,3709622900.000
20190419,1469.612,1494.412,1459.902,1492.089,657928400,3300082400.000
20190422,1489.836,1519.125,1479.810,1495.782,758563320,4101946200.000
20190423,1504.464,1509.225,1455.099,1459.471,760887750,4192440800.000
20190424,1449.731,1480.212,1449.223,1478.725,519723930,2793662200.000
20190425,1473.355,1475.201,1412.058,1412.523,475002620,2628736100.000
20190426,1392.317,1401.089,1368.269,1368.269,520404820,2383189400.000
20190429,1370.129,1378.282,1316.538,1321.109,425790360,2052882000.000
20190430,1318.165,1350.309,1315.855,1349.948,290135100,1461792100.000
20190506,1306.894,1309.559,1231.282,1241.516,424666980,2396686700.000
20190507,1256.834,1272.290,1233.605,1255.891,300491800,1491410500.000
20190508,1228.238,1266.588,1219.735,1247.047,260772110,1299157450.000
20190509,1237.121,1249.186,1230.601,1231.709,215493440,1037511660.000
20190510,1246.866,1278.416,1218.371,1278.416,307811390,1600549100.000
20190513,1263.053,1298.203,1256.459,1280.699,354838780,1835250900.000
20190514,1259.724,1275.120,1253.377,1257.265,219502180,1090009610.000
20190515,1264.438,1283.627,1263.641,1282.361,304892330,1577953200.000
20190516,1282.634,1323.840,1282.559,1314.775,341705560,2021396700.000
20190517,1326.576,1327.487,1272.211,1288.235,366232070,1963714900.000
