date,open,high,low,close,vol,tradeAmount
20190102,1744.377,1756.639,1740.140,1751.222,177078300,863831650.000
20190103,1752.598,1762.981,1745.969,1746.649,212575900,958313810.000
20190104,1738.321,1797.952,1732.880,1797.952,393969190,1741451600.000
20190107,1811.236,1827.297,1798.525,1824.528,380256030,1800288800.000
20190108,1819.990,1821.623,1810.998,1815.863,269355390,1235912690.000
20190109,1815.410,1839.370,1813.757,1820.628,270106780,1443194300.000
20190110,1813.763,1822.372,1807.691,1815.416,186321660,926489510.000
20190111,1803.675,1824.255,1799.159,1822.953,219622470,1067665820.000
20190114,1816.222,1819.365,1803.175,1805.901,239302290,1152425740.000
20190115,1804.121,1817.658,1798.441,1817.295,173113330,839976100.000
20190116,1814.499,1820.543,1809.399,1817.006,168829270,879903790.000
20190117,1811.330,1814.306,1787.783,1792.480,153668330,832519060.000
20190118,1793.389,1808.750,1789.581,1805.860,136844720,660472460.000
20190121,1812.713,1819.552,1800.231,1805.221,238660110,1180932800.000
20190122,1797.344,1800.280,1782.337,1794.214,220086000,1083531120.000
20190123,1788.394,1833.079,1788.394,1822.618,333071670,1540657000.000
20190124,1816.028,1860.856,1805.873,1837.845,417922170,1850153200.000
20190125,1818.933,1819.075,1783.843,1785.866,302799590,1512908200.000
20190128,1783.918,1790.498,1762.538,1763.371,207053730,1087000510.000
20190129,1753.416,1755.879,1700.986,1729.669,258664060,1180717460.000
20190130,1721.312,1734.997,1710.530,1710.530,160518500,847422390.000
20190131,1706.671,1714.920,1667.944,1677.107,193448170,962914840.000
20190201,1682.869,1714.019,1682.869,1713.333,129343930,725706450.000
20190211,1722.157,1768.794,1722.157,1768.794,177702390,952089050.000
20190212,1772.693,1794.006,1769.126,1788.875,212556280,1141443510.000
20190213,1787.745,1818.298,1781.531,1813.925,265004770,1406669200.000
20190214,1810.754,1836.165,1804.739,1826.523,265448100,1434347300.000
20190215,1824.385,1892.209,1820.165,1863.282,438900170,2273462700.000
20190218,1866.887,1919.040,1866.368,1918.594,484640760,2406452200.000
20190219,1917.850,1919.318,1880.752,1908.244,450408250,2284578100.000
20190220,1969.399,1997.596,1942.131,1951.051,624889910,3590394600.000
20190221,1932.533,1964.326,1912.505,1927.256,488478500,2665580400.000
20190222,1922.074,1947.301,1914.854,1947.301,386217460,2006680000.000
20190225,1952.443,2026.323,1944.870,2026.323,622911880,3479547800.000
20190226,2030.686,2062.883,2004.445,2029.346,636287910,3518782600.000
20190227,2019.606,2049.939,2005.844,2020.918,567924050,2971149700.000
20190228,2016.399,2036.927,2012.828,2026.758,341817040,1862710600.000
20190301,2032.081,2038.317,2016.470,2038.317,307431060,1707475600.000
20190304,2044.663,2081.985,2040.700,2060.738,529338000,3121506400.000
20190305,2056.546,2110.761,2049.501,2110.379,443526660,2568694700.000
20190306,2117.867,2158.540,2099.472,2156.025,606321790,3541354100.000
20190307,2155.075,2204.949,2140.764,2190.391,569336070,3285632300.000
20190308,2158.622,2189.830,2082.649,2082.649,571890180,3227653000.000
20190311,2087.530,2192.067,2087.530,2192.067,415830080,2499260700.000
20190312,2207.791,2240.186,2175.783,2217.315,541391680,3321926200.000
20190313,2239.907,2251.570,2161.937,2176.072,489011580,3015767900.000
20190314,2151.822,2162.219,2073.172,2098.055,350785210,2002990800.000
20190315,2102.060,2147.647,2101.568,2132.449,286953730,1730665700.000
20190318,2137.297,2192.599,2126.925,2191.999,344829310,2380303300.000
20190319,2195.167,2195.167,2174.053,2194.172,418532880,2655472300.000
20190320,2195.627,2229.317,2175.524,2216.617,461979820,2854570300.000
20190321,2214.653,2265.935,2200.557,2254.003,550303540,3235238400.000
20190322,2252.150,2283.106,2223.408,2276.236,650874380,3607720000.000
20190325,2230.686,2314.066,2221.540,2282.333,624895340,3576961100.000
20190326,2278.920,2293.131,2210.167,2214.505,538988830,3077751600.000
20190327,2216.592,2247.628,2186.915,2245.813,545497750,2954325300.000
20190328,2229.332,2238.493,2187.695,2187.695,485312810,2678757000.000
20190329,2178.617,2225.574,2160.428,2222.165,374986990,2199560900.000
20190401,2226.052,2284.755,2224.595,2284.755,470017650,2874260400.000
20190402,2292.728,2302.751,2272.918,2283.019,451964900,2905060200.000
20190403,2280.594,2300.382,2268.789,2298.446,413225440,2577673200.000
20190404,2307.169,2316.083,2287.514,2305.459,441795960,2806243500.000
20190408,2313.371,2343.984,2295.540,2338.381,652721960,3948285900.000
20190409,2328.702,2329.217,2296.870,2323.656,493570410,3030810200.000
20190410,2310.722,2324.178,2285.613,2306.459,408361780,2408133700.000
20190411,2313.114,2329.732,2285.081,2288.406,456784860,2705176500.000
20190412,2281.900,2311.642,2281.811,2310.178,324370730,2033958800.000
20190415,2332.177,2338.944,2294.668,2298.953,351973670,2318615100.000
20190416,2290.106,2342.023,2269.891,2342.023,355943680,2321955100.000
20190417,2340.579,2383.208,2336.324,2372.270,457640590,2910010700.000
20190418,2387.394,2391.675,2364.743,2368.745,652047780,3686474500.000
20190419,2364.189,2378.660,2333.680,2360.112,508992630,2895102600.000
20190422,2360.124,2387.608,2349.540,2365.264,439280520,2637957700.000
20190423,2364.532,2364.609,2294.388,2300.618,973728460,5761267200.000
20190424,2301.791,2337.125,2290.064,2337.125,335125890,2127242500.000
20190425,2326.251,2346.386,2243.790,2245.559,411491550,2595339900.000
20190426,2224.535,2236.583,2200.281,2202.442,328329200,1922426200.000
20190429,2207.410,2208.862,2110.574,2112.713,322672430,2057440400.000
20190430,2110.757,2160.362,2110.757,2152.790,217389750,1395009000.000
20190506,2146.554,2205.923,2083.556,2096.218,542938180,3284084200.000
20190507,2092.183,2218.572,2092.183,2218.572,594693750,3829770900.000
20190508,2183.507,2312.522,2168.563,2268.569,665708710,4634298400.000
20190509,2228.896,2317.373,2175.126,2312.415,651715280,4356244900.000
20190510,2246.674,2373.683,2246.674,2336.035,791400940,5621901700.000
20190513,2298.819,2430.182,2294.300,2406.447,793750000,5918861400.000
20190514,2386.108,2423.774,2342.246,2347.710,733604270,5657966900.000
20190515,2353.127,2438.589,2352.626,2435.432,726441390,5670494400.000
20190516,2453.037,2537.101,2445.569,2505.051,848221320,6768472700.000
20190517,2513.011,2637.037,2508.848,2586.985,1043376410,8835448300.000
20190520,2591.149,2591.149,2402.791,2435.748,1045500230,8042150100.000
20190521,2390.766,2480.053,2383.403,2446.674,770923260,5849259900.000
20190522,2426.585,2530.912,2405.903,2516.655,946976270,7209487500.000
20190523,2460.485,2460.485,2350.504,2366.106,795247510,6059372500.000
20190524,2330.615,2383.046,2291.535,2300.474,522669320,3831894600.000
20190527,2313.236,2359.492,2290.417,2354.173,451858040,3262581700.000
20190528,2342.273,2440.286,2338.571,2389.232,674083360,5014512200.000
20190529,2376.418,2501.508,2362.061,2496.830,893955960,6574684800.000
20190530,2510.628,2613.235,2510.295,2605.965,977278320,8256106900.000
20190531,2628.995,2630.283,2529.966,2567.504,1014532300,8446450400.000
20190603,2557.902,2674.965,2552.307,2650.557,1044863710,8972333400.000
20190604,2557.846,2558.169,2455.008,2467.699,545717080,4147118000.000
20190605,2430.335,2615.836,2430.335,2611.613,1100047900,8901649800.000
20190606,2606.053,2634.673,2507.989,2530.832,937044680,7663833200.000
20190610,2536.830,2610.740,2480.475,2579.649,851659020,7157435200.000
20190611,2558.295,2678.540,2558.295,2657.652,1083727050,9346855600.000
20190612,2587.986,2799.119,2586.200,2768.178,1403788500,11815371700.000
20190613,2734.546,2796.090,2666.111,2727.411,1310159940,10452354300.000
20190614,2718.944,2806.119,2689.453,2697.981,1322207500,10529652000.000
20190617,2695.776,2713.285,2609.368,2666.292,975488070,7319312400.000
20190618,2649.432,2696.489,2592.886,2610.160,842817840,6190717400.000
20190619,2593.819,2664.555,2593.819,2654.235,870200190,6564073200.000
20190620,2635.612,2646.627,2581.511,2625.178,836343670,6193239500.000
20190621,2622.611,2657.496,2609.298,2635.520,753452940,5660948900.000
20190624,2631.749,2748.224,2606.483,2748.224,1063220710,8587381000.000
20190625,2722.879,2749.300,2674.141,2675.813,865045730,7252113700.000
20190626,2654.395,2658.384,2586.197,2586.283,742995410,5570449200.000
20190627,2573.599,2603.820,2571.213,2596.267,571168430,4340891400.000
20190628,2581.326,2588.494,2502.635,2523.936,519335460,3912740900.000
20190701,2529.028,2560.015,2503.342,2551.167,521168110,3889655900.000
20190702,2558.911,2579.132,2536.759,2541.747,431924100,3152054600.000
20190703,2542.863,2549.214,2512.344,2528.096,419755450,3028783800.000
20190704,2529.990,2535.887,2462.306,2467.905,450696980,3128292000.000
20190705,2473.057,2499.520,2455.212,2485.479,373715490,2665152800.000
20190708,2480.334,2480.334,2379.794,2448.216,510879670,3567072900.000
20190709,2422.568,2483.771,2412.266,2458.525,439077640,3327046300.000
20190710,2444.116,2472.277,2408.312,2411.255,350917130,2660673300.000
20190711,2421.121,2432.773,2400.552,2407.765,276650990,2000278900.000
20190712,2405.409,2406.316,2370.716,2391.716,269521230,1828082800.000
20190715,2389.467,2405.802,2352.696,2397.601,282047650,2006800900.000
20190716,2396.668,2406.570,2385.858,2390.534,217566340,1526478700.000
20190717,2395.803,2471.277,2390.173,2444.099,450030390,3346179200.000
20190718,2429.530,2498.954,2422.877,2470.475,508147910,3988571900.000
20190719,2445.243,2474.406,2423.668,2424.045,361174830,2815271200.000
20190722,2396.956,2396.956,2276.537,2278.400,419965380,2890856500.000
