date,open,high,low,close,vol,tradeAmount
20190102,1409.353,1411.110,1400.975,1406.455,150346720,949404110.000
20190103,1404.888,1407.601,1390.969,1395.109,156609040,1003729150.000
20190104,1384.690,1423.201,1380.510,1421.811,184579350,1052156790.000
20190107,1426.169,1442.471,1422.782,1440.396,203622830,1244442590.000
20190108,1436.386,1445.671,1432.079,1444.066,172070660,1106954270.000
20190109,1443.428,1468.682,1443.428,1456.100,223769280,1511884200.000
20190110,1456.951,1470.051,1454.354,1458.752,254936410,1587771500.000
20190111,1460.519,1468.771,1454.427,1468.771,256111930,1447117900.000
20190114,1465.890,1472.170,1460.101,1463.824,279407030,1538217000.000
20190115,1462.160,1478.300,1459.017,1475.738,260280170,1629623700.000
20190116,1475.097,1484.787,1473.674,1480.632,212354340,1376705200.000
20190117,1479.128,1480.909,1467.399,1467.534,215465350,1360401900.000
20190118,1468.252,1474.604,1460.220,1470.116,201293390,1181090820.000
20190121,1467.649,1478.005,1467.581,1477.377,191555400,1184713060.000
20190122,1476.431,1480.576,1471.115,1475.108,207437490,1280029220.000
20190123,1473.888,1476.608,1465.134,1475.431,157727720,988125520.000
20190124,1476.374,1481.631,1473.005,1476.592,209168740,1127256560.000
20190125,1471.024,1473.848,1452.847,1453.146,186271340,1055135790.000
20190128,1453.470,1457.383,1438.084,1440.103,154488980,936161830.000
20190129,1432.927,1432.927,1388.315,1410.637,164076430,910720630.000
20190130,1398.421,1408.603,1387.712,1390.310,167884830,872436500.000
20190131,1382.732,1394.830,1364.119,1371.677,186541930,934911320.000
20190201,1375.945,1406.701,1375.945,1406.195,151878490,796307370.000
20190211,1408.845,1434.563,1408.126,1434.563,168721460,1005865490.000
20190212,1433.363,1450.779,1432.512,1450.432,203688770,1148524190.000
20190213,1449.249,1467.287,1444.336,1464.758,216206960,1237172110.000
20190214,1462.500,1479.524,1459.670,1475.100,193333280,1131354890.000
20190215,1476.161,1479.583,1468.918,1472.892,213121590,1331518660.000
20190218,1476.885,1512.645,1476.885,1512.645,272499850,1670938000.000
20190219,1514.130,1523.966,1501.036,1519.969,298932040,1826941000.000
20190220,1518.080,1527.979,1507.987,1526.708,268993540,1877847200.000
20190221,1522.398,1543.738,1515.164,1518.724,347229930,2167027800.000
20190222,1520.232,1541.451,1512.505,1541.451,354672670,2118679900.000
