date,open,high,low,close,vol,tradeAmount
20190102,1666.902,1679.733,1660.134,1677.118,179939970,659996670.000
20190103,1671.999,1693.269,1656.673,1661.494,173834590,719818190.000
20190104,1642.953,1705.702,1633.953,1705.506,248269000,973413970.000
20190107,1717.838,1752.415,1714.053,1750.854,331578270,1212128590.000
20190108,1746.363,1805.642,1738.840,1788.762,517854380,1759636200.000
20190109,1803.254,1837.331,1793.276,1795.836,480290090,2044325200.000
20190110,1782.915,1803.721,1774.481,1786.914,364456310,1427430500.000
20190111,1789.648,1807.073,1785.067,1805.920,317388730,1279738470.000
20190114,1801.717,1811.883,1783.094,1810.501,223638470,1038365170.000
20190115,1806.737,1824.395,1805.548,1819.110,240476130,1254986860.000
20190116,1818.947,1823.823,1800.605,1801.382,201708860,921429220.000
20190117,1802.061,1814.894,1780.639,1787.647,191177340,849156870.000
20190118,1785.377,1794.686,1764.097,1791.529,186242590,855955100.000
20190121,1794.387,1844.998,1793.538,1839.610,285478380,1243060230.000
20190122,1845.527,1845.632,1810.280,1818.047,238863200,1308772080.000
20190123,1806.009,1821.885,1796.928,1818.762,171801760,863908750.000
20190124,1816.030,1842.389,1806.730,1826.012,230023180,1046174010.000
20190125,1822.392,1832.238,1805.083,1805.353,226740840,967683440.000
20190128,1803.730,1812.616,1774.460,1780.674,181557050,762733320.000
20190129,1783.861,1783.861,1711.598,1749.193,213460750,891435360.000
20190130,1719.049,1742.533,1707.410,1708.828,206018880,912676540.000
20190131,1687.710,1719.675,1673.398,1690.450,223383660,948000930.000
20190201,1692.518,1733.727,1692.518,1733.727,187324180,738683960.000
20190211,1737.672,1788.974,1737.672,1787.966,243982950,1025531210.000
20190212,1786.862,1838.571,1782.108,1838.458,420134600,1677074900.000
20190213,1857.743,1941.475,1857.343,1927.295,891539230,3441794700.000
20190214,1935.382,1940.669,1898.388,1908.002,857812660,3399520800.000
20190215,1895.745,1913.438,1886.341,1892.963,480732710,1979660900.000
20190218,1897.373,1971.605,1897.373,1966.813,697461340,2769012600.000
20190219,1974.526,1992.655,1952.620,1991.181,687532350,2766048700.000
20190220,1977.080,2006.718,1961.468,2003.226,599888350,2316556400.000
20190221,1995.358,2033.940,1967.492,1977.276,684720360,2855505700.000
20190222,1958.345,2002.113,1957.648,2002.113,468066160,1960998000.000
20190225,2024.432,2117.673,2024.432,2112.020,1076976840,4404206800.000
20190226,2124.776,2157.227,2070.326,2100.336,1158251390,4655840800.000
20190227,2085.804,2140.843,2065.719,2095.268,843859410,3409684900.000
20190228,2102.848,2141.769,2091.581,2110.453,490456510,2171568100.000
20190301,2114.285,2124.138,2078.622,2118.219,460003100,1982867400.000
20190304,2276.281,2296.158,2255.848,2267.190,1076956910,4581348300.000
20190305,2340.477,2494.738,2333.755,2494.738,1511654700,7117134600.000
20190306,2648.441,2677.235,2576.741,2638.879,1847592900,9876067900.000
20190307,2677.242,2715.242,2648.158,2699.543,1481551900,7686253600.000
20190308,2613.130,2726.222,2536.664,2545.808,1853493800,9525463900.000
20190311,2529.426,2613.955,2474.632,2613.147,1279398510,6323215100.000
20190312,2599.865,2660.949,2568.952,2632.542,1175769840,6072933100.000
20190313,2620.653,2620.653,2477.464,2498.357,936167660,4638739500.000
20190314,2468.950,2503.130,2360.200,2411.910,838736690,3994318300.000
20190315,2459.072,2482.545,2422.626,2455.962,547014790,2830812300.000
20190318,2483.330,2508.460,2437.212,2508.460,515961690,2622207100.000
20190319,2523.839,2547.314,2498.824,2524.864,790168120,4079324500.000
20190320,2517.759,2520.400,2435.106,2509.883,752809080,3694517600.000
20190321,2518.355,2607.411,2508.626,2571.456,1031113060,5197152200.000
20190322,2560.092,2612.263,2523.896,2600.515,1264208170,6058513200.000
20190325,2622.319,2680.814,2584.147,2646.089,2035118800,9766327300.000
20190326,2632.297,2651.246,2492.686,2503.986,1569619900,7583124200.000
20190327,2502.380,2511.795,2410.346,2487.401,975098020,4710151000.000
20190328,2474.753,2530.546,2438.497,2438.497,708152070,3649408800.000
20190329,2425.324,2499.602,2399.411,2496.443,694489990,3484433600.000
20190401,2513.301,2596.753,2512.469,2594.759,852999240,4465674000.000
20190402,2613.869,2623.477,2565.207,2577.225,831274680,4399678900.000
20190403,2561.405,2601.786,2543.191,2591.554,587444840,3125182800.000
20190404,2598.103,2605.893,2562.908,2594.565,658703690,3497931200.000
20190408,2616.775,2627.182,2520.047,2563.014,680346290,3574751300.000
20190409,2567.973,2630.902,2567.973,2611.662,622230740,3495824500.000
20190410,2588.999,2603.659,2555.772,2575.625,500560780,2730951200.000
20190411,2576.727,2584.420,2524.710,2529.258,512018040,2561674100.000
20190412,2531.037,2547.688,2485.248,2507.748,429009410,2144729900.000
20190415,2542.257,2563.051,2488.663,2490.260,403758160,2110321400.000
20190416,2480.824,2551.833,2443.218,2551.833,477814180,2472602700.000
20190417,2547.902,2582.551,2532.684,2565.930,483681980,2592825300.000
20190418,2576.292,2610.741,2559.808,2565.216,632130390,3090324000.000
20190419,2546.363,2565.880,2509.240,2565.512,529024990,2540986300.000
20190422,2566.825,2570.240,2514.598,2521.381,405667680,2055666100.000
20190423,2510.734,2510.734,2439.401,2443.083,362815200,1841391300.000
20190424,2446.357,2489.365,2417.465,2488.469,516106120,2326604300.000
20190425,2472.950,2473.179,2363.643,2363.643,406051610,1943745300.000
20190426,2357.223,2375.346,2331.157,2331.157,297209530,1363702200.000
20190429,2309.775,2327.020,2201.249,2223.589,481664130,2114471700.000
20190430,2173.914,2222.214,2173.914,2207.187,313017310,1488106600.000
20190506,2142.477,2143.910,2016.541,2038.264,493546010,2100289600.000
20190507,2046.051,2072.183,2004.859,2044.886,298260300,1271624450.000
20190508,2002.321,2077.884,1983.894,2042.897,366987470,1504867000.000
20190509,2024.388,2096.744,2023.829,2075.045,316810560,1383144400.000
20190510,2095.768,2154.094,2045.479,2151.838,446332080,1989540400.000
20190513,2136.540,2175.498,2123.607,2150.753,328668390,1440063300.000
20190514,2113.037,2171.028,2109.234,2131.964,358839780,1671819300.000
20190515,2146.766,2171.080,2138.555,2170.375,341909130,1570410000.000
20190516,2167.730,2194.461,2160.439,2192.103,334705560,1575898000.000
20190517,2193.654,2215.777,2154.272,2162.396,543435000,2558132600.000
20190520,2176.746,2193.590,2139.781,2184.163,541331200,2783741400.000
20190521,2166.166,2199.916,2143.476,2190.906,454329300,2197814800.000
20190522,2183.763,2215.037,2158.220,2179.441,386659050,1943627200.000
20190523,2156.439,2156.855,2078.450,2081.352,388289910,1771757400.000
20190524,2050.081,2075.898,2020.547,2020.915,252124590,1181549900.000
20190527,2033.423,2093.427,2023.204,2092.465,326916330,1356050800.000
20190528,2092.231,2130.305,2085.166,2096.101,364554880,1646769000.000
20190529,2070.569,2124.025,2068.425,2107.564,291586040,1355724400.000
20190530,2087.960,2088.388,2046.401,2067.987,280714440,1202172040.000
20190531,2063.681,2091.791,2058.803,2062.246,144991400,781238050.000
20190603,2049.498,2068.060,2011.361,2048.188,170364780,936572170.000
20190604,2040.604,2054.047,2005.905,2021.500,145457030,895138050.000
20190605,2026.803,2058.395,2020.091,2037.806,163595810,1061471700.000
20190606,2014.882,2017.155,1946.818,1951.260,161633460,871681910.000
20190610,1950.626,1983.542,1940.557,1982.514,143035260,779880750.000
20190611,1970.476,2046.263,1970.476,2037.801,273270650,1427825500.000
20190612,2021.113,2054.596,2019.862,2032.379,235136340,1333974050.000
20190613,2020.979,2049.879,2015.109,2042.763,162152460,887408640.000
20190614,2062.625,2068.275,1989.991,2000.168,207071650,1045256210.000
20190617,1988.875,1994.243,1969.502,1984.014,108264716,536373580.000
20190618,1978.142,1984.327,1950.570,1956.725,102303792,501697730.000
20190619,1982.274,1997.907,1968.502,1971.170,147456980,781054740.000
20190620,1962.544,1992.489,1941.105,1986.689,184299030,918610740.000
20190621,2010.499,2034.767,2009.129,2027.563,209641940,1039223340.000
20190624,2044.798,2046.001,2020.766,2028.429,117283063,586900350.000
20190625,2045.134,2046.001,2007.692,2030.616,146251200,871928910.000
20190626,2038.207,2065.269,2030.272,2056.518,99578913,602285070.000
20190627,2073.021,2096.264,2050.763,2072.390,165247910,1439504000.000
20190628,2054.735,2057.125,2016.220,2029.251,128500719,744541030.000
20190701,2068.922,2118.261,2055.005,2116.727,274932640,1668870600.000
20190702,2118.420,2124.141,2105.628,2109.063,228660950,1305931600.000
20190703,2102.200,2102.200,2066.132,2079.447,161240640,876853830.000
20190704,2083.498,2098.805,2066.084,2077.323,146793750,828549320.000
20190705,2075.014,2079.245,2066.057,2072.409,97535990,590381350.000
20190708,2058.284,2058.284,1983.576,1996.134,139517550,729838910.000
20190709,1998.503,2013.953,1985.457,2009.574,84615176,457153630.000
20190710,2016.289,2032.862,2004.973,2016.532,104088377,641534530.000
20190711,2024.562,2037.515,1992.833,2001.271,84652204,479366190.000
20190712,2007.555,2011.961,1990.457,2002.916,72518440,395667770.000
20190715,1991.296,2020.266,1962.835,2010.335,120229626,638906980.000
20190716,2010.904,2035.852,2008.123,2032.325,134745690,732662090.000
20190717,2024.941,2048.072,2017.651,2032.569,167300720,793150040.000
20190718,2012.602,2013.286,1990.867,1990.867,112136865,552304770.000
20190719,1999.283,2023.397,1999.283,2012.553,93359609,468674100.000
20190722,2008.673,2012.786,1950.525,1955.793,108549247,554019550.000
20190723,1950.444,1982.149,1950.444,1979.864,75313611,442365980.000
20190724,1983.360,2018.164,1982.418,2005.692,134997910,670566250.000
20190725,2007.447,2029.825,2000.767,2019.268,126751115,645071240.000
20190726,2013.520,2024.929,2002.559,2020.704,101022264,567594240.000
20190729,2022.593,2037.031,2019.089,2029.132,89783465,520490410.000
20190730,2026.343,2041.276,2021.735,2023.972,95135576,506545150.000
20190731,2029.528,2033.663,2019.297,2026.915,91062935,558830720.000
20190801,2024.742,2035.842,2015.311,2020.513,80488691,470901940.000
20190802,1984.771,2002.536,1972.081,1987.200,138263370,701022420.000
20190805,1978.628,1999.688,1957.317,1960.855,124818889,609318180.000
20190806,1920.327,1920.327,1834.375,1885.063,177720580,774823090.000
20190807,1890.630,1894.888,1873.951,1874.613,92187343,476351210.000
20190808,1878.596,1911.021,1877.984,1903.686,82791318,579603210.000
20190809,1909.176,1921.866,1860.014,1868.219,117638576,728009030.000
20190812,1865.710,1890.223,1856.843,1890.223,91977879,536950290.000
20190813,1872.195,1880.328,1861.815,1870.688,78905377,481605680.000
20190814,1895.531,1904.794,1875.420,1877.277,100893835,543647790.000
20190815,1826.358,1880.091,1815.083,1878.848,88828350,452109720.000
20190816,1873.650,1894.175,1872.959,1876.838,77699794,435576100.000
20190819,1918.346,1957.488,1904.124,1956.387,185279260,910291190.000
20190820,1976.114,2013.560,1972.212,1984.436,261756970,1277353070.000
20190821,1975.353,1997.322,1970.201,1982.809,223764010,1199628020.000
20190822,1993.075,2020.169,1992.065,2020.169,263658970,1293521570.000
20190823,2016.787,2016.787,1981.298,1994.532,208103410,992925860.000
20190826,1963.203,2001.223,1955.407,1996.591,196681390,869978140.000
20190827,2010.956,2042.378,2003.373,2028.333,342758670,1646048000.000
20190828,2034.785,2050.914,2020.570,2021.717,250964800,1228560370.000
20190829,2017.548,2048.871,2012.377,2022.465,213246930,1035586890.000
20190830,2030.228,2046.140,1979.320,1993.248,217754940,1056176640.000
20190902,1987.981,2045.468,1984.566,2039.078,204234960,945690130.000
20190903,2036.546,2062.961,2032.645,2062.953,219032580,1014258850.000
20190904,2050.476,2083.726,2046.180,2083.726,245939350,1178944160.000
20190905,2091.177,2134.171,2091.177,2105.817,303992230,1547447600.000
20190906,2119.212,2136.842,2098.630,2109.863,198258880,1070313910.000
20190909,2125.864,2180.034,2118.974,2179.648,279335480,1513379800.000
20190910,2180.682,2180.682,2146.244,2164.669,249702400,1354766400.000
20190911,2169.760,2194.642,2150.757,2160.622,270134070,1490462500.000
20190912,2167.597,2183.562,2155.699,2179.457,205860370,1264376730.000
20190916,2178.788,2210.558,2168.414,2191.617,207959320,1318771680.000
20190917,2192.075,2192.075,2127.264,2140.599,192552880,1158584090.000
20190918,2152.592,2172.690,2139.855,2140.441,168679860,1119030090.000
20190919,2136.234,2168.103,2117.805,2168.103,158181470,991608810.000
20190920,2162.085,2164.913,2142.910,2148.913,141492380,882833020.000
20190923,2142.866,2149.688,2119.134,2149.236,128129696,714237090.000
20190924,2152.308,2179.571,2152.308,2166.175,126363394,803488110.000
20190925,2166.376,2166.376,2100.742,2101.052,146947550,785525550.000
20190926,2103.301,2116.783,2033.866,2033.866,124420419,679582440.000
20190927,2034.033,2063.160,2034.033,2052.869,83215485,445650330.000
20190930,2049.321,2069.299,2024.338,2024.338,83156896,440452910.000
20191008,2035.861,2061.746,2032.636,2043.309,74598035,398757830.000
20191009,2060.040,2084.728,2044.056,2083.242,91802901,536216480.000
20191010,2091.903,2123.185,2091.903,2118.695,120122001,812412120.000
20191011,2123.442,2124.749,2094.023,2108.549,161570430,1154850430.000
20191014,2117.029,2135.480,2113.716,2126.166,160242710,990395040.000
20191015,2122.639,2122.639,2088.052,2100.897,176562380,1004548190.000
20191016,2095.933,2116.702,2095.933,2103.445,134175100,841769710.000
20191017,2102.267,2104.666,2090.678,2100.128,114788374,755566910.000
20191018,2101.735,2107.634,2083.247,2089.193,143041320,987084880.000
20191021,2082.989,2096.245,2051.222,2096.245,118466765,757547330.000
20191022,2087.506,2131.688,2087.506,2130.137,145337580,1085129400.000
20191023,2124.169,2126.794,2102.221,2107.398,111732327,791515220.000
20191024,2108.452,2115.295,2085.912,2099.242,98074923,692461670.000
20191025,2096.304,2106.614,2081.199,2102.546,104728137,704479040.000
20191028,2107.203,2142.748,2102.548,2133.157,232773530,1383372800.000
20191029,2130.512,2130.671,2076.176,2076.176,203856820,1198824770.000
20191030,2059.779,2067.618,2039.314,2047.843,153657950,808653920.000
20191031,2048.724,2062.993,2021.099,2022.772,152560050,809712760.000
20191101,2021.327,2053.902,2014.995,2052.095,134078255,756936340.000
20191104,2060.242,2073.122,2051.927,2055.528,135751410,702588640.000
20191105,2057.402,2081.341,2048.251,2074.568,180315460,967164930.000
20191106,2073.808,2078.053,2050.127,2058.228,157108480,855235590.000
20191107,2059.024,2069.303,2049.031,2066.906,151004370,879980040.000
20191108,2070.516,2075.778,2053.475,2059.223,133372089,788508080.000
20191111,2047.439,2047.439,1984.667,1985.695,134990140,732123610.000
20191112,1984.631,1989.980,1950.811,1982.537,106478253,578333780.000
20191113,1977.109,1977.269,1940.529,1946.265,83552685,433097080.000
20191114,1939.484,1966.194,1937.737,1960.551,96677727,544637160.000
20191115,1954.000,1961.055,1925.977,1927.453,104257386,588718030.000
20191118,1926.341,1952.225,1920.072,1952.148,98258518,607868800.000
20191119,1951.571,1981.526,1944.677,1981.355,101920042,604596880.000
20191120,1979.698,2001.078,1960.966,1961.377,124632571,722542540.000
20191121,1955.923,1977.521,1945.130,1969.883,86686553,472047320.000
20191122,1971.151,1997.573,1958.278,1970.249,111819156,672459040.000
20191125,1973.396,1975.515,1942.125,1957.099,92387661,539191580.000
20191126,1965.007,1981.396,1951.810,1961.829,132766657,593987910.000
20191127,1954.468,1963.703,1942.697,1951.405,98141774,493071930.000
20191128,1950.173,1961.098,1947.628,1952.813,83215382,417183140.000
20191129,1956.047,1963.669,1944.553,1961.992,95839685,485087670.000
20191202,1965.096,1976.312,1954.691,1964.113,74276986,386909390.000
20191203,1957.992,1979.802,1952.358,1977.236,103516790,512543490.000
20191204,1973.788,2010.887,1969.381,2009.251,134604990,675316260.000
20191205,2010.613,2056.438,2010.192,2052.150,215048340,991751950.000
20191206,2049.327,2068.119,2041.780,2065.557,178887100,979977640.000
20191209,2064.278,2078.231,2054.854,2062.784,158850270,910793780.000
20191210,2055.625,2077.596,2048.947,2077.279,183213650,1010689920.000
20191211,2081.601,2082.287,2058.312,2063.132,270525970,1248663470.000
20191212,2056.945,2072.809,2048.193,2058.602,240619760,1159679570.000
20191213,2067.493,2077.706,2062.415,2076.194,249601600,1218183970.000
20191216,2087.852,2132.139,2082.984,2131.899,390669890,1884322700.000
20191217,2128.425,2182.432,2124.420,2168.625,420326410,1965867100.000
20191218,2160.146,2184.460,2157.000,2173.828,361761720,1777822400.000
20191219,2188.244,2222.154,2187.333,2214.193,332790140,1730163100.000
