date,open,high,low,close,vol,tradeAmount
20190102,5757.702,5771.226,5720.109,5750.752,924210870,10015917900.000
20190103,5743.733,5822.163,5697.344,5699.224,1041774340,11617841100.000
20190104,5641.725,5903.420,5623.259,5901.081,1495199400,16523863000.000
20190107,5938.313,6056.494,5924.976,6043.032,1701988000,19789812000.000
20190108,6030.343,6062.777,5995.229,6025.084,1363283600,14560044000.000
20190109,6037.404,6124.722,6019.331,6025.410,1669226600,17366788000.000
20190110,6020.433,6063.725,5992.658,6010.149,1415119300,15423614000.000
20190111,6028.130,6085.925,6012.939,6073.240,1398617900,15292819000.000
20190114,6083.193,6083.193,5959.561,5975.439,1216382020,12963735700.000
20190115,5970.049,6108.822,5968.491,6107.438,1567406600,16680425000.000
20190116,6125.837,6261.147,6125.837,6144.705,1987415900,23084861000.000
20190117,6127.197,6127.197,6033.968,6042.495,1659248300,18088272000.000
20190118,6034.168,6063.370,5963.400,6040.350,1273760690,14048561000.000
20190121,6045.486,6107.414,6024.998,6058.748,1249914680,13934496000.000
20190122,6056.795,6056.795,5970.072,5994.973,1239844790,13079683400.000
20190123,5981.133,5993.004,5946.787,5986.973,927055950,10649158300.000
20190124,5999.806,6097.915,5971.782,6056.696,1337298030,16514070000.000
20190125,6058.616,6066.167,5993.828,5995.883,1223721040,13938541000.000
20190128,6035.570,6059.837,5942.276,5949.896,1301668370,15681277000.000
20190129,5932.179,5932.179,5727.549,5816.992,1383698400,15127179000.000
20190130,5771.898,5811.779,5692.205,5694.201,1142688640,12995552400.000
20190131,5666.785,5712.300,5548.481,5585.371,1417990600,14760853000.000
20190201,5595.130,5772.654,5595.130,5772.654,1293531470,14120962000.000
20190211,5807.277,5969.471,5806.167,5969.471,1474040900,18033797000.000
20190212,5977.840,6055.965,5967.371,6035.186,1448521200,17217272000.000
20190213,6043.838,6191.308,6031.083,6176.989,2091300100,25001585000.000
20190214,6166.033,6225.012,6143.592,6200.838,1653330700,20172100000.000
20190215,6190.466,6244.791,6177.926,6198.734,1581223500,18675137000.000
20190218,6245.364,6443.239,6245.321,6443.239,2297479300,27604824000.000
20190219,6467.814,6621.222,6445.806,6533.794,2955108700,35507688000.000
20190220,6514.652,6514.652,6402.800,6491.983,2062507800,23896831000.000
