date,open,high,low,close,vol,tradeAmount
20190102,1834.552,1836.899,1816.117,1827.605,272087830,3176088800.000
20190103,1826.464,1864.950,1822.825,1828.697,290179820,3171734600.000
20190104,1810.036,1889.458,1805.088,1889.242,408354440,4488662900.000
20190107,1900.046,1949.211,1900.046,1944.108,476278000,5577774500.000
20190108,1941.451,1953.985,1928.866,1938.415,422284640,4298545500.000
20190109,1939.886,1966.624,1932.178,1935.231,435420820,4586930900.000
20190110,1934.956,1948.850,1920.988,1927.063,316943860,3399759100.000
20190111,1934.315,1955.651,1929.393,1955.651,365446920,3829889900.000
20190114,1952.526,1953.969,1922.211,1928.455,300599370,3309052800.000
20190115,1925.548,1963.330,1922.318,1962.185,321422430,3487287400.000
20190116,1961.397,1980.787,1952.929,1955.178,392101610,4595083700.000
20190117,1951.902,1953.929,1922.391,1925.826,297388800,3076138300.000
20190118,1925.755,1936.848,1909.157,1935.807,271883360,2825491400.000
20190121,1937.432,1960.019,1930.936,1948.702,310384030,3538496600.000
20190122,1948.266,1948.266,1914.478,1922.144,258633130,2798682400.000
20190123,1922.846,1925.498,1908.092,1917.505,223421120,2188917300.000
20190124,1917.712,1969.815,1914.424,1957.451,366829490,4541336700.000
20190125,1962.762,1970.531,1936.424,1936.936,340104400,3618958300.000
20190128,1952.360,1955.955,1918.293,1920.804,368476100,3893762800.000
20190129,1908.601,1908.845,1829.468,1853.898,366476870,3604904300.000
20190130,1836.593,1861.745,1818.799,1818.962,266171650,2977896800.000
20190131,1815.438,1824.554,1762.434,1777.025,358484510,3802174600.000
20190201,1785.606,1840.675,1785.606,1840.675,296896570,3602354900.000
20190211,1849.199,1905.623,1849.199,1905.623,384780710,4767231000.000
20190212,1906.799,1937.214,1901.952,1934.376,391416750,4559423600.000
20190213,1939.614,1991.228,1937.317,1987.030,547862870,6527184400.000
20190214,1988.430,2010.432,1976.962,1998.657,456759680,5086892900.000
20190215,1995.698,2021.573,1994.329,2002.724,494651320,5483376100.000
20190218,2015.781,2087.064,2015.781,2087.064,630789790,7286078300.000
20190219,2096.986,2126.541,2077.060,2123.319,782661760,8863789300.000
20190220,2117.693,2118.141,2079.645,2108.583,590965110,6702881300.000
20190221,2100.665,2147.146,2080.268,2089.644,721150790,8070744000.000
20190222,2082.331,2166.295,2082.331,2166.295,750592890,8284862200.000
20190225,2221.458,2296.208,2214.418,2293.718,1129683860,13996036000.000
20190226,2314.740,2345.391,2274.256,2288.362,1111737140,13406889200.000
20190227,2284.599,2323.248,2245.844,2276.277,984444160,11281140800.000
20190228,2270.281,2294.332,2255.379,2274.973,768580050,8026636900.000
20190301,2281.865,2289.009,2249.547,2283.193,663396230,7381237000.000
20190304,2316.278,2387.065,2316.278,2343.149,1198563410,15182809000.000
20190305,2337.221,2457.548,2331.843,2457.548,1298874590,16597618000.000
20190306,2479.249,2522.704,2442.778,2520.808,1436423900,20288925000.000
20190307,2521.166,2621.080,2502.130,2584.770,1454663400,21063196000.000
20190308,2497.403,2654.960,2472.985,2508.056,1631970000,24805940000.000
20190311,2567.886,2624.026,2521.303,2624.026,1269351680,19811878000.000
20190312,2643.536,2706.621,2633.671,2699.106,1407420400,21185598000.000
20190313,2701.382,2706.915,2563.773,2585.995,1406594800,20382105000.000
20190314,2560.485,2576.787,2436.490,2478.202,985579230,13640488000.000
20190315,2498.916,2526.885,2460.608,2495.045,805576480,10485467800.000
20190318,2495.870,2546.202,2471.260,2546.202,786444360,10472316200.000
20190319,2549.669,2612.726,2541.894,2584.737,851579750,12912297100.000
20190320,2594.709,2594.709,2517.241,2573.049,1072707390,13888540000.000
20190321,2577.732,2651.050,2569.344,2624.491,1254890460,16879583000.000
