date,open,high,low,close,vol,tradeAmount
20190102,855.233,860.665,843.474,853.370,1109560290,7514039300.000
20190103,852.868,898.843,852.701,875.842,1953498000,13412069800.000
20190104,865.734,960.352,865.734,953.614,3829352600,27734019000.000
20190107,960.238,969.197,945.289,953.728,3362935600,24462769000.000
20190108,948.967,976.100,939.287,958.281,2880881800,20250690000.000
20190109,955.777,981.879,953.650,958.855,2831833500,21072575000.000
20190110,957.357,958.347,935.713,938.346,2335396600,18767133000.000
20190111,940.141,951.869,935.998,944.417,1716079100,13476314000.000
20190114,952.555,955.271,936.189,939.411,1444709700,11650962000.000
20190115,937.724,972.315,936.937,965.494,2642866300,22471040000.000
20190116,962.861,962.861,947.975,949.997,1636507500,13831071000.000
20190117,950.569,958.668,938.225,939.839,1351676700,11604515100.000
20190118,941.707,952.769,937.113,948.183,1406265000,12416169900.000
20190121,947.948,953.948,936.202,941.614,1323610650,12193392400.000
20190122,938.427,943.097,927.932,929.283,1310580290,11188785700.000
20190123,927.661,933.183,920.907,925.504,846277180,7034467300.000
20190124,929.304,953.612,928.217,940.887,1973020900,16738406000.000
20190125,939.121,943.185,927.805,927.805,1531789800,13467092000.000
20190128,937.891,946.757,918.432,921.104,1774364600,15256606000.000
20190129,916.002,916.002,889.191,904.605,1353063200,11811268800.000
20190130,898.967,908.996,892.144,892.171,826665180,7382894000.000
20190131,894.303,909.635,884.614,891.909,1311148340,11990531900.000
20190201,906.561,923.079,906.561,923.079,1460359600,13635630000.000
20190211,922.286,939.923,920.041,939.874,1442559600,13524810000.000
20190212,939.013,953.839,933.666,946.058,1565717300,14726477000.000
20190213,945.955,993.056,940.535,985.511,2958593600,27129190000.000
20190214,981.693,989.645,975.720,982.701,2033406700,18565143000.000
20190215,978.838,993.751,967.950,969.982,2045408800,19606963000.000
20190218,979.590,1031.819,979.590,1024.556,3352692500,31681212000.000
20190219,1026.597,1063.823,1020.788,1032.837,3947430600,37205519000.000
20190220,1031.130,1049.103,1022.074,1037.349,2363706500,22407772000.000
20190221,1030.432,1083.347,1024.311,1043.159,4188145500,41179708000.000
20190222,1051.514,1146.104,1040.673,1145.932,6250718600,62875187000.000
20190225,1209.907,1260.663,1191.378,1260.663,7569972700,82514109000.000
20190226,1304.031,1334.635,1257.554,1259.346,8896628800,102957267000.000
20190227,1254.340,1310.063,1230.707,1272.236,7131861600,81876208000.000
20190228,1252.773,1252.773,1201.378,1214.241,5174201200,54624408000.000
20190301,1229.599,1277.618,1211.529,1261.391,5668360900,64560458000.000
20190304,1274.435,1351.831,1241.618,1280.885,7793784600,90810214000.000
20190305,1257.075,1290.221,1251.714,1289.751,4684093000,54540283000.000
20190306,1290.102,1387.380,1288.976,1375.589,7934586700,94872244000.000
20190307,1395.326,1480.143,1370.514,1438.762,9447338100,117712126000.000
20190308,1349.895,1403.248,1316.169,1316.415,8207974800,103857346000.000
20190311,1308.295,1350.009,1273.243,1334.127,5305500100,65184573000.000
20190312,1346.732,1393.638,1339.931,1358.437,5745484500,73805345000.000
20190313,1354.985,1369.744,1307.013,1328.823,5108857600,62921751000.000
20190314,1301.971,1337.588,1260.059,1278.914,4066184800,49800237000.000
20190315,1297.378,1319.786,1276.181,1290.697,3443051000,43604743000.000
20190318,1284.940,1319.354,1255.481,1319.354,3724235000,46652394000.000
20190319,1316.007,1334.636,1306.642,1313.400,2965640600,36919706000.000
20190320,1305.941,1349.093,1301.659,1337.290,4494977300,50331266000.000
20190321,1337.342,1399.594,1325.702,1362.059,5983374500,70582186000.000
20190322,1352.744,1361.676,1315.776,1343.706,3656939000,43112048000.000
20190325,1309.110,1337.773,1290.828,1292.040,3410583800,41493063000.000
20190326,1299.894,1304.557,1247.110,1255.341,3070286500,37036122000.000
20190327,1268.766,1282.048,1252.939,1267.261,2540645800,30707824000.000
20190328,1253.417,1287.774,1240.208,1256.287,2542043500,29965902000.000
20190329,1264.930,1359.175,1264.930,1358.758,5885026900,71917695000.000
20190401,1368.512,1417.552,1350.919,1389.080,6182150000,79036828000.000
20190402,1390.172,1420.094,1376.120,1385.374,4744463400,62088094000.000
20190403,1369.536,1455.691,1367.398,1451.264,6142939200,78588571000.000
20190404,1459.572,1467.870,1429.580,1448.622,5073483300,65648297000.000
20190408,1459.794,1462.965,1394.982,1417.664,4398962700,56710962000.000
20190409,1412.038,1437.796,1391.667,1421.638,3421644800,43080858000.000
20190410,1413.433,1426.803,1368.224,1401.865,4763504500,55435817000.000
20190411,1389.529,1396.863,1365.027,1367.145,3092226300,36857152000.000
20190412,1363.761,1392.701,1361.073,1374.626,2625726400,31450901000.000
20190415,1407.575,1413.213,1343.643,1343.643,3084974700,37923656000.000
20190416,1330.193,1381.779,1320.198,1381.779,3287454400,40241588000.000
20190417,1376.040,1384.934,1363.261,1365.967,2360738700,29032200000.000
20190418,1364.004,1376.795,1351.237,1354.849,1877907000,23154977000.000
20190419,1360.470,1384.434,1357.776,1373.426,2084590100,26581143000.000
20190422,1393.152,1395.481,1343.438,1346.771,2573853900,33289944000.000
20190423,1338.528,1389.748,1330.052,1357.672,2945404400,36357292000.000
20190424,1354.787,1373.229,1347.873,1367.600,2132690000,26493152000.000
20190425,1364.377,1387.753,1321.848,1321.848,3030356000,35954394000.000
20190426,1311.100,1353.053,1308.582,1322.411,2911576800,34732252000.000
20190429,1319.908,1323.793,1238.743,1243.936,3341708800,38237288000.000
20190430,1240.640,1263.745,1238.517,1250.206,1970374200,22725081000.000
20190506,1181.693,1200.576,1127.946,1130.646,3301460200,35987582000.000
20190507,1139.609,1163.845,1112.331,1159.085,2898149600,30703088000.000
20190508,1126.313,1165.103,1122.118,1141.612,1889058700,20449770000.000
20190509,1123.575,1160.798,1123.000,1132.407,2086020500,21840553000.000
20190510,1155.265,1192.224,1130.536,1184.696,3292540200,36480901000.000
20190513,1163.987,1173.334,1153.640,1158.891,1773335700,19402828000.000
20190514,1145.118,1174.413,1145.000,1150.280,1768837000,19229302000.000
20190515,1163.017,1175.016,1157.388,1170.009,1857154800,20919808000.000
20190516,1167.336,1174.896,1157.729,1169.217,1461125000,15681770000.000
20190517,1171.735,1172.202,1101.541,1111.168,2127149000,21997769000.000
20190520,1102.107,1141.558,1098.833,1125.151,1715278500,17985164000.000
20190521,1122.738,1155.103,1121.209,1142.271,1617741200,17922578000.000
20190522,1142.370,1146.472,1118.937,1126.919,1278238120,13320877200.000
20190523,1121.158,1151.225,1114.845,1127.148,1591671500,16782344000.000
20190524,1124.091,1140.828,1124.064,1129.311,1257815140,13451851000.000
20190527,1131.768,1175.960,1123.569,1169.756,2362005000,25633412000.000
20190528,1164.035,1182.394,1157.311,1169.585,1996665600,21369066000.000
20190529,1161.384,1186.275,1160.364,1170.366,1679554500,18341085000.000
20190530,1161.323,1162.176,1144.137,1154.490,1388602000,15195240000.000
20190531,1155.864,1166.930,1149.770,1149.809,1168159430,12539554500.000
20190603,1159.815,1179.490,1149.537,1150.944,1621687400,17874803000.000
20190604,1146.503,1155.699,1135.785,1148.790,1433439400,15197821000.000
20190605,1165.009,1176.657,1153.378,1156.803,1682434900,18812104000.000
20190606,1152.989,1169.254,1143.416,1145.876,1543400700,16900241000.000
20190610,1142.446,1143.390,1093.934,1122.591,1778722700,18822147000.000
20190611,1120.695,1195.142,1120.339,1191.006,3127303900,33722800000.000
20190612,1186.734,1202.345,1177.620,1179.287,2212982400,24753159000.000
20190613,1176.368,1200.761,1176.315,1186.552,2099469000,23384025000.000
20190614,1187.570,1193.533,1156.918,1157.892,1916200000,20933996000.000
20190617,1157.893,1172.946,1157.175,1165.177,1303259870,14112641000.000
20190618,1168.506,1171.459,1151.210,1164.163,1198481080,13062918900.000
20190619,1236.332,1242.133,1186.813,1186.922,3127386900,36749325000.000
20190620,1181.113,1281.650,1180.828,1257.317,5069218200,60090245000.000
20190621,1261.456,1288.209,1259.633,1272.173,4061722900,51434455000.000
20190624,1287.399,1290.904,1257.656,1265.084,2649024100,35723066000.000
20190625,1263.015,1288.300,1239.634,1282.425,3051454800,39743409000.000
20190626,1243.526,1258.029,1237.981,1240.626,1888194500,23064225000.000
20190627,1245.146,1281.515,1244.692,1256.261,2537027000,33644179000.000
20190628,1251.429,1260.180,1238.191,1251.151,1780770800,22561561000.000
20190701,1294.324,1296.478,1274.985,1281.959,3090611400,40059535000.000
20190702,1275.682,1278.654,1266.289,1270.259,1862499700,23628659000.000
20190703,1265.713,1265.713,1247.241,1256.759,1734291300,22596944000.000
20190704,1259.167,1276.647,1248.133,1257.574,1688095400,20037782000.000
20190705,1255.961,1259.037,1242.582,1253.830,1358922900,16309752000.000
20190708,1248.122,1255.692,1212.429,1219.578,2041975300,23672573000.000
20190709,1220.864,1232.981,1201.705,1226.324,1697164900,19097033000.000
20190710,1225.250,1236.169,1212.393,1219.338,1565523100,17586075000.000
20190711,1226.339,1240.141,1205.721,1217.262,1700658800,20329852000.000
20190712,1213.032,1225.049,1202.788,1217.037,1448869500,16632624000.000
20190715,1214.991,1267.277,1205.332,1249.313,2687353000,29225906000.000
20190716,1242.255,1249.517,1239.469,1243.411,1564409900,16780565000.000
20190717,1240.205,1255.658,1238.632,1243.355,1925719400,20420593000.000
20190718,1233.636,1238.773,1224.564,1224.564,1657930000,17834500000.000
20190719,1235.516,1261.943,1235.516,1251.997,2102328700,23664998000.000
20190722,1259.949,1260.882,1217.430,1218.458,2076447500,23839741000.000
20190723,1221.162,1231.619,1218.363,1226.075,1286477790,14926582000.000
20190724,1230.218,1247.918,1228.028,1230.790,1764258900,21628510000.000
20190725,1227.672,1234.333,1221.289,1233.795,1468223100,16814394000.000
20190726,1227.863,1229.136,1220.431,1226.027,1245404240,13325384300.000
20190729,1224.917,1225.290,1205.778,1211.052,1387907600,15761013000.000
20190730,1213.301,1240.529,1213.301,1223.662,1803414800,20592210000.000
20190731,1218.931,1219.256,1212.138,1214.922,1160200190,12995486700.000
20190801,1206.763,1215.505,1194.600,1199.564,1313384010,15377562000.000
20190802,1168.707,1173.198,1156.212,1166.906,1812496100,20271741000.000
20190805,1159.526,1175.425,1147.429,1147.656,1546288800,17949667000.000
20190806,1119.899,1163.194,1105.448,1146.435,2474970200,27021999000.000
20190807,1149.389,1150.204,1123.500,1123.920,1389714500,15563830000.000
20190808,1157.934,1161.680,1135.351,1135.998,1613618500,18995505000.000
20190809,1144.072,1145.897,1115.103,1117.005,1245586020,13984655000.000
20190812,1130.595,1147.403,1129.989,1147.403,1529074300,17465072000.000
20190813,1132.215,1133.768,1125.956,1130.720,1006747870,11054795600.000
20190814,1150.880,1153.479,1131.246,1131.361,1134771880,13005123400.000
20190815,1099.944,1136.299,1097.610,1131.502,1248977380,13683989000.000
20190816,1130.135,1152.592,1127.920,1136.430,1559924200,18282697000.000
20190819,1153.810,1212.096,1145.771,1211.186,3548471900,42204645000.000
20190820,1210.733,1223.930,1198.690,1201.293,2742926400,32429883000.000
20190821,1198.966,1209.270,1196.477,1198.526,1756937100,19911939000.000
20190822,1202.332,1202.945,1185.332,1195.252,1396404600,15666170000.000
20190823,1195.308,1208.785,1185.629,1189.826,1506601900,17452403000.000
20190826,1162.795,1180.385,1161.339,1173.647,1547785200,17942757000.000
20190827,1180.856,1217.326,1180.829,1194.969,2348104600,27851641000.000
20190828,1190.594,1190.594,1177.232,1178.790,1383671900,16213168000.000
20190829,1180.970,1185.091,1171.607,1171.964,1181273800,14035630000.000
20190830,1184.925,1193.261,1158.427,1163.944,1428168300,17162302000.000
20190902,1164.575,1200.170,1164.316,1192.217,2020371400,24619748000.000
20190903,1191.732,1200.716,1184.038,1197.071,1667697100,20022788000.000
20190904,1191.447,1232.232,1190.280,1220.784,2725837000,33221209000.000
20190905,1241.853,1302.149,1241.853,1256.978,4999658900,61531863000.000
20190906,1267.944,1271.842,1250.922,1268.110,2699215700,33776245000.000
20190909,1294.586,1300.053,1275.990,1288.061,3189984800,39936335000.000
20190910,1286.203,1312.614,1272.270,1299.232,3065749100,38770767000.000
20190911,1316.609,1328.897,1297.943,1305.522,3353152200,42670271000.000
20190912,1308.441,1324.126,1294.763,1323.545,2690141000,34193599000.000
20190916,1325.545,1325.545,1296.354,1303.937,2391031900,30156664000.000
20190917,1296.427,1300.247,1263.069,1268.974,2535731300,32354547000.000
20190918,1271.834,1274.246,1258.412,1260.724,1563190200,19683960000.000
20190919,1266.374,1274.494,1256.592,1274.494,1606941400,19628835000.000
20190920,1272.091,1272.790,1256.255,1266.871,1700657500,21159735000.000
20190923,1256.933,1256.933,1238.924,1248.918,1599776700,19570345000.000
20190924,1251.167,1267.630,1243.974,1247.785,1636168200,20625796000.000
20190925,1238.559,1257.925,1234.761,1239.278,1449354500,17677368000.000
20190926,1245.481,1251.814,1212.352,1214.942,1874117200,22336407000.000
20190927,1215.294,1225.729,1213.210,1220.478,1133042270,13342736000.000
20190930,1219.058,1222.877,1190.891,1190.891,1100981160,13078889200.000
20191008,1190.445,1200.534,1184.089,1184.273,1028381690,12581841000.000
20191009,1176.644,1193.084,1173.205,1193.084,958571430,12031001600.000
20191010,1193.800,1205.958,1191.299,1201.680,1078052820,13582452000.000
20191011,1203.998,1235.158,1191.435,1222.239,1907731000,24375547000.000
20191014,1242.597,1263.562,1235.524,1242.945,2374511500,29045789000.000
20191015,1239.732,1242.975,1225.308,1225.308,1431989400,17030708000.000
20191016,1230.888,1244.053,1216.156,1217.340,1338570150,16067133000.000
20191017,1216.343,1225.615,1209.217,1213.239,980876480,11438186400.000
20191018,1216.218,1217.414,1184.180,1184.180,1297646500,15595978000.000
20191021,1173.816,1173.816,1156.625,1167.081,1310538010,16713886000.000
20191022,1165.327,1169.791,1155.763,1168.862,1017389950,12744902600.000
20191023,1172.410,1174.131,1156.682,1159.716,1006667060,11807382300.000
20191024,1158.722,1176.152,1154.588,1166.763,1011435890,11799685400.000
20191025,1165.987,1187.023,1158.388,1184.477,1373264400,15901199000.000
20191028,1184.420,1211.952,1182.146,1205.473,2052617600,23882103000.000
20191029,1201.619,1201.619,1175.085,1175.085,1442254500,16834247000.000
20191030,1171.964,1180.271,1163.756,1165.784,1103502070,11792200300.000
20191031,1169.458,1174.444,1160.462,1163.184,1010070410,11461308500.000
20191101,1158.832,1182.053,1157.206,1179.532,1310334750,14877508000.000
20191104,1180.437,1192.521,1178.505,1180.680,1302748530,14998498000.000
20191105,1183.173,1208.756,1182.149,1197.121,2181698700,25282356000.000
20191106,1196.028,1196.028,1175.172,1179.400,1438053000,15437521000.000
20191107,1175.932,1190.070,1174.685,1182.291,1163438900,13306553500.000
20191108,1193.719,1197.114,1167.768,1167.768,1471434900,17236569000.000
20191111,1160.739,1164.556,1141.768,1143.022,1488257000,15852065000.000
20191112,1143.272,1150.271,1137.490,1148.427,1095814860,11844132200.000
20191113,1146.313,1146.313,1129.158,1134.079,970549670,10166091900.000
20191114,1134.030,1146.502,1129.032,1136.987,1001592600,10768279300.000
20191115,1135.963,1143.712,1123.359,1123.393,1147232670,12284825700.000
20191118,1123.579,1146.624,1121.476,1141.315,1338306670,12622162500.000
20191119,1138.818,1152.235,1137.804,1152.235,1209240840,12763402700.000
20191120,1150.025,1150.739,1132.692,1133.208,1101839030,12371341200.000
20191121,1127.280,1140.096,1125.511,1135.851,826441940,8647282100.000
20191122,1135.944,1149.957,1126.891,1132.669,1234162000,13357650800.000
20191125,1131.949,1136.918,1123.461,1136.918,1005756680,11154315900.000
20191126,1137.253,1137.720,1126.499,1131.993,1098091770,11679346700.000
20191127,1127.074,1131.338,1121.489,1123.379,767805830,8312127800.000
20191128,1122.809,1129.237,1118.759,1121.785,661790490,6780618800.000
20191129,1121.295,1137.023,1119.694,1129.590,978055030,9762840900.000
20191202,1147.550,1152.165,1134.197,1134.937,1333347600,14604393000.000
20191203,1127.463,1143.679,1126.086,1143.679,1056752130,11442378100.000
20191204,1136.579,1141.428,1135.529,1140.534,854595380,9074167500.000
20191205,1144.329,1158.855,1144.188,1156.306,1770789700,19991543000.000
20191206,1155.545,1159.842,1147.712,1158.458,1333188960,15261250000.000
20191209,1163.655,1164.065,1152.656,1154.605,1146195450,12747537200.000
20191210,1151.116,1153.022,1142.447,1150.819,1111388380,11906654900.000
20191211,1152.489,1170.503,1147.535,1156.089,1642718900,16529246000.000
20191212,1153.320,1156.468,1147.980,1148.866,1242485280,12471857400.000
20191213,1166.785,1215.587,1164.858,1203.336,4190127400,46977230000.000
