date,open,high,low,close,vol,tradeAmount
20190102,1783.090,1792.121,1779.911,1782.814,117611500,751183110.000
20190103,1782.937,1803.993,1780.336,1785.532,156819560,1001023800.000
20190104,1769.317,1845.153,1762.909,1845.153,210928830,1349724100.000
20190107,1851.761,1869.932,1847.325,1869.491,225745920,1405224600.000
20190108,1863.779,1878.171,1860.234,1872.360,172601780,1130274970.000
20190109,1874.691,1895.311,1867.854,1871.235,220528110,1493522500.000
20190110,1866.841,1884.332,1864.149,1871.596,178637190,1182018550.000
20190111,1873.415,1887.616,1869.699,1887.616,166782770,1048945340.000
20190114,1891.411,1901.739,1878.254,1879.666,221820340,1381801200.000
20190115,1872.323,1886.098,1859.240,1886.098,220781900,1403623300.000
20190116,1882.560,1884.916,1867.867,1868.854,169834770,1064303780.000
20190117,1867.123,1873.673,1851.166,1855.917,162094850,1038210970.000
20190118,1856.275,1864.379,1840.568,1855.533,146179250,953593930.000
20190121,1855.669,1866.060,1855.669,1862.978,129284128,842709740.000
20190122,1859.570,1860.822,1832.996,1836.976,127851960,799881980.000
20190123,1830.942,1840.735,1827.235,1839.764,98425894,608080760.000
20190124,1841.328,1853.940,1829.741,1849.795,135870670,812705210.000
20190125,1848.210,1855.668,1831.353,1833.343,153820750,969125980.000
20190128,1839.597,1843.306,1815.750,1817.214,126813748,812169870.000
20190129,1811.614,1817.720,1756.995,1781.114,169271530,1011963680.000
20190130,1771.491,1788.421,1761.180,1761.893,115133289,702867550.000
20190131,1766.943,1772.010,1714.212,1718.411,154410410,859452950.000
20190201,1731.234,1768.829,1731.234,1768.657,119633821,696566260.000
20190211,1778.295,1812.342,1778.295,1811.641,133323497,833185780.000
20190212,1816.815,1846.656,1815.730,1840.331,158045000,1030796940.000
20190213,1844.951,1866.364,1836.919,1863.589,210355370,1429531000.000
20190214,1864.470,1875.781,1857.676,1869.072,197659380,1349628900.000
20190215,1870.222,1894.359,1865.577,1884.406,213575210,1371743800.000
20190218,1892.380,1938.455,1890.793,1938.455,270853170,1860277200.000
20190219,1933.936,1948.689,1912.780,1938.507,295701550,2074812300.000
