date,open,high,low,close,vol,tradeAmount
20190102,1653.611,1662.352,1647.690,1654.078,368927560,2489083100.000
20190103,1654.474,1665.976,1635.399,1637.611,683358910,3348132600.000
20190104,1618.239,1686.784,1617.224,1686.784,640218050,3470087300.000
20190107,1698.672,1743.462,1695.254,1737.770,701579770,4136961800.000
20190108,1733.484,1738.997,1712.912,1721.237,636213110,3777754500.000
20190109,1721.063,1765.173,1717.182,1733.406,729411670,4686561800.000
20190110,1734.141,1751.450,1721.266,1726.060,663726940,4433050400.000
20190111,1728.046,1748.036,1728.046,1741.584,608795560,3949793800.000
20190114,1746.148,1748.905,1726.126,1736.442,606669780,3479318600.000
20190115,1727.481,1748.042,1716.646,1748.042,499785250,3200800100.000
20190116,1749.156,1762.170,1742.368,1743.326,459121280,3203421300.000
20190117,1737.862,1740.400,1716.862,1719.521,448210050,2881172800.000
20190118,1720.574,1727.712,1696.617,1715.719,404151600,2672829000.000
20190121,1710.476,1730.688,1708.369,1720.016,426915420,2574587500.000
20190122,1720.264,1720.264,1690.904,1695.960,343894860,2294284600.000
20190123,1692.346,1696.239,1675.817,1689.621,311477800,2025094800.000
20190124,1692.568,1706.069,1681.826,1702.576,353039330,2388810400.000
20190125,1700.656,1702.631,1679.847,1681.045,379567050,2512291800.000
20190128,1692.255,1694.044,1662.548,1666.787,355610430,2449922600.000
20190129,1658.485,1658.485,1591.973,1619.571,390549520,2536746800.000
20190130,1611.310,1625.477,1597.847,1598.437,306143890,1796544700.000
20190131,1599.910,1616.672,1568.624,1578.928,428015600,2520370300.000
20190201,1586.970,1629.707,1586.970,1629.312,346487260,2257364800.000
20190211,1634.566,1667.011,1633.486,1666.129,469510750,2667912400.000
20190212,1662.718,1689.985,1662.307,1683.385,431189470,2681381800.000
20190213,1682.716,1731.852,1679.815,1726.754,900801010,5602265100.000
20190214,1723.212,1753.302,1718.958,1741.054,668576030,4299864800.000
20190215,1736.826,1765.526,1733.277,1750.000,545469750,3783591600.000
20190218,1761.452,1807.538,1759.973,1806.667,843728940,5396604800.000
20190219,1808.548,1823.683,1783.862,1808.609,761730340,5291157300.000
20190220,1807.770,1846.213,1793.118,1842.482,939679070,5813104300.000
20190221,1841.201,1905.704,1836.416,1862.175,1099849380,8297819400.000
20190222,1867.106,1928.938,1866.277,1928.193,1073245520,8342679700.000
20190225,1966.983,2054.066,1965.460,2051.459,1601320800,11972325300.000
20190226,2061.675,2107.527,2026.873,2043.988,1432521900,11324685000.000
20190227,2040.314,2109.383,2035.269,2069.857,1967417000,15916116000.000
20190228,2048.684,2066.560,2021.556,2041.395,1244832130,10159226700.000
20190301,2044.783,2067.405,2017.557,2064.401,1065788810,9302144500.000
20190304,2145.796,2192.771,2131.383,2146.290,1718743000,13680688000.000
20190305,2153.277,2246.996,2145.015,2246.996,2153327700,17210035000.000
20190306,2258.428,2294.694,2212.050,2294.179,1955467000,16988633000.000
20190307,2291.940,2395.844,2277.922,2363.913,1789973700,16241986000.000
20190308,2275.908,2388.486,2241.654,2242.717,1716407400,17333600000.000
20190311,2263.001,2353.031,2250.776,2351.727,1473843900,14226566000.000
20190312,2375.470,2508.816,2375.470,2475.913,2427649400,21382885000.000
20190313,2490.691,2491.182,2348.449,2374.470,2189082700,22688337000.000
20190314,2338.465,2348.594,2217.980,2255.352,1414496700,13015017300.000
20190315,2271.661,2306.253,2242.717,2266.969,1195508740,12741488800.000
20190318,2277.250,2313.345,2246.237,2313.345,1092887280,11068534100.000
