date,open,high,low,close,vol,tradeAmount
20190102,2460.505,2546.603,2455.488,2534.113,1674461300,18868509000.000
20190103,2522.177,2555.150,2450.835,2463.709,2054206500,22745598000.000
20190104,2406.248,2520.547,2400.351,2507.160,1873768400,19447367000.000
20190107,2520.354,2616.596,2518.456,2599.988,2230839200,24516713000.000
20190108,2593.756,2628.174,2563.854,2586.113,2005387800,22095934000.000
20190109,2579.773,2665.433,2557.710,2600.922,2359218800,26071788000.000
20190110,2600.030,2669.765,2594.680,2643.839,2269738800,26012844000.000
20190111,2666.620,2725.031,2666.620,2677.196,2483775600,29704299000.000
20190114,2664.619,2665.737,2598.435,2665.737,2011703400,23233456000.000
20190115,2634.439,2681.944,2624.404,2671.803,1910576900,23564484000.000
20190116,2664.516,2675.710,2639.467,2640.916,1629858100,19598902000.000
20190117,2634.752,2640.489,2591.396,2595.760,1376147000,16943271000.000
20190118,2593.353,2607.319,2540.594,2573.284,1477215800,18304490000.000
20190121,2575.586,2642.605,2570.102,2619.480,1569166700,20410765000.000
20190122,2612.766,2613.742,2582.380,2593.399,1291114020,16872963000.000
20190123,2580.144,2584.940,2551.076,2577.154,1025108330,13155272400.000
20190124,2575.634,2619.454,2564.456,2604.037,1206399640,15430390000.000
20190125,2599.797,2599.797,2537.528,2538.857,1190021650,14748841000.000
20190128,2548.569,2555.709,2494.818,2497.616,988495170,11800535200.000
20190129,2481.983,2481.983,2381.513,2432.886,1092953310,12975044700.000
20190130,2409.969,2436.873,2373.266,2373.266,904624800,10706448100.000
20190131,2367.140,2412.049,2319.548,2340.126,1147600820,12773244800.000
20190201,2356.034,2420.444,2356.034,2420.444,926651020,11093099700.000
20190211,2437.787,2522.683,2437.787,2522.683,1335434360,16022639000.000
20190212,2528.429,2567.595,2520.763,2551.810,1567765200,18814964000.000
20190213,2556.515,2639.813,2551.306,2631.860,2267025900,30423148000.000
20190214,2629.263,2650.941,2605.894,2634.193,1842374200,22990916000.000
20190215,2627.064,2667.025,2621.936,2638.592,1835127500,23816339000.000
20190218,2658.519,2745.827,2658.519,2745.827,2228733900,29036858000.000
20190219,2759.483,2761.889,2695.422,2743.451,2204454700,28667012000.000
20190220,2733.263,2763.289,2695.459,2759.476,1915565200,24225748000.000
20190221,2759.040,2895.828,2755.722,2814.014,3138236700,41822502000.000
20190222,2811.110,2935.899,2811.110,2935.304,2959393700,40554505000.000
20190225,3006.872,3107.184,3002.762,3092.309,3502022000,50867715000.000
20190226,3103.957,3125.471,3016.622,3016.622,3449261100,53753535000.000
20190227,2993.070,3054.273,2964.025,3003.000,2937563500,42285585000.000
20190228,3001.113,3040.117,2992.722,3018.770,2123443100,30600939000.000
20190301,3028.157,3037.801,2983.889,3036.563,2060371700,28826335000.000
20190304,3085.204,3172.382,3085.204,3115.013,3112091000,46511999000.000
20190305,3126.801,3274.950,3117.424,3274.950,3223860300,47075807000.000
20190306,3332.912,3367.204,3273.995,3365.019,3501396600,53740890000.000
20190307,3365.485,3467.614,3335.824,3431.930,3451559400,53112953000.000
20190308,3336.099,3493.917,3294.175,3315.491,3825353400,59705261000.000
20190311,3358.693,3451.975,3313.909,3451.975,3241767700,49561921000.000
20190312,3473.181,3532.394,3449.170,3523.794,4027586300,61923262000.000
20190313,3503.468,3503.468,3323.412,3351.930,3430476300,52266652000.000
20190314,3309.826,3338.108,3196.270,3244.893,2500785600,37415321000.000
