date,open,high,low,close,vol,tradeAmount
20190102,2222.940,2225.022,2208.005,2214.636,452740570,3287958400.000
20190103,2216.348,2240.449,2206.215,2207.962,499353850,3863943700.000
20190104,2184.600,2264.677,2176.831,2263.860,682459600,5037793600.000
20190107,2282.455,2324.789,2282.455,2321.346,812704370,6048661800.000
20190108,2330.979,2334.024,2316.313,2327.601,962748330,6554568300.000
20190109,2327.406,2356.287,2326.178,2326.178,1046644320,7110752500.000
20190110,2328.077,2345.033,2321.671,2329.599,915233600,5952150200.000
20190111,2330.687,2362.658,2326.815,2362.658,954685640,6787322800.000
20190114,2369.688,2371.566,2349.461,2354.961,899942740,6486255200.000
20190115,2352.530,2402.961,2348.649,2402.961,1045701010,7483431800.000
20190116,2411.544,2414.823,2395.975,2398.694,1152190040,8132270000.000
20190117,2396.276,2402.149,2378.483,2383.324,1313777300,9281587700.000
20190118,2384.145,2396.354,2368.668,2384.000,1113217950,7880438300.000
20190121,2388.130,2410.126,2386.861,2404.714,859446350,6787420000.000
20190122,2406.044,2406.044,2370.073,2379.582,882969740,7155338600.000
20190123,2374.914,2397.539,2373.779,2396.995,846344710,6578921300.000
20190124,2396.597,2416.429,2389.662,2407.190,955811710,7160963600.000
20190125,2406.424,2421.271,2397.193,2398.543,1054701020,8039733500.000
20190128,2406.943,2413.309,2369.630,2375.896,1043102190,8054541600.000
20190129,2361.736,2361.982,2279.691,2322.493,1003938870,7874069700.000
20190130,2303.601,2317.756,2271.010,2271.010,620099900,5318190300.000
20190131,2262.158,2283.381,2214.423,2227.482,891859610,6467695800.000
20190201,2233.344,2285.475,2233.344,2285.408,722607040,5454349600.000
20190211,2292.289,2348.780,2292.289,2348.780,755267970,5739440400.000
20190212,2349.659,2386.537,2344.747,2385.836,1004896080,7424494100.000
20190213,2387.749,2428.025,2382.873,2426.580,1166051180,8707986400.000
20190214,2426.806,2454.231,2419.623,2445.838,1117339950,8989768100.000
20190215,2440.680,2463.684,2435.051,2446.978,1189437600,9399715600.000
20190218,2459.402,2528.583,2459.199,2528.583,1410351300,11174491900.000
20190219,2535.368,2546.907,2496.575,2534.746,1680362400,12175938000.000
20190220,2533.838,2542.684,2510.463,2540.637,1462660700,10897818000.000
20190221,2536.899,2578.514,2523.715,2531.502,1518137800,11700147000.000
20190222,2527.222,2583.205,2526.084,2583.205,1405171800,11659811800.000
20190225,2608.252,2699.193,2601.847,2698.755,2296900600,18913714000.000
20190226,2699.809,2750.580,2665.544,2692.564,2393009400,19964322000.000
20190227,2685.742,2722.056,2656.394,2682.081,1792490500,14391369000.000
20190228,2682.357,2706.193,2674.525,2692.876,1403462600,10906472000.000
20190301,2703.544,2713.671,2680.388,2713.671,1393292200,11482869600.000
20190304,2727.581,2793.650,2723.901,2760.721,2131539100,17949829000.000
20190305,2756.671,2834.678,2749.045,2834.678,1970261700,16692316000.000
20190306,2850.950,2895.074,2820.616,2895.074,2412770900,20439915000.000
20190307,2897.733,2960.397,2874.159,2935.566,2412505600,21385589000.000
20190308,2878.600,2919.778,2782.855,2782.855,2349586300,19493324000.000
20190311,2787.945,2906.277,2787.945,2906.277,1772218000,15460647000.000
20190312,2936.332,2984.848,2912.034,2961.119,2383452600,20633928000.000
20190313,2966.822,2984.148,2892.521,2909.030,2151379500,18314069000.000
20190314,2887.190,2911.012,2798.899,2830.264,1744311500,15144395000.000
20190315,2847.280,2891.329,2845.022,2886.899,1749190700,14787442000.000
20190318,2903.603,2955.563,2885.524,2955.563,1690320900,14888783000.000
20190319,2980.038,2995.509,2962.303,2986.952,1729690700,14932981000.000
20190320,2984.285,2998.240,2937.863,2998.240,1755104300,15605879000.000
20190321,3001.873,3039.413,2988.092,3021.745,1731532500,15442422000.000
20190322,3024.196,3038.055,2979.891,3032.940,1653761200,14606525000.000
20190325,2984.025,3066.131,2970.455,3033.588,1699115700,15731756000.000
20190326,3042.737,3052.556,2943.190,2948.548,1747890000,15494973000.000
20190327,2970.580,2981.164,2909.171,2964.104,1453820700,12624279700.000
20190328,2955.259,2992.455,2930.757,2931.144,1425945700,12562567300.000
20190329,2927.259,3009.516,2902.440,3009.246,1538450500,13729408000.000
20190401,3029.479,3114.831,3029.436,3114.831,1943614300,17885619000.000
20190402,3132.505,3154.695,3108.566,3125.816,2037733100,18453645000.000
20190403,3113.790,3158.796,3099.681,3157.362,1692879300,15475383000.000
20190404,3167.973,3177.854,3133.769,3164.702,1856694800,17332925000.000
20190408,3175.191,3189.581,3095.557,3157.382,2025063700,18724001000.000
20190409,3153.756,3182.211,3138.973,3182.211,1747828300,15750929000.000
20190410,3158.088,3196.550,3132.850,3171.778,1770823300,16321425000.000
20190411,3174.225,3183.402,3117.522,3117.522,1753565200,16128257000.000
20190412,3115.192,3142.551,3095.999,3124.848,1523416800,14566007000.000
20190415,3152.822,3169.423,3096.244,3098.114,1531702100,15139211000.000
20190416,3087.773,3167.930,3064.889,3167.930,1497675900,14805991000.000
20190417,3168.340,3227.707,3165.645,3211.676,1877021100,18444775000.000
20190418,3217.013,3229.079,3191.519,3200.814,1849820900,18396192000.000
20190419,3193.859,3223.618,3159.588,3223.618,1791617400,16680654000.000
20190422,3233.258,3244.097,3193.433,3202.620,1826739200,18503213000.000
20190423,3197.684,3197.684,3115.358,3124.680,1647492600,15368229000.000
20190424,3124.147,3161.937,3098.493,3161.937,1484959600,14365477000.000
20190425,3155.241,3155.241,3025.548,3026.007,1587967800,14712197000.000
20190426,3002.355,3031.636,2985.819,2989.754,1327827150,12403669900.000
20190429,2984.041,2998.920,2869.358,2874.264,1284213070,12099706800.000
20190430,2872.406,2929.895,2872.406,2917.936,997110590,9206424400.000
20190506,2824.537,2827.673,2676.866,2691.264,1212951930,9980641400.000
20190507,2702.631,2754.878,2683.826,2734.450,1056424560,9634431400.000
20190508,2683.416,2778.273,2660.737,2742.283,1025632210,8918341400.000
20190509,2720.074,2758.956,2719.325,2727.530,927423800,8259964800.000
20190510,2754.597,2827.238,2705.747,2826.830,1325042820,11823320900.000
20190513,2801.555,2832.725,2791.750,2821.124,1040010770,9544657200.000
20190514,2782.078,2824.186,2778.004,2792.799,990112360,8496716200.000
20190515,2812.973,2861.056,2812.973,2859.083,1161121040,10440963000.000
20190516,2861.897,2881.493,2850.120,2878.842,1067075170,10076337700.000
20190517,2880.906,2881.139,2747.458,2759.895,1232448070,10428634900.000
20190520,2754.127,2762.716,2691.632,2761.756,934817760,7754765400.000
20190521,2761.281,2813.686,2752.068,2806.525,989424860,8363367300.000
20190522,2803.624,2816.412,2762.154,2780.521,1053448600,8206628900.000
20190523,2771.900,2773.385,2706.515,2718.572,894575440,7027942300.000
20190524,2708.616,2736.062,2701.277,2717.952,893981110,6702775500.000
20190527,2711.272,2788.279,2701.714,2788.028,1035601080,7897885100.000
20190528,2784.103,2811.753,2769.673,2778.579,958682790,7887817900.000
20190529,2773.420,2806.941,2768.812,2792.035,757657550,6496837000.000
20190530,2782.091,2782.091,2734.582,2767.287,768675520,6172251900.000
20190531,2768.956,2796.456,2763.196,2771.300,771390940,6778028500.000
20190603,2777.450,2787.180,2708.060,2715.323,907213970,7711309300.000
20190604,2714.588,2718.412,2661.035,2674.397,752279240,6362296200.000
20190605,2696.681,2708.261,2673.836,2678.308,635216620,5606905100.000
20190606,2679.054,2679.913,2607.668,2618.182,743557690,6453076300.000
20190610,2624.609,2657.089,2611.685,2645.553,626399880,5494752500.000
20190611,2651.497,2739.089,2644.160,2737.388,938714680,8089601200.000
20190612,2733.428,2752.961,2716.578,2718.739,798754010,6922891800.000
20190613,2719.945,2761.385,2710.992,2758.588,830770420,7047711500.000
20190614,2757.815,2760.095,2685.832,2688.099,859018600,7883345500.000
20190617,2686.643,2700.114,2679.126,2690.216,589548910,5457473800.000
20190618,2690.128,2698.401,2667.129,2685.465,526349450,4951201500.000
20190619,2736.990,2747.883,2723.009,2725.320,826068560,7783368400.000
20190620,2716.304,2762.366,2708.194,2761.998,900824370,8201470700.000
20190621,2799.585,2837.559,2797.657,2827.541,1177665020,11148931000.000
20190624,2830.851,2830.851,2801.103,2817.734,919304970,8725092000.000
20190625,2815.822,2815.822,2764.201,2791.414,893299780,9178283800.000
20190626,2778.280,2802.307,2765.288,2788.363,682462280,7037976200.000
20190627,2794.287,2813.806,2794.287,2804.646,768787220,7891294200.000
20190628,2808.154,2808.154,2745.263,2763.808,703769930,6827269200.000
20190701,2813.438,2841.152,2806.052,2841.152,945268370,9233529400.000
20190702,2843.858,2848.433,2824.479,2836.571,870587960,8543963900.000
20190703,2830.375,2830.375,2796.515,2803.968,724219870,6956216600.000
20190704,2807.660,2821.426,2789.392,2803.122,756978670,6594896200.000
20190705,2801.363,2820.119,2785.145,2816.235,661065020,5875483300.000
20190708,2808.237,2808.237,2699.902,2718.172,832133260,7499673300.000
20190709,2717.664,2749.304,2709.970,2747.750,586185500,5497746600.000
20190710,2755.012,2759.587,2724.053,2732.981,642886050,6012711900.000
20190711,2739.072,2772.521,2730.676,2743.456,668724920,6387658400.000
20190712,2742.041,2743.734,2713.051,2734.867,668914060,5905917500.000
20190715,2713.006,2753.681,2680.416,2748.447,683103460,6309895600.000
20190716,2743.924,2757.885,2739.447,2757.885,566293970,5426468600.000
20190717,2754.984,2768.901,2748.105,2756.919,687705580,5849155300.000
20190718,2745.295,2745.295,2701.608,2701.608,756082350,6277945000.000
20190719,2707.075,2746.836,2707.075,2725.296,748388590,6652229600.000
20190722,2722.449,2723.358,2627.223,2628.228,881315000,8465351600.000
20190723,2616.845,2657.587,2616.785,2657.587,649267670,6132339700.000
20190724,2666.932,2712.486,2666.932,2701.226,734278180,7480029400.000
20190725,2701.009,2720.273,2695.984,2710.213,607381280,6944099000.000
20190726,2703.808,2718.793,2698.141,2716.643,620813430,6540843300.000
20190729,2722.022,2749.472,2718.836,2745.874,763899760,7519136500.000
20190730,2749.363,2778.665,2747.471,2758.649,814806810,9478577800.000
20190731,2762.360,2762.360,2741.151,2749.449,739114210,8474685500.000
20190801,2737.428,2769.037,2728.696,2768.825,873655840,9897723200.000
20190802,2713.117,2739.566,2698.632,2728.384,920659890,10987140900.000
20190805,2719.318,2740.571,2691.807,2693.013,746416250,8671401200.000
20190806,2641.336,2641.336,2556.554,2617.366,983121230,10930809200.000
20190807,2632.960,2638.575,2597.307,2597.949,655449660,7921231700.000
20190808,2602.854,2617.374,2599.371,2603.409,593408740,6826388400.000
20190809,2615.233,2620.041,2561.000,2565.800,607833450,7335709700.000
20190812,2570.545,2607.141,2558.011,2607.141,600043940,6460503300.000
20190813,2589.839,2597.865,2580.620,2596.827,625220280,7210681300.000
20190814,2625.627,2638.800,2610.962,2614.431,679984970,7761329300.000
20190815,2551.600,2613.457,2540.064,2613.457,640651150,6873736800.000
20190816,2614.844,2638.600,2611.403,2619.492,680603540,7579347000.000
20190819,2634.865,2687.878,2632.649,2687.878,903944040,9539544800.000
20190820,2689.796,2708.537,2684.892,2693.927,828622530,8694792900.000
20190821,2691.231,2698.856,2685.075,2691.589,682494910,7635380200.000
20190822,2696.301,2705.672,2682.580,2704.477,794208530,7586429800.000
20190823,2702.577,2711.670,2681.255,2685.908,871180990,8571892600.000
20190826,2626.309,2666.645,2620.550,2654.984,768736920,7788108000.000
20190827,2668.705,2712.021,2668.705,2708.500,922570030,8871724600.000
20190828,2711.829,2720.733,2705.228,2712.492,826492480,8015188500.000
20190829,2716.588,2720.378,2703.941,2705.291,838975120,7605005400.000
20190830,2714.378,2718.505,2654.990,2668.951,990378900,8473158600.000
20190902,2673.332,2743.185,2673.332,2739.592,983312590,8495722000.000
20190903,2745.045,2760.543,2739.968,2760.543,971430340,9046987000.000
20190904,2759.618,2781.332,2753.291,2781.182,1186556040,9876904100.000
20190905,2789.559,2833.244,2789.559,2803.678,1466293400,12298292400.000
20190906,2807.504,2817.264,2792.838,2815.178,1131723790,9564888500.000
20190909,2840.788,2874.220,2830.308,2874.220,1272468280,11617834300.000
20190910,2879.107,2887.923,2866.618,2882.173,1212085800,11080715700.000
20190911,2887.358,2898.723,2869.882,2871.760,1162110520,10666344500.000
20190912,2875.651,2885.823,2864.885,2883.843,895499340,8493084200.000
20190916,2895.433,2903.802,2874.604,2888.509,926871180,8658625400.000
20190917,2883.422,2883.422,2810.351,2820.733,989942690,8886469800.000
20190918,2824.472,2838.144,2817.844,2830.001,731021370,7068015100.000
20190919,2836.525,2874.688,2832.364,2874.688,756796160,8242509300.000
20190920,2877.174,2895.586,2873.584,2881.760,958754480,9125534700.000
20190923,2875.726,2875.726,2834.349,2852.447,905431720,8173253800.000
20190924,2851.872,2882.184,2850.265,2863.731,893903440,8554055400.000
20190925,2853.180,2853.180,2811.283,2811.283,828655740,8303340900.000
20190926,2822.127,2828.425,2743.847,2744.128,932377150,9297566100.000
20190927,2745.098,2790.660,2745.098,2779.404,763396280,8617244300.000
20190930,2776.653,2787.657,2750.966,2750.966,593877370,6500500000.000
20191008,2752.645,2784.328,2752.645,2762.386,598356660,6383504600.000
20191009,2758.408,2800.354,2743.757,2800.354,692018970,6934066000.000
20191010,2808.812,2834.152,2803.922,2834.152,750058330,7635473200.000
20191011,2840.243,2857.508,2824.168,2845.983,815106700,8735090800.000
20191014,2864.805,2885.733,2858.802,2881.677,925461990,9765755300.000
20191015,2870.403,2870.403,2841.777,2847.551,818059330,8527273900.000
20191016,2847.074,2851.022,2815.812,2820.237,739872700,7583868700.000
20191017,2815.934,2830.518,2805.456,2812.276,636435840,6099489400.000
20191018,2812.789,2825.541,2766.308,2771.889,752189160,7726926100.000
20191021,2773.153,2773.153,2733.768,2761.894,605320590,5425735100.000
20191022,2761.929,2788.838,2761.430,2788.838,604108300,6109677000.000
20191023,2788.997,2788.997,2760.388,2768.992,554043050,5631234800.000
20191024,2767.187,2773.438,2751.367,2766.777,513268110,5230728600.000
20191025,2763.608,2780.873,2742.906,2777.081,564763060,5431753500.000
20191028,2771.597,2813.944,2771.026,2813.944,701245850,6670108700.000
20191029,2808.294,2808.960,2764.530,2764.530,688468200,6425574600.000
20191030,2749.955,2749.955,2711.411,2716.865,603573520,5730819100.000
20191031,2718.740,2723.340,2676.845,2678.302,553606060,5280362400.000
20191101,2673.811,2705.859,2663.813,2699.331,488124860,4918513500.000
20191104,2704.462,2708.676,2688.503,2695.545,503433410,5106783500.000
20191105,2695.251,2696.051,2664.797,2687.005,580895570,5750059500.000
20191106,2689.178,2693.299,2658.913,2665.651,544071140,5345386800.000
20191107,2663.912,2684.977,2657.543,2680.945,585737170,4835314700.000
