date,open,high,low,close,vol,tradeAmount
20190102,1115.103,1118.478,1102.495,1105.500,125717178,704697440.000
20190103,1105.189,1112.870,1093.874,1093.907,145100500,793239880.000
20190104,1086.561,1122.277,1083.274,1120.386,181976240,942064120.000
20190107,1126.050,1136.748,1121.712,1135.425,214715990,1130362260.000
20190108,1133.582,1138.778,1130.855,1133.642,162219710,854327270.000
20190109,1135.245,1155.532,1135.245,1138.357,280255090,1489651500.000
20190110,1136.672,1154.645,1134.848,1140.881,245549760,1298721910.000
20190111,1140.648,1164.178,1139.809,1160.582,283390480,1488528100.000
20190114,1161.999,1166.037,1153.509,1157.833,277314970,1448533000.000
20190115,1153.136,1166.383,1150.120,1166.224,279307020,1385381700.000
20190116,1160.802,1162.299,1150.039,1152.663,205526160,1036806920.000
20190117,1152.715,1158.608,1144.434,1146.507,228471670,1195013760.000
20190118,1145.874,1157.218,1138.236,1155.032,258136120,1286084620.000
20190121,1154.728,1163.797,1152.458,1156.710,215300630,1084699410.000
20190122,1157.821,1157.821,1140.272,1145.842,187299560,950310230.000
20190123,1141.501,1155.310,1139.176,1151.935,207194390,1042666200.000
20190124,1152.545,1160.664,1144.444,1152.900,216947680,1185717840.000
20190125,1150.147,1159.810,1144.352,1152.338,292371070,1542024800.000
20190128,1159.185,1161.262,1135.063,1137.468,251666550,1314801820.000
20190129,1131.467,1131.467,1095.553,1114.137,188720830,969434820.000
20190130,1102.432,1111.710,1095.077,1095.128,134905650,715157270.000
20190131,1088.422,1097.272,1073.285,1079.927,251417500,1092094300.000
20190201,1082.139,1101.401,1082.139,1100.900,174199810,827417180.000
20190211,1102.792,1127.465,1102.792,1127.178,212529650,1024338620.000
20190212,1129.307,1154.121,1126.729,1150.937,284731250,1446014500.000
20190213,1150.516,1171.046,1149.190,1168.739,314262060,1637806200.000
20190214,1166.528,1176.594,1164.352,1173.452,272369420,1438791500.000
20190215,1170.002,1180.733,1165.132,1177.460,275655640,1543419000.000
20190218,1181.684,1211.857,1181.684,1211.857,388428600,2174542600.000
20190219,1213.691,1225.076,1197.407,1216.902,393150460,2343097000.000
20190220,1217.475,1224.919,1206.915,1224.919,362827600,2189429700.000
20190221,1224.528,1239.096,1210.866,1215.471,463520740,2715327400.000
20190222,1215.833,1234.491,1207.906,1233.257,422680580,2383217700.000
20190225,1248.684,1293.562,1243.978,1292.535,711702070,4027503200.000
20190226,1297.144,1313.041,1271.665,1281.830,731623170,4190073000.000
20190227,1275.896,1305.043,1272.089,1287.395,611161770,3409828600.000
20190228,1287.923,1343.075,1284.204,1332.886,727771700,4093309300.000
20190301,1325.810,1325.810,1303.052,1322.006,587612540,3198185100.000
20190304,1324.539,1365.443,1321.192,1343.184,878137970,4806643700.000
20190305,1334.598,1377.948,1328.057,1377.948,700815360,3917705900.000
20190306,1379.070,1394.333,1361.146,1394.320,747512650,4259029800.000
20190307,1398.237,1419.509,1385.537,1413.160,768136520,4479040700.000
20190308,1393.278,1402.258,1335.503,1335.961,704112360,4038148300.000
20190311,1339.195,1383.741,1338.893,1383.352,490795780,2918406000.000
20190312,1390.272,1425.949,1385.809,1409.293,665186140,3938706500.000
20190313,1406.208,1427.535,1387.934,1396.106,575298270,3550435700.000
20190314,1383.724,1395.268,1345.276,1362.062,496558720,2741022200.000
20190315,1366.840,1394.023,1366.816,1387.867,483631450,2669139800.000
20190318,1394.492,1404.862,1373.451,1404.798,543674000,3082539900.000
20190319,1402.699,1409.767,1394.446,1403.387,499548750,2806051400.000
20190320,1401.175,1411.769,1384.651,1411.769,446483510,2587167700.000
20190321,1411.078,1443.492,1411.078,1425.390,527684540,3359594600.000
20190322,1425.801,1450.369,1409.919,1449.130,532898700,3474191000.000
20190325,1429.556,1472.328,1424.119,1443.814,540973740,3530902700.000
20190326,1450.327,1459.518,1396.987,1401.689,489361190,3289948300.000
20190327,1407.760,1431.270,1387.168,1431.270,465412210,3304316800.000
20190328,1424.785,1437.835,1400.208,1400.464,483266300,3283450300.000
20190329,1394.915,1433.060,1381.957,1430.572,532313350,3268571400.000
20190401,1437.387,1478.582,1437.387,1476.169,761009290,4788458700.000
20190402,1489.224,1506.025,1479.317,1487.040,679521810,4402418800.000
20190403,1485.365,1504.341,1475.133,1504.263,760452140,4782546700.000
20190404,1508.796,1538.617,1508.796,1521.738,852517940,5394415800.000
20190408,1537.891,1545.486,1501.014,1531.349,927256600,6060779600.000
20190409,1523.550,1540.923,1502.384,1537.313,600777390,3956457200.000
20190410,1524.497,1564.050,1510.237,1551.040,646590050,4048873700.000
20190411,1548.389,1555.564,1522.259,1526.029,664692470,4221489500.000
20190412,1515.405,1523.602,1493.916,1511.241,528518240,3322878600.000
20190415,1517.094,1522.922,1474.043,1481.575,762730830,4558723300.000
20190416,1483.854,1507.600,1471.900,1507.600,473332660,2811721300.000
20190417,1515.709,1544.851,1512.861,1542.895,537045480,3290546900.000
20190418,1544.252,1544.916,1522.462,1523.133,408807130,2548024200.000
20190419,1527.847,1538.891,1516.856,1537.636,561987120,3808226100.000
20190422,1541.509,1545.812,1508.827,1513.581,644780110,4354441500.000
20190423,1507.618,1509.348,1476.122,1485.489,576717170,3761659200.000
20190424,1482.356,1509.622,1470.830,1509.622,500240050,3048710500.000
20190425,1513.069,1520.678,1454.846,1454.911,553652230,3295961100.000
20190426,1452.873,1459.372,1440.244,1441.939,401290660,2336608600.000
20190429,1442.688,1449.314,1388.466,1398.792,474113540,2910466000.000
20190430,1386.481,1423.826,1385.393,1413.581,376553280,2721387000.000
20190506,1365.738,1365.738,1287.966,1295.917,443336370,2402411700.000
20190507,1296.821,1326.778,1290.003,1326.729,378261460,2449038000.000
20190508,1299.056,1359.239,1290.189,1342.463,378438720,2599032200.000
20190509,1329.494,1344.702,1319.256,1320.941,342502480,2371420100.000
20190510,1333.501,1363.389,1304.826,1361.923,396477850,2657195600.000
20190513,1347.801,1362.652,1341.565,1358.904,343323320,2305214100.000
20190514,1331.582,1354.257,1331.390,1340.480,275554620,1964408900.000
20190515,1349.306,1383.825,1349.306,1383.467,323850940,2237087900.000
20190516,1382.883,1397.368,1379.342,1388.686,314835740,2597434700.000
20190517,1383.538,1386.307,1319.322,1322.583,320663810,2289997200.000
20190520,1320.038,1323.263,1281.857,1310.898,231594180,1539031400.000
20190521,1309.230,1343.652,1307.289,1335.811,224219010,1579187800.000
20190522,1333.148,1335.572,1311.628,1319.612,199532350,1433737200.000
20190523,1313.627,1316.799,1294.186,1298.738,233097810,1543790000.000
20190524,1294.046,1304.730,1281.105,1282.862,175735910,1189313130.000
20190527,1288.180,1311.021,1277.826,1310.491,205395520,1288840420.000
20190528,1309.120,1323.926,1302.209,1307.803,210697660,1380762700.000
20190529,1301.953,1318.331,1297.805,1305.782,166224940,1100429330.000
20190530,1304.297,1304.297,1283.361,1298.928,167833290,1055978520.000
20190531,1299.199,1308.317,1292.492,1295.974,160565620,1064153740.000
20190603,1297.492,1305.411,1270.194,1272.505,218235800,1303038400.000
20190604,1270.989,1273.407,1241.752,1248.446,175983970,1018862830.000
20190605,1257.472,1262.197,1238.534,1239.192,178463440,923777160.000
20190606,1236.788,1238.687,1206.088,1209.997,197273040,1032854490.000
20190610,1213.559,1222.854,1207.793,1221.427,153707450,907591990.000
20190611,1224.138,1269.837,1222.529,1267.196,268296490,1536349100.000
20190612,1269.356,1275.193,1257.289,1259.852,210782030,1313114880.000
20190613,1256.648,1281.599,1253.838,1278.238,221720660,1273091710.000
20190614,1277.528,1278.060,1250.252,1251.037,223997660,1214900330.000
20190617,1247.953,1254.258,1238.078,1243.216,160529280,950918640.000
20190618,1243.042,1247.985,1236.147,1242.821,127682294,738796990.000
20190619,1267.728,1275.118,1260.086,1260.792,203255520,1182323600.000
20190620,1263.547,1289.345,1256.868,1289.146,290942740,1620698100.000
20190621,1294.516,1316.772,1294.516,1313.443,327681890,1844676600.000
20190624,1322.091,1323.961,1308.086,1323.781,238435630,1429116400.000
20190625,1319.460,1319.460,1289.695,1304.078,218353610,1272929440.000
