date,open,high,low,close,vol,tradeAmount
20190102,936.402,938.601,921.709,923.028,27889251,245771690.000
20190103,919.735,925.503,914.226,915.451,25946871,262878300.000
20190104,905.272,936.032,902.947,932.267,39245742,353210400.000
20190107,934.724,946.282,934.042,945.223,39063603,337558670.000
20190108,938.841,941.002,925.424,928.548,42408952,477115470.000
20190109,929.338,950.173,928.594,940.762,44436788,512842140.000
20190110,939.160,942.470,933.114,933.114,30413034,312779480.000
20190111,932.949,939.863,929.919,939.863,22903614,214585450.000
20190114,939.559,939.599,929.649,932.348,21185586,185541490.000
20190115,929.746,944.367,927.410,943.957,31135142,283842310.000
20190116,943.144,946.113,940.321,941.290,24918868,219116160.000
20190117,942.508,950.760,939.596,941.468,37737797,233550920.000
20190118,937.501,946.458,934.694,945.922,34593814,289290910.000
20190121,946.618,959.646,946.618,958.528,33668317,382794880.000
20190122,956.316,960.687,946.230,949.082,25695421,249339240.000
20190123,947.605,947.745,938.849,944.660,18568653,180599860.000
20190124,949.580,954.377,943.386,947.189,22322145,195428210.000
20190125,945.244,953.247,943.502,943.884,20598725,178334270.000
20190128,951.486,951.711,940.267,941.230,24511403,232491150.000
20190129,930.881,937.229,914.094,930.579,28262927,251021770.000
20190130,927.468,932.142,912.309,913.205,25890135,252531510.000
20190131,900.458,914.230,890.433,893.640,32524095,258780450.000
20190201,897.891,917.988,897.742,917.338,24157905,234727340.000
20190211,921.562,938.889,920.493,938.804,25768691,265541810.000
20190212,938.859,952.976,936.997,948.884,31460804,310529500.000
20190213,949.397,969.538,945.568,966.453,38799025,414727640.000
20190214,967.808,973.909,963.354,968.741,39491144,395059810.000
20190215,967.616,977.765,961.526,971.014,35884648,305273310.000
20190218,974.246,1000.647,974.246,1000.172,46742037,470192770.000
20190219,1003.472,1023.231,997.292,1008.036,62739456,566337770.000
20190220,1004.028,1018.930,999.750,1012.901,54971563,430423380.000
20190221,1009.566,1018.007,1002.481,1004.696,48855896,425993420.000
20190222,1004.424,1014.830,997.674,1014.182,43289443,403492570.000
20190225,1016.636,1048.575,1016.636,1047.276,84740248,800372310.000
20190226,1048.931,1065.645,1039.110,1054.920,83742922,725145410.000
20190227,1054.137,1070.774,1049.538,1058.619,71505776,623974590.000
20190228,1056.337,1069.015,1053.751,1067.305,47482024,453452560.000
20190301,1071.464,1073.690,1053.312,1064.867,45743917,418579160.000
20190304,1065.962,1086.392,1065.279,1074.999,71025988,642398710.000
20190305,1071.355,1085.201,1066.909,1085.048,66270733,570225590.000
20190306,1086.294,1095.141,1072.932,1094.812,75054894,636886310.000
20190307,1093.616,1106.198,1084.761,1099.026,80389851,749418000.000
20190308,1087.600,1087.600,1044.152,1044.893,91076656,825000160.000
20190311,1045.276,1077.945,1045.276,1077.765,60919726,521301580.000
20190312,1081.535,1105.866,1081.535,1094.146,82614493,702712340.000
20190313,1096.316,1113.160,1080.297,1087.370,86732393,652275130.000
20190314,1081.208,1086.323,1053.805,1065.389,70313647,594898520.000
20190315,1070.928,1109.508,1070.928,1106.950,94454523,1047504690.000
20190318,1119.418,1140.937,1111.704,1140.937,90728963,1004282220.000
20190319,1146.367,1154.666,1137.016,1153.881,75583764,856476530.000
20190320,1158.158,1173.025,1144.741,1172.868,117341835,898124320.000
20190321,1172.792,1199.334,1171.706,1192.244,114076790,862995470.000
20190322,1193.886,1234.383,1185.451,1227.982,176604200,1486087300.000
20190325,1203.189,1230.729,1187.414,1221.519,139168350,1097206970.000
20190326,1215.279,1219.839,1176.768,1185.792,128498000,981622140.000
20190327,1186.800,1204.548,1175.726,1203.532,143861300,1079455600.000
20190328,1195.569,1216.450,1179.481,1180.327,141828400,1114279480.000
20190329,1174.657,1203.180,1163.882,1197.321,105945173,907924290.000
20190401,1200.590,1256.581,1200.590,1254.901,123107322,1225551210.000
20190402,1260.634,1267.021,1241.305,1244.003,141567440,1372043000.000
20190403,1237.853,1259.933,1231.243,1256.469,84771679,867958680.000
20190404,1257.517,1263.697,1242.263,1256.356,92057472,931384490.000
20190408,1256.061,1260.376,1226.724,1238.320,95476210,971282290.000
20190409,1233.660,1268.041,1232.381,1265.674,119438174,1095962170.000
20190410,1257.424,1288.209,1253.192,1270.635,138108650,1368488400.000
20190411,1258.621,1258.621,1231.777,1232.977,109964287,1107636190.000
20190412,1230.094,1240.178,1218.567,1230.398,83664065,805108630.000
20190415,1237.666,1250.151,1229.276,1230.844,94703128,1195237400.000
20190416,1230.329,1234.182,1200.185,1234.182,76130696,868897150.000
20190417,1234.378,1239.476,1227.181,1231.475,62889349,669995660.000
20190418,1223.665,1224.748,1210.543,1213.954,72464626,662176480.000
20190419,1209.351,1225.502,1207.331,1217.182,56397510,567035970.000
20190422,1221.753,1225.736,1205.980,1220.253,84448523,803765920.000
20190423,1217.242,1217.242,1185.047,1185.793,64684017,635651610.000
20190424,1186.039,1189.123,1165.546,1186.555,52151353,551819900.000
20190425,1183.166,1183.166,1136.144,1138.113,56675298,583765180.000
20190426,1133.109,1134.563,1120.623,1121.590,43676627,479289080.000
20190429,1120.301,1128.222,1079.809,1080.931,52709740,494377800.000
20190430,1076.253,1100.172,1075.341,1097.651,46927524,600702700.000
20190506,1076.563,1076.563,1012.978,1019.365,58226016,590053700.000
20190507,1021.265,1036.277,1010.732,1024.451,39285417,416166590.000
20190508,1010.555,1037.514,1001.034,1024.053,33484070,300719140.000
20190509,1017.042,1026.748,1011.561,1015.592,27568529,276982400.000
20190510,1021.845,1050.135,1008.473,1044.790,41695049,445777560.000
20190513,1038.568,1044.745,1033.263,1037.697,36255701,361065860.000
20190514,1025.838,1041.410,1022.808,1027.271,35941258,369728320.000
20190515,1033.666,1045.058,1032.447,1043.238,37589847,325592630.000
20190516,1043.858,1044.635,1035.780,1043.119,29842259,242229510.000
20190517,1044.939,1046.181,1011.835,1015.072,38916867,341406350.000
20190520,1008.346,1012.908,982.879,995.049,32745808,280133670.000
20190521,997.065,1021.499,994.455,1015.950,34561748,408813760.000
20190522,1018.565,1027.698,1005.902,1027.698,37838154,360406710.000
20190523,1025.860,1025.860,997.184,997.288,40325261,353265300.000
20190524,994.058,999.854,982.514,992.250,29900866,289340940.000
20190527,991.797,1010.111,983.208,1010.006,31934126,288828070.000
20190528,1007.346,1022.376,1006.672,1010.058,38063597,309995950.000
20190529,1005.572,1015.995,1002.962,1008.154,22974775,202109110.000
20190530,1007.902,1014.301,1001.273,1010.115,30134430,270025550.000
20190531,1011.061,1020.061,1002.283,1003.991,23444285,229714730.000
20190603,1014.226,1014.292,991.634,999.537,38955221,337894750.000
20190604,994.190,994.190,979.057,984.714,35029894,267355830.000
20190605,990.556,992.315,983.903,987.714,28366692,256521040.000
20190606,985.522,987.501,964.324,971.743,27470891,267654680.000
20190610,973.294,981.111,967.182,979.463,26229941,252840770.000
20190611,979.419,1008.174,979.419,1005.649,44351177,428037990.000
20190612,1006.590,1009.126,999.788,1003.580,29210458,274486280.000
20190613,1000.765,1004.326,990.360,998.677,25604088,237772420.000
20190614,998.506,1003.460,980.424,980.598,22821056,203111350.000
20190617,983.931,985.671,978.529,982.773,21669906,246223160.000
20190618,981.724,991.403,980.888,991.403,19238508,186779250.000
20190619,1010.530,1017.060,1004.644,1005.170,35288834,446011940.000
20190620,1007.677,1028.841,1003.022,1026.356,41121634,460037680.000
20190621,1036.288,1046.057,1033.994,1040.371,45622316,412742190.000
20190624,1039.260,1048.294,1032.497,1042.850,29644558,248946070.000
20190625,1042.420,1042.420,1021.354,1033.144,41727956,325917510.000
20190626,1026.394,1026.394,1018.982,1021.434,31189114,342826520.000
20190627,1020.874,1034.834,1020.246,1029.990,31242998,409022140.000
20190628,1033.163,1034.680,1021.805,1029.998,30409564,287659270.000
20190701,1041.006,1061.440,1041.006,1059.813,41082982,497717140.000
20190702,1056.223,1065.394,1054.288,1063.293,36665459,404917810.000
20190703,1060.087,1061.408,1052.204,1056.532,32420369,370957290.000
20190704,1056.241,1057.730,1042.379,1044.917,24687884,259344250.000
20190705,1046.720,1048.746,1040.240,1046.431,22372825,253650780.000
20190708,1043.158,1043.239,1008.859,1010.404,33242333,343103260.000
20190709,1007.643,1013.998,1005.141,1011.908,20314606,236104610.000
20190710,1013.016,1014.484,1003.438,1005.169,19098997,207984860.000
20190711,1009.215,1013.192,1001.038,1005.063,17964644,195937410.000
20190712,1005.012,1008.877,999.025,1006.487,18440414,212547380.000
20190715,1005.447,1013.852,989.092,1010.909,21053722,247479780.000
20190716,1009.778,1018.900,1007.755,1012.903,21293196,209032930.000
20190717,1014.464,1017.913,1009.720,1011.854,21828364,218308110.000
20190718,1005.772,1006.618,991.138,991.138,22406320,242334740.000
