date,open,high,low,close,vol,tradeAmount
20190102,795.921,796.729,784.243,784.742,64160103,346125520.000
20190103,787.948,793.318,781.864,782.673,66810273,371791870.000
20190104,777.475,801.323,774.081,801.197,105212271,554231140.000
20190107,807.929,816.106,801.471,815.907,104427392,567500150.000
20190108,813.916,823.174,811.031,818.926,88000322,538195630.000
20190109,821.718,829.251,815.907,816.794,104331116,606056310.000
20190110,829.469,832.596,817.925,819.059,114174608,651294280.000
20190111,817.298,823.285,814.471,823.285,79018143,475937140.000
20190114,822.023,822.815,811.456,811.754,69830257,399432930.000
20190115,812.323,822.317,810.648,822.317,81913567,455276320.000
20190116,823.578,826.425,820.775,823.189,76956816,429476880.000
20190117,823.342,824.246,812.683,813.886,87723504,450000780.000
20190118,816.455,826.819,815.686,826.686,89796882,480771750.000
20190121,829.955,838.349,828.021,833.967,101804975,574242740.000
20190122,833.762,834.171,818.025,819.412,86619843,472959670.000
20190123,816.885,822.836,815.935,821.269,71940584,399744140.000
20190124,819.411,824.927,814.138,822.884,84619722,478559290.000
20190125,822.775,823.167,809.209,809.356,95889608,527683320.000
20190128,815.122,817.349,800.770,802.945,87124547,485828180.000
20190129,799.702,799.702,771.657,785.335,98998021,513387140.000
20190130,785.383,786.906,776.424,777.039,72302618,382559140.000
20190131,765.688,774.362,753.029,756.119,114087699,523690610.000
20190201,759.807,776.318,759.807,776.318,84928723,421515080.000
20190211,778.374,793.024,778.374,791.769,88665674,451464650.000
20190212,793.523,803.273,792.335,799.651,93427889,485521360.000
20190213,802.163,812.647,799.804,811.260,129680538,694238840.000
20190214,811.544,818.093,810.860,814.955,112367011,625546460.000
20190215,816.917,822.657,814.331,815.926,113073364,599940660.000
20190218,823.864,840.037,823.864,839.382,175280080,905614050.000
20190219,839.020,848.410,834.991,848.410,184870750,1043387160.000
20190220,845.226,849.921,839.539,848.012,131595229,720692330.000
20190221,851.159,860.195,841.791,845.540,159274970,910894020.000
20190222,841.800,857.414,841.728,857.414,135506850,786265270.000
20190225,862.550,897.632,860.357,897.631,286877640,1666340000.000
20190226,899.717,914.450,888.625,898.627,320236000,1940259000.000
20190227,897.705,907.170,884.271,892.440,217660820,1296873240.000
20190228,898.819,909.947,896.991,905.546,198256640,1149119220.000
20190301,908.569,911.111,896.739,908.989,169764710,995107880.000
20190304,908.070,928.890,907.318,917.370,289059940,1737216200.000
20190305,918.402,933.144,916.062,933.091,253749810,1516384100.000
20190306,934.664,964.348,933.445,964.348,369395690,2260610400.000
20190307,965.426,980.380,955.490,972.749,331926750,2101532100.000
20190308,960.758,960.758,917.985,918.056,364339350,1902068100.000
20190311,919.459,951.267,919.459,951.267,238618660,1426103000.000
20190312,959.848,978.643,954.041,965.374,320371540,1972115700.000
20190313,974.857,980.531,955.169,962.013,343829530,2162853500.000
20190314,958.078,982.236,942.936,953.846,364451350,2062985300.000
20190315,952.105,968.659,952.105,964.403,281791860,1617933600.000
20190318,962.727,993.904,962.727,993.664,321841020,1890310400.000
20190319,1008.747,1021.487,1006.402,1020.731,406461800,2461982800.000
20190320,1020.495,1020.495,996.549,1012.181,568386570,2936284000.000
20190321,1011.070,1018.684,1007.388,1009.200,464507840,2371775600.000
20190322,1006.530,1007.135,986.555,1000.176,292362320,1532409200.000
20190325,981.286,993.593,975.790,986.493,248496320,1284219100.000
20190326,992.264,997.671,958.126,961.125,274899040,1484262900.000
20190327,969.774,971.941,949.906,968.895,245862780,1340951830.000
20190328,962.691,971.451,955.022,955.929,185630740,1040884560.000
20190329,956.858,980.263,949.623,979.242,299521800,1635450100.000
20190401,988.094,1016.189,987.371,1015.894,275371060,1832067400.000
