date,open,high,low,close,vol,tradeAmount
20190102,988.743,990.498,973.881,974.815,486943280,2199964300.000
20190103,979.557,986.617,976.258,980.351,528277570,2383323300.000
20190104,973.897,998.087,967.605,997.504,750582110,2966716600.000
20190107,1001.161,1011.744,995.843,1011.602,791872880,3365548200.000
20190108,1008.175,1010.678,1004.647,1006.995,552861990,2363826000.000
20190109,1007.340,1026.951,1007.340,1012.802,856834020,3771652400.000
20190110,1012.659,1018.678,1006.892,1007.942,587752170,2628134500.000
20190111,1007.743,1013.893,1003.936,1013.606,511715460,2103810500.000
20190114,1014.148,1041.975,1013.618,1033.271,968029230,4236549700.000
20190115,1030.930,1035.453,1024.766,1034.657,674041490,2977867900.000
20190116,1035.058,1036.920,1027.588,1031.289,564923960,2532534000.000
20190117,1032.686,1047.161,1032.145,1034.459,986818370,4059650900.000
20190118,1034.406,1072.633,1034.289,1064.132,1689367700,7373815400.000
20190121,1063.960,1065.623,1056.257,1061.535,1070608080,5078505700.000
20190122,1061.352,1061.352,1038.258,1040.719,895935580,3984109200.000
20190123,1037.964,1044.668,1034.982,1040.022,558602900,2598026900.000
20190124,1039.637,1039.730,1027.013,1035.458,570491150,2678594200.000
20190125,1040.163,1046.619,1036.236,1037.071,667157650,3162481700.000
20190128,1042.611,1047.684,1030.176,1031.098,611173530,2824192900.000
20190129,1029.428,1042.102,1010.040,1039.298,1056763080,4899476300.000
20190130,1032.663,1042.516,1030.711,1031.689,814662790,3928174100.000
20190131,1031.510,1035.803,1017.480,1021.117,771496360,3494870000.000
20190201,1025.717,1040.705,1025.192,1039.966,678181330,3134130000.000
20190211,1048.638,1061.510,1048.638,1061.510,1054456320,4905702000.000
20190212,1057.234,1070.767,1053.284,1068.465,1115440390,5045947200.000
20190213,1067.151,1085.650,1061.379,1082.643,1512498600,6747801500.000
20190214,1083.453,1092.813,1080.260,1086.196,1084363800,5031746800.000
20190215,1085.100,1086.969,1076.325,1076.827,938775030,4489555200.000
20190218,1083.521,1103.242,1083.521,1103.198,1346138800,5927553600.000
20190219,1105.822,1111.680,1094.699,1104.838,1453918100,6260160600.000
20190220,1103.671,1121.968,1101.529,1112.161,1179051580,5242566900.000
20190221,1113.357,1118.644,1099.353,1101.978,1317844980,6011006300.000
20190222,1106.731,1115.353,1098.542,1115.353,1289332150,6302693900.000
20190225,1119.522,1168.816,1117.243,1168.504,3302122500,14024260000.000
