date,open,high,low,close,vol,tradeAmount
20190102,894.282,894.956,879.638,882.152,1056115910,7131345400.000
20190103,881.842,895.406,881.842,890.252,928221500,6072309800.000
20190104,884.498,917.608,884.049,914.587,1548918700,10967623500.000
20190107,919.246,919.246,908.869,913.505,1251464220,8510243500.000
20190108,912.051,912.160,906.067,907.967,950652410,5910798500.000
20190109,913.746,925.935,913.746,916.377,1624926900,11189567700.000
20190110,916.366,918.486,909.166,913.679,1408289700,9434975000.000
20190111,913.559,921.000,913.108,919.223,1171488560,8271516800.000
20190114,918.572,920.518,908.783,909.369,1084728230,7078600000.000
20190115,908.671,919.149,907.233,917.763,1161164840,7716736600.000
20190116,915.986,918.305,913.376,917.707,975788980,6517845900.000
20190117,920.342,922.074,912.422,913.148,1298430130,8339958700.000
20190118,915.870,928.684,915.520,927.802,2057832500,13689637000.000
20190121,925.889,929.666,921.536,922.736,1649247300,10831488500.000
20190122,921.711,921.850,912.043,913.526,1068293750,7129477500.000
20190123,912.776,918.820,911.831,913.173,962073420,6332312200.000
20190124,914.677,921.209,911.482,919.837,1117974390,8177890500.000
20190125,921.792,934.694,921.792,928.178,1847785000,13415746500.000
20190128,932.696,936.542,920.301,921.602,1495415200,10860870500.000
20190129,919.977,927.709,911.198,924.970,1322012810,9160730800.000
20190130,922.464,930.192,920.423,921.509,1086355200,7581087900.000
20190131,922.037,936.650,922.037,929.542,1828896500,12929740100.000
20190201,933.274,933.904,924.645,933.431,1308252100,9374989000.000
20190211,930.262,939.748,928.148,939.748,1384803600,9721138800.000
20190212,941.588,946.066,935.783,942.897,1419947000,10009561300.000
20190213,943.218,958.758,938.039,956.481,2045936200,14677456000.000
20190214,953.098,957.140,949.022,951.433,1421994500,10236964200.000
20190215,949.428,949.593,936.513,936.790,1580133500,11331737300.000
20190218,941.148,957.905,941.148,956.705,1972826700,13584355000.000
20190219,955.855,974.080,952.526,958.694,2215899400,15582093000.000
20190220,958.728,960.908,950.132,954.907,1429768300,10000317200.000
20190221,954.516,961.811,946.643,948.602,1571536600,11235770300.000
20190222,946.984,974.529,940.566,974.223,2471165200,16888072000.000
20190225,987.937,1055.820,985.286,1053.039,6321216700,45729757000.000
20190226,1060.281,1063.111,1030.550,1031.549,4881731500,36223781000.000
20190227,1030.068,1093.205,1029.250,1069.571,5240091600,39827916000.000
20190228,1065.197,1077.775,1058.906,1062.388,3032337200,23800614000.000
20190301,1068.297,1087.827,1044.930,1087.827,3929501400,31716207000.000
20190304,1094.397,1141.591,1087.761,1105.673,6262979100,49682628000.000
20190305,1093.158,1107.695,1090.506,1103.395,3320872200,26636655000.000
20190306,1101.426,1121.767,1098.673,1119.908,3723230300,29368061000.000
20190307,1119.587,1145.705,1113.904,1134.558,4386554000,35546870000.000
20190308,1102.405,1106.481,1065.907,1066.010,4336850500,34442582000.000
20190311,1060.973,1078.362,1050.547,1077.335,3105474200,24906487000.000
20190312,1082.481,1098.477,1073.687,1082.879,3358183100,27511353000.000
20190313,1081.452,1083.480,1059.459,1067.767,2873045200,23166159000.000
20190314,1063.032,1076.423,1047.888,1053.826,2343189500,19134026000.000
20190315,1057.668,1068.319,1051.504,1056.969,2238586900,17935597000.000
20190318,1058.575,1083.541,1050.017,1083.541,2984976100,23203101000.000
20190319,1086.414,1090.405,1075.987,1079.983,2333450600,19643293000.000
20190320,1075.358,1091.154,1074.337,1090.241,2343380400,19616475000.000
20190321,1092.374,1099.131,1083.840,1083.925,2404668600,19635893000.000
20190322,1085.088,1085.303,1066.203,1073.302,2115607000,17494653000.000
20190325,1055.519,1058.699,1043.283,1043.352,2603569300,20360206000.000
20190326,1048.243,1049.607,1027.889,1031.125,1844855400,14416567000.000
20190327,1035.696,1045.872,1033.177,1039.302,1798156000,14594371000.000
20190328,1033.910,1033.910,1023.778,1026.282,1578082100,12127410400.000
20190329,1028.456,1065.669,1028.328,1064.583,3220709500,26949356000.000
20190401,1069.004,1091.752,1068.951,1089.244,4090719600,33570462000.000
