date,open,high,low,close,vol,tradeAmount
20190102,1059.588,1060.231,1050.673,1052.815,348586250,2335931400.000
20190103,1052.642,1062.146,1049.443,1052.087,347140270,2271055600.000
20190104,1042.683,1074.944,1041.421,1074.837,468771010,3007388500.000
20190107,1078.859,1090.395,1077.278,1088.402,499679850,3177903900.000
20190108,1086.468,1090.295,1083.699,1088.596,384578910,2484105700.000
20190109,1090.699,1105.353,1090.652,1093.248,599180260,4262015800.000
20190110,1093.523,1099.647,1090.196,1091.966,421952950,2804188100.000
20190111,1091.480,1101.564,1089.697,1101.564,387580950,2556399800.000
20190114,1101.362,1105.823,1097.834,1098.844,413591970,2699693000.000
20190115,1098.524,1108.702,1094.632,1108.702,387231690,2564500600.000
20190116,1109.793,1120.428,1108.378,1117.551,478297760,3287679400.000
20190117,1115.763,1115.763,1102.754,1104.431,447418410,3066522500.000
20190118,1103.838,1110.491,1097.499,1108.402,446698700,3098116700.000
20190121,1110.599,1118.271,1110.122,1115.203,454121210,3238660300.000
20190122,1115.728,1115.728,1100.617,1104.154,417790240,2866038000.000
20190123,1101.831,1106.494,1096.444,1106.260,406964320,2668856400.000
20190124,1111.564,1115.555,1107.256,1113.314,466513810,3062569700.000
20190125,1114.566,1120.807,1106.324,1106.966,608935020,3708960500.000
20190128,1113.129,1123.763,1110.767,1116.342,656226990,4106910200.000
20190129,1115.424,1131.832,1095.136,1126.198,911004600,5529593700.000
20190130,1114.185,1114.185,1089.620,1090.132,762551980,4600295600.000
20190131,1081.439,1083.218,1052.190,1055.183,723124620,4739501600.000
20190201,1054.953,1078.063,1054.926,1078.063,511140030,4096127700.000
20190211,1080.128,1102.796,1080.117,1102.796,549531130,4423399100.000
20190212,1100.808,1116.521,1099.534,1116.424,658100790,5324747700.000
20190213,1116.647,1131.612,1115.222,1130.284,726311770,5706131500.000
20190214,1128.356,1137.165,1126.832,1133.087,598986580,4838706700.000
20190215,1132.056,1135.072,1127.059,1131.996,598560220,4671622300.000
20190218,1134.474,1163.592,1134.384,1163.592,838634490,6509669100.000
20190219,1167.443,1171.325,1152.049,1162.582,843174500,6403784400.000
20190220,1163.505,1166.768,1155.589,1166.544,758522120,5462180200.000
20190221,1165.287,1173.781,1151.021,1152.952,837196820,6124058400.000
20190222,1149.980,1171.075,1147.967,1171.075,798986100,6071216100.000
20190225,1179.182,1226.911,1178.358,1226.911,1540704900,11368151100.000
20190226,1231.408,1248.393,1218.485,1225.946,1556747200,11332174600.000
20190227,1224.190,1249.372,1223.393,1236.361,1409119000,10201934700.000
20190228,1238.741,1247.420,1232.122,1240.368,1212235490,8834919500.000
20190301,1243.718,1246.406,1230.281,1244.394,945972760,6946339300.000
20190304,1249.870,1278.965,1248.803,1260.464,1469059700,11504649600.000
20190305,1256.321,1288.148,1253.953,1288.148,1347659700,10584340800.000
20190306,1294.186,1312.463,1281.759,1312.463,1529922900,11775478700.000
20190307,1314.178,1347.882,1308.605,1339.955,1591745400,12889619200.000
20190308,1321.855,1334.489,1276.536,1276.750,1740761300,13355357000.000
20190311,1280.230,1322.940,1280.156,1322.940,1210201840,9463459500.000
20190312,1329.344,1345.085,1314.287,1335.364,1455018900,11623955700.000
20190313,1335.036,1343.377,1304.509,1310.687,1365397200,10342815700.000
20190314,1302.877,1309.076,1262.451,1272.856,1058910970,7734744800.000
20190315,1277.845,1310.590,1277.804,1301.655,1014998610,7950051900.000
20190318,1304.423,1326.864,1294.003,1326.864,1082910520,8777561200.000
20190319,1327.400,1335.240,1319.198,1328.048,919638260,7659024500.000
20190320,1328.811,1334.983,1310.985,1332.960,948206140,7867002500.000
20190321,1333.547,1352.744,1330.410,1346.756,1201707120,9329647800.000
20190322,1347.371,1354.451,1329.207,1354.451,1014830750,8414254600.000
20190325,1333.602,1355.715,1329.745,1339.010,1005317680,8279607000.000
20190326,1342.841,1346.812,1299.718,1301.900,917934590,7489390300.000
20190327,1306.925,1312.628,1290.178,1312.628,872031360,7205456400.000
20190328,1307.802,1319.951,1294.124,1294.124,779227290,6744991800.000
20190329,1298.696,1335.176,1291.257,1334.920,985275510,8359890800.000
20190401,1341.740,1375.105,1341.740,1374.474,1371439900,12195349300.000
20190402,1378.671,1388.689,1374.871,1380.471,1345236600,11618608700.000
20190403,1379.088,1408.952,1373.755,1407.937,1807719300,14717049000.000
20190404,1408.114,1411.305,1391.572,1407.325,1471783700,11889315000.000
20190408,1411.294,1414.352,1377.239,1394.526,1330620330,11367195300.000
20190409,1393.262,1406.536,1386.411,1405.964,1028110380,8359059800.000
20190410,1400.832,1419.170,1390.680,1412.651,1166955760,9520557000.000
20190411,1411.537,1413.715,1384.833,1385.489,1023017380,8768227700.000
20190412,1385.772,1393.280,1380.844,1391.102,828358780,7347740200.000
20190415,1402.737,1409.474,1379.954,1379.954,1077738230,9625447300.000
20190416,1376.131,1397.224,1357.962,1397.224,980569250,8451239000.000
20190417,1396.897,1407.574,1391.562,1402.535,983541990,8734743500.000
20190418,1402.825,1405.054,1394.421,1396.228,802153210,7130251600.000
20190419,1393.915,1402.038,1381.665,1400.698,727076780,6259136100.000
20190422,1404.180,1405.060,1381.504,1385.130,734733180,6346407700.000
20190423,1387.571,1387.571,1360.862,1363.537,824103050,6505920200.000
20190424,1365.779,1376.069,1350.176,1375.701,653960610,5441715500.000
20190425,1372.603,1373.018,1323.232,1323.232,914704930,7314007300.000
20190426,1320.215,1326.779,1310.640,1312.520,760758300,6432802100.000
20190429,1311.227,1316.369,1279.085,1284.122,885838090,7510688700.000
20190430,1281.612,1311.301,1281.612,1304.005,729433160,6680549400.000
20190506,1268.882,1269.052,1207.244,1219.053,989832260,8185273100.000
20190507,1220.701,1241.191,1220.205,1241.117,807677800,7135425500.000
20190508,1220.631,1253.600,1213.831,1240.245,704310760,5964054000.000
20190509,1230.018,1238.484,1222.327,1225.743,558001360,4804980100.000
20190510,1234.368,1261.055,1219.070,1261.055,731139230,6193153300.000
20190513,1250.108,1264.440,1245.322,1264.232,639135070,5515446600.000
20190514,1249.543,1260.977,1244.123,1245.218,564125620,4599139000.000
20190515,1254.645,1270.615,1254.645,1270.421,621996450,5066908400.000
20190516,1272.422,1280.200,1270.540,1279.335,577720170,5028016200.000
20190517,1278.179,1278.910,1235.125,1239.685,719086570,5905455000.000
20190520,1234.560,1235.164,1202.018,1220.291,616708160,4753575200.000
20190521,1219.645,1240.731,1215.629,1236.926,513700130,4219500200.000
20190522,1238.277,1238.277,1220.714,1230.429,502027100,4068709400.000
20190523,1227.042,1227.042,1200.194,1202.767,494669850,3820349100.000
20190524,1198.955,1205.845,1191.492,1193.623,431272790,3595138100.000
20190527,1192.223,1218.572,1188.972,1217.577,493511420,4040145000.000
20190528,1219.193,1228.630,1213.563,1216.746,488689120,4009818500.000
20190529,1213.736,1228.502,1210.226,1222.418,431914240,3321428300.000
20190530,1218.290,1218.527,1201.595,1213.086,486834340,3453020700.000
20190531,1214.649,1220.213,1207.136,1209.209,382269390,2999735500.000
20190603,1208.695,1213.406,1190.610,1192.601,457282910,3543948600.000
20190604,1194.207,1194.207,1175.622,1180.609,427061820,3066980500.000
20190605,1191.097,1193.121,1180.941,1182.704,426616890,3298313500.000
20190606,1184.285,1184.285,1159.714,1162.076,444974230,3213795400.000
20190610,1163.531,1175.944,1161.255,1173.954,403585740,3017639500.000
20190611,1174.943,1206.122,1172.855,1205.897,598351350,4479324400.000
20190612,1206.044,1206.734,1194.130,1197.526,451065610,3361125600.000
20190613,1197.780,1215.197,1191.358,1212.743,630728860,3972388500.000
20190614,1209.418,1210.226,1189.970,1191.202,495772660,3694378700.000
