date,open,high,low,close,vol,tradeAmount
20190102,1858.889,1864.806,1844.489,1850.156,120435634,850819850.000
20190103,1847.549,1871.157,1832.646,1833.832,138809490,992430450.000
20190104,1813.861,1874.698,1802.269,1873.581,167091370,1189185390.000
20190107,1893.859,1950.783,1893.859,1947.432,250210690,1657005600.000
20190108,1968.385,1996.416,1963.013,1974.443,316724910,2031486500.000
20190109,1971.935,2018.733,1967.139,1994.186,329079190,2372616900.000
20190110,1988.656,1996.266,1960.782,1963.471,217800530,1686692900.000
20190111,1959.217,1980.584,1958.488,1980.584,190042670,1366135000.000
20190114,1983.700,1985.438,1959.378,1963.931,158592060,1152535430.000
20190115,1956.159,1981.717,1946.179,1981.717,150652790,1104422640.000
20190116,1985.955,1994.760,1972.519,1972.519,139107710,1042129620.000
20190117,1971.764,1974.637,1937.050,1937.050,130258256,979349650.000
20190118,1942.502,1953.223,1924.670,1949.907,143269960,983964460.000
20190121,1951.912,1965.268,1950.097,1958.603,123359125,868696270.000
20190122,1964.335,1964.335,1944.049,1954.179,144561940,966560040.000
20190123,1946.516,1971.795,1941.526,1971.485,160521580,1260795700.000
20190124,1972.628,1972.987,1947.834,1967.247,189645250,1492058600.000
20190125,1961.508,1979.182,1951.704,1953.899,169224120,1312860160.000
20190128,1957.340,1961.823,1924.350,1927.561,140680670,1040056930.000
20190129,1916.321,1918.434,1852.252,1889.131,161624310,1109818140.000
20190130,1888.074,1888.074,1844.796,1844.796,112263673,767534890.000
20190131,1819.104,1837.742,1779.922,1789.273,187599520,1109381330.000
20190201,1796.863,1833.867,1796.863,1831.366,112634070,734585370.000
20190211,1836.937,1881.034,1836.937,1880.271,148505720,1011003770.000
20190212,1882.022,1910.226,1876.920,1906.673,143973140,1016632260.000
20190213,1907.270,1942.665,1901.809,1936.673,214514100,1559013300.000
20190214,1937.245,1963.468,1927.532,1952.342,155908100,1133128670.000
20190215,1946.094,1956.724,1938.547,1946.685,162382160,1135781650.000
20190218,1953.047,2021.785,1953.047,2021.785,254338850,1791395600.000
20190219,2031.447,2042.825,1994.021,2026.663,263223170,1888277100.000
20190220,2025.797,2037.645,2007.675,2031.477,202275450,1508888600.000
20190221,2032.831,2062.261,2022.339,2028.330,309060320,2303930100.000
20190222,2022.799,2077.059,2022.360,2076.944,267943530,1980656300.000
20190225,2097.590,2178.819,2086.038,2174.421,595292570,4503064600.000
20190226,2175.835,2212.772,2144.573,2164.717,638650170,4859299000.000
20190227,2173.396,2208.143,2147.825,2176.302,483426220,3561306300.000
20190228,2170.468,2195.650,2159.030,2174.006,340576170,2383783800.000
20190301,2178.645,2192.748,2159.635,2192.281,332644640,2339340400.000
