date,open,high,low,close,vol,tradeAmount
20190102,2641.643,2642.352,2612.596,2613.939,180761940,2494194200.000
20190103,2614.457,2624.475,2588.388,2588.883,194835210,2774004700.000
20190104,2569.490,2639.267,2561.057,2639.100,236891380,2925678800.000
20190107,2654.039,2679.929,2646.334,2677.634,266765810,3191709100.000
20190108,2672.444,2676.965,2660.898,2667.194,215422280,2580263800.000
20190109,2671.069,2713.651,2668.276,2681.690,316640710,4057076200.000
20190110,2681.687,2687.959,2664.490,2670.404,221843830,2552653000.000
20190111,2668.790,2695.590,2659.702,2692.416,224193180,2510397000.000
20190114,2691.773,2695.061,2678.420,2687.441,200168980,2224395700.000
20190115,2686.174,2725.784,2676.836,2724.719,274242820,3966515700.000
20190116,2726.712,2762.380,2722.254,2754.281,250902100,3460649200.000
20190117,2751.998,2766.139,2735.786,2744.172,260988130,3631287900.000
20190118,2744.976,2762.633,2730.462,2753.129,251860280,3671130700.000
20190121,2759.763,2781.389,2755.737,2773.231,277441600,4006352600.000
20190122,2771.026,2771.119,2736.163,2749.818,227161950,2787971100.000
20190123,2742.783,2752.347,2734.179,2749.832,185831390,2369307700.000
20190124,2760.703,2794.656,2759.598,2784.379,264635070,2765918400.000
20190125,2781.979,2802.986,2770.787,2776.134,283918000,3234908100.000
20190128,2783.865,2791.194,2743.384,2748.774,252387910,3716558100.000
20190129,2744.895,2744.895,2661.693,2701.341,269539530,3387205500.000
20190130,2679.988,2698.060,2654.334,2654.334,252282030,2917365500.000
20190131,2649.973,2665.167,2599.534,2611.576,253899030,3340867000.000
20190201,2618.265,2673.614,2618.265,2673.614,217170280,3113261000.000
20190211,2684.795,2754.365,2684.795,2754.365,272379890,4180813100.000
20190212,2765.815,2794.109,2760.527,2788.720,296808360,4226682000.000
20190213,2797.762,2823.582,2785.227,2818.224,324541630,4647714700.000
20190214,2821.292,2844.842,2802.953,2838.412,341748030,5205579100.000
20190215,2828.813,2869.609,2819.670,2840.059,397579230,5226942800.000
20190218,2844.163,2912.069,2844.163,2912.069,486579980,6301156900.000
20190219,2911.848,2920.502,2870.206,2893.536,474235600,6535838500.000
20190220,2935.661,2948.845,2884.900,2904.646,461733050,6239486600.000
20190221,2897.763,2932.858,2877.799,2890.365,554261860,6536170300.000
20190222,2875.093,2916.463,2872.892,2916.463,484614490,5987246600.000
20190225,2922.903,3029.914,2922.413,3029.914,850315460,11082862400.000
20190226,3024.113,3080.299,3006.173,3037.334,812747220,9955715800.000
20190227,3035.282,3086.686,3022.838,3052.156,792906650,9135008400.000
20190228,3049.888,3078.225,3043.193,3063.378,588952220,8025910500.000
20190301,3070.682,3089.763,3052.836,3089.763,519695380,6911724600.000
20190304,3097.595,3166.876,3093.245,3116.218,770549170,10785550200.000
20190305,3108.176,3157.449,3094.534,3157.449,604849790,8125739100.000
20190306,3160.652,3207.219,3141.881,3207.219,779999220,9396462700.000
20190307,3198.146,3280.084,3190.050,3263.465,869743450,10012364700.000
20190308,3214.068,3267.541,3153.737,3153.737,827805890,9745103500.000
20190311,3151.613,3276.789,3151.613,3276.647,671539430,8388826800.000
20190312,3291.547,3365.590,3285.668,3334.151,987881260,11679385100.000
20190313,3340.580,3349.000,3270.938,3289.552,806366010,9872620300.000
20190314,3273.188,3294.275,3197.929,3227.219,727942430,8359053300.000
20190315,3234.342,3294.768,3234.254,3271.286,719602740,8595619900.000
20190318,3283.886,3387.730,3278.709,3387.480,890516480,12523214600.000
20190319,3387.643,3387.643,3349.376,3374.557,614523700,7793563100.000
20190320,3373.888,3402.116,3337.429,3391.692,641686180,7939160000.000
20190321,3387.672,3417.470,3376.930,3400.417,612329790,7588825000.000
20190322,3403.807,3434.828,3370.713,3434.534,582523400,7838692600.000
20190325,3377.530,3439.049,3366.979,3390.028,524651960,7265545800.000
20190326,3400.837,3421.881,3326.732,3334.380,539934230,7180600700.000
20190327,3348.458,3404.472,3311.964,3404.472,520716350,7968111000.000
20190328,3382.080,3413.199,3366.480,3380.325,508412350,7389792100.000
20190329,3373.733,3445.097,3361.560,3444.678,637085300,9956639900.000
20190401,3456.824,3536.482,3456.619,3536.482,750375940,10835545800.000
20190402,3540.878,3540.878,3506.261,3518.136,631193480,8620276900.000
20190403,3504.657,3552.310,3493.372,3552.310,613073480,7866910000.000
20190404,3554.110,3567.020,3530.387,3560.175,605164240,8486530400.000
20190408,3573.715,3596.163,3517.973,3571.802,754161170,10168399500.000
20190409,3565.903,3593.031,3546.216,3588.987,701214990,11381796900.000
20190410,3574.598,3627.770,3558.329,3600.356,695111360,10274314900.000
20190411,3598.694,3598.694,3504.038,3505.988,615088890,8933676300.000
20190412,3500.792,3518.489,3481.077,3504.810,456739600,6578629100.000
20190415,3536.458,3551.084,3469.016,3472.493,515127410,7414184000.000
20190416,3455.524,3503.591,3420.718,3503.591,467987790,6742599900.000
20190417,3505.191,3542.885,3499.478,3534.715,476670820,6405810200.000
20190418,3540.571,3552.396,3517.028,3525.755,529014490,6196806100.000
20190419,3524.296,3540.839,3495.095,3540.717,458448130,5896208800.000
20190422,3546.962,3579.849,3533.070,3551.825,649048770,8344552700.000
20190423,3545.727,3601.466,3509.930,3566.261,747268660,9530428500.000
20190424,3565.547,3610.275,3559.821,3610.249,796944700,10134777700.000
20190425,3592.619,3629.546,3534.257,3535.133,868033920,10890785200.000
20190426,3519.437,3534.121,3466.955,3484.756,688838890,10478360500.000
20190429,3476.084,3480.964,3400.810,3410.005,675006090,10666036400.000
20190430,3390.592,3470.718,3390.592,3459.848,569580460,8317103600.000
20190506,3367.848,3436.163,3253.164,3327.047,768053230,11965641900.000
20190507,3354.097,3523.509,3349.176,3523.509,836018730,12749268500.000
20190508,3474.613,3569.559,3459.209,3504.965,926549720,12074282500.000
20190509,3425.644,3431.280,3375.487,3389.484,730781480,9688300100.000
20190510,3401.012,3497.885,3360.525,3497.589,979421740,11814001800.000
20190513,3452.893,3514.198,3431.506,3496.329,918977220,10153537100.000
20190514,3456.314,3518.638,3456.314,3474.793,838093610,9633521200.000
20190515,3504.742,3612.523,3504.742,3607.495,934806610,12203401000.000
20190516,3613.087,3640.658,3595.547,3609.904,1031460810,11646811100.000
20190517,3610.186,3646.063,3546.350,3558.507,1005722190,12078448400.000
20190520,3530.381,3533.057,3374.392,3431.767,732444360,9053260900.000
20190521,3418.636,3474.210,3404.156,3469.560,690842100,7881856200.000
20190522,3459.111,3463.964,3428.356,3446.886,628448930,7149634900.000
20190523,3426.037,3426.037,3329.352,3341.659,575799740,6787935600.000
