date,open,high,low,close,vol,tradeAmount
20190102,1440.066,1445.922,1417.733,1419.737,156512900,7741007600.000
20190103,1417.316,1423.687,1395.985,1397.898,184014500,6332334400.000
20190104,1383.762,1430.284,1381.048,1427.401,207166450,6709868900.000
20190107,1433.431,1448.172,1427.012,1447.085,203623430,6707556300.000
20190108,1442.264,1448.912,1436.686,1444.481,152087460,5269811800.000
20190109,1446.963,1474.834,1446.963,1454.414,232455520,8670430300.000
20190110,1453.630,1454.842,1441.319,1447.515,154670880,5264308500.000
20190111,1448.783,1465.530,1444.498,1465.530,185644970,6606946500.000
20190114,1461.481,1464.776,1455.253,1457.598,158965260,5066418700.000
20190115,1456.258,1527.375,1454.658,1525.586,368553990,12373783300.000
20190116,1520.245,1520.245,1500.978,1507.753,304069200,9532264700.000
20190117,1508.179,1515.722,1493.854,1494.852,225822360,6813321300.000
20190118,1495.645,1528.154,1495.645,1515.695,294203440,12489188700.000
20190121,1517.732,1557.808,1517.732,1540.648,349679210,11854545200.000
20190122,1537.374,1537.374,1513.463,1518.609,273313830,7991370100.000
20190123,1513.969,1525.819,1512.834,1518.926,231782530,6329574600.000
20190124,1518.691,1532.527,1517.186,1530.270,230502890,6235046300.000
20190125,1534.072,1535.582,1517.480,1517.991,259603130,7184145900.000
20190128,1524.125,1549.255,1520.133,1521.943,295121590,10508631500.000
20190129,1519.373,1519.373,1481.204,1508.540,255588970,8112999300.000
20190130,1499.890,1509.324,1484.205,1484.205,192920070,6652267100.000
20190131,1475.670,1488.694,1466.369,1471.799,309825720,10229698000.000
20190201,1479.611,1502.204,1477.661,1502.204,239288600,8706042100.000
20190211,1504.901,1550.615,1496.458,1548.182,319708690,13243849700.000
20190212,1544.158,1570.760,1541.874,1565.841,319561760,11381073500.000
20190213,1569.323,1585.648,1563.355,1583.922,336021120,10729867100.000
20190214,1580.416,1613.587,1576.908,1607.938,355999760,12245989400.000
20190215,1602.518,1604.668,1590.476,1591.451,264940160,8359452600.000
20190218,1598.760,1642.995,1598.760,1642.995,356461910,11849318700.000
20190219,1644.996,1652.458,1618.467,1634.113,336335130,10146703600.000
20190220,1634.317,1646.612,1615.553,1632.392,314227660,9424000300.000
20190221,1631.454,1648.090,1619.605,1623.461,307709310,8784283900.000
20190222,1616.260,1645.244,1612.163,1645.244,291146890,8010788600.000
20190225,1652.837,1707.605,1646.975,1707.368,579524150,18965913000.000
20190226,1702.222,1711.567,1683.640,1690.320,526173630,14828179000.000
