MMSI,IMO,船名,船长,船宽,载重吨,总吨,吃水
412469670," ""null"""," ""惠港通33"""," ""null"""," ""null"""," ""1100"""," ""995"""," ""null"""
413470680," ""0"""," ""null"""," ""58"""," ""19"""," ""null"""," ""null"""," ""2.5"""
413483190," ""null"""," ""null"""," ""53"""," ""11"""," ""null"""," ""null"""," ""null"""
413487210," ""null"""," ""null"""," ""32"""," ""10"""," ""null"""," ""null"""," ""null"""
413509590," ""0"""," ""null"""," ""70"""," ""16"""," ""null"""," ""null"""," ""null"""
413591010," ""0"""," ""利通32"""," ""null"""," ""null"""," """""," ""499"""," ""null"""
413762761," ""0"""," ""null"""," ""50"""," ""16"""," ""null"""," ""null"""," ""null"""
413773248," ""49932"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413774277," ""0"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""0"""
413788232," ""0"""," ""null"""," ""50"""," ""11"""," ""null"""," ""null"""," ""0"""
413900494," ""0"""," ""南南燃油13"""," ""73"""," ""12"""," """""," ""975"""," ""null"""
413900824," ""null"""," ""null"""," ""50"""," ""16"""," ""null"""," ""null"""," ""null"""
413901504," ""4"""," ""null"""," ""52"""," ""11"""," ""null"""," ""null"""," ""null"""
413901552," ""null"""," """""," ""69"""," ""16"""," ""368"""," ""250"""," ""null"""
413901556," ""33"""," """""," ""0"""," ""0"""," ""368"""," ""250"""," ""null"""
413902168," ""0"""," ""null"""," ""50"""," ""12"""," ""null"""," ""null"""," ""null"""
413902744," ""null"""," """""," ""50"""," ""14"""," ""368"""," ""250"""," ""null"""
413903349," ""0"""," ""null"""," ""73"""," ""12"""," ""null"""," ""null"""," ""0"""
413903512," ""null"""," ""null"""," ""73"""," ""15"""," ""null"""," ""null"""," ""null"""
413905965," ""0"""," ""null"""," ""76"""," ""16"""," ""null"""," ""null"""," ""null"""
413906672," ""null"""," ""null"""," ""49"""," ""11"""," ""null"""," ""null"""," ""null"""
413952969," ""null"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
413973503," ""0"""," """""," ""50"""," ""16"""," ""368"""," ""250"""," ""null"""
413988559," ""null"""," ""null"""," ""50"""," ""12"""," ""null"""," ""null"""," ""null"""
413996877," ""0"""," ""null"""," ""50"""," ""11"""," ""null"""," ""null"""," ""null"""
413997118," ""0"""," ""null"""," ""78"""," ""16"""," ""null"""," ""null"""," ""null"""
413998572," ""null"""," ""null"""," ""63"""," ""13"""," ""null"""," ""null"""," ""null"""
412467230," ""0"""," ""惠湾019"""," ""50"""," ""15"""," ""1125"""," """""," ""2.4000001"""
412474740," ""0"""," ""null"""," ""50"""," ""16"""," ""null"""," ""null"""," ""null"""
412478750," ""0"""," ""null"""," ""60"""," ""19"""," ""null"""," ""null"""," ""null"""
412502950," ""null"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
413476410," ""0"""," ""null"""," ""63"""," ""13"""," ""null"""," ""null"""," ""null"""
413484790," ""null"""," ""null"""," ""72"""," ""14"""," ""null"""," ""null"""," ""null"""
413504090," ""0"""," ""桂香江2299"""," ""51"""," ""13"""," """""," ""1005"""," ""null"""
413506790," ""null"""," ""null"""," ""69"""," ""14"""," ""null"""," ""null"""," ""null"""
413762790," ""0"""," ""null"""," ""50"""," ""16"""," ""null"""," ""null"""," ""0"""
413762916," ""0"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
413774310," ""0"""," ""null"""," ""82"""," ""14"""," ""null"""," ""null"""," ""null"""
413900364," ""null"""," ""佳航138"""," ""50"""," ""11"""," """""," ""795"""," ""null"""
413900472," ""null"""," ""null"""," ""49"""," ""13"""," ""null"""," ""null"""," ""null"""
413900629," ""27"""," """""," ""68"""," ""12"""," ""1513"""," ""908"""," ""null"""
413902253," ""0"""," ""null"""," ""44"""," ""8"""," ""null"""," ""null"""," ""null"""
413902547," ""null"""," """""," ""91"""," ""19"""," ""5231"""," ""3557"""," ""null"""
413904478," ""0"""," ""null"""," ""70"""," ""15"""," ""null"""," ""null"""," ""null"""
413905604," ""null"""," ""null"""," ""40"""," ""16"""," ""null"""," ""null"""," ""null"""
413906607," ""null"""," ""null"""," ""65"""," ""17"""," ""null"""," ""null"""," ""null"""
413907074," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413970975," ""0"""," ""null"""," ""49"""," ""13"""," ""null"""," ""null"""," ""null"""
413979734," ""null"""," ""null"""," ""49"""," ""13"""," ""null"""," ""null"""," ""null"""
413985228," ""null"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
413998602," ""null"""," ""null"""," ""56"""," ""11"""," ""null"""," ""null"""," ""null"""
413998757," ""0"""," ""null"""," ""57"""," ""11"""," ""null"""," ""null"""," ""null"""
412474760," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413504810," ""null"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
413508670," ""0"""," ""null"""," ""72"""," ""14"""," ""null"""," ""null"""," ""null"""
413509450," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413509860," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413762717," ""null"""," """""," ""null"""," ""null"""," ""346"""," ""235"""," ""null"""
413762745," ""0"""," ""null"""," ""50"""," ""16"""," ""null"""," ""null"""," ""null"""
413762749," ""null"""," ""null"""," ""50"""," ""16"""," ""null"""," ""null"""," ""null"""
413774309," ""356515840"""," ""null"""," ""96"""," ""17"""," ""null"""," ""null"""," ""3"""
413774412," ""0"""," ""null"""," ""75"""," ""16"""," ""null"""," ""null"""," ""null"""
413782079," ""0"""," ""null"""," ""50"""," ""9"""," ""null"""," ""null"""," ""null"""
413850324," ""0"""," ""null"""," ""60"""," ""16"""," ""null"""," ""null"""," ""null"""
413851443," ""0"""," ""null"""," ""53"""," ""13"""," ""null"""," ""null"""," ""null"""
413854831," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
