基金名字,代码,类型,今日收益率,近1月,近3月,近6月,近1年,近3年,潜在收益,等级,近1月,近1月,近3月,近6月,近1年,近3年
西部利得汇享债券C,675113,债券型,-0.04,0.36,2.61,5.53,8.46,24.72,7.641242142254214,,3,4,4,4,4
鹏华丰禄债券,003547,债券型,-0.04,0.52,3.21,5.79,10.54,24.25,7.5058587035926365,,3,4,4,4,4
招商产业债券C,001868,债券型,-0.04,0.34,2.09,4.19,7.01,20.86,6.5191102092204005,5,3,3,3,3,4
前海开源工业革命4.0混合,001103,混合型,0.54,3.03,-3.23,10.64,20.68,97.52,25.469170165004,5,2,1,3,2,4
长城创业板指数增强C,006928,股票指数,-1.00,8.01,8.96,30.87,58.69,,,,4,4,4,4,
富国高新技术产业混合,100060,混合型,-0.64,6.21,-8.92,21.58,49.91,75.45,20.610316610508377,4,3,1,4,4,4
易方达恒生国企ETF联接C,005675,QDII-指数,1.15,2.31,-5.95,-7.75,-1.30,,,,2,4,3,3,
易方达裕丰回报债券,000171,债券型,-0.03,1.07,1.73,5.07,10.04,28.58,8.740453647422314,4,4,2,3,4,4
景顺长城环保优势股票,001975,股票型,0.43,4.43,-0.32,21.25,49.80,71.63,19.72855310116519,4,2,1,4,4,4
工银养老产业股票,001171,股票型,-1.59,7.48,16.89,34.21,68.84,97.31,25.424688814547707,5,4,4,4,4,4
广发沪深300指数增强C,006021,股票指数,-0.09,5.85,3.38,4.26,20.75,,,,3,3,2,3,
广发优企精选混合,002624,混合型,-0.25,7.98,13.19,17.71,46.91,96.20,25.189047278210964,5,4,4,4,4,4
南方恒指ETF联接C,005659,联接基金,1.43,1.35,-10.32,-10.83,-10.53,,,,1,1,1,1,
融通行业景气混合,161606,混合型,0.07,9.46,20.11,27.07,63.88,121.41,30.336406820609483,4,4,4,4,4,4
工银深证红利ETF联接A,481012,联接基金,0.13,6.52,2.06,-3.68,10.86,50.80,14.674568291497778,,4,2,1,2,4
富国中证新能源汽车指数分级,161028,股票指数,-1.21,7.05,-7.59,28.80,44.59,5.49,1.7974964742647472,,4,1,4,4,2
富国天惠成长混合A,161005,混合型,-0.18,7.91,6.55,12.41,32.99,57.07,16.242358922747016,3,4,3,3,3,4
富国医疗保健行业混合,000220,混合型,-1.50,8.45,17.61,26.82,72.73,111.03,28.26693966417568,4,4,4,4,4,4
交银新生活力灵活配置混合,519772,混合型,0.37,5.47,4.94,24.40,57.81,135.26,32.99930276454353,,3,3,4,4,4
招商中证白酒指数分级,161725,股票指数,0.28,9.76,10.23,0.78,21.01,116.68,29.401588893612598,,4,4,2,3,4
招商双债增强债券(LOF)C,161716,债券型,-0.04,0.30,2.15,4.96,7.85,22.99,7.141223255507256,5,2,3,3,3,4
广发稳健增长混合,270002,混合型,-0.73,4.51,7.53,11.78,33.13,62.48,17.561910937505914,5,2,4,3,3,4
广发创业板ETF联接C,003766,联接基金,-1.00,7.65,4.17,20.53,38.03,,,,4,3,4,4,
华富中证100指数,410008,股票指数,-0.02,4.88,2.11,0.31,16.40,53.38,15.324853382855494,,3,2,2,3,4
国泰国证食品饮料行业指数分级,160222,股票指数,-0.50,7.85,14.05,7.16,27.07,113.74,28.813664432516703,,4,4,3,4,4
诺安双利债券发起,320021,债券型,0.09,0.99,0.42,6.15,9.01,53.04,15.239576165698693,3,4,1,4,4,4
天弘上证50指数C,001549,股票指数,-0.04,4.79,1.01,-3.81,9.10,35.69,10.708920011501107,,3,2,1,2,4
天弘中证500指数A,000962,股票指数,-0.20,4.46,3.52,10.13,12.88,,,,2,3,3,2,1
天弘中证银行指数C,001595,股票指数,-0.05,2.83,-3.17,-11.06,-0.39,20.66,6.4603215719635045,,1,1,1,1,3
天弘中证证券保险A,001552,股票指数,-0.26,3.11,0.79,-1.19,7.22,24.11,7.465465741419692,,1,1,1,2,3
