high,low,price,vol,tradeAmount,date
19.7617,18.7316,19.4026,371485.54,760013.588,20150105
19.6388,18.7505,18.9867,345388.53,696850.256,20150106
19.1001,18.7599,19.0718,254100.23,508812.886,20150107
19.0718,18.6465,18.9017,198117.45,394024.859,20150108
19.3553,18.741,18.8544,224732.07,453089.255,20150109
18.7599,18.1267,18.3913,181121.99,352833.934,20150112
18.5709,18.174,18.2779,99780.6,193538.55,20150113
18.4102,17.8148,17.8526,120314.9,230723.019,20150114
18.5047,17.7865,18.5047,120222.32,231260.924,20150115
18.6182,18.2968,18.448,131966.07,257528.092,20150116
18.3819,16.728,17.3895,226084.2,423259.403,20150119
18.1929,17.503,18.1645,170276.24,323177.348,20150120
18.741,17.9566,18.7316,161574.56,315811.375,20150121
19.0812,18.6087,18.741,120060.46,239177.364,20150122
19.4215,18.741,19.4026,229063.97,463007.204,20150123
20.1775,19.1379,20.1303,243377.75,509310.34,20150126
20.4516,19.6577,19.9224,279352.42,592609.053,20150127
20.2059,19.6199,19.9791,179009.47,377958.262,20150128
19.8751,19.4687,19.516,151387.55,314483.304,20150129
19.8373,18.9773,19.2703,125363.38,256663.782,20150130
19.223,18.7221,18.9489,83496.04,167569.722,20150202
19.2325,18.7694,19.119,89137.45,179400.943,20150203
19.4971,18.9584,19.1001,108322.75,220127.491,20150204
19.4782,18.9111,19.0245,124152.96,252381.968,20150205
19.2419,18.6276,18.7505,118549.57,238538.637,20150206
18.9017,18.3157,18.363,136344.92,266803.801,20150209
19.223,18.4008,19.1947,111759.75,223170.891,20150210
19.6388,19.1758,19.3081,79451.09,162896.239,20150211
19.327,19.0056,19.1285,75861.52,153681.844,20150212
19.5254,19.0151,19.1663,90013.74,184036.083,20150213
19.9791,19.1474,19.9602,141269.28,292512.648,20150216
20.8107,19.8279,20.5461,208912.02,452498.988,20150217
20.5745,19.8373,19.9507,148549.32,316085.699,20150225
20.3193,19.7523,20.2531,98541.69,209837.069,20150226
20.3949,19.8468,19.9413,104234.46,221870.123,20150227
20.1114,19.6577,19.9413,120038.91,252719.961,20150302
19.894,19.2986,19.412,116763.99,242282.748,20150303
19.7334,19.2797,19.5443,92068.76,190547.479,20150304
19.7523,19.2797,19.6199,102710.98,211659.241,20150305
19.9602,19.4876,19.705,117021.74,244600.586,20150306
19.8373,19.2419,19.7428,116047.48,239411.287,20150309
20.4894,19.6388,20.3288,162746.63,347985.867,20150310
21.2455,20.3193,20.6784,182845.85,402626.301,20150311
21.5952,20.8013,21.5196,245302.19,552982.788,20150312
22.3512,21.2644,22.2095,252574.13,588061.211,20150313
22.6159,21.9259,22.3985,275581.37,651054.015,20150316
24.0429,22.3985,23.8823,353847.1,877017.727,20150317
24.0429,23.4475,23.8445,181732.72,455058.089,20150318
